------Generation 0------
Rule  1: b112, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 4e21, Class:  0, CF:0.482814, Len:  4, Fitness_tra: 0
Rule 37: 3433, Class:  1, CF:0.133678, Len:  4, Fitness_tra: 0
Rule 38: 2431, Class:  0, CF:0.71209, Len:  4, Fitness_tra: 7
Rule 39: 1133, Class:  1, CF:0.216368, Len:  4, Fitness_tra: 0
Rule 40: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 5506, Class:  0, CF:  1, Len:  3, Fitness_tra: 2
Rule 42: 2250, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1414, Class:  1, CF:0.094527, Len:  4, Fitness_tra: -2
Rule 44: 0506, Class:  0, CF:0.48125, Len:  2, Fitness_tra: -10
Rule 45: 0500, Class:  0, CF:0.0542067, Len:  1, Fitness_tra: -9
Rule 46: 5020, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 199e, Class:  2, CF:0.560435, Len:  4, Fitness_tra: 6
Rule 48: 6000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 3333, Class:  1, CF:0.563732, Len:  4, Fitness_tra: 8
Rule 50: 6000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0205, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1136, Class:  1, CF:0.126655, Len:  4, Fitness_tra: 0
Rule 53: 3334, Class:  1, CF:0.116586, Len:  4, Fitness_tra: 0
Rule 54: 4505, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1231, Class:  0, CF:0.171967, Len:  4, Fitness_tra: 0
Rule 56: 5004, Class:  0, CF:0.0752615, Len:  2, Fitness_tra: 2
Rule 57: 1531, Class:  0, CF:0.60603, Len:  4, Fitness_tra: 0
Rule 58: 1a14, Class:  2, CF:0.0660053, Len:  4, Fitness_tra: 0
Rule 59: 5005, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 5004, Class:  0, CF:0.0752615, Len:  2, Fitness_tra: 0
Rule 61: 3341, Class:  2, CF:0.291297, Len:  4, Fitness_tra: 0
Rule 62: 1141, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 3111, Class:  1, CF:0.218709, Len:  4, Fitness_tra: 8
Rule 65: 0345, Class:  2, CF:0.79604, Len:  3, Fitness_tra: 29
Rule 66: 2411, Class:  0, CF:0.483572, Len:  4, Fitness_tra: -4
Rule 67: 3152, Class:  2, CF:0.975093, Len:  4, Fitness_tra: 28
Rule 68: 1631, Class:  1, CF:0.251248, Len:  4, Fitness_tra: 0
Rule 69: 0620, Class:  2, CF:0.493683, Len:  2, Fitness_tra: 0
Rule 70: 5500, Class:  0, CF:0.409909, Len:  2, Fitness_tra: -12
Rule 71: 4065, Class:  0, CF:0.0729791, Len:  3, Fitness_tra: 1
Rule 72: 8400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 0040, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1111, Class:  1, CF:0.131836, Len:  4, Fitness_tra: 0
Rule 75: 5005, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0502, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 5000, Class:  0, CF:0.0160448, Len:  1, Fitness_tra: 0
Rule 78: 2212, Class:  0, CF:0.304555, Len:  4, Fitness_tra: -10
Rule 79: 3266, Class:  0, CF:0.405437, Len:  4, Fitness_tra: 1
Rule 80: 0220, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 0205, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 4216, Class:  0, CF:0.799367, Len:  4, Fitness_tra: 8
Rule 84: 3640, Class:  2, CF:0.681856, Len:  3, Fitness_tra: 11
Rule 85: 0006, Class:  0, CF:0.0957853, Len:  1, Fitness_tra: -1
Rule 86: 0002, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 2203, Class:  0, CF:0.758522, Len:  3, Fitness_tra: 40
Rule 88: 0530, Class:  0, CF:0.507912, Len:  2, Fitness_tra: 3
Rule 89: 0005, Class:  2, CF:0.0193858, Len:  1, Fitness_tra: 2
Rule 90: 5002, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 5664, Class:  0, CF:0.345909, Len:  4, Fitness_tra: 0
Rule 92: 1331, Class:  1, CF:0.294902, Len:  4, Fitness_tra: 6
Rule 93: 0004, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 0500, Class:  0, CF:0.0542067, Len:  1, Fitness_tra: 0
Rule 95: 5004, Class:  0, CF:0.0752615, Len:  2, Fitness_tra: 0
Rule 96: 5060, Class:  0, CF:0.640963, Len:  2, Fitness_tra: 26
Rule 97: 0220, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 050c, Class:  0, CF:0.334392, Len:  2, Fitness_tra: -1
Rule 99: 2135, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 4314, Class:  1, CF:0.155256, Len:  4, Fitness_tra: 6
------Current------
Miss_rate(tra)	:27.7056
------Result------
Miss_rate(tra)	:27.7056
Miss_rate(tst)	:20
ARL				:3.14754

------Generation 0------
Rule  1: b112, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 500e, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 0060, Class:  0, CF:0.0131601, Len:  1, Fitness_tra: 0
Rule  4: 3500, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 5054, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 0522, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0464, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1415, Class:  2, CF:0.0471512, Len:  4, Fitness_tra: 3
Rule  9: 3361, Class:  1, CF:0.443334, Len:  4, Fitness_tra: 5
Rule 10: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 6151, Class:  2, CF:0.687539, Len:  4, Fitness_tra: 9
Rule 13: 1612, Class:  2, CF:0.309326, Len:  4, Fitness_tra: 0
Rule 14: 0044, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 2161, Class:  0, CF:0.392843, Len:  4, Fitness_tra: 2
Rule 16: 0200, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 0550, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 0004, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 15a3, Class:  0, CF:0.964051, Len:  4, Fitness_tra: 3
Rule 20: 1133, Class:  1, CF:0.216368, Len:  4, Fitness_tra: 0
Rule 21: 0600, Class:  2, CF:0.104104, Len:  1, Fitness_tra: -1
Rule 22: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1211, Class:  0, CF:0.00725379, Len:  4, Fitness_tra: 0
Rule 25: 0042, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 5000, Class:  0, CF:0.0160448, Len:  1, Fitness_tra: 0
Rule 27: 5192, Class:  2, CF:0.536015, Len:  4, Fitness_tra: 10
Rule 28: 1312, Class:  2, CF:0.202077, Len:  4, Fitness_tra: 1
Rule 29: 9531, Class:  0, CF:  1, Len:  4, Fitness_tra: 2
Rule 30: 5008, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0620, Class:  2, CF:0.493683, Len:  2, Fitness_tra: 10
Rule 32: 0205, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1231, Class:  0, CF:0.171967, Len:  4, Fitness_tra: 0
Rule 34: 0600, Class:  2, CF:0.104104, Len:  1, Fitness_tra: 0
Rule 35: 1931, Class:  0, CF:0.705548, Len:  4, Fitness_tra: 1
Rule 36: 4e21, Class:  0, CF:0.482814, Len:  4, Fitness_tra: 0
Rule 37: 3433, Class:  1, CF:0.133678, Len:  4, Fitness_tra: 0
Rule 38: 2431, Class:  0, CF:0.71209, Len:  4, Fitness_tra: 7
Rule 39: 1133, Class:  1, CF:0.216368, Len:  4, Fitness_tra: 0
Rule 40: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 5506, Class:  0, CF:  1, Len:  3, Fitness_tra: 2
Rule 42: 2250, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1414, Class:  1, CF:0.094527, Len:  4, Fitness_tra: -2
Rule 44: 0506, Class:  0, CF:0.48125, Len:  2, Fitness_tra: -10
Rule 45: 0500, Class:  0, CF:0.0542067, Len:  1, Fitness_tra: -9
Rule 46: 5020, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 199e, Class:  2, CF:0.560435, Len:  4, Fitness_tra: 6
Rule 48: 6000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 3333, Class:  1, CF:0.563732, Len:  4, Fitness_tra: 8
Rule 50: 6000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0205, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1136, Class:  1, CF:0.126655, Len:  4, Fitness_tra: 0
Rule 53: 3334, Class:  1, CF:0.116586, Len:  4, Fitness_tra: 0
Rule 54: 4505, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1231, Class:  0, CF:0.171967, Len:  4, Fitness_tra: 0
Rule 56: 5004, Class:  0, CF:0.0752615, Len:  2, Fitness_tra: 2
Rule 57: 1531, Class:  0, CF:0.60603, Len:  4, Fitness_tra: 0
Rule 58: 1a14, Class:  2, CF:0.0660053, Len:  4, Fitness_tra: 0
Rule 59: 5005, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 5004, Class:  0, CF:0.0752615, Len:  2, Fitness_tra: 0
Rule 61: 3341, Class:  2, CF:0.291297, Len:  4, Fitness_tra: 0
Rule 62: 1141, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 3111, Class:  1, CF:0.218709, Len:  4, Fitness_tra: 8
Rule 65: 0345, Class:  2, CF:0.79604, Len:  3, Fitness_tra: 29
Rule 66: 2411, Class:  0, CF:0.483572, Len:  4, Fitness_tra: -4
Rule 67: 3152, Class:  2, CF:0.975093, Len:  4, Fitness_tra: 28
Rule 68: 1631, Class:  1, CF:0.251248, Len:  4, Fitness_tra: 0
Rule 69: 0620, Class:  2, CF:0.493683, Len:  2, Fitness_tra: 0
Rule 70: 5500, Class:  0, CF:0.409909, Len:  2, Fitness_tra: -12
Rule 71: 4065, Class:  0, CF:0.0729791, Len:  3, Fitness_tra: 1
Rule 72: 8400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 0040, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1111, Class:  1, CF:0.131836, Len:  4, Fitness_tra: 0
Rule 75: 5005, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0502, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 5000, Class:  0, CF:0.0160448, Len:  1, Fitness_tra: 0
Rule 78: 2212, Class:  0, CF:0.304555, Len:  4, Fitness_tra: -10
Rule 79: 3266, Class:  0, CF:0.405437, Len:  4, Fitness_tra: 1
Rule 80: 0220, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 0205, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 4216, Class:  0, CF:0.799367, Len:  4, Fitness_tra: 8
Rule 84: 3640, Class:  2, CF:0.681856, Len:  3, Fitness_tra: 11
Rule 85: 0006, Class:  0, CF:0.0957853, Len:  1, Fitness_tra: -1
Rule 86: 0002, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 2203, Class:  0, CF:0.758522, Len:  3, Fitness_tra: 40
Rule 88: 0530, Class:  0, CF:0.507912, Len:  2, Fitness_tra: 3
Rule 89: 0005, Class:  2, CF:0.0193858, Len:  1, Fitness_tra: 2
Rule 90: 5002, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 5664, Class:  0, CF:0.345909, Len:  4, Fitness_tra: 0
Rule 92: 1331, Class:  1, CF:0.294902, Len:  4, Fitness_tra: 6
Rule 93: 0004, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 0500, Class:  0, CF:0.0542067, Len:  1, Fitness_tra: 0
Rule 95: 5004, Class:  0, CF:0.0752615, Len:  2, Fitness_tra: 0
Rule 96: 5060, Class:  0, CF:0.640963, Len:  2, Fitness_tra: 26
Rule 97: 0220, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 050c, Class:  0, CF:0.334392, Len:  2, Fitness_tra: -1
Rule 99: 2135, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 4314, Class:  1, CF:0.155256, Len:  4, Fitness_tra: 6
------Current------
Miss_rate(tra)	:27.7056
------Result------
Miss_rate(tra)	:27.7056
Miss_rate(tst)	:20
ARL				:3.14754

------Generation 1------
Rule  1: 2203, Class:  0, CF:0.758522, Len:  3, Fitness_tra: 30
Rule  2: 0345, Class:  2, CF:0.79604, Len:  3, Fitness_tra: 24
Rule  3: 3152, Class:  2, CF:0.975093, Len:  4, Fitness_tra: 23
Rule  4: 5060, Class:  0, CF:0.640963, Len:  2, Fitness_tra: 28
Rule  5: 3640, Class:  2, CF:0.681856, Len:  3, Fitness_tra: 10
Rule  6: 0620, Class:  2, CF:0.493683, Len:  2, Fitness_tra: 27
Rule  7: 5192, Class:  2, CF:0.536015, Len:  4, Fitness_tra: 7
Rule  8: 6151, Class:  2, CF:0.687539, Len:  4, Fitness_tra: 8
Rule  9: 3111, Class:  1, CF:0.218709, Len:  4, Fitness_tra: 3
Rule 10: 4216, Class:  0, CF:0.799367, Len:  4, Fitness_tra: 8
Rule 11: 3333, Class:  1, CF:0.563732, Len:  4, Fitness_tra: 8
Rule 12: 2431, Class:  0, CF:0.71209, Len:  4, Fitness_tra: 12
Rule 13: 4314, Class:  1, CF:0.155256, Len:  4, Fitness_tra: 6
Rule 14: 199e, Class:  2, CF:0.560435, Len:  4, Fitness_tra: -3
Rule 15: 1331, Class:  1, CF:0.294902, Len:  4, Fitness_tra: 5
Rule 16: 3361, Class:  1, CF:0.443334, Len:  4, Fitness_tra: 5
Rule 17: 15a3, Class:  0, CF:0.964051, Len:  4, Fitness_tra: 3
Rule 18: 0530, Class:  0, CF:0.507912, Len:  2, Fitness_tra: 9
Rule 19: 1415, Class:  2, CF:0.0471512, Len:  4, Fitness_tra: 0
Rule 20: 5506, Class:  0, CF:  1, Len:  3, Fitness_tra: 3
Rule 21: 2161, Class:  0, CF:0.392843, Len:  4, Fitness_tra: 1
Rule 22: 9531, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 23: 0005, Class:  2, CF:0.0193858, Len:  1, Fitness_tra: -9
Rule 24: 5004, Class:  0, CF:0.0752615, Len:  2, Fitness_tra: 4
Rule 25: 1312, Class:  2, CF:0.202077, Len:  4, Fitness_tra: 0
Rule 26: 1931, Class:  0, CF:0.705548, Len:  4, Fitness_tra: 0
Rule 27: 3266, Class:  0, CF:0.405437, Len:  4, Fitness_tra: 1
Rule 28: 4065, Class:  0, CF:0.0729791, Len:  3, Fitness_tra: 2
Rule 29: b112, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 5008, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0205, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1231, Class:  0, CF:0.171967, Len:  4, Fitness_tra: 0
Rule 34: 0600, Class:  2, CF:0.104104, Len:  1, Fitness_tra: -1
Rule 35: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 4e21, Class:  0, CF:0.482814, Len:  4, Fitness_tra: -1
Rule 37: 3433, Class:  1, CF:0.133678, Len:  4, Fitness_tra: 0
Rule 38: 3500, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1133, Class:  1, CF:0.216368, Len:  4, Fitness_tra: 0
Rule 40: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1612, Class:  2, CF:0.309326, Len:  4, Fitness_tra: -1
Rule 42: 2250, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 0060, Class:  0, CF:0.0131601, Len:  1, Fitness_tra: 0
Rule 44: 5020, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 0044, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 6000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 5054, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 6000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 0205, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1136, Class:  1, CF:0.126655, Len:  4, Fitness_tra: 0
Rule 51: 3334, Class:  1, CF:0.116586, Len:  4, Fitness_tra: 0
Rule 52: 4505, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1231, Class:  0, CF:0.171967, Len:  4, Fitness_tra: 0
Rule 54: 0200, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1531, Class:  0, CF:0.60603, Len:  4, Fitness_tra: 1
Rule 56: 1a14, Class:  2, CF:0.0660053, Len:  4, Fitness_tra: 0
Rule 57: 5005, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 5004, Class:  0, CF:0.0752615, Len:  2, Fitness_tra: 0
Rule 59: 3341, Class:  2, CF:0.291297, Len:  4, Fitness_tra: 0
Rule 60: 1141, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 0550, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 0004, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 0522, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 1631, Class:  1, CF:0.251248, Len:  4, Fitness_tra: 0
Rule 66: 0620, Class:  2, CF:0.493683, Len:  2, Fitness_tra: 0
Rule 67: 1133, Class:  1, CF:0.216368, Len:  4, Fitness_tra: 0
Rule 68: 8400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 0040, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 1111, Class:  1, CF:0.131836, Len:  4, Fitness_tra: -1
Rule 71: 5005, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 0502, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 5000, Class:  0, CF:0.0160448, Len:  1, Fitness_tra: 0
Rule 74: 2135, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 0220, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0205, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 0002, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 4003, Class:  0, CF:0.143196, Len:  2, Fitness_tra: 0
Rule 82: 4050, Class:  2, CF:0.080925, Len:  2, Fitness_tra: 2
Rule 83: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0405, Class:  2, CF:0.0105089, Len:  2, Fitness_tra: 0
Rule 85: 2000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 2003, Class:  0, CF:0.409596, Len:  2, Fitness_tra: 2
Rule 88: 15e1, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 5112, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0004, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 6220, Class:  2, CF:0.202731, Len:  3, Fitness_tra: 0
Rule 92: 6011, Class:  1, CF:0.125044, Len:  3, Fitness_tra: 5
Rule 93: 1421, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 5162, Class:  0, CF:0.0598753, Len:  4, Fitness_tra: 0
Rule 95: 8368, Class:  1, CF:0.154915, Len:  4, Fitness_tra: 0
Rule 96: 1469, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 0620, Class:  2, CF:0.493683, Len:  0, Fitness_tra: 0
Rule 98: 1238, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 6105, Class:  2, CF:0.800679, Len:  3, Fitness_tra: 17
Rule100: 500d, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:27.417
------Result------
Miss_rate(tra)	:27.417
Miss_rate(tst)	:12
ARL				:3.28571

------Generation 2------
Rule  1: 2203, Class:  0, CF:0.758522, Len:  3, Fitness_tra: 28
Rule  2: 5060, Class:  0, CF:0.640963, Len:  2, Fitness_tra: 28
Rule  3: 0620, Class:  2, CF:0.493683, Len:  2, Fitness_tra: 26
Rule  4: 0345, Class:  2, CF:0.79604, Len:  3, Fitness_tra: 28
Rule  5: 3152, Class:  2, CF:0.975093, Len:  4, Fitness_tra: 21
Rule  6: 6105, Class:  2, CF:0.800679, Len:  3, Fitness_tra: 8
Rule  7: 2431, Class:  0, CF:0.71209, Len:  4, Fitness_tra: 11
Rule  8: 3640, Class:  2, CF:0.681856, Len:  3, Fitness_tra: 10
Rule  9: 0530, Class:  0, CF:0.507912, Len:  2, Fitness_tra: 9
Rule 10: 6151, Class:  2, CF:0.687539, Len:  4, Fitness_tra: 2
Rule 11: 3333, Class:  1, CF:0.563732, Len:  4, Fitness_tra: 9
Rule 12: 4216, Class:  0, CF:0.799367, Len:  4, Fitness_tra: 6
Rule 13: 5192, Class:  2, CF:0.536015, Len:  4, Fitness_tra: 7
Rule 14: 4314, Class:  1, CF:0.155256, Len:  4, Fitness_tra: 7
Rule 15: 1331, Class:  1, CF:0.294902, Len:  4, Fitness_tra: 8
Rule 16: 3361, Class:  1, CF:0.443334, Len:  4, Fitness_tra: 4
Rule 17: 6011, Class:  1, CF:0.125044, Len:  3, Fitness_tra: 0
Rule 18: 5004, Class:  0, CF:0.0752615, Len:  2, Fitness_tra: 1
Rule 19: 3111, Class:  1, CF:0.218709, Len:  4, Fitness_tra: 4
Rule 20: 5506, Class:  0, CF:  1, Len:  3, Fitness_tra: 3
Rule 21: 15a3, Class:  0, CF:0.964051, Len:  4, Fitness_tra: 3
Rule 22: 2003, Class:  0, CF:0.409596, Len:  2, Fitness_tra: 3
Rule 23: 4065, Class:  0, CF:0.0729791, Len:  3, Fitness_tra: 0
Rule 24: 4050, Class:  2, CF:0.080925, Len:  2, Fitness_tra: 4
Rule 25: 2161, Class:  0, CF:0.392843, Len:  4, Fitness_tra: 1
Rule 26: 9531, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 27: 3266, Class:  0, CF:0.405437, Len:  4, Fitness_tra: 1
Rule 28: 1531, Class:  0, CF:0.60603, Len:  4, Fitness_tra: 1
Rule 29: 1931, Class:  0, CF:0.705548, Len:  4, Fitness_tra: 0
Rule 30: 5008, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0205, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1231, Class:  0, CF:0.171967, Len:  4, Fitness_tra: 0
Rule 34: 500d, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 3433, Class:  1, CF:0.133678, Len:  4, Fitness_tra: 0
Rule 37: 3500, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1133, Class:  1, CF:0.216368, Len:  4, Fitness_tra: 0
Rule 39: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 2250, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
