------Generation 0------
Rule  1: ffa5893d2112a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 3325d19385d81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 2b2525e2e1551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: b3f736e8228d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: f37955231912c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 2c49de5111395, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 717e18213191d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 21121111991c1, Class:  1, CF:  1, Len: 13, Fitness_tra: 55
Rule 52: 694511c135111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 33152115e3128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 1831295151411, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 55: 6915485363542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 1111111151811, Class:  1, CF:0.312487, Len: 13, Fitness_tra: 99
Rule 57: 71b153d191911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 27b81535e1588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 212e8212e53c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 11f1451351123, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 61: 3945225915d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 411121591e1cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1161133512859, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: a94d219131311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 6371111d13552, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 1478c218351c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 13f1151511d8d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: fa65211121151, Class:  0, CF:0.960564, Len: 13, Fitness_tra: 41
Rule 69: 000d00002000d, Class:  0, CF:0.603438, Len:  3, Fitness_tra: 157
Rule 70: 78f1d81813c25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: b562c1e615213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 131435d115111, Class:  1, CF:0.991237, Len: 13, Fitness_tra: 38
Rule 73: 2218415351413, Class:  0, CF:0.423763, Len: 13, Fitness_tra: 4
Rule 74: 221535c116885, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 13f113e311283, Class:  0, CF:0.797095, Len: 13, Fitness_tra: 0
Rule 76: 7561c39911421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 14b515341e595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 317111e191dc8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: b21541335e215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: b1be222d13938, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1533295911521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 1eb918996d128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 17b22f1911878, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 1421555281198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 7221591111592, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: b8317319ec4de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: f13181e521851, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 88: 1c6513191221e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: a925855111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 75679f622c8de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: f9135252291d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 71f2e11121315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 6323311855511, Class:  1, CF:0.960217, Len: 13, Fitness_tra: -1
Rule 94: b1f8115511113, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 95: a54d4191e312c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 72154d9111b15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 1113149d11e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 1131213311219, Class:  0, CF:  1, Len: 13, Fitness_tra: 9
Rule 99: 6915915259925, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 44111d18526d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:81.8519
------Result------
Miss_rate(tra)	:81.8519
Miss_rate(tst)	:65.6566
ARL				:12.5833

------Generation 0------
Rule  1: 000d00002000d, Class:  0, CF:0.603438, Len:  3, Fitness_tra: 157
Rule  2: 1111111151811, Class:  1, CF:0.312487, Len: 13, Fitness_tra: 99
Rule  3: 21121111991c1, Class:  1, CF:  1, Len: 13, Fitness_tra: 55
Rule  4: fa65211121151, Class:  0, CF:0.960564, Len: 13, Fitness_tra: 41
Rule  5: b221158111211, Class:  1, CF:  1, Len: 13, Fitness_tra: 32
Rule  6: 131435d115111, Class:  1, CF:0.991237, Len: 13, Fitness_tra: 38
Rule  7: 1131213311219, Class:  0, CF:  1, Len: 13, Fitness_tra: 9
Rule  8: 28f2233615123, Class:  0, CF:  1, Len: 13, Fitness_tra: 8
Rule  9: 2218415351413, Class:  0, CF:0.423763, Len: 13, Fitness_tra: 4
Rule 10: 11f1451351123, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 11: 7261354121125, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 12: 11212435111d8, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 13: 1831295151411, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 14: ffa5893d2112a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 11b9555581118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 6115291311115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 31621119c2153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 42a7936822199, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 396819e911281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 44111d18526d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 141312e5a5128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: f57111a515d17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 317942e111311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: f345588159dc1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: f111328851525, Class:  0, CF:0.995147, Len: 13, Fitness_tra: 0
Rule 26: 331d29e152211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 472c231331215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 6165a1855551d, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 29: 214ac111a354c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: f12948196151c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: b478c5ede8188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 24b8c83511d22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 2118299139825, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1162566d11199, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 7148d59835311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 742342386512c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1512198911182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: f1b115e939528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 11a1152151811, Class:  1, CF:0.71824, Len: 13, Fitness_tra: 0
Rule 40: b11525939828e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 2cb3721169152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 412153d815191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 216249115e111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 72b1181111e55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 3325d19385d81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 2b2525e2e1551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: b3f736e8228d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: f37955231912c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 2c49de5111395, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 717e18213191d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b411133c82316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 694511c135111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 33152115e3128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 1365921515c51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 6915485363542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 7c111185511d8, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 57: 71b153d191911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 27b81535e1588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 212e8212e53c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 16f21319d84cf, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 3945225915d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 411121591e1cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1161133512859, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: a94d219131311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 6371111d13552, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 1478c218351c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 13f1151511d8d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: b42e121121151, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 69: 4c7371d165942, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 78f1d81813c25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: b562c1e615213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 28a51569621c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1c75d3e1519d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 221535c116885, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 13f113e311283, Class:  0, CF:0.797095, Len: 13, Fitness_tra: 0
Rule 76: 7561c39911421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 14b515341e595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 317111e191dc8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: b21541335e215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: b1be222d13938, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: a1b51c9135512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 1915416531d5c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 69758d1d13187, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 63231c1111911, Class:  0, CF:  1, Len: 13, Fitness_tra: 11
Rule 85: 6e2198559391d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: fe4128e1335bc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1c46c798f1948, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 156d413351721, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 6523211d22112, Class:  1, CF:  1, Len: 13, Fitness_tra: 7
Rule 90: 7138451151229, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 91: 72184d8111215, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 92: 4123149d31e15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: b42e121121151, Class:  1, CF:  1, Len:  0, Fitness_tra: 0
Rule 94: b12525939828e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: f3751529621c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 24c8c88515d12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 75b755321e59c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: f5b219e919d82, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 7268354121413, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule100: b5b515361e235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:81.1728
------Result------
Miss_rate(tra)	:81.1728
Miss_rate(tst)	:63.6364
ARL				:12.6

------Generation 1------
Rule  1: 000d00002000d, Class:  0, CF:0.603438, Len:  3, Fitness_tra: 157
Rule  2: 1111111151811, Class:  1, CF:0.312487, Len: 13, Fitness_tra: 105
Rule  3: 21121111991c1, Class:  1, CF:  1, Len: 13, Fitness_tra: 51
Rule  4: fa65211121151, Class:  0, CF:0.960564, Len: 13, Fitness_tra: 41
Rule  5: 131435d115111, Class:  1, CF:0.991237, Len: 13, Fitness_tra: 38
Rule  6: b221158111211, Class:  1, CF:  1, Len: 13, Fitness_tra: 32
Rule  7: 63231c1111911, Class:  0, CF:  1, Len: 13, Fitness_tra: 11
Rule  8: 1131213311219, Class:  0, CF:  1, Len: 13, Fitness_tra: 9
Rule  9: 28f2233615123, Class:  0, CF:  1, Len: 13, Fitness_tra: 8
Rule 10: 6523211d22112, Class:  1, CF:  1, Len: 13, Fitness_tra: 7
Rule 11: 2218415351413, Class:  0, CF:0.423763, Len: 13, Fitness_tra: 4
Rule 12: 7261354121125, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 13: 11f1451351123, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 14: 11212435111d8, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 15: 1831295151411, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 16: 11b9555581118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 31621119c2153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 42a7936822199, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 396819e911281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 44111d18526d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 141312e5a5128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: f57111a515d17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 317942e111311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: f345588159dc1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: f111328851525, Class:  0, CF:0.995147, Len: 13, Fitness_tra: 0
Rule 26: 331d29e152211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 472c231331215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 6165a1855551d, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 29: 214ac111a354c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: f12948196151c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: b478c5ede8188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 24b8c83511d22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 2118299139825, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1162566d11199, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 7148d59835311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 742342386512c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1512198911182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: f1b115e939528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 11a1152151811, Class:  1, CF:0.71824, Len: 13, Fitness_tra: 0
Rule 40: b11525939828e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 2cb3721169152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 412153d815191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 216249115e111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 72b1181111e55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 3325d19385d81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 2b2525e2e1551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: b3f736e8228d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: f37955231912c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 2c49de5111395, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 717e18213191d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b411133c82316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 694511c135111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 33152115e3128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 1365921515c51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 6915485363542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 7c111185511d8, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 57: 71b153d191911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 27b81535e1588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 212e8212e53c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 16f21319d84cf, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 3945225915d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 411121591e1cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1161133512859, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: a94d219131311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 6371111d13552, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 1478c218351c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 13f1151511d8d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: b42e121121151, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 69: 4c7371d165942, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 78f1d81813c25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: b562c1e615213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 28a51569621c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1c75d3e1519d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 221535c116885, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 13f113e311283, Class:  0, CF:0.797095, Len: 13, Fitness_tra: 0
Rule 76: 7561c39911421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 14b515341e595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 317111e191dc8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: b21541335e215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: b1be222d13938, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 25311319235b5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 1832139981243, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 6523392813591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 412d5d12111e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 1131119311411, Class:  0, CF:0.611256, Len: 13, Fitness_tra: 29
Rule 86: a32111d12d955, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 3aa189695c411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 21a8139915411, Class:  1, CF:  1, Len: 13, Fitness_tra: 6
Rule 89: f6f183e38c113, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 90: 15f185155d111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 117e185151411, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 92: b3f736b3122d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 1111c18515811, Class:  0, CF:0.798633, Len: 13, Fitness_tra: 6
Rule 94: 231d29e115111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 2e4521e1325bc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: b62215811b21f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: f12115e911528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: b1be485613538, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 8488923d13d28, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: f3751529e2585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:79.0123
------Result------
Miss_rate(tra)	:79.0123
Miss_rate(tst)	:59.596
ARL				:12.6154

------Generation 2------
Rule  1: 000d00002000d, Class:  0, CF:0.603438, Len:  3, Fitness_tra: 157
Rule  2: 1111111151811, Class:  1, CF:0.312487, Len: 13, Fitness_tra: 96
Rule  3: 21121111991c1, Class:  1, CF:  1, Len: 13, Fitness_tra: 28
Rule  4: fa65211121151, Class:  0, CF:0.960564, Len: 13, Fitness_tra: 41
Rule  5: 131435d115111, Class:  1, CF:0.991237, Len: 13, Fitness_tra: 35
Rule  6: b221158111211, Class:  1, CF:  1, Len: 13, Fitness_tra: 32
Rule  7: 1131119311411, Class:  0, CF:0.611256, Len: 13, Fitness_tra: 29
Rule  8: 63231c1111911, Class:  0, CF:  1, Len: 13, Fitness_tra: 11
Rule  9: 1131213311219, Class:  0, CF:  1, Len: 13, Fitness_tra: 9
Rule 10: 28f2233615123, Class:  0, CF:  1, Len: 13, Fitness_tra: 6
Rule 11: 6523211d22112, Class:  1, CF:  1, Len: 13, Fitness_tra: 7
Rule 12: 1111c18515811, Class:  0, CF:0.798633, Len: 13, Fitness_tra: 6
Rule 13: 21a8139915411, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: 2218415351413, Class:  0, CF:0.423763, Len: 13, Fitness_tra: 4
Rule 15: 11f1451351123, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 16: 7261354121125, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
