------Generation 0------
Rule  1: f6f871e3581d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 13b9c5151d555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000d0050a000d, Class:  0, CF:  1, Len:  4, Fitness_tra: 5
Rule 29: 1a3191119e1cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 3613d12552511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 6111151d21315, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 32: 4531112151111, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 33: 3e61151315113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: b8f91d1d11151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: a54d111e19511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 281915111d118, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: 1361111351c81, Class:  0, CF:0.977819, Len: 13, Fitness_tra: -7
Rule 38: 11624e1311421, Class:  0, CF:0.999976, Len: 13, Fitness_tra: 2
Rule 39: b13823e111219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1513c2e56d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 33639118915cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 78325321d1d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 0009800000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 38
Rule 44: 7131311551281, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 45: 1111439e3e121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 24b114e165e7c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: f31818c191551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 48: 614622151e15d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: f6f5231931c83, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: af11129289151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 21613515595b3, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 52: 21a6551523581, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 53: 41b312d135613, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: faf7131121153, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 55: 0000403300020, Class:  0, CF:0.999738, Len:  4, Fitness_tra: 55
Rule 56: b815111881121, Class:  1, CF:  1, Len: 13, Fitness_tra: 7
Rule 57: 317511253113c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 74b3241831911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: b7118532e19c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 31b5c13d15111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: b233d58583111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 1aa9555583159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 114211151d311, Class:  1, CF:  1, Len: 13, Fitness_tra: 39
Rule 64: b47233e211135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 612511e93d125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 3119223531581, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 67: 11a22a1528113, Class:  1, CF:0.986938, Len: 13, Fitness_tra: 43
Rule 68: 1329c15d13541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: b13558555911e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 6f618139c1553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 113d2591314c5, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 72: 75311d1513943, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 33b8156191588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1831111545225, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 75: 75175f624c211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 11b6119d13315, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 77: 4441181251512, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 78: 7531811156215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 3db116321119a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: a161411ee8459, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 11a1111311111, Class:  0, CF:0.954399, Len: 13, Fitness_tra: -59
Rule 82: 484672d393151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 42f1332111315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: b421391451131, Class:  1, CF:  1, Len: 13, Fitness_tra: 10
Rule 85: 1a178f1318d21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 6332116951213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: a1a8e5213e518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: f61911115272e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 69b1459565145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 12b183dc15391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 4475c51d35d18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 21a21252d5151, Class:  1, CF:0.726009, Len: 13, Fitness_tra: 6
Rule 93: b1112758ae14c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: b443451d95592, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 0000800000840, Class:  0, CF:0.923832, Len:  3, Fitness_tra: 477
Rule 96: 11a521e3d5129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 3eb95c118d958, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 1812135151311, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 99: 11a3511851821, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule100: f11d21393151c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
------Current------
Miss_rate(tra)	:50.6173
------Result------
Miss_rate(tra)	:50.6173
Miss_rate(tst)	:30.303
ARL				:11.9167

------Generation 0------
Rule  1: f6f871e3581d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 447a475833e4c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: a63158851d183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: feb1cc9531145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: b5a1518851dd5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 7173141515119, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  7: a3411111d315c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 4518d81181153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 19ab163121515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: b1ac155112851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1873415dee615, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1e154c1565111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: a94e115185555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 13358311d1421, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: f1f11111511c9, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 313119111571e, Class:  0, CF:0.761175, Len: 13, Fitness_tra: 0
Rule 17: 11ad388111211, Class:  0, CF:0.929728, Len: 13, Fitness_tra: -1
Rule 18: 24189531551e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: a97121913111c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1271d21191315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 727628313d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: f12d1565991c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 6525811181136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: a131191355213, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 25: 634585113112c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: a5b128ed35118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 13b9c5151d555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000d0050a000d, Class:  0, CF:  1, Len:  4, Fitness_tra: 5
Rule 29: 1a3191119e1cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 3613d12552511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 6111151d21315, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 32: 4531112151111, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 33: 3e61151315113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: b8f91d1d11151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: a54d111e19511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 281915111d118, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: 1361111351c81, Class:  0, CF:0.977819, Len: 13, Fitness_tra: -7
Rule 38: 11624e1311421, Class:  0, CF:0.999976, Len: 13, Fitness_tra: 2
Rule 39: b13823e111219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1513c2e56d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 33639118915cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 78325321d1d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 0009800000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 38
Rule 44: 7131311551281, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 45: 1111439e3e121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 24b114e165e7c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: f31818c191551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 48: 614622151e15d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: f6f5231931c83, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: af11129289151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 21613515595b3, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 52: 21a6551523581, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 53: 41b312d135613, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: faf7131121153, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 55: 0000403300020, Class:  0, CF:0.999738, Len:  4, Fitness_tra: 55
Rule 56: b815111881121, Class:  1, CF:  1, Len: 13, Fitness_tra: 7
Rule 57: 317511253113c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 74b3241831911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: b7118532e19c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 31b5c13d15111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: b233d58583111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 1aa9555583159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 114211151d311, Class:  1, CF:  1, Len: 13, Fitness_tra: 39
Rule 64: b47233e211135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 612511e93d125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 3119223531581, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 67: 11a22a1528113, Class:  1, CF:0.986938, Len: 13, Fitness_tra: 43
Rule 68: 1329c15d13541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: b13558555911e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 6f618139c1553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 113d2591314c5, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 72: 75311d1513943, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 33b8156191588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1831111545225, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 75: 75175f624c211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 11b6119d13315, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 77: 4441181251512, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 78: 7531811156215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 3db116321119a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: a161411ee8459, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 11a1111311111, Class:  0, CF:0.954399, Len: 13, Fitness_tra: -59
Rule 82: 484672d393151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 42f1332111315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: b421391451131, Class:  1, CF:  1, Len: 13, Fitness_tra: 10
Rule 85: 1a178f1318d21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 6332116951213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: a1a8e5213e518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: f61911115272e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 69b1459565145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 12b183dc15391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 4475c51d35d18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 21a21252d5151, Class:  1, CF:0.726009, Len: 13, Fitness_tra: 6
Rule 93: b1112758ae14c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: b443451d95592, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 0000800000840, Class:  0, CF:0.923832, Len:  3, Fitness_tra: 477
Rule 96: 11a521e3d5129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 3eb95c118d958, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 1812135151311, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 99: 11a3511851821, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule100: f11d21393151c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
------Current------
Miss_rate(tra)	:50.6173
------Result------
Miss_rate(tra)	:50.6173
Miss_rate(tst)	:30.303
ARL				:11.9167

------Generation 1------
Rule  1: f6f871e3581d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 447a475833e4c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: a63158851d183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: feb1cc9531145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: b5a1518851dd5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 7173141515119, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  7: a3411111d315c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 4518d81181153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 19ab163121515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: b1ac155112851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1873415dee615, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1e154c1565111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: a94e115185555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 13358311d1421, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: f1f11111511c9, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 313119111571e, Class:  0, CF:0.761175, Len: 13, Fitness_tra: 0
Rule 17: 11ad388111211, Class:  0, CF:0.929728, Len: 13, Fitness_tra: -1
Rule 18: 24189531551e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: a97121913111c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1271d21191315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 727628313d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: f12d1565991c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 6525811181136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: a131191355213, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 25: 634585113112c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: a5b128ed35118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 13b9c5151d555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000d0050a000d, Class:  0, CF:  1, Len:  4, Fitness_tra: 5
Rule 29: 1a3191119e1cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 3613d12552511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 6111151d21315, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 32: 4531112151111, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 33: 3e61151315113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: b8f91d1d11151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: a54d111e19511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 281915111d118, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: 1361111351c81, Class:  0, CF:0.977819, Len: 13, Fitness_tra: -7
Rule 38: 11624e1311421, Class:  0, CF:0.999976, Len: 13, Fitness_tra: 2
Rule 39: b13823e111219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1513c2e56d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 33639118915cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 78325321d1d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 0009800000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 38
Rule 44: 7131311551281, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 45: 1111439e3e121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 24b114e165e7c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: f31818c191551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 48: 614622151e15d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: f6f5231931c83, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: af11129289151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 21613515595b3, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 52: 21a6551523581, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 53: 41b312d135613, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: faf7131121153, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 55: 0000403300020, Class:  0, CF:0.999738, Len:  4, Fitness_tra: 55
Rule 56: b815111881121, Class:  1, CF:  1, Len: 13, Fitness_tra: 7
Rule 57: 317511253113c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 74b3241831911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: b7118532e19c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 31b5c13d15111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: b233d58583111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 1aa9555583159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 114211151d311, Class:  1, CF:  1, Len: 13, Fitness_tra: 39
Rule 64: b47233e211135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 612511e93d125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 3119223531581, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 67: 11a22a1528113, Class:  1, CF:0.986938, Len: 13, Fitness_tra: 43
Rule 68: 1329c15d13541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: b13558555911e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 6f618139c1553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 113d2591314c5, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 72: 75311d1513943, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 33b8156191588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1831111545225, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 75: 75175f624c211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 11b6119d13315, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 77: 4441181251512, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 78: 7531811156215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 3db116321119a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: a161411ee8459, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 11a1111311111, Class:  0, CF:0.954399, Len: 13, Fitness_tra: -59
Rule 82: 484672d393151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 42f1332111315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: b421391451131, Class:  1, CF:  1, Len: 13, Fitness_tra: 10
Rule 85: 1a178f1318d21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 6332116951213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: a1a8e5213e518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: f61911115272e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 69b1459565145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 12b183dc15391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 4475c51d35d18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 21a21252d5151, Class:  1, CF:0.726009, Len: 13, Fitness_tra: 6
Rule 93: b1112758ae14c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: b443451d95592, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 0000800000840, Class:  0, CF:0.923832, Len:  3, Fitness_tra: 477
Rule 96: 11a521e3d5129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 3eb95c118d958, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 1812135151311, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 99: 11a3511851821, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule100: f11d21393151c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
------Current------
Miss_rate(tra)	:50.6173
------Result------
Miss_rate(tra)	:50.6173
Miss_rate(tst)	:30.303
ARL				:11.9167

------Generation 2------
Rule  1: 0000800000840, Class:  0, CF:0.923832, Len:  3, Fitness_tra: 471
Rule  2: 0000403300020, Class:  0, CF:0.999738, Len:  4, Fitness_tra: 54
Rule  3: 11a22a1528113, Class:  1, CF:0.986938, Len: 13, Fitness_tra: 40
Rule  4: 114211151d311, Class:  1, CF:  1, Len: 13, Fitness_tra: 39
Rule  5: 0009800000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 38
Rule  6: b421391451131, Class:  1, CF:  1, Len: 13, Fitness_tra: 8
Rule  7: b815111881121, Class:  1, CF:  1, Len: 13, Fitness_tra: 7
Rule  8: 21a21252d5151, Class:  1, CF:0.726009, Len: 13, Fitness_tra: 1
Rule  9: 000d0050a000d, Class:  0, CF:  1, Len:  4, Fitness_tra: 5
Rule 10: 4531112151111, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 11: 6111151d21315, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 12: 11624e1311421, Class:  0, CF:0.999976, Len: 13, Fitness_tra: 2
Rule 13: 21613515595b3, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: 4441181251512, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 15: 7131311551281, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 16: f6f871e3581d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
