------Generation 0------
Rule  1: 12f12981215c5, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 43: f5188dad31112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: a1b88d1983121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 21197cd963318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 123841ef93259, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: b17f7412a1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 39191155e1951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 33ac2e1631855, Class:  0, CF:  1, Len: 13, Fitness_tra: 8
Rule 50: b7731b9515321, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 51: 000cdc0900030, Class:  0, CF:  1, Len:  5, Fitness_tra: 2
Rule 52: 1175ee8151631, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: aa15d51151121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: f37e725139518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1661c93151121, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 56: 63792c1d11118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 181125569d415, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: f628e2115e11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 2138551551551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 71a2299133155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 18a541135512d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 78217c3331ed8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 78a1111631443, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 211d1d369e221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 13a1151111811, Class:  0, CF:0.651293, Len: 13, Fitness_tra: 69
Rule 66: 16321d1d11223, Class:  1, CF:0.870841, Len: 13, Fitness_tra: 27
Rule 67: 253d2151517c5, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 68: 74217b1daee75, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: f541181115511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 70: 137511c51115c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 71bd21681793a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: b41c2d1138181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 4bbcc351395c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 45143a12721ed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 2473c411f51bc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1c15111111171, Class:  1, CF:  1, Len: 13, Fitness_tra: 21
Rule 77: 3e11315d1d551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: a3f1111215119, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 79: b831491351115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1635191158151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 81: 11f1293191211, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 82: 48a1111d31111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: f6181e39d8226, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: b222c11e11181, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 85: 4179bcd1159d8, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 86: 11fd159a95151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 71f51d31d1318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: a5b9121855151, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 89: 1e72115523912, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 3d11231155119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: fe41c29569311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 2118439153283, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: a1b1328591111, Class:  1, CF:  1, Len: 13, Fitness_tra: 4
Rule 94: b2f1d11126815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 111e31c53113c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 96: 11f1c1e51c821, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule 97: 1af5c1e181c51, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 98: aaf11169c8c56, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 3a61311131221, Class:  0, CF:0.999994, Len: 13, Fitness_tra: 22
Rule100: 221188985d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:65.1852
------Result------
Miss_rate(tra)	:65.1852
Miss_rate(tst)	:59.596
ARL				:12.3214

------Generation 0------
Rule  1: 12f12981215c5, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  2: 242a482d3331d, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule  3: 0e00400000000, Class:  0, CF:0.34141, Len:  2, Fitness_tra: 34
Rule  4: fe72215153118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 13a1211e12181, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule  6: 1d1115255513d, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  7: 1175211182dea, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: bc11413313311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: f1411122883e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 11a82e1118111, Class:  0, CF:0.9494, Len: 13, Fitness_tra: -3
Rule 11: 22f819e311119, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule 12: 7111131e98c89, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1921811311d85, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 18f5dd5181815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 4563558511113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 3615355d8d181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: a975213333518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: a61135821ed51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 7cb5e5e415331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 36a598c533112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1149511311252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 361dd5d352856, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: f3b51819331c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1141d8d25515d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 45f1493338481, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 6af1952199881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 2df1d11175131, Class:  0, CF:  1, Len: 13, Fitness_tra: 20
Rule 28: 1138d5395528e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: a379759d33318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: a349515225131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: b532499311729, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 11f8119151119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 18a12996991d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1a614de911719, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 334e185321d12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 13f1111911515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: f945d91111251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b11341dd69e28, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3a31121c591de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 71bed1e231311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 6e7d1155159c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 281dcd3535c29, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: f5188dad31112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: a1b88d1983121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 21197cd963318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 123841ef93259, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: b17f7412a1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 39191155e1951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 33ac2e1631855, Class:  0, CF:  1, Len: 13, Fitness_tra: 8
Rule 50: b7731b9515321, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 51: 000cdc0900030, Class:  0, CF:  1, Len:  5, Fitness_tra: 2
Rule 52: 1175ee8151631, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: aa15d51151121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: f37e725139518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1661c93151121, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 56: 63792c1d11118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 181125569d415, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: f628e2115e11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 2138551551551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 71a2299133155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 18a541135512d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 78217c3331ed8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 78a1111631443, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 211d1d369e221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 13a1151111811, Class:  0, CF:0.651293, Len: 13, Fitness_tra: 69
Rule 66: 16321d1d11223, Class:  1, CF:0.870841, Len: 13, Fitness_tra: 27
Rule 67: 253d2151517c5, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 68: 74217b1daee75, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: f541181115511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 70: 137511c51115c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 71bd21681793a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: b41c2d1138181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 4bbcc351395c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 45143a12721ed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 2473c411f51bc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1c15111111171, Class:  1, CF:  1, Len: 13, Fitness_tra: 21
Rule 77: 3e11315d1d551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: a3f1111215119, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 79: b831491351115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1635191158151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 81: 11f1293191211, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 82: 48a1111d31111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: f6181e39d8226, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: b222c11e11181, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 85: 4179bcd1159d8, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 86: 11fd159a95151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 71f51d31d1318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: a5b9121855151, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 89: 1e72115523912, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 3d11231155119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: fe41c29569311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 2118439153283, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: a1b1328591111, Class:  1, CF:  1, Len: 13, Fitness_tra: 4
Rule 94: b2f1d11126815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 111e31c53113c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 96: 11f1c1e51c821, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule 97: 1af5c1e181c51, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 98: aaf11169c8c56, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 3a61311131221, Class:  0, CF:0.999994, Len: 13, Fitness_tra: 22
Rule100: 221188985d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:65.1852
------Result------
Miss_rate(tra)	:65.1852
Miss_rate(tst)	:59.596
ARL				:12.3214

------Generation 1------
Rule  1: 13a1151111811, Class:  0, CF:0.651293, Len: 13, Fitness_tra: 71
Rule  2: 0e00400000000, Class:  0, CF:0.34141, Len:  2, Fitness_tra: 34
Rule  3: 16321d1d11223, Class:  1, CF:0.870841, Len: 13, Fitness_tra: 26
Rule  4: 3a61311131221, Class:  0, CF:0.999994, Len: 13, Fitness_tra: 21
Rule  5: 1c15111111171, Class:  1, CF:  1, Len: 13, Fitness_tra: 20
Rule  6: 2df1d11175131, Class:  0, CF:  1, Len: 13, Fitness_tra: 13
Rule  7: 33ac2e1631855, Class:  0, CF:  1, Len: 13, Fitness_tra: 8
Rule  8: 22f819e311119, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule  9: 11f1c1e51c821, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule 10: a1b1328591111, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 11: 000cdc0900030, Class:  0, CF:  1, Len:  5, Fitness_tra: 2
Rule 12: 253d2151517c5, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 13: 1af5c1e181c51, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: a3f1111215119, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 15: b222c11e11181, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 16: b7731b9515321, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 17: 13a1211e12181, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 18: 242a482d3331d, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 19: 12f12981215c5, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 20: 36a598c533112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1149511311252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 361dd5d352856, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: f3b51819331c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1141d8d25515d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 45f1493338481, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 6af1952199881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1d1115255513d, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 28: 1138d5395528e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: a379759d33318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: a349515225131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: b532499311729, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 11f8119151119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 18a12996991d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1a614de911719, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 334e185321d12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 13f1111911515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: f945d91111251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b11341dd69e28, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3a31121c591de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 71bed1e231311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 6e7d1155159c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 281dcd3535c29, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: f5188dad31112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: a1b88d1983121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 21197cd963318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 123841ef93259, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: b17f7412a1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 39191155e1951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1175211182dea, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: bc11413313311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: f1411122883e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1175ee8151631, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: aa15d51151121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: f37e725139518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1661c93151121, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 56: 63792c1d11118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 181125569d415, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: f628e2115e11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 2138551551551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 71a2299133155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 18a541135512d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 78217c3331ed8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 78a1111631443, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 211d1d369e221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 221188985d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: fe72215153118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 7111131e98c89, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 74217b1daee75, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: f541181115511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 70: 137511c51115c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 71bd21681793a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: b41c2d1138181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 4bbcc351395c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 45143a12721ed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 2473c411f51bc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1921811311d85, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 3e11315d1d551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 18f5dd5181815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: b831491351115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1635191158151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 81: b1f131c15132d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 74b281ed68d22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 1411133111225, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 84: 35211265a11c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 18f1938119111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 7565811338129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 3eb2151135112, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 88: 4c11c23215e13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 42121d292d515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 25f2131131213, Class:  0, CF:  1, Len: 13, Fitness_tra: 25
Rule 91: 4bac231e39182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 3660311151221, Class:  1, CF:0.311581, Len: 12, Fitness_tra: 51
Rule 93: a5b83d8531112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 0230410900056, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: d175251181db1, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 96: 253d111111b71, Class:  0, CF:0.906948, Len: 13, Fitness_tra: 21
Rule 97: b10f640201136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 4bbcc35139932, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 1371219d52081, Class:  1, CF:  1, Len: 12, Fitness_tra: 0
Rule100: 0e0140d205100, Class:  1, CF:0.275434, Len:  7, Fitness_tra: 0
------Current------
Miss_rate(tra)	:61.8519
------Result------
Miss_rate(tra)	:61.8519
Miss_rate(tst)	:50.5051
ARL				:12.129

------Generation 2------
Rule  1: 13a1151111811, Class:  0, CF:0.651293, Len: 13, Fitness_tra: 71
Rule  2: 0e00400000000, Class:  0, CF:0.34141, Len:  2, Fitness_tra: 34
Rule  3: 16321d1d11223, Class:  1, CF:0.870841, Len: 13, Fitness_tra: 26
Rule  4: 3a61311131221, Class:  0, CF:0.999994, Len: 13, Fitness_tra: 21
Rule  5: 1c15111111171, Class:  1, CF:  1, Len: 13, Fitness_tra: 20
Rule  6: 2df1d11175131, Class:  0, CF:  1, Len: 13, Fitness_tra: 13
Rule  7: 33ac2e1631855, Class:  0, CF:  1, Len: 13, Fitness_tra: 8
Rule  8: 22f819e311119, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule  9: 11f1c1e51c821, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule 10: a1b1328591111, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 11: 000cdc0900030, Class:  0, CF:  1, Len:  5, Fitness_tra: 2
Rule 12: 253d2151517c5, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 13: 1af5c1e181c51, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: a3f1111215119, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
