------Generation 0------
Rule  1: 15f18a6312851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 11ad915816dd1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 4271553281e5e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 692318691d5cc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 61152111f3d4c, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 63: fe7935c21195c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 213d233e18111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 65: 12b1cc1535128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 281c31151131c, Class:  0, CF:0.751881, Len: 13, Fitness_tra: 4
Rule 67: 21f513e96818e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 14be7411e3658, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 2422e918d3151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: a623481569d18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: a328328513911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1d3152d1d5823, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1b42556d1d915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: a14d1139a19c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: f941223311511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 411d191989121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: f3a1211112c1e, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 78: 2df2157355175, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 1b22233ed9242, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1e781d5251935, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1915112815552, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 7c6269c823e51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: f121881da1942, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 31f819e111211, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 85: a3b1522151511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 1821711d33158, Class:  0, CF:0.227022, Len: 13, Fitness_tra: -1
Rule 87: 24114f1e91c45, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: bd62c13333219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 3929189369311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 1172315519115, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 91: 11b1513295118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 4532115951321, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 93: 31a2216351c83, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule 94: 19b1811d85155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 25671321c1378, Class:  0, CF:  1, Len: 13, Fitness_tra: 9
Rule 96: b474165595225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 1ca51d2885118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 11ad358221d58, Class:  0, CF:  1, Len: 13, Fitness_tra: 12
Rule 99: 423191522111c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 3521951851112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:87.716
------Result------
Miss_rate(tra)	:87.716
Miss_rate(tst)	:78.7879
ARL				:11.4643

------Generation 0------
Rule  1: 0000305000000, Class:  1, CF:0.838756, Len:  2, Fitness_tra: 537
Rule  2: 0e0dc00000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 67
Rule  3: 0000500000e50, Class:  0, CF:  1, Len:  3, Fitness_tra: 21
Rule  4: 11ad358221d58, Class:  0, CF:  1, Len: 13, Fitness_tra: 10
Rule  5: 25671321c1378, Class:  0, CF:  1, Len: 13, Fitness_tra: 9
Rule  6: 2114133658811, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule  7: 31a2216351c83, Class:  0, CF:  1, Len: 13, Fitness_tra: 10
Rule  8: 63a1318151115, Class:  0, CF:0.196776, Len: 13, Fitness_tra: 10
Rule  9: 281c31151131c, Class:  0, CF:0.751881, Len: 13, Fitness_tra: 4
Rule 10: 61152111f3d4c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: f3a1211112c1e, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 12: 1921851d13341, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 13: 7115311285e28, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 14: 15f18a6312851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1da15121c9945, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: bcf579e391121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 74b12ee3e1512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 111221e525826, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: 21be418dee198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 6e73459519512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 3a18ceee91151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 714c811193815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 69b2111831315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 22f1259e11473, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 25: 36a8d31322c15, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 26: 15b955111155c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 2c3d451938c59, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 33498525111d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 78a3111d135c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 71292c2525d12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 43f2133942111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 75f21151de141, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 33: 1511111513158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: a6a92391ec421, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 35: 3521951851112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 75f111595518c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1a1216152c226, Class:  0, CF:0.975816, Len: 13, Fitness_tra: 0
Rule 38: 2ca2c5318e71d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3a119d9921281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 7162d11575899, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 7231433915215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 351155dc81135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 11f216611c813, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: f1434815e9118, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 45: 71b153e281119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 1b75c199e3521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 114181d258515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 151d13e155159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 117322353e915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 3a18411ed2c81, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 7216211211115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 6e1c1565e981c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 12282d619d51c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 483c352951d12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: b128d11111951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 7b12cd3595511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: b818119333181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1172e15151115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 11ad915816dd1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 4271553281e5e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 692318691d5cc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: b5f57551334d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: fe7935c21195c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 213d233e18111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 65: 12b1cc1535128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 22455118153d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 21f513e96818e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 14be7411e3658, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 2422e918d3151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: a623481569d18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: a328328513911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1d3152d1d5823, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1b42556d1d915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: a14d1139a19c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: f941223311511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 411d191989121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 4429911881e53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 2df2157355175, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 1b22233ed9242, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1e781d5251935, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1561158156511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: b1182ee1e1c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 2275119531325, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 3141411933188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 74461198133bc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 3eb11152d1115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 27b11a5151828, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: b13151811e552, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 13434199a5db5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 3118d19181521, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule 91: b1a8d31111c55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 24a1239e91475, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 11a1351213d48, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 94: 1a3296c52c316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: f141111281e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 6e281265e971c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 2e192c251131c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 98: 0010105105b59, Class:  0, CF:  1, Len:  8, Fitness_tra: 3
Rule 99: 78a3113d332c9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: a1bd1132819c9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:85.7407
------Result------
Miss_rate(tra)	:85.7407
Miss_rate(tst)	:77.7778
ARL				:11.6667

------Generation 1------
Rule  1: 0000305000000, Class:  1, CF:0.838756, Len:  2, Fitness_tra: 537
Rule  2: 0e0dc00000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 67
Rule  3: 0000500000e50, Class:  0, CF:  1, Len:  3, Fitness_tra: 21
Rule  4: 11ad358221d58, Class:  0, CF:  1, Len: 13, Fitness_tra: 10
Rule  5: 63a1318151115, Class:  0, CF:0.196776, Len: 13, Fitness_tra: 10
Rule  6: 31a2216351c83, Class:  0, CF:  1, Len: 13, Fitness_tra: 10
Rule  7: 25671321c1378, Class:  0, CF:  1, Len: 13, Fitness_tra: 9
Rule  8: 11a1351213d48, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule  9: f3a1211112c1e, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 10: 2114133658811, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 11: 281c31151131c, Class:  0, CF:0.751881, Len: 13, Fitness_tra: 4
Rule 12: 3118d19181521, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule 13: 0010105105b59, Class:  0, CF:  1, Len:  8, Fitness_tra: 3
Rule 14: 1921851d13341, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 15: 7115311285e28, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 16: 36a8d31322c15, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 17: 1da15121c9945, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 111221e525826, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: 21be418dee198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 6e73459519512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 3a18ceee91151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 714c811193815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 69b2111831315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 22f1259e11473, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 25: bcf579e391121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 15b955111155c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 2c3d451938c59, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 33498525111d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 78a3111d135c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 71292c2525d12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 43f2133942111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 75f21151de141, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 33: 1511111513158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: a6a92391ec421, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 35: 3521951851112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 75f111595518c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1a1216152c226, Class:  0, CF:0.975816, Len: 13, Fitness_tra: 0
Rule 38: 2ca2c5318e71d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3a119d9921281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 7162d11575899, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 7231433915215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 351155dc81135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 11f216611c813, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: f1434815e9118, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 45: 71b153e281119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 1b75c199e3521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 114181d258515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 151d13e155159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 117322353e915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 3a18411ed2c81, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 7216211211115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 6e1c1565e981c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 12282d619d51c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 483c352951d12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: b128d11111951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 7b12cd3595511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: b818119333181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1172e15151115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 11ad915816dd1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 4271553281e5e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 692318691d5cc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: b5f57551334d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: fe7935c21195c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 213d233e18111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 65: 12b1cc1535128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 22455118153d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 21f513e96818e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 14be7411e3658, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 2422e918d3151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: a623481569d18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: a328328513911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1d3152d1d5823, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1b42556d1d915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: a14d1139a19c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: f941223311511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 411d191989121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 4429911881e53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 2df2157355175, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 1b22233ed9242, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1e781d5251935, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 7111211322151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 1773d114d3c55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 18611d9a33183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 69732215139c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 3a3512992dc53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 147d531122d13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 3145928d89d31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 25a13315d5581, Class:  1, CF:0.619956, Len: 13, Fitness_tra: -3
Rule 89: 3161515d18181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 124617356514c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 427155e25515e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: a3a31135139c9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 2c85d1318e72d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 78f3117153245, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 2114113651821, Class:  0, CF:  1, Len: 13, Fitness_tra: 6
Rule 96: 75111199d1941, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 3eb91152d1e15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 1529551e19542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 117d258221d53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 112322ae3b945, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:85.4938
------Result------
Miss_rate(tra)	:85.4938
Miss_rate(tst)	:75.7576
ARL				:11.6667

------Generation 2------
Rule  1: 0000305000000, Class:  1, CF:0.838756, Len:  2, Fitness_tra: 603
Rule  2: 0e0dc00000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 12
Rule  3: 0000500000e50, Class:  0, CF:  1, Len:  3, Fitness_tra: 1
Rule  4: 11ad358221d58, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  5: 63a1318151115, Class:  0, CF:0.196776, Len: 13, Fitness_tra: 0
Rule  6: 31a2216351c83, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  7: 25671321c1378, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule  8: 11a1351213d48, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: f3a1211112c1e, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 10: 2114113651821, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: 281c31151131c, Class:  0, CF:0.751881, Len: 13, Fitness_tra: 0
Rule 12: 3118d19181521, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 13: 2114133658811, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: 0010105105b59, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
