------Generation 0------
Rule  1: 1213c4ed6117c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 2229de5cc2531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 4c11c11519111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 7c35911119dd1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 6971211855115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 6e12d1d155112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 45f1459119115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: b5a15122c1e18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1111c1199125e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: faf5416114183, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule 45: 7876441111e1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 11a4136248151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 47: f615158d81589, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 331859ee28151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 724511e81511c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 28f5153531125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 426b111513148, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 61711d136515c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 2cf1331113311, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule 54: 72a82d5315211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 2c414c5531638, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 41b9111c25919, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: a111211d19158, Class:  1, CF:  1, Len: 13, Fitness_tra: 7
Rule 58: f33821613cc5e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 15a1219e55411, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 60: 336515811dd53, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 61: 3d45161222d33, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 4715d1812183d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: a17731325551d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: aa628ee58121a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 2c1a1b95391b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: af31211d4c853, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 67: 4168713fdd215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 3f61322155111, Class:  1, CF:0.976753, Len: 13, Fitness_tra: 79
Rule 69: 1d311a32185e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 7112c1e111175, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 24b6181d61312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: f31d3121212c6, Class:  0, CF:0.207814, Len: 13, Fitness_tra: 14
Rule 73: b17181d231121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 4135312141e55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 71a829e391181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 48a8b6191c1d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 6e7d585e11852, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 11731c3915e1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 47b5219161321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 216518dd13521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 41684111592c1, Class:  1, CF:  1, Len: 13, Fitness_tra: 16
Rule 82: a3b115d51d521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: ff3551518dc11, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule 84: 14b1d21c1c918, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 0000b03050020, Class:  0, CF:0.891604, Len:  4, Fitness_tra: 40
Rule 86: 3178e12591528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 657dcc9361948, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 123311c121125, Class:  0, CF:0.985401, Len: 13, Fitness_tra: 14
Rule 89: 63f2918111158, Class:  0, CF:  1, Len: 13, Fitness_tra: 6
Rule 90: 1446221119958, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 22751c92152d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 2276245d611d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 723cc99a19419, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 214513d5d133d, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 95: 49a45a157251d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 4268181125521, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 97: a125113515542, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 98: f1fde111d55ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 4226c21111912, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 3941c51169948, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:83.2716
------Result------
Miss_rate(tra)	:83.2716
Miss_rate(tst)	:68.6869
ARL				:12.625

------Generation 0------
Rule  1: 1213c4ed6117c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 7175181111938, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 7cb1515111231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 3e23111155512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 391d51d955512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: af1b8339118d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1919d5dd15591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: a1223981111e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 551111531351d, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 10: 31112511192d1, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 11: 7131d51123129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 4158c353d9c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: f1a58211d3859, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: a348151dee888, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 28a5211a9eb89, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: f9225a15d1226, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 3a3d1dd51d126, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 18: b441581d15d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 4ca1189312213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 2121419113118, Class:  1, CF:0.37242, Len: 13, Fitness_tra: 109
Rule 21: 12783e1883111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 4126129c95511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 222378113ee11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 72f5b9e1182de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 33151895f3148, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1325289331111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: b741165331c4d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 2d12533125211, Class:  0, CF:  1, Len: 13, Fitness_tra: 46
Rule 29: 722381526538d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1c21131812511, Class:  0, CF:0.580508, Len: 13, Fitness_tra: 21
Rule 31: 1131938111182, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 32: a571511555121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 31f11e318188a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: f171821da9315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 41f151818d111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 2229de5cc2531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 4c11c11519111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 7c35911119dd1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 6971211855115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 6e12d1d155112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 45f1459119115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: b5a15122c1e18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1111c1199125e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: faf5416114183, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule 45: 7876441111e1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 11a4136248151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 47: f615158d81589, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 331859ee28151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 724511e81511c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 28f5153531125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 426b111513148, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 61711d136515c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 2cf1331113311, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule 54: 72a82d5315211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 2c414c5531638, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 41b9111c25919, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: a111211d19158, Class:  1, CF:  1, Len: 13, Fitness_tra: 7
Rule 58: f33821613cc5e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 15a1219e55411, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 60: 336515811dd53, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 61: 3d45161222d33, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 4715d1812183d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: a17731325551d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: aa628ee58121a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 2c1a1b95391b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: af31211d4c853, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 67: 4168713fdd215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 3f61322155111, Class:  1, CF:0.976753, Len: 13, Fitness_tra: 79
Rule 69: 1d311a32185e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 7112c1e111175, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 24b6181d61312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: f31d3121212c6, Class:  0, CF:0.207814, Len: 13, Fitness_tra: 14
Rule 73: b17181d231121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 4135312141e55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 71a829e391181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 48a8b6191c1d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 6e7d585e11852, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 11731c3915e1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 47b5219161321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 216518dd13521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 41684111592c1, Class:  1, CF:  1, Len: 13, Fitness_tra: 16
Rule 82: a3b115d51d521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: ff3551518dc11, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule 84: 14b1d21c1c918, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 0000b03050020, Class:  0, CF:0.891604, Len:  4, Fitness_tra: 40
Rule 86: 3178e12591528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 657dcc9361948, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 123311c121125, Class:  0, CF:0.985401, Len: 13, Fitness_tra: 14
Rule 89: 63f2918111158, Class:  0, CF:  1, Len: 13, Fitness_tra: 6
Rule 90: 1446221119958, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 22751c92152d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 2276245d611d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 723cc99a19419, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 214513d5d133d, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 95: 49a45a157251d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 4268181125521, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 97: a125113515542, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 98: f1fde111d55ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 4226c21111912, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 3941c51169948, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:83.2716
------Result------
Miss_rate(tra)	:83.2716
Miss_rate(tst)	:68.6869
ARL				:12.625

------Generation 1------
Rule  1: 2121419113118, Class:  1, CF:0.37242, Len: 13, Fitness_tra: 109
Rule  2: 3f61322155111, Class:  1, CF:0.976753, Len: 13, Fitness_tra: 79
Rule  3: 2d12533125211, Class:  0, CF:  1, Len: 13, Fitness_tra: 46
Rule  4: 0000b03050020, Class:  0, CF:0.891604, Len:  4, Fitness_tra: 40
Rule  5: 1c21131812511, Class:  0, CF:0.580508, Len: 13, Fitness_tra: 21
Rule  6: 41684111592c1, Class:  1, CF:  1, Len: 13, Fitness_tra: 16
Rule  7: 123311c121125, Class:  0, CF:0.985401, Len: 13, Fitness_tra: 11
Rule  8: f31d3121212c6, Class:  0, CF:0.207814, Len: 13, Fitness_tra: 14
Rule  9: a125113515542, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 10: a111211d19158, Class:  1, CF:  1, Len: 13, Fitness_tra: 7
Rule 11: 31112511192d1, Class:  0, CF:  1, Len: 13, Fitness_tra: 6
Rule 12: af31211d4c853, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 13: 63f2918111158, Class:  0, CF:  1, Len: 13, Fitness_tra: 6
Rule 14: faf5416114183, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule 15: ff3551518dc11, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule 16: 2cf1331113311, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule 17: 15a1219e55411, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 18: 551111531351d, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 19: 336515811dd53, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 20: 1131938111182, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 21: 214513d5d133d, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 22: 4268181125521, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 23: 1213c4ed6117c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 72f5b9e1182de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 33151895f3148, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1325289331111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: b741165331c4d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 391d51d955512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 722381526538d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: af1b8339118d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1919d5dd15591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: a571511555121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 31f11e318188a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: f171821da9315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 41f151818d111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 2229de5cc2531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 4c11c11519111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 7c35911119dd1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 6971211855115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 6e12d1d155112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 45f1459119115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: b5a15122c1e18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1111c1199125e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: a1223981111e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 7876441111e1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 11a4136248151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 47: f615158d81589, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 331859ee28151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 724511e81511c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 28f5153531125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 426b111513148, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 61711d136515c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 7175181111938, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 72a82d5315211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 2c414c5531638, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 41b9111c25919, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 7cb1515111231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: f33821613cc5e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 7131d51123129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 4158c353d9c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 3d45161222d33, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 4715d1812183d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: a17731325551d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: aa628ee58121a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 2c1a1b95391b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: f1a58211d3859, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 4168713fdd215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: a348151dee888, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1d311a32185e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 7112c1e111175, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 24b6181d61312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 28a5211a9eb89, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: b17181d231121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 4135312141e55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 71a829e391181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 48a8b6191c1d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 6e7d585e11852, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 11731c3915e1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 47b5219161321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 216518dd13521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: b51211ad21593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 3e25151125138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 224f113d33312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 61135818811d8, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule 85: 1df2511d1213e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 283c5d11195e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: a9729d1213911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 1a3dd192d9211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 116d55d521159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: a1b1113511191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: a122593125211, Class:  0, CF:  1, Len: 13, Fitness_tra: 15
Rule 92: 3c152895f3143, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 317d181155918, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: affb8311113d1, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 95: 1e61322812511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 4711418121135, Class:  1, CF:  1, Len: 13, Fitness_tra: 6
Rule 97: 7151c151d9c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: e815212b21289, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule 99: 81a4136e48157, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: f1a9dbdd15599, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:81.9753
------Result------
Miss_rate(tra)	:81.9753
Miss_rate(tst)	:65.6566
ARL				:12.6786

------Generation 2------
Rule  1: 2121419113118, Class:  1, CF:0.37242, Len: 13, Fitness_tra: 109
Rule  2: 3f61322155111, Class:  1, CF:0.976753, Len: 13, Fitness_tra: 67
Rule  3: 2d12533125211, Class:  0, CF:  1, Len: 13, Fitness_tra: 46
Rule  4: 0000b03050020, Class:  0, CF:0.891604, Len:  4, Fitness_tra: 40
Rule  5: 1c21131812511, Class:  0, CF:0.580508, Len: 13, Fitness_tra: 19
Rule  6: 41684111592c1, Class:  1, CF:  1, Len: 13, Fitness_tra: 12
Rule  7: a122593125211, Class:  0, CF:  1, Len: 13, Fitness_tra: 15
Rule  8: f31d3121212c6, Class:  0, CF:0.207814, Len: 13, Fitness_tra: 9
Rule  9: 123311c121125, Class:  0, CF:0.985401, Len: 13, Fitness_tra: 13
Rule 10: a111211d19158, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: a125113515542, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 12: af31211d4c853, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule 13: 31112511192d1, Class:  0, CF:  1, Len: 13, Fitness_tra: 6
Rule 14: 4711418121135, Class:  1, CF:  1, Len: 13, Fitness_tra: 6
