------Generation 0------
Rule  1: a5a2, Class:  1, CF:0.618074, Len:  4, Fitness_tra: 14
Rule 33: 2133, Class:  0, CF:0.341255, Len:  4, Fitness_tra: 0
Rule 34: 4345, Class:  0, CF:0.777541, Len:  4, Fitness_tra: 0
Rule 35: 3020, Class:  0, CF:0.150474, Len:  2, Fitness_tra: -2
Rule 36: 0554, Class:  1, CF:0.243637, Len:  3, Fitness_tra: 1
Rule 37: c050, Class:  0, CF:0.24013, Len:  2, Fitness_tra: 15
Rule 38: 1321, Class:  0, CF:0.116277, Len:  4, Fitness_tra: 0
Rule 39: 5000, Class:  0, CF:0.162703, Len:  1, Fitness_tra: 0
Rule 40: 4035, Class:  0, CF:0.244676, Len:  3, Fitness_tra: 11
Rule 41: f956, Class:  1, CF:0.554781, Len:  4, Fitness_tra: 3
Rule 42: 6066, Class:  1, CF:0.37225, Len:  3, Fitness_tra: -3
Rule 43: 3e15, Class:  1, CF:0.392796, Len:  4, Fitness_tra: -1
Rule 44: c550, Class:  1, CF:0.0716039, Len:  3, Fitness_tra: 0
Rule 45: 0025, Class:  0, CF:0.128208, Len:  2, Fitness_tra: 0
Rule 46: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 512c, Class:  0, CF:0.0305468, Len:  4, Fitness_tra: 0
Rule 48: 7121, Class:  1, CF:0.104792, Len:  4, Fitness_tra: 0
Rule 49: 0600, Class:  0, CF:0.101281, Len:  1, Fitness_tra: 0
Rule 50: 1333, Class:  1, CF:0.698341, Len:  4, Fitness_tra: 19
Rule 51: 00e0, Class:  0, CF:0.143973, Len:  1, Fitness_tra: 1
Rule 52: 1237, Class:  1, CF:0.00560766, Len:  4, Fitness_tra: 0
Rule 53: 0005, Class:  0, CF:0.109138, Len:  1, Fitness_tra: 0
Rule 54: 0300, Class:  0, CF:0.0569034, Len:  1, Fitness_tra: 0
Rule 55: 5030, Class:  0, CF:0.619111, Len:  2, Fitness_tra: 0
Rule 56: 8221, Class:  0, CF:0.0526532, Len:  4, Fitness_tra: 0
Rule 57: 0002, Class:  0, CF:0.0461429, Len:  1, Fitness_tra: 0
Rule 58: 31f6, Class:  1, CF:0.633944, Len:  4, Fitness_tra: 1
Rule 59: 4000, Class:  1, CF:0.0521699, Len:  1, Fitness_tra: 2
Rule 60: 3141, Class:  1, CF:0.25209, Len:  4, Fitness_tra: 1
Rule 61: 0243, Class:  0, CF:0.10828, Len:  3, Fitness_tra: 0
Rule 62: 8843, Class:  0, CF:0.87586, Len:  4, Fitness_tra: 13
Rule 63: 3000, Class:  1, CF:0.0592859, Len:  1, Fitness_tra: 1
Rule 64: 9000, Class:  0, CF:0.237711, Len:  1, Fitness_tra: 3
Rule 65: 193e, Class:  1, CF:0.444154, Len:  4, Fitness_tra: 3
Rule 66: 1611, Class:  1, CF:0.449385, Len:  4, Fitness_tra: 0
Rule 67: 0002, Class:  0, CF:0.0461429, Len:  1, Fitness_tra: 0
Rule 68: 11e7, Class:  0, CF:0.63311, Len:  4, Fitness_tra: 2
Rule 69: 0324, Class:  0, CF:0.398891, Len:  3, Fitness_tra: 2
Rule 70: 0004, Class:  1, CF:0.0384532, Len:  1, Fitness_tra: 0
Rule 71: 5111, Class:  0, CF:0.425232, Len:  4, Fitness_tra: -1
Rule 72: 9935, Class:  0, CF:0.894358, Len:  4, Fitness_tra: 1
Rule 73: 33b1, Class:  1, CF:0.584347, Len:  4, Fitness_tra: 13
Rule 74: 0504, Class:  0, CF:0.0318614, Len:  2, Fitness_tra: 0
Rule 75: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 3500, Class:  1, CF:0.0243921, Len:  2, Fitness_tra: 0
Rule 77: 1311, Class:  1, CF:0.461568, Len:  4, Fitness_tra: 1
Rule 78: 5033, Class:  0, CF:0.89651, Len:  3, Fitness_tra: 13
Rule 79: 1166, Class:  1, CF:0.482694, Len:  4, Fitness_tra: 0
Rule 80: 2124, Class:  1, CF:0.0143917, Len:  4, Fitness_tra: 0
Rule 81: 6050, Class:  0, CF:0.363894, Len:  2, Fitness_tra: 7
Rule 82: b000, Class:  1, CF:0.188945, Len:  1, Fitness_tra: 52
Rule 83: 0500, Class:  0, CF:0.00712432, Len:  1, Fitness_tra: 0
Rule 84: 9334, Class:  0, CF:0.472821, Len:  4, Fitness_tra: 0
Rule 85: 221d, Class:  0, CF:0.0503492, Len:  4, Fitness_tra: 0
Rule 86: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 4424, Class:  1, CF:0.264039, Len:  4, Fitness_tra: 14
Rule 88: 112b, Class:  1, CF:0.0278073, Len:  4, Fitness_tra: 0
Rule 89: 1121, Class:  0, CF:0.0035661, Len:  4, Fitness_tra: 0
Rule 90: 5616, Class:  0, CF:0.293099, Len:  4, Fitness_tra: 0
Rule 91: 0050, Class:  0, CF:0.0533659, Len:  1, Fitness_tra: 0
Rule 92: 11a1, Class:  1, CF:0.433363, Len:  4, Fitness_tra: 10
Rule 93: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 0604, Class:  0, CF:0.333386, Len:  2, Fitness_tra: 14
Rule 95: 3002, Class:  0, CF:0.157682, Len:  2, Fitness_tra: 18
Rule 96: 5255, Class:  1, CF:0.505336, Len:  4, Fitness_tra: 20
Rule 97: 1314, Class:  1, CF:0.010302, Len:  4, Fitness_tra: 0
Rule 98: 0600, Class:  0, CF:0.101281, Len:  1, Fitness_tra: 0
Rule 99: 1231, Class:  0, CF:0.127331, Len:  4, Fitness_tra: 0
Rule100: 6241, Class:  1, CF:0.121148, Len:  4, Fitness_tra: -3
------Current------
Miss_rate(tra)	:41.3295
------Result------
Miss_rate(tra)	:41.3295
Miss_rate(tst)	:22.5806
ARL				:2.75

------Generation 0------
Rule  1: a5a2, Class:  1, CF:0.618074, Len:  4, Fitness_tra: 14
Rule  2: 0620, Class:  0, CF:0.30965, Len:  2, Fitness_tra: -3
Rule  3: 1e31, Class:  0, CF:0.867358, Len:  4, Fitness_tra: 14
Rule  4: 15f1, Class:  0, CF:0.600656, Len:  4, Fitness_tra: 2
Rule  5: 0250, Class:  1, CF:0.101173, Len:  2, Fitness_tra: 0
Rule  6: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 2161, Class:  0, CF:0.402094, Len:  4, Fitness_tra: 0
Rule  8: 12b1, Class:  1, CF:0.061792, Len:  4, Fitness_tra: 0
Rule  9: 5050, Class:  1, CF:0.134878, Len:  2, Fitness_tra: 0
Rule 10: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 0040, Class:  1, CF:0.0610379, Len:  1, Fitness_tra: 9
Rule 12: 4161, Class:  0, CF:0.0388423, Len:  4, Fitness_tra: 0
Rule 13: 6055, Class:  0, CF:0.976668, Len:  3, Fitness_tra: 20
Rule 14: 6126, Class:  1, CF:0.0521169, Len:  4, Fitness_tra: 0
Rule 15: 2271, Class:  0, CF:0.42446, Len:  4, Fitness_tra: -1
Rule 16: 21a1, Class:  0, CF:0.490286, Len:  4, Fitness_tra: 4
Rule 17: 1111, Class:  1, CF:0.402877, Len:  4, Fitness_tra: 16
Rule 18: 1212, Class:  1, CF:0.173945, Len:  4, Fitness_tra: 0
Rule 19: 2213, Class:  0, CF:0.721213, Len:  4, Fitness_tra: 16
Rule 20: 2212, Class:  0, CF:0.14386, Len:  4, Fitness_tra: 0
Rule 21: 0030, Class:  0, CF:0.0377612, Len:  1, Fitness_tra: 0
Rule 22: 13e5, Class:  0, CF:0.995722, Len:  4, Fitness_tra: 4
Rule 23: 5030, Class:  0, CF:0.619111, Len:  2, Fitness_tra: 46
Rule 24: 0005, Class:  0, CF:0.109138, Len:  1, Fitness_tra: -17
Rule 25: 2132, Class:  0, CF:0.155466, Len:  4, Fitness_tra: 0
Rule 26: 4345, Class:  0, CF:0.777541, Len:  4, Fitness_tra: 15
Rule 27: 1234, Class:  1, CF:0.193315, Len:  4, Fitness_tra: 3
Rule 28: 7113, Class:  1, CF:0.482742, Len:  4, Fitness_tra: 11
Rule 29: 5000, Class:  0, CF:0.162703, Len:  1, Fitness_tra: -10
Rule 30: c000, Class:  0, CF:0.0138408, Len:  1, Fitness_tra: 0
Rule 31: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0200, Class:  1, CF:0.0134921, Len:  1, Fitness_tra: 0
Rule 33: 2133, Class:  0, CF:0.341255, Len:  4, Fitness_tra: 0
Rule 34: 4345, Class:  0, CF:0.777541, Len:  4, Fitness_tra: 0
Rule 35: 3020, Class:  0, CF:0.150474, Len:  2, Fitness_tra: -2
Rule 36: 0554, Class:  1, CF:0.243637, Len:  3, Fitness_tra: 1
Rule 37: c050, Class:  0, CF:0.24013, Len:  2, Fitness_tra: 15
Rule 38: 1321, Class:  0, CF:0.116277, Len:  4, Fitness_tra: 0
Rule 39: 5000, Class:  0, CF:0.162703, Len:  1, Fitness_tra: 0
Rule 40: 4035, Class:  0, CF:0.244676, Len:  3, Fitness_tra: 11
Rule 41: f956, Class:  1, CF:0.554781, Len:  4, Fitness_tra: 3
Rule 42: 6066, Class:  1, CF:0.37225, Len:  3, Fitness_tra: -3
Rule 43: 3e15, Class:  1, CF:0.392796, Len:  4, Fitness_tra: -1
Rule 44: c550, Class:  1, CF:0.0716039, Len:  3, Fitness_tra: 0
Rule 45: 0025, Class:  0, CF:0.128208, Len:  2, Fitness_tra: 0
Rule 46: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 512c, Class:  0, CF:0.0305468, Len:  4, Fitness_tra: 0
Rule 48: 7121, Class:  1, CF:0.104792, Len:  4, Fitness_tra: 0
Rule 49: 0600, Class:  0, CF:0.101281, Len:  1, Fitness_tra: 0
Rule 50: 1333, Class:  1, CF:0.698341, Len:  4, Fitness_tra: 19
Rule 51: 00e0, Class:  0, CF:0.143973, Len:  1, Fitness_tra: 1
Rule 52: 1237, Class:  1, CF:0.00560766, Len:  4, Fitness_tra: 0
Rule 53: 0005, Class:  0, CF:0.109138, Len:  1, Fitness_tra: 0
Rule 54: 0300, Class:  0, CF:0.0569034, Len:  1, Fitness_tra: 0
Rule 55: 5030, Class:  0, CF:0.619111, Len:  2, Fitness_tra: 0
Rule 56: 8221, Class:  0, CF:0.0526532, Len:  4, Fitness_tra: 0
Rule 57: 0002, Class:  0, CF:0.0461429, Len:  1, Fitness_tra: 0
Rule 58: 31f6, Class:  1, CF:0.633944, Len:  4, Fitness_tra: 1
Rule 59: 4000, Class:  1, CF:0.0521699, Len:  1, Fitness_tra: 2
Rule 60: 3141, Class:  1, CF:0.25209, Len:  4, Fitness_tra: 1
Rule 61: 0243, Class:  0, CF:0.10828, Len:  3, Fitness_tra: 0
Rule 62: 8843, Class:  0, CF:0.87586, Len:  4, Fitness_tra: 13
Rule 63: 3000, Class:  1, CF:0.0592859, Len:  1, Fitness_tra: 1
Rule 64: 9000, Class:  0, CF:0.237711, Len:  1, Fitness_tra: 3
Rule 65: 193e, Class:  1, CF:0.444154, Len:  4, Fitness_tra: 3
Rule 66: 1611, Class:  1, CF:0.449385, Len:  4, Fitness_tra: 0
Rule 67: 0002, Class:  0, CF:0.0461429, Len:  1, Fitness_tra: 0
Rule 68: 11e7, Class:  0, CF:0.63311, Len:  4, Fitness_tra: 2
Rule 69: 0324, Class:  0, CF:0.398891, Len:  3, Fitness_tra: 2
Rule 70: 0004, Class:  1, CF:0.0384532, Len:  1, Fitness_tra: 0
Rule 71: 5111, Class:  0, CF:0.425232, Len:  4, Fitness_tra: -1
Rule 72: 9935, Class:  0, CF:0.894358, Len:  4, Fitness_tra: 1
Rule 73: 33b1, Class:  1, CF:0.584347, Len:  4, Fitness_tra: 13
Rule 74: 0504, Class:  0, CF:0.0318614, Len:  2, Fitness_tra: 0
Rule 75: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 3500, Class:  1, CF:0.0243921, Len:  2, Fitness_tra: 0
Rule 77: 1311, Class:  1, CF:0.461568, Len:  4, Fitness_tra: 1
Rule 78: 5033, Class:  0, CF:0.89651, Len:  3, Fitness_tra: 13
Rule 79: 1166, Class:  1, CF:0.482694, Len:  4, Fitness_tra: 0
Rule 80: 2124, Class:  1, CF:0.0143917, Len:  4, Fitness_tra: 0
Rule 81: 6050, Class:  0, CF:0.363894, Len:  2, Fitness_tra: 7
Rule 82: b000, Class:  1, CF:0.188945, Len:  1, Fitness_tra: 52
Rule 83: 0500, Class:  0, CF:0.00712432, Len:  1, Fitness_tra: 0
Rule 84: 9334, Class:  0, CF:0.472821, Len:  4, Fitness_tra: 0
Rule 85: 221d, Class:  0, CF:0.0503492, Len:  4, Fitness_tra: 0
Rule 86: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 4424, Class:  1, CF:0.264039, Len:  4, Fitness_tra: 14
Rule 88: 112b, Class:  1, CF:0.0278073, Len:  4, Fitness_tra: 0
Rule 89: 1121, Class:  0, CF:0.0035661, Len:  4, Fitness_tra: 0
Rule 90: 5616, Class:  0, CF:0.293099, Len:  4, Fitness_tra: 0
Rule 91: 0050, Class:  0, CF:0.0533659, Len:  1, Fitness_tra: 0
Rule 92: 11a1, Class:  1, CF:0.433363, Len:  4, Fitness_tra: 10
Rule 93: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 0604, Class:  0, CF:0.333386, Len:  2, Fitness_tra: 14
Rule 95: 3002, Class:  0, CF:0.157682, Len:  2, Fitness_tra: 18
Rule 96: 5255, Class:  1, CF:0.505336, Len:  4, Fitness_tra: 20
Rule 97: 1314, Class:  1, CF:0.010302, Len:  4, Fitness_tra: 0
Rule 98: 0600, Class:  0, CF:0.101281, Len:  1, Fitness_tra: 0
Rule 99: 1231, Class:  0, CF:0.127331, Len:  4, Fitness_tra: 0
Rule100: 6241, Class:  1, CF:0.121148, Len:  4, Fitness_tra: -3
------Current------
Miss_rate(tra)	:41.3295
------Result------
Miss_rate(tra)	:41.3295
Miss_rate(tst)	:22.5806
ARL				:2.75

------Generation 1------
Rule  1: a5a2, Class:  1, CF:0.618074, Len:  4, Fitness_tra: 14
Rule  2: 0620, Class:  0, CF:0.30965, Len:  2, Fitness_tra: -3
Rule  3: 1e31, Class:  0, CF:0.867358, Len:  4, Fitness_tra: 14
Rule  4: 15f1, Class:  0, CF:0.600656, Len:  4, Fitness_tra: 2
Rule  5: 0250, Class:  1, CF:0.101173, Len:  2, Fitness_tra: 0
Rule  6: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 2161, Class:  0, CF:0.402094, Len:  4, Fitness_tra: 0
Rule  8: 12b1, Class:  1, CF:0.061792, Len:  4, Fitness_tra: 0
Rule  9: 5050, Class:  1, CF:0.134878, Len:  2, Fitness_tra: 0
Rule 10: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 0040, Class:  1, CF:0.0610379, Len:  1, Fitness_tra: 9
Rule 12: 4161, Class:  0, CF:0.0388423, Len:  4, Fitness_tra: 0
Rule 13: 6055, Class:  0, CF:0.976668, Len:  3, Fitness_tra: 20
Rule 14: 6126, Class:  1, CF:0.0521169, Len:  4, Fitness_tra: 0
Rule 15: 2271, Class:  0, CF:0.42446, Len:  4, Fitness_tra: -1
Rule 16: 21a1, Class:  0, CF:0.490286, Len:  4, Fitness_tra: 4
Rule 17: 1111, Class:  1, CF:0.402877, Len:  4, Fitness_tra: 16
Rule 18: 1212, Class:  1, CF:0.173945, Len:  4, Fitness_tra: 0
Rule 19: 2213, Class:  0, CF:0.721213, Len:  4, Fitness_tra: 16
Rule 20: 2212, Class:  0, CF:0.14386, Len:  4, Fitness_tra: 0
Rule 21: 0030, Class:  0, CF:0.0377612, Len:  1, Fitness_tra: 0
Rule 22: 13e5, Class:  0, CF:0.995722, Len:  4, Fitness_tra: 4
Rule 23: 5030, Class:  0, CF:0.619111, Len:  2, Fitness_tra: 46
Rule 24: 0005, Class:  0, CF:0.109138, Len:  1, Fitness_tra: -17
Rule 25: 2132, Class:  0, CF:0.155466, Len:  4, Fitness_tra: 0
Rule 26: 4345, Class:  0, CF:0.777541, Len:  4, Fitness_tra: 15
Rule 27: 1234, Class:  1, CF:0.193315, Len:  4, Fitness_tra: 3
Rule 28: 7113, Class:  1, CF:0.482742, Len:  4, Fitness_tra: 11
Rule 29: 5000, Class:  0, CF:0.162703, Len:  1, Fitness_tra: -10
Rule 30: c000, Class:  0, CF:0.0138408, Len:  1, Fitness_tra: 0
Rule 31: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0200, Class:  1, CF:0.0134921, Len:  1, Fitness_tra: 0
Rule 33: 2133, Class:  0, CF:0.341255, Len:  4, Fitness_tra: 0
Rule 34: 4345, Class:  0, CF:0.777541, Len:  4, Fitness_tra: 0
Rule 35: 3020, Class:  0, CF:0.150474, Len:  2, Fitness_tra: -2
Rule 36: 0554, Class:  1, CF:0.243637, Len:  3, Fitness_tra: 1
Rule 37: c050, Class:  0, CF:0.24013, Len:  2, Fitness_tra: 15
Rule 38: 1321, Class:  0, CF:0.116277, Len:  4, Fitness_tra: 0
Rule 39: 5000, Class:  0, CF:0.162703, Len:  1, Fitness_tra: 0
Rule 40: 4035, Class:  0, CF:0.244676, Len:  3, Fitness_tra: 11
Rule 41: f956, Class:  1, CF:0.554781, Len:  4, Fitness_tra: 3
Rule 42: 6066, Class:  1, CF:0.37225, Len:  3, Fitness_tra: -3
Rule 43: 3e15, Class:  1, CF:0.392796, Len:  4, Fitness_tra: -1
Rule 44: c550, Class:  1, CF:0.0716039, Len:  3, Fitness_tra: 0
Rule 45: 0025, Class:  0, CF:0.128208, Len:  2, Fitness_tra: 0
Rule 46: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 512c, Class:  0, CF:0.0305468, Len:  4, Fitness_tra: 0
Rule 48: 7121, Class:  1, CF:0.104792, Len:  4, Fitness_tra: 0
Rule 49: 0600, Class:  0, CF:0.101281, Len:  1, Fitness_tra: 0
Rule 50: 1333, Class:  1, CF:0.698341, Len:  4, Fitness_tra: 19
Rule 51: 00e0, Class:  0, CF:0.143973, Len:  1, Fitness_tra: 1
Rule 52: 1237, Class:  1, CF:0.00560766, Len:  4, Fitness_tra: 0
Rule 53: 0005, Class:  0, CF:0.109138, Len:  1, Fitness_tra: 0
Rule 54: 0300, Class:  0, CF:0.0569034, Len:  1, Fitness_tra: 0
Rule 55: 5030, Class:  0, CF:0.619111, Len:  2, Fitness_tra: 0
Rule 56: 8221, Class:  0, CF:0.0526532, Len:  4, Fitness_tra: 0
Rule 57: 0002, Class:  0, CF:0.0461429, Len:  1, Fitness_tra: 0
Rule 58: 31f6, Class:  1, CF:0.633944, Len:  4, Fitness_tra: 1
Rule 59: 4000, Class:  1, CF:0.0521699, Len:  1, Fitness_tra: 2
Rule 60: 3141, Class:  1, CF:0.25209, Len:  4, Fitness_tra: 1
Rule 61: 0243, Class:  0, CF:0.10828, Len:  3, Fitness_tra: 0
Rule 62: 8843, Class:  0, CF:0.87586, Len:  4, Fitness_tra: 13
Rule 63: 3000, Class:  1, CF:0.0592859, Len:  1, Fitness_tra: 1
Rule 64: 9000, Class:  0, CF:0.237711, Len:  1, Fitness_tra: 3
Rule 65: 193e, Class:  1, CF:0.444154, Len:  4, Fitness_tra: 3
Rule 66: 1611, Class:  1, CF:0.449385, Len:  4, Fitness_tra: 0
Rule 67: 0002, Class:  0, CF:0.0461429, Len:  1, Fitness_tra: 0
Rule 68: 11e7, Class:  0, CF:0.63311, Len:  4, Fitness_tra: 2
Rule 69: 0324, Class:  0, CF:0.398891, Len:  3, Fitness_tra: 2
Rule 70: 0004, Class:  1, CF:0.0384532, Len:  1, Fitness_tra: 0
Rule 71: 5111, Class:  0, CF:0.425232, Len:  4, Fitness_tra: -1
Rule 72: 9935, Class:  0, CF:0.894358, Len:  4, Fitness_tra: 1
Rule 73: 33b1, Class:  1, CF:0.584347, Len:  4, Fitness_tra: 13
Rule 74: 0504, Class:  0, CF:0.0318614, Len:  2, Fitness_tra: 0
Rule 75: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 3500, Class:  1, CF:0.0243921, Len:  2, Fitness_tra: 0
Rule 77: 1311, Class:  1, CF:0.461568, Len:  4, Fitness_tra: 1
Rule 78: 5033, Class:  0, CF:0.89651, Len:  3, Fitness_tra: 13
Rule 79: 1166, Class:  1, CF:0.482694, Len:  4, Fitness_tra: 0
Rule 80: 2124, Class:  1, CF:0.0143917, Len:  4, Fitness_tra: 0
Rule 81: 6050, Class:  0, CF:0.363894, Len:  2, Fitness_tra: 7
Rule 82: b000, Class:  1, CF:0.188945, Len:  1, Fitness_tra: 52
Rule 83: 0500, Class:  0, CF:0.00712432, Len:  1, Fitness_tra: 0
Rule 84: 9334, Class:  0, CF:0.472821, Len:  4, Fitness_tra: 0
Rule 85: 221d, Class:  0, CF:0.0503492, Len:  4, Fitness_tra: 0
Rule 86: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 4424, Class:  1, CF:0.264039, Len:  4, Fitness_tra: 14
Rule 88: 112b, Class:  1, CF:0.0278073, Len:  4, Fitness_tra: 0
Rule 89: 1121, Class:  0, CF:0.0035661, Len:  4, Fitness_tra: 0
Rule 90: 5616, Class:  0, CF:0.293099, Len:  4, Fitness_tra: 0
Rule 91: 0050, Class:  0, CF:0.0533659, Len:  1, Fitness_tra: 0
Rule 92: 11a1, Class:  1, CF:0.433363, Len:  4, Fitness_tra: 10
Rule 93: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 0604, Class:  0, CF:0.333386, Len:  2, Fitness_tra: 14
Rule 95: 3002, Class:  0, CF:0.157682, Len:  2, Fitness_tra: 18
Rule 96: 5255, Class:  1, CF:0.505336, Len:  4, Fitness_tra: 20
Rule 97: 1314, Class:  1, CF:0.010302, Len:  4, Fitness_tra: 0
Rule 98: 0600, Class:  0, CF:0.101281, Len:  1, Fitness_tra: 0
Rule 99: 1231, Class:  0, CF:0.127331, Len:  4, Fitness_tra: 0
Rule100: 6241, Class:  1, CF:0.121148, Len:  4, Fitness_tra: -3
------Current------
Miss_rate(tra)	:41.3295
------Result------
Miss_rate(tra)	:41.3295
Miss_rate(tst)	:22.5806
ARL				:2.75

------Generation 2------
Rule  1: a5a2, Class:  1, CF:0.618074, Len:  4, Fitness_tra: 14
Rule  2: 0620, Class:  0, CF:0.30965, Len:  2, Fitness_tra: -3
Rule  3: 1e31, Class:  0, CF:0.867358, Len:  4, Fitness_tra: 14
Rule  4: 15f1, Class:  0, CF:0.600656, Len:  4, Fitness_tra: 2
Rule  5: 0250, Class:  1, CF:0.101173, Len:  2, Fitness_tra: 0
Rule  6: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 2161, Class:  0, CF:0.402094, Len:  4, Fitness_tra: 0
Rule  8: 12b1, Class:  1, CF:0.061792, Len:  4, Fitness_tra: 0
Rule  9: 5050, Class:  1, CF:0.134878, Len:  2, Fitness_tra: 0
Rule 10: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 0040, Class:  1, CF:0.0610379, Len:  1, Fitness_tra: 9
Rule 12: 4161, Class:  0, CF:0.0388423, Len:  4, Fitness_tra: 0
Rule 13: 6055, Class:  0, CF:0.976668, Len:  3, Fitness_tra: 20
Rule 14: 6126, Class:  1, CF:0.0521169, Len:  4, Fitness_tra: 0
Rule 15: 2271, Class:  0, CF:0.42446, Len:  4, Fitness_tra: -1
Rule 16: 21a1, Class:  0, CF:0.490286, Len:  4, Fitness_tra: 4
Rule 17: 1111, Class:  1, CF:0.402877, Len:  4, Fitness_tra: 16
Rule 18: 1212, Class:  1, CF:0.173945, Len:  4, Fitness_tra: 0
Rule 19: 2213, Class:  0, CF:0.721213, Len:  4, Fitness_tra: 16
Rule 20: 2212, Class:  0, CF:0.14386, Len:  4, Fitness_tra: 0
Rule 21: 0030, Class:  0, CF:0.0377612, Len:  1, Fitness_tra: 0
Rule 22: 13e5, Class:  0, CF:0.995722, Len:  4, Fitness_tra: 4
Rule 23: 5030, Class:  0, CF:0.619111, Len:  2, Fitness_tra: 46
Rule 24: 0005, Class:  0, CF:0.109138, Len:  1, Fitness_tra: -17
Rule 25: 2132, Class:  0, CF:0.155466, Len:  4, Fitness_tra: 0
Rule 26: 4345, Class:  0, CF:0.777541, Len:  4, Fitness_tra: 15
Rule 27: 1234, Class:  1, CF:0.193315, Len:  4, Fitness_tra: 3
Rule 28: 7113, Class:  1, CF:0.482742, Len:  4, Fitness_tra: 11
Rule 29: 5000, Class:  0, CF:0.162703, Len:  1, Fitness_tra: -10
Rule 30: c000, Class:  0, CF:0.0138408, Len:  1, Fitness_tra: 0
Rule 31: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0200, Class:  1, CF:0.0134921, Len:  1, Fitness_tra: 0
