------Generation 0------
Rule  1: 000d0d0, Class:  0, CF:0.896305, Len:  2, Fitness_tra: 0
Rule 27: 114bb11, Class:  1, CF:0.230307, Len:  7, Fitness_tra: 0
Rule 28: 11172c2, Class:  1, CF:0.00434748, Len:  7, Fitness_tra: 0
Rule 29: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1338211, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 31: 53d2115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0600060, Class:  1, CF:0.586046, Len:  2, Fitness_tra: 0
Rule 33: 8111214, Class:  0, CF:0.780477, Len:  7, Fitness_tra: 0
Rule 34: d111115, Class:  0, CF:0.407238, Len:  7, Fitness_tra: 0
Rule 35: 2521111, Class:  0, CF:0.525773, Len:  7, Fitness_tra: 0
Rule 36: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 221b74b, Class:  0, CF:0.310359, Len:  7, Fitness_tra: 0
Rule 38: 1351b15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: c811451, Class:  0, CF:0.663461, Len:  7, Fitness_tra: 0
Rule 40: 1331411, Class:  1, CF:0.852502, Len:  7, Fitness_tra: 0
Rule 41: 000c000, Class:  0, CF:0.409883, Len:  1, Fitness_tra: 2
Rule 42: 531c165, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 3e18813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 03000d0, Class:  1, CF:0.965329, Len:  2, Fitness_tra: 0
Rule 46: 112142b, Class:  0, CF:0.22436, Len:  7, Fitness_tra: 0
Rule 47: de1b7e8, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 48: 1117431, Class:  1, CF:0.740281, Len:  7, Fitness_tra: 0
Rule 49: c18221c, Class:  0, CF:0.95221, Len:  7, Fitness_tra: 0
Rule 50: 1edcc1d, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 51: 2121412, Class:  0, CF:0.572888, Len:  7, Fitness_tra: 0
Rule 52: 1874417, Class:  0, CF:0.364942, Len:  7, Fitness_tra: 0
Rule 53: 1c42217, Class:  0, CF:0.604673, Len:  7, Fitness_tra: 0
Rule 54: 1c14184, Class:  0, CF:0.0385767, Len:  7, Fitness_tra: 0
Rule 55: 4224114, Class:  0, CF:0.689631, Len:  7, Fitness_tra: 0
Rule 56: 2517151, Class:  0, CF:0.78824, Len:  7, Fitness_tra: 0
Rule 57: 1154198, Class:  0, CF:0.967398, Len:  7, Fitness_tra: 0
Rule 58: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0500000, Class:  0, CF:0.670655, Len:  1, Fitness_tra: 12
Rule 60: d31b135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 254b1c2, Class:  0, CF:0.525461, Len:  7, Fitness_tra: 0
Rule 62: 000d000, Class:  0, CF:0.8672, Len:  1, Fitness_tra: 4
Rule 63: 1111111, Class:  1, CF:0.812033, Len:  7, Fitness_tra: 0
Rule 64: 23211e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 11b222b, Class:  0, CF:0.585696, Len:  7, Fitness_tra: 0
Rule 66: 0000060, Class:  1, CF:0.827606, Len:  1, Fitness_tra: 0
Rule 67: 0b000b0, Class:  1, CF:0.920807, Len:  2, Fitness_tra: 18
Rule 68: 1211421, Class:  0, CF:0.41659, Len:  7, Fitness_tra: 0
Rule 69: 00000e0, Class:  0, CF:0.936508, Len:  1, Fitness_tra: 8
Rule 70: 1824bc4, Class:  0, CF:0.38174, Len:  7, Fitness_tra: 0
Rule 71: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 5fd8231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 2c27bc1, Class:  0, CF:0.292001, Len:  7, Fitness_tra: 0
Rule 74: d11c135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 5000005, Class:  0, CF:0.236599, Len:  2, Fitness_tra: 0
Rule 76: b111424, Class:  0, CF:0.114896, Len:  7, Fitness_tra: 0
Rule 77: 0600000, Class:  1, CF:0.783853, Len:  1, Fitness_tra: 0
Rule 78: 412b112, Class:  0, CF:0.438811, Len:  7, Fitness_tra: 0
Rule 79: 4224b14, Class:  0, CF:0.677574, Len:  7, Fitness_tra: 0
Rule 80: 41147c1, Class:  0, CF:0.0804342, Len:  7, Fitness_tra: 0
Rule 81: 7000000, Class:  0, CF:0.0646166, Len:  1, Fitness_tra: 0
Rule 82: 11b124b, Class:  1, CF:0.139791, Len:  7, Fitness_tra: 0
Rule 83: 511113d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 2122b14, Class:  0, CF:0.524837, Len:  7, Fitness_tra: 0
Rule 87: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 4511bcb, Class:  0, CF:0.588191, Len:  7, Fitness_tra: 0
Rule 89: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 2117b1b, Class:  1, CF:0.171555, Len:  7, Fitness_tra: 0
Rule 91: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 11b2727, Class:  0, CF:0.394958, Len:  7, Fitness_tra: 0
Rule 93: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 2511214, Class:  0, CF:0.750375, Len:  7, Fitness_tra: 0
Rule 96: 0005000, Class:  0, CF:0.905143, Len:  1, Fitness_tra: 1
Rule 97: 1352211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 5311469, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 41b811b, Class:  0, CF:0.918355, Len:  7, Fitness_tra: 0
------Current------
Miss_rate(tra)	:36.1842
------Result------
Miss_rate(tra)	:36.1842
Miss_rate(tst)	:18.1818
ARL				:4.16667

------Generation 0------
Rule  1: 000d0d0, Class:  0, CF:0.896305, Len:  2, Fitness_tra: 0
Rule  2: 4cb1412, Class:  0, CF:0.25855, Len:  7, Fitness_tra: 0
Rule  3: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1c24111, Class:  1, CF:0.243087, Len:  7, Fitness_tra: 0
Rule  5: 1312131, Class:  1, CF:0.894619, Len:  7, Fitness_tra: 0
Rule  6: 33e1119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0000050, Class:  0, CF:0.645666, Len:  1, Fitness_tra: 4
Rule  8: 0600000, Class:  1, CF:0.783853, Len:  1, Fitness_tra: 0
Rule  9: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: d15556d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: d61116d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 03000d0, Class:  1, CF:0.965329, Len:  2, Fitness_tra: 0
Rule 13: 2211114, Class:  0, CF:0.32954, Len:  7, Fitness_tra: 0
Rule 14: 00f0000, Class:  1, CF:0.836083, Len:  1, Fitness_tra: 28
Rule 15: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1181111, Class:  0, CF:0.479437, Len:  7, Fitness_tra: 0
Rule 17: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 5355531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 2274447, Class:  0, CF:0.595556, Len:  7, Fitness_tra: 0
Rule 21: 0000060, Class:  1, CF:0.827606, Len:  1, Fitness_tra: 2
Rule 22: 0300000, Class:  1, CF:0.852336, Len:  1, Fitness_tra: 6
Rule 23: d152111, Class:  0, CF:0.314947, Len:  7, Fitness_tra: 0
Rule 24: 215476d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 4040004, Class:  0, CF:0.683451, Len:  3, Fitness_tra: 23
Rule 26: 1171721, Class:  0, CF:0.0691442, Len:  7, Fitness_tra: 0
Rule 27: 114bb11, Class:  1, CF:0.230307, Len:  7, Fitness_tra: 0
Rule 28: 11172c2, Class:  1, CF:0.00434748, Len:  7, Fitness_tra: 0
Rule 29: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1338211, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 31: 53d2115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0600060, Class:  1, CF:0.586046, Len:  2, Fitness_tra: 0
Rule 33: 8111214, Class:  0, CF:0.780477, Len:  7, Fitness_tra: 0
Rule 34: d111115, Class:  0, CF:0.407238, Len:  7, Fitness_tra: 0
Rule 35: 2521111, Class:  0, CF:0.525773, Len:  7, Fitness_tra: 0
Rule 36: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 221b74b, Class:  0, CF:0.310359, Len:  7, Fitness_tra: 0
Rule 38: 1351b15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: c811451, Class:  0, CF:0.663461, Len:  7, Fitness_tra: 0
Rule 40: 1331411, Class:  1, CF:0.852502, Len:  7, Fitness_tra: 0
Rule 41: 000c000, Class:  0, CF:0.409883, Len:  1, Fitness_tra: 2
Rule 42: 531c165, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 3e18813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 03000d0, Class:  1, CF:0.965329, Len:  2, Fitness_tra: 0
Rule 46: 112142b, Class:  0, CF:0.22436, Len:  7, Fitness_tra: 0
Rule 47: de1b7e8, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 48: 1117431, Class:  1, CF:0.740281, Len:  7, Fitness_tra: 0
Rule 49: c18221c, Class:  0, CF:0.95221, Len:  7, Fitness_tra: 0
Rule 50: 1edcc1d, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 51: 2121412, Class:  0, CF:0.572888, Len:  7, Fitness_tra: 0
Rule 52: 1874417, Class:  0, CF:0.364942, Len:  7, Fitness_tra: 0
Rule 53: 1c42217, Class:  0, CF:0.604673, Len:  7, Fitness_tra: 0
Rule 54: 1c14184, Class:  0, CF:0.0385767, Len:  7, Fitness_tra: 0
Rule 55: 4224114, Class:  0, CF:0.689631, Len:  7, Fitness_tra: 0
Rule 56: 2517151, Class:  0, CF:0.78824, Len:  7, Fitness_tra: 0
Rule 57: 1154198, Class:  0, CF:0.967398, Len:  7, Fitness_tra: 0
Rule 58: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0500000, Class:  0, CF:0.670655, Len:  1, Fitness_tra: 12
Rule 60: d31b135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 254b1c2, Class:  0, CF:0.525461, Len:  7, Fitness_tra: 0
Rule 62: 000d000, Class:  0, CF:0.8672, Len:  1, Fitness_tra: 4
Rule 63: 1111111, Class:  1, CF:0.812033, Len:  7, Fitness_tra: 0
Rule 64: 23211e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 11b222b, Class:  0, CF:0.585696, Len:  7, Fitness_tra: 0
Rule 66: 0000060, Class:  1, CF:0.827606, Len:  1, Fitness_tra: 0
Rule 67: 0b000b0, Class:  1, CF:0.920807, Len:  2, Fitness_tra: 18
Rule 68: 1211421, Class:  0, CF:0.41659, Len:  7, Fitness_tra: 0
Rule 69: 00000e0, Class:  0, CF:0.936508, Len:  1, Fitness_tra: 8
Rule 70: 1824bc4, Class:  0, CF:0.38174, Len:  7, Fitness_tra: 0
Rule 71: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 5fd8231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 2c27bc1, Class:  0, CF:0.292001, Len:  7, Fitness_tra: 0
Rule 74: d11c135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 5000005, Class:  0, CF:0.236599, Len:  2, Fitness_tra: 0
Rule 76: b111424, Class:  0, CF:0.114896, Len:  7, Fitness_tra: 0
Rule 77: 0600000, Class:  1, CF:0.783853, Len:  1, Fitness_tra: 0
Rule 78: 412b112, Class:  0, CF:0.438811, Len:  7, Fitness_tra: 0
Rule 79: 4224b14, Class:  0, CF:0.677574, Len:  7, Fitness_tra: 0
Rule 80: 41147c1, Class:  0, CF:0.0804342, Len:  7, Fitness_tra: 0
Rule 81: 7000000, Class:  0, CF:0.0646166, Len:  1, Fitness_tra: 0
Rule 82: 11b124b, Class:  1, CF:0.139791, Len:  7, Fitness_tra: 0
Rule 83: 511113d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 2122b14, Class:  0, CF:0.524837, Len:  7, Fitness_tra: 0
Rule 87: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 4511bcb, Class:  0, CF:0.588191, Len:  7, Fitness_tra: 0
Rule 89: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 2117b1b, Class:  1, CF:0.171555, Len:  7, Fitness_tra: 0
Rule 91: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 11b2727, Class:  0, CF:0.394958, Len:  7, Fitness_tra: 0
Rule 93: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 2511214, Class:  0, CF:0.750375, Len:  7, Fitness_tra: 0
Rule 96: 0005000, Class:  0, CF:0.905143, Len:  1, Fitness_tra: 1
Rule 97: 1352211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 5311469, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 41b811b, Class:  0, CF:0.918355, Len:  7, Fitness_tra: 0
------Current------
Miss_rate(tra)	:36.1842
------Result------
Miss_rate(tra)	:36.1842
Miss_rate(tst)	:18.1818
ARL				:4.16667

------Generation 1------
Rule  1: 000d0d0, Class:  0, CF:0.896305, Len:  2, Fitness_tra: 0
Rule  2: 4cb1412, Class:  0, CF:0.25855, Len:  7, Fitness_tra: 0
Rule  3: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1c24111, Class:  1, CF:0.243087, Len:  7, Fitness_tra: 0
Rule  5: 1312131, Class:  1, CF:0.894619, Len:  7, Fitness_tra: 0
Rule  6: 33e1119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0000050, Class:  0, CF:0.645666, Len:  1, Fitness_tra: 4
Rule  8: 0600000, Class:  1, CF:0.783853, Len:  1, Fitness_tra: 0
Rule  9: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: d15556d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: d61116d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 03000d0, Class:  1, CF:0.965329, Len:  2, Fitness_tra: 0
Rule 13: 2211114, Class:  0, CF:0.32954, Len:  7, Fitness_tra: 0
Rule 14: 00f0000, Class:  1, CF:0.836083, Len:  1, Fitness_tra: 28
Rule 15: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1181111, Class:  0, CF:0.479437, Len:  7, Fitness_tra: 0
Rule 17: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 5355531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 2274447, Class:  0, CF:0.595556, Len:  7, Fitness_tra: 0
Rule 21: 0000060, Class:  1, CF:0.827606, Len:  1, Fitness_tra: 2
Rule 22: 0300000, Class:  1, CF:0.852336, Len:  1, Fitness_tra: 6
Rule 23: d152111, Class:  0, CF:0.314947, Len:  7, Fitness_tra: 0
Rule 24: 215476d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 4040004, Class:  0, CF:0.683451, Len:  3, Fitness_tra: 23
Rule 26: 1171721, Class:  0, CF:0.0691442, Len:  7, Fitness_tra: 0
Rule 27: 114bb11, Class:  1, CF:0.230307, Len:  7, Fitness_tra: 0
Rule 28: 11172c2, Class:  1, CF:0.00434748, Len:  7, Fitness_tra: 0
Rule 29: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1338211, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 31: 53d2115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0600060, Class:  1, CF:0.586046, Len:  2, Fitness_tra: 0
Rule 33: 8111214, Class:  0, CF:0.780477, Len:  7, Fitness_tra: 0
Rule 34: d111115, Class:  0, CF:0.407238, Len:  7, Fitness_tra: 0
Rule 35: 2521111, Class:  0, CF:0.525773, Len:  7, Fitness_tra: 0
Rule 36: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 221b74b, Class:  0, CF:0.310359, Len:  7, Fitness_tra: 0
Rule 38: 1351b15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: c811451, Class:  0, CF:0.663461, Len:  7, Fitness_tra: 0
Rule 40: 1331411, Class:  1, CF:0.852502, Len:  7, Fitness_tra: 0
Rule 41: 000c000, Class:  0, CF:0.409883, Len:  1, Fitness_tra: 2
Rule 42: 531c165, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 3e18813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 03000d0, Class:  1, CF:0.965329, Len:  2, Fitness_tra: 0
Rule 46: 112142b, Class:  0, CF:0.22436, Len:  7, Fitness_tra: 0
Rule 47: de1b7e8, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 48: 1117431, Class:  1, CF:0.740281, Len:  7, Fitness_tra: 0
Rule 49: c18221c, Class:  0, CF:0.95221, Len:  7, Fitness_tra: 0
Rule 50: 1edcc1d, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 51: 2121412, Class:  0, CF:0.572888, Len:  7, Fitness_tra: 0
Rule 52: 1874417, Class:  0, CF:0.364942, Len:  7, Fitness_tra: 0
Rule 53: 1c42217, Class:  0, CF:0.604673, Len:  7, Fitness_tra: 0
Rule 54: 1c14184, Class:  0, CF:0.0385767, Len:  7, Fitness_tra: 0
Rule 55: 4224114, Class:  0, CF:0.689631, Len:  7, Fitness_tra: 0
Rule 56: 2517151, Class:  0, CF:0.78824, Len:  7, Fitness_tra: 0
Rule 57: 1154198, Class:  0, CF:0.967398, Len:  7, Fitness_tra: 0
Rule 58: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0500000, Class:  0, CF:0.670655, Len:  1, Fitness_tra: 12
Rule 60: d31b135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 254b1c2, Class:  0, CF:0.525461, Len:  7, Fitness_tra: 0
Rule 62: 000d000, Class:  0, CF:0.8672, Len:  1, Fitness_tra: 4
Rule 63: 1111111, Class:  1, CF:0.812033, Len:  7, Fitness_tra: 0
Rule 64: 23211e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 11b222b, Class:  0, CF:0.585696, Len:  7, Fitness_tra: 0
Rule 66: 0000060, Class:  1, CF:0.827606, Len:  1, Fitness_tra: 0
Rule 67: 0b000b0, Class:  1, CF:0.920807, Len:  2, Fitness_tra: 18
Rule 68: 1211421, Class:  0, CF:0.41659, Len:  7, Fitness_tra: 0
Rule 69: 00000e0, Class:  0, CF:0.936508, Len:  1, Fitness_tra: 8
Rule 70: 1824bc4, Class:  0, CF:0.38174, Len:  7, Fitness_tra: 0
Rule 71: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 5fd8231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 2c27bc1, Class:  0, CF:0.292001, Len:  7, Fitness_tra: 0
Rule 74: d11c135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 5000005, Class:  0, CF:0.236599, Len:  2, Fitness_tra: 0
Rule 76: b111424, Class:  0, CF:0.114896, Len:  7, Fitness_tra: 0
Rule 77: 0600000, Class:  1, CF:0.783853, Len:  1, Fitness_tra: 0
Rule 78: 412b112, Class:  0, CF:0.438811, Len:  7, Fitness_tra: 0
Rule 79: 4224b14, Class:  0, CF:0.677574, Len:  7, Fitness_tra: 0
Rule 80: 41147c1, Class:  0, CF:0.0804342, Len:  7, Fitness_tra: 0
Rule 81: 7000000, Class:  0, CF:0.0646166, Len:  1, Fitness_tra: 0
Rule 82: 11b124b, Class:  1, CF:0.139791, Len:  7, Fitness_tra: 0
Rule 83: 511113d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 2122b14, Class:  0, CF:0.524837, Len:  7, Fitness_tra: 0
Rule 87: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 4511bcb, Class:  0, CF:0.588191, Len:  7, Fitness_tra: 0
Rule 89: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 2117b1b, Class:  1, CF:0.171555, Len:  7, Fitness_tra: 0
Rule 91: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 11b2727, Class:  0, CF:0.394958, Len:  7, Fitness_tra: 0
Rule 93: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 2511214, Class:  0, CF:0.750375, Len:  7, Fitness_tra: 0
Rule 96: 0005000, Class:  0, CF:0.905143, Len:  1, Fitness_tra: 1
Rule 97: 1352211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 5311469, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 41b811b, Class:  0, CF:0.918355, Len:  7, Fitness_tra: 0
------Current------
Miss_rate(tra)	:36.1842
------Result------
Miss_rate(tra)	:36.1842
Miss_rate(tst)	:18.1818
ARL				:4.16667

------Generation 2------
Rule  1: 000d0d0, Class:  0, CF:0.896305, Len:  2, Fitness_tra: 0
Rule  2: 4cb1412, Class:  0, CF:0.25855, Len:  7, Fitness_tra: 0
Rule  3: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1c24111, Class:  1, CF:0.243087, Len:  7, Fitness_tra: 0
Rule  5: 1312131, Class:  1, CF:0.894619, Len:  7, Fitness_tra: 0
Rule  6: 33e1119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0000050, Class:  0, CF:0.645666, Len:  1, Fitness_tra: 4
Rule  8: 0600000, Class:  1, CF:0.783853, Len:  1, Fitness_tra: 0
Rule  9: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: d15556d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: d61116d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 03000d0, Class:  1, CF:0.965329, Len:  2, Fitness_tra: 0
Rule 13: 2211114, Class:  0, CF:0.32954, Len:  7, Fitness_tra: 0
Rule 14: 00f0000, Class:  1, CF:0.836083, Len:  1, Fitness_tra: 28
Rule 15: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1181111, Class:  0, CF:0.479437, Len:  7, Fitness_tra: 0
Rule 17: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 5355531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 2274447, Class:  0, CF:0.595556, Len:  7, Fitness_tra: 0
Rule 21: 0000060, Class:  1, CF:0.827606, Len:  1, Fitness_tra: 2
Rule 22: 0300000, Class:  1, CF:0.852336, Len:  1, Fitness_tra: 6
Rule 23: d152111, Class:  0, CF:0.314947, Len:  7, Fitness_tra: 0
Rule 24: 215476d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 4040004, Class:  0, CF:0.683451, Len:  3, Fitness_tra: 23
Rule 26: 1171721, Class:  0, CF:0.0691442, Len:  7, Fitness_tra: 0
Rule 27: 114bb11, Class:  1, CF:0.230307, Len:  7, Fitness_tra: 0
Rule 28: 11172c2, Class:  1, CF:0.00434748, Len:  7, Fitness_tra: 0
