------Generation 0------
Rule  1: d6d421d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 0040004, Class:  0, CF:0.851206, Len:  2, Fitness_tra: 11
Rule 66: 0000004, Class:  0, CF:0.799766, Len:  1, Fitness_tra: 24
Rule 67: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 68: 3331111, Class:  1, CF:0.195696, Len:  7, Fitness_tra: 0
Rule 69: 1352c61, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 21d1215, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 71: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 72: 5111131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 74: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 75: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 76: d000400, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 77: 3311131, Class:  1, CF:0.021526, Len:  7, Fitness_tra: 0
Rule 78: 000000f, Class:  1, CF:0.328505, Len:  1, Fitness_tra: 0
Rule 79: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 80: 5111211, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 81: 5a52c12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 83: 0004000, Class:  0, CF:0.747321, Len:  1, Fitness_tra: 3
Rule 84: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 85: 0b000b0, Class:  1, CF:0.480432, Len:  2, Fitness_tra: 0
Rule 86: 060050d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 88: 1311435, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 5050005, Class:  0, CF:0.0263944, Len:  3, Fitness_tra: 0
Rule 90: 1e91131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 5117118, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 92: 1115111, Class:  0, CF:0.595297, Len:  7, Fitness_tra: 0
Rule 93: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 94: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 95: 4121211, Class:  0, CF:0.804712, Len:  7, Fitness_tra: 0
Rule 96: 00000e0, Class:  0, CF:0.928723, Len:  1, Fitness_tra: 2
Rule 97: 2124212, Class:  0, CF:0.960118, Len:  7, Fitness_tra: 0
Rule 98: 113121d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 3131215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 2112b35, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:19.7917
------Result------
Miss_rate(tra)	:19.7917
Miss_rate(tst)	:20
ARL				:2.87324

------Generation 0------
Rule  1: d6d421d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 23814e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 4
Rule  4: 3952435, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 1155831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 0077000, Class:  0, CF:0.696922, Len:  2, Fitness_tra: 0
Rule  7: 007b000, Class:  0, CF:0.68586, Len:  2, Fitness_tra: 0
Rule  8: 5317133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0007000, Class:  0, CF:0.711494, Len:  1, Fitness_tra: 2
Rule 10: 00b0000, Class:  0, CF:0.367898, Len:  1, Fitness_tra: 0
Rule 11: 00000d0, Class:  0, CF:0.725049, Len:  1, Fitness_tra: 4
Rule 12: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 13: 1ed4411, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 14: 1e5b231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1184218, Class:  0, CF:0.988978, Len:  7, Fitness_tra: 0
Rule 16: 55d1731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: d351211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 5922111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 19: 4040004, Class:  0, CF:0.876248, Len:  3, Fitness_tra: 1
Rule 20: 3135111, Class:  0, CF:0.498289, Len:  7, Fitness_tra: 0
Rule 21: de811e2, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 22: 135176d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 24: 0008000, Class:  0, CF:0.842993, Len:  1, Fitness_tra: 4
Rule 25: 0604700, Class:  1, CF:0.225957, Len:  3, Fitness_tra: 0
Rule 26: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 27: 5151261, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 8614431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 007b000, Class:  0, CF:0.68586, Len:  2, Fitness_tra: 0
Rule 30: 000c000, Class:  0, CF:0.793452, Len:  1, Fitness_tra: 2
Rule 31: 0600000, Class:  1, CF:0.181212, Len:  1, Fitness_tra: 0
Rule 32: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 33: 9e51515, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 34: 5582151, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 35: 5155c11, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 36: 531113d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 5611418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 2552251, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 39: 4040007, Class:  0, CF:0.806643, Len:  3, Fitness_tra: 0
Rule 40: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 41: 0600000, Class:  1, CF:0.181212, Len:  1, Fitness_tra: 0
Rule 42: 161581d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 0008000, Class:  0, CF:0.842993, Len:  1, Fitness_tra: 0
Rule 44: d111115, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 45: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 46: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 47: 1121211, Class:  0, CF:0.654485, Len:  7, Fitness_tra: 0
Rule 48: 339113d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 9391135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1181111, Class:  0, CF:0.86831, Len:  7, Fitness_tra: 0
Rule 51: 0007000, Class:  0, CF:0.711494, Len:  1, Fitness_tra: 0
Rule 52: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 53: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 54: 5050008, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 55: 1355215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 5352835, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 1315111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 58: 500c005, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 59: 11d2411, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 60: 13111e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 62: 53d1711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 2911291, Class:  0, CF:0.976776, Len:  7, Fitness_tra: 0
Rule 64: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 65: 0040004, Class:  0, CF:0.851206, Len:  2, Fitness_tra: 11
Rule 66: 0000004, Class:  0, CF:0.799766, Len:  1, Fitness_tra: 24
Rule 67: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 68: 3331111, Class:  1, CF:0.195696, Len:  7, Fitness_tra: 0
Rule 69: 1352c61, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 21d1215, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 71: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 72: 5111131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 74: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 75: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 76: d000400, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 77: 3311131, Class:  1, CF:0.021526, Len:  7, Fitness_tra: 0
Rule 78: 000000f, Class:  1, CF:0.328505, Len:  1, Fitness_tra: 0
Rule 79: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 80: 5111211, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 81: 5a52c12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 83: 0004000, Class:  0, CF:0.747321, Len:  1, Fitness_tra: 3
Rule 84: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 85: 0b000b0, Class:  1, CF:0.480432, Len:  2, Fitness_tra: 0
Rule 86: 060050d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 88: 1311435, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 5050005, Class:  0, CF:0.0263944, Len:  3, Fitness_tra: 0
Rule 90: 1e91131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 5117118, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 92: 1115111, Class:  0, CF:0.595297, Len:  7, Fitness_tra: 0
Rule 93: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 94: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 95: 4121211, Class:  0, CF:0.804712, Len:  7, Fitness_tra: 0
Rule 96: 00000e0, Class:  0, CF:0.928723, Len:  1, Fitness_tra: 2
Rule 97: 2124212, Class:  0, CF:0.960118, Len:  7, Fitness_tra: 0
Rule 98: 113121d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 3131215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 2112b35, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:19.7917
------Result------
Miss_rate(tra)	:19.7917
Miss_rate(tst)	:20
ARL				:2.87324

------Generation 1------
Rule  1: d6d421d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 23814e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 4
Rule  4: 3952435, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 1155831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 0077000, Class:  0, CF:0.696922, Len:  2, Fitness_tra: 0
Rule  7: 007b000, Class:  0, CF:0.68586, Len:  2, Fitness_tra: 0
Rule  8: 5317133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0007000, Class:  0, CF:0.711494, Len:  1, Fitness_tra: 2
Rule 10: 00b0000, Class:  0, CF:0.367898, Len:  1, Fitness_tra: 0
Rule 11: 00000d0, Class:  0, CF:0.725049, Len:  1, Fitness_tra: 4
Rule 12: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 13: 1ed4411, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 14: 1e5b231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1184218, Class:  0, CF:0.988978, Len:  7, Fitness_tra: 0
Rule 16: 55d1731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: d351211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 5922111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 19: 4040004, Class:  0, CF:0.876248, Len:  3, Fitness_tra: 1
Rule 20: 3135111, Class:  0, CF:0.498289, Len:  7, Fitness_tra: 0
Rule 21: de811e2, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 22: 135176d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 24: 0008000, Class:  0, CF:0.842993, Len:  1, Fitness_tra: 4
Rule 25: 0604700, Class:  1, CF:0.225957, Len:  3, Fitness_tra: 0
Rule 26: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 27: 5151261, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 8614431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 007b000, Class:  0, CF:0.68586, Len:  2, Fitness_tra: 0
Rule 30: 000c000, Class:  0, CF:0.793452, Len:  1, Fitness_tra: 2
Rule 31: 0600000, Class:  1, CF:0.181212, Len:  1, Fitness_tra: 0
Rule 32: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 33: 9e51515, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 34: 5582151, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 35: 5155c11, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 36: 531113d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 5611418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 2552251, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 39: 4040007, Class:  0, CF:0.806643, Len:  3, Fitness_tra: 0
Rule 40: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 41: 0600000, Class:  1, CF:0.181212, Len:  1, Fitness_tra: 0
Rule 42: 161581d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 0008000, Class:  0, CF:0.842993, Len:  1, Fitness_tra: 0
Rule 44: d111115, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 45: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 46: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 47: 1121211, Class:  0, CF:0.654485, Len:  7, Fitness_tra: 0
Rule 48: 339113d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 9391135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1181111, Class:  0, CF:0.86831, Len:  7, Fitness_tra: 0
Rule 51: 0007000, Class:  0, CF:0.711494, Len:  1, Fitness_tra: 0
Rule 52: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 53: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 54: 5050008, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 55: 1355215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 5352835, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 1315111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 58: 500c005, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 59: 11d2411, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 60: 13111e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 62: 53d1711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 2911291, Class:  0, CF:0.976776, Len:  7, Fitness_tra: 0
Rule 64: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 65: 0040004, Class:  0, CF:0.851206, Len:  2, Fitness_tra: 11
Rule 66: 0000004, Class:  0, CF:0.799766, Len:  1, Fitness_tra: 24
Rule 67: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 68: 3331111, Class:  1, CF:0.195696, Len:  7, Fitness_tra: 0
Rule 69: 1352c61, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 21d1215, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 71: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 72: 5111131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 74: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 75: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 76: d000400, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 77: 3311131, Class:  1, CF:0.021526, Len:  7, Fitness_tra: 0
Rule 78: 000000f, Class:  1, CF:0.328505, Len:  1, Fitness_tra: 0
Rule 79: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 80: 5111211, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 81: 5a52c12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 83: 0004000, Class:  0, CF:0.747321, Len:  1, Fitness_tra: 3
Rule 84: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 85: 0b000b0, Class:  1, CF:0.480432, Len:  2, Fitness_tra: 0
Rule 86: 060050d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 88: 1311435, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 5050005, Class:  0, CF:0.0263944, Len:  3, Fitness_tra: 0
Rule 90: 1e91131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 5117118, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 92: 1115111, Class:  0, CF:0.595297, Len:  7, Fitness_tra: 0
Rule 93: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 94: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 95: 4121211, Class:  0, CF:0.804712, Len:  7, Fitness_tra: 0
Rule 96: 00000e0, Class:  0, CF:0.928723, Len:  1, Fitness_tra: 2
Rule 97: 2124212, Class:  0, CF:0.960118, Len:  7, Fitness_tra: 0
Rule 98: 113121d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 3131215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 2112b35, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:19.7917
------Result------
Miss_rate(tra)	:19.7917
Miss_rate(tst)	:20
ARL				:2.87324

------Generation 2------
Rule  1: d6d421d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 23814e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 4
Rule  4: 3952435, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 1155831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 0077000, Class:  0, CF:0.696922, Len:  2, Fitness_tra: 0
Rule  7: 007b000, Class:  0, CF:0.68586, Len:  2, Fitness_tra: 0
Rule  8: 5317133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0007000, Class:  0, CF:0.711494, Len:  1, Fitness_tra: 2
Rule 10: 00b0000, Class:  0, CF:0.367898, Len:  1, Fitness_tra: 0
Rule 11: 00000d0, Class:  0, CF:0.725049, Len:  1, Fitness_tra: 4
Rule 12: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 13: 1ed4411, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 14: 1e5b231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1184218, Class:  0, CF:0.988978, Len:  7, Fitness_tra: 0
Rule 16: 55d1731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: d351211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 5922111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 19: 4040004, Class:  0, CF:0.876248, Len:  3, Fitness_tra: 1
Rule 20: 3135111, Class:  0, CF:0.498289, Len:  7, Fitness_tra: 0
Rule 21: de811e2, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 22: 135176d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 24: 0008000, Class:  0, CF:0.842993, Len:  1, Fitness_tra: 4
Rule 25: 0604700, Class:  1, CF:0.225957, Len:  3, Fitness_tra: 0
Rule 26: 0000000, Class:  0, CF:0.604167, Len:  0, Fitness_tra: 0
Rule 27: 5151261, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 8614431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 007b000, Class:  0, CF:0.68586, Len:  2, Fitness_tra: 0
Rule 30: 000c000, Class:  0, CF:0.793452, Len:  1, Fitness_tra: 2
Rule 31: 0600000, Class:  1, CF:0.181212, Len:  1, Fitness_tra: 0
