------Generation 0------
Rule  1: 11f11ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 73fa131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 1563399, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 511f161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 25f1d55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 11f1111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 70: 8131181, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 71: 111a351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 29f1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 153f111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 74: 51ff98d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 173a311, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 76: 11a6e1e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: d51f541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: d361511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 55af113, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 80: 31aa931, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 21ffd25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 25ff585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 16aa585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 111a513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: c5f1dc2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 1833118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 5dfa812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 1513169, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 1bfa122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 121ae33, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 11a1131, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 92: 151a122, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 93: 391f511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 17f3e13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 0000e00, Class:  1, CF:0.966588, Len:  1, Fitness_tra: 6
Rule 96: 1566528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 11ff112, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 98: 0000020, Class:  0, CF:0.0728877, Len:  1, Fitness_tra: 0
Rule 99: 116f1d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:56.1056
------Result------
Miss_rate(tra)	:56.1056
Miss_rate(tst)	:60.6061
ARL				:4.76

------Generation 0------
Rule  1: 0000020, Class:  0, CF:0.0728877, Len:  1, Fitness_tra: 131
Rule  2: 0000600, Class:  0, CF:  1, Len:  1, Fitness_tra: 28
Rule  3: 0000e00, Class:  1, CF:0.966588, Len:  1, Fitness_tra: 10
Rule  4: 0000030, Class:  0, CF:0.0179339, Len:  1, Fitness_tra: 19
Rule  5: 11f11ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 1d63181, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  7: 3536117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 111a11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 111a333, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 10: 513f11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 85131d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 85ffd11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 8133112, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 14: 11f1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 111a551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 35af111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1daf581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 11f1111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 19: 19f1ddd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1133d81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 11161c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: e9a6151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1511311, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 24: 45a15c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 9d66218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 196a313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1da3111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 28: 1161318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 99fa181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1176311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 353a188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 51165c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 16f6158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: d2a6521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 716113e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 35bf531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 11f6218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 39: 116f1d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 116f512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1116511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 11fa5d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 33aa552, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1131dcc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: e1f1551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 1b61131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: e6f3251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 8566512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1133917, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 12af133, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 51: 11af941, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 15f1911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1c63511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 11ff93e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 143ad82, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 58a6dd3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 113a521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 9d1613e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 141f512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 55a311c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 1916591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 2d16115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 21aa112, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 64: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 65: 73fa131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 1563399, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 511f161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 25f1d55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 11f1111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 70: 8131181, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 71: 111a351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 29f1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 153f111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 74: 51ff98d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 173a311, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 76: 11a6e1e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: d51f541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: d361511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 55af113, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 80: 31aa931, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: c53a1c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 85a1555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 11a1313, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 84: 91af939, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 11a6163, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: e11f931, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: e133113, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 88: 223f131, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 89: 113a561, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 000000d, Class:  0, CF:0.952369, Len:  1, Fitness_tra: 99
Rule 91: 511a351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 251f165, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: e10122e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 156a323, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 95: 15afe1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 561a123, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: e613511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 1107ec0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 33ea551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 11c6522, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:2.64026
------Result------
Miss_rate(tra)	:2.64026
Miss_rate(tst)	:3.0303
ARL				:5.16667

------Generation 1------
Rule  1: 0000020, Class:  0, CF:0.0728877, Len:  1, Fitness_tra: 91
Rule  2: 000000d, Class:  0, CF:0.952369, Len:  1, Fitness_tra: 97
Rule  3: 0000600, Class:  0, CF:  1, Len:  1, Fitness_tra: 28
Rule  4: 0000030, Class:  0, CF:0.0179339, Len:  1, Fitness_tra: 19
Rule  5: 0000e00, Class:  1, CF:0.966588, Len:  1, Fitness_tra: 10
Rule  6: 11f11ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 3536117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 111a11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 111a333, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 10: 513f11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 85131d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 85ffd11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 8133112, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 14: 11f1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 111a551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 35af111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1daf581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 11f1111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 19: 19f1ddd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1133d81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 11161c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: e9a6151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1511311, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 24: 45a15c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 9d66218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 196a313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1da3111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 28: 1161318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 99fa181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1176311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 353a188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 51165c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 16f6158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: d2a6521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 716113e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 35bf531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 11f6218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 39: 116f1d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 116f512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1116511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 11fa5d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 33aa552, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1131dcc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: e1f1551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 1b61131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: e6f3251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 8566512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1133917, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 12af133, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 51: 11af941, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 15f1911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1c63511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 11ff93e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 143ad82, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 58a6dd3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 113a521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 9d1613e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 141f512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 55a311c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 1916591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 2d16115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 21aa112, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 64: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 65: 73fa131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 1563399, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 511f161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 25f1d55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 11f1111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 70: 8131181, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 71: 111a351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 29f1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 153f111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 74: 51ff98d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 173a311, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 76: 11a6e1e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: d51f541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: d361511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 55af113, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 80: 31aa931, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 51af172, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 82: 11f3911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 151a122, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 84: 35f6112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 0000e00, Class:  1, CF:0.966588, Len:  0, Fitness_tra: 0
Rule 86: 0000080, Class:  1, CF:0.132194, Len:  1, Fitness_tra: -42
Rule 87: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 88: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 89: e1fa2d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 11e0951, Class:  1, CF:0.27369, Len:  6, Fitness_tra: 0
Rule 91: 9d1313e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 771f165, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 5110121, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 94: e1ff13e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 110dec0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: d161511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 35b5581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 84311bc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 14a61e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 963b839, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:16.5017
------Result------
Miss_rate(tra)	:16.5017
Miss_rate(tst)	:24.2424
ARL				:4.83333

------Generation 2------
Rule  1: 0000020, Class:  0, CF:0.0728877, Len:  1, Fitness_tra: 91
Rule  2: 000000d, Class:  0, CF:0.952369, Len:  1, Fitness_tra: 97
Rule  3: 0000600, Class:  0, CF:  1, Len:  1, Fitness_tra: 28
Rule  4: 0000030, Class:  0, CF:0.0179339, Len:  1, Fitness_tra: 19
Rule  5: 0000e00, Class:  1, CF:0.966588, Len:  1, Fitness_tra: 10
Rule  6: 11f11ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 3536117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 111a11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 111a333, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 10: 513f11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 85131d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 85ffd11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 8133112, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 14: 11f1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 111a551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 35af111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1daf581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 11f1111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 19: 19f1ddd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1133d81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 11161c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: e9a6151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1511311, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 24: 45a15c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 9d66218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 196a313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1da3111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 28: 1161318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 99fa181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1176311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 353a188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 51165c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 16f6158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: d2a6521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
