------Generation 0------
Rule  1: 95ffd15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1516131, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 40: 3a66151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000900, Class:  1, CF:0.892114, Len:  1, Fitness_tra: 9
Rule 42: 9131815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 151a5c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 5531d2d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 151f111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 46: 251fd15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 0000090, Class:  0, CF:  1, Len:  1, Fitness_tra: 34
Rule 48: 1d1a15d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 000000d, Class:  0, CF:0.952475, Len:  1, Fitness_tra: 86
Rule 50: e1f6333, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 51: 15aa181, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 52: 0000a00, Class:  0, CF:0.270298, Len:  1, Fitness_tra: 1
Rule 53: d1f111e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 33411d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1131911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 21a6522, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 55fa533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 15a6dc8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 60: 1511919, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 62: 113f111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 63: 5563912, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 65: 8116d22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 451a111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 67: 45a1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 113fe21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 111ad22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 11f6133, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 71: 11ffd51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 17f1911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 74: 0a00a0d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 256a311, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 76: 19a1313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 151a511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 39ba191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 11f6111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 80: ddaf221, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 81: 116fdd1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 411a511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 11a3551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 11f6166, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 21fa128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 111a188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 116a132, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 88: 153fd51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 11a15d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 11a611d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 13a6131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 3d3a913, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 13a3513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 0000600, Class:  0, CF:0.267449, Len:  1, Fitness_tra: 0
Rule 95: 5000500, Class:  1, CF:0.783979, Len:  2, Fitness_tra: -24
Rule 96: 1136155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 27f1521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 216f115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 256f555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 211a121, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
------Current------
Miss_rate(tra)	:47.0199
------Result------
Miss_rate(tra)	:47.0199
Miss_rate(tst)	:50
ARL				:4.31429

------Generation 0------
Rule  1: 000000d, Class:  0, CF:0.952475, Len:  1, Fitness_tra: 86
Rule  2: 0000090, Class:  0, CF:  1, Len:  1, Fitness_tra: 34
Rule  3: 0000600, Class:  0, CF:0.267449, Len:  1, Fitness_tra: 20
Rule  4: 0000900, Class:  1, CF:0.892114, Len:  1, Fitness_tra: 8
Rule  5: 0000a00, Class:  0, CF:0.270298, Len:  1, Fitness_tra: 1
Rule  6: 00000d4, Class:  0, CF:0.186601, Len:  2, Fitness_tra: 8
Rule  7: 95ffd15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1131134, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  9: 11f3111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 10: 21aa131, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 11: 41ff588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: e3f1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1161225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 25fa111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 15: 111f111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 16: 211a121, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 17: 1136151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 113a921, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1131916, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1166d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 196f311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 553a111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 23: 11af111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 24: 1176191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1136215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 9df1531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: e1af511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 7161521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1116211, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 30: 81fa5d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: ed161e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1216588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 34: 91fae31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 11fad18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 15661e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: e3aa1d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 39: 1516131, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 40: 3a66151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 116ae21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 9131815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 151a5c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 5531d2d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 151f111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 46: 251fd15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 283ad15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1d1a15d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 75ff551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: e1f6333, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 51: 15aa181, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 52: 11ff151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: d1f111e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 33411d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1131911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 21a6522, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 55fa533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 15a6dc8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 60: 1511919, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 62: 113f111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 63: 5563912, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 65: 8116d22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 451a111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 67: 45a1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 113fe21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 111ad22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 11f6133, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 71: 11ffd51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 17f1911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 74: 0a00a0d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 256a311, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 76: 19a1313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 151a511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 39ba191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 11f6111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 80: ddaf221, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 81: eeaf111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 16af512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: d166111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 84: 1b1f115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 2d1a825, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 11af588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 21af181, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 88: 5000500, Class:  1, CF:0.783979, Len:  2, Fitness_tra: -26
Rule 89: 21a3d18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 1163d8d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 01a1625, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 2631135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 1366d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 10a0513, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 95: 5512212, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 96: d1f191e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 70ff054, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 253fd15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 216f110, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule100: 00000d4, Class:  0, CF:0.186601, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:44.702
------Result------
Miss_rate(tra)	:44.702
Miss_rate(tst)	:47.0588
ARL				:4.7027

------Generation 1------
Rule  1: 000000d, Class:  0, CF:0.952475, Len:  1, Fitness_tra: 86
Rule  2: 0000090, Class:  0, CF:  1, Len:  1, Fitness_tra: 34
Rule  3: 0000600, Class:  0, CF:0.267449, Len:  1, Fitness_tra: 20
Rule  4: 0000900, Class:  1, CF:0.892114, Len:  1, Fitness_tra: 8
Rule  5: 0000a00, Class:  0, CF:0.270298, Len:  1, Fitness_tra: 1
Rule  6: 00000d4, Class:  0, CF:0.186601, Len:  2, Fitness_tra: 8
Rule  7: 95ffd15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1131134, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  9: 11f3111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 10: 21aa131, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 11: 41ff588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: e3f1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1161225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 25fa111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 15: 111f111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 16: 211a121, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 17: 1136151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 113a921, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1131916, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1166d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 196f311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 553a111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 23: 11af111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 24: 1176191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1136215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 9df1531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: e1af511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 7161521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1116211, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 30: 81fa5d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: ed161e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1216588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 34: 91fae31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 11fad18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 15661e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: e3aa1d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 39: 1516131, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 40: 3a66151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 116ae21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 9131815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 151a5c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 5531d2d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 151f111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 46: 251fd15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 283ad15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1d1a15d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 75ff551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: e1f6333, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 51: 15aa181, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 52: 11ff151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: d1f111e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 33411d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1131911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 21a6522, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 55fa533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 15a6dc8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 60: 1511919, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 62: 113f111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 63: 5563912, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 65: 8116d22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 451a111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 67: 45a1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 113fe21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 111ad22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 11f6133, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 71: 11ffd51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 17f1911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 74: 0a00a0d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 256a311, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 76: 19a1313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 151a511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 39ba191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 11f6111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 80: ddaf221, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 81: eeaf111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 16af512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: d166111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 84: 1b1f115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 2d1a825, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 11af588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 21af181, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 88: 5000500, Class:  1, CF:0.783979, Len:  2, Fitness_tra: -26
Rule 89: 21a3d18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 1163d8d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 01a1625, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 2631135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 1366d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 10a0513, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 95: 5512212, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 96: d1f191e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 70ff054, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 253fd15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 216f110, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule100: 00000d4, Class:  0, CF:0.186601, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:44.702
------Result------
Miss_rate(tra)	:44.702
Miss_rate(tst)	:47.0588
ARL				:4.7027

------Generation 2------
Rule  1: 000000d, Class:  0, CF:0.952475, Len:  1, Fitness_tra: 86
Rule  2: 0000090, Class:  0, CF:  1, Len:  1, Fitness_tra: 34
Rule  3: 0000600, Class:  0, CF:0.267449, Len:  1, Fitness_tra: 20
Rule  4: 0000900, Class:  1, CF:0.892114, Len:  1, Fitness_tra: 8
Rule  5: 0000a00, Class:  0, CF:0.270298, Len:  1, Fitness_tra: 1
Rule  6: 00000d4, Class:  0, CF:0.186601, Len:  2, Fitness_tra: 8
Rule  7: 95ffd15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1131134, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  9: 11f3111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 10: 21aa131, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 11: 41ff588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: e3f1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1161225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 25fa111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 15: 111f111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 16: 211a121, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 17: 1136151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 113a921, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1131916, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1166d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 196f311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 553a111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 23: 11af111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 24: 1176191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1136215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 9df1531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: e1af511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 7161521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1116211, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 30: 81fa5d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: ed161e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1216588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
