------Generation 0------
Rule  1: 000c60c000500, Class:  1, CF:0.178576, Len:  4, Fitness_tra: -4
Rule 43: 0003006004000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000e20e5d0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 4231552121885, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 0008003000024, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 77782d61e1d28, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 000020e900000, Class:  9, CF:0.562562, Len:  3, Fitness_tra: -13
Rule 49: 0000500002000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 61fdd35515851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b265211e18125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000d300800000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 4228e9c12991e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 111d2131111d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000c000000, Class: 10, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 0000308000d40, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 27b839c829953, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000d0050a000d, Class:  2, CF:0.902511, Len:  4, Fitness_tra: 6
Rule 60: 42731222e131d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 0000000000008, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 3378511362d15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000d000400e0e, Class:  6, CF:  1, Len:  4, Fitness_tra: 1
Rule 64: 0000000803000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 63155158118d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: fa325165128d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 11b1423561922, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 41b1311b1111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 0007000590000, Class:  0, CF:0.147468, Len:  3, Fitness_tra: -7
Rule 70: 1af5559c11113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: f3b115919dd2c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 6a381113245c1, Class: 10, CF:0.37794, Len: 13, Fitness_tra: -31
Rule 73: 000c00000e000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 71f981c321311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 00000300c0000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000d820800000, Class:  3, CF:0.050755, Len:  4, Fitness_tra: -74
Rule 77: 0800d3c980000, Class:  8, CF:  1, Len:  6, Fitness_tra: 1
Rule 78: 00000000000a0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 0000290030570, Class:  6, CF:0.30932, Len:  5, Fitness_tra: -20
Rule 80: b4734cc5e5158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 0000000809005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 71119514c5e15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: b21c111159828, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0000000090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 0002000b0ed00, Class:  7, CF:0.163863, Len:  4, Fitness_tra: -5
Rule 86: 1329518c5125d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 000e000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 19b5213911311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000cde0000000, Class:  6, CF:0.884432, Len:  3, Fitness_tra: -1
Rule 90: 1569d1c51328d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 000000d000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: b1411952e5591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: bd6111315d1d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 00000300c0000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 00008000d0000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: bc615185d5d18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 0000a0040000d, Class:  0, CF:0.831904, Len:  3, Fitness_tra: 14
Rule 99: 00000000000c0, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 71325d1585251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:75.4209
------Result------
Miss_rate(tra)	:75.4209
Miss_rate(tst)	:75.7576
ARL				:5.54545

------Generation 0------
Rule  1: 0000a0040000d, Class:  0, CF:0.831904, Len:  3, Fitness_tra: 14
Rule  2: 0000e0000800c, Class:  7, CF:0.352233, Len:  3, Fitness_tra: 19
Rule  3: 000d0050a000d, Class:  2, CF:0.902511, Len:  4, Fitness_tra: 6
Rule  4: 000080e90000c, Class:  9, CF:0.981218, Len:  4, Fitness_tra: 2
Rule  5: 000c0e0000e00, Class:  6, CF:0.998381, Len:  3, Fitness_tra: 0
Rule  6: 0002000400e0e, Class:  6, CF:0.878754, Len:  4, Fitness_tra: 2
Rule  7: 000d000400e0e, Class:  6, CF:  1, Len:  4, Fitness_tra: 1
Rule  8: 0800d3c980000, Class:  8, CF:  1, Len:  6, Fitness_tra: 0
Rule  9: 71325d1585251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0000005000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 00000000c0002, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 3312211d15113, Class:  2, CF:0.160255, Len: 13, Fitness_tra: -5
Rule 13: 6aad5d31d5c8e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 161d11113981e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000000000008, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 0000830030570, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000080e000000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 00000080d0d53, Class: 10, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000d5000058e0, Class:  6, CF:  1, Len:  5, Fitness_tra: 2
Rule 23: 0009006004000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000c000000005, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 22b11311c5915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: f97d525181832, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0000400000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 3979512125321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000d000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000000000d000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0004000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 000ec400000cd, Class:  3, CF:0.510168, Len:  5, Fitness_tra: 3
Rule 33: 000c000c80000, Class: 10, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: a663152515129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 61125d11ad515, Class:  7, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: 00000000900d0, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 0000005040ed0, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 03070f6200539, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: f9bcd852151c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 0004000000de0, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000d00000e000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 0003006004000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 000e20e5d0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 4231552121885, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 0008003000024, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 77782d61e1d28, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 0000500002000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 61fdd35515851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: b265211e18125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000d300800000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 4228e9c12991e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 111d2131111d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000c000000, Class: 10, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 0000308000d40, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 27b839c829953, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 1aa2511e121c3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 42731222e131d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0000000000008, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 3378511362d15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 171118353511d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 0000000803000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 63155158118d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: fa325165128d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 11b1423561922, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 41b1311b1111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1af5559c11113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: f3b115919dd2c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000c00000e000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 71f981c321311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 00000300c0000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 11ad5111c52d6, Class:  4, CF:  1, Len: 13, Fitness_tra: 2
Rule 73: 00000000000a0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: b4734cc5e5158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 0000000809005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 71119514c5e15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: b21c111159828, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 0000000090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 1329518c5125d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 000e000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 0300d00020000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 1ca519212152d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 00000000050d0, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: b1b2113887116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000c0e0000900, Class:  6, CF:0.997815, Len:  3, Fitness_tra: 5
Rule 86: ffa1593184511, Class:  7, CF:  1, Len: 13, Fitness_tra: 0
Rule 87: 4b238112d8815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: a1751d1923551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 331221ed35112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0300000000000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 422e09c00901e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 0205211e10020, Class:  2, CF:0.59603, Len:  8, Fitness_tra: 3
Rule 93: 3510211700113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 007d505180032, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: fd6911c11322d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 03070fc20c539, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 0201502000885, Class:  7, CF:0.657894, Len:  7, Fitness_tra: -30
Rule 98: b9bcd882d5118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 0006005040000, Class:  9, CF:0.119048, Len:  3, Fitness_tra: -24
Rule100: 02bd800990000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:79.798
------Result------
Miss_rate(tra)	:79.798
Miss_rate(tst)	:77.7778
ARL				:6.33333

------Generation 1------
Rule  1: 0000e0000800c, Class:  7, CF:0.352233, Len:  3, Fitness_tra: 20
Rule  2: 0000a0040000d, Class:  0, CF:0.831904, Len:  3, Fitness_tra: 14
Rule  3: 000d0050a000d, Class:  2, CF:0.902511, Len:  4, Fitness_tra: 6
Rule  4: 000c0e0000900, Class:  6, CF:0.997815, Len:  3, Fitness_tra: 4
Rule  5: 0205211e10020, Class:  2, CF:0.59603, Len:  8, Fitness_tra: 3
Rule  6: 000ec400000cd, Class:  3, CF:0.510168, Len:  5, Fitness_tra: 3
Rule  7: 000080e90000c, Class:  9, CF:0.981218, Len:  4, Fitness_tra: 1
Rule  8: 0002000400e0e, Class:  6, CF:0.878754, Len:  4, Fitness_tra: 0
Rule  9: 000d5000058e0, Class:  6, CF:  1, Len:  5, Fitness_tra: 1
Rule 10: 11ad5111c52d6, Class:  4, CF:  1, Len: 13, Fitness_tra: 2
Rule 11: 000d000400e0e, Class:  6, CF:  1, Len:  4, Fitness_tra: 1
Rule 12: 0800d3c980000, Class:  8, CF:  1, Len:  6, Fitness_tra: 1
Rule 13: 6aad5d31d5c8e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 161d11113981e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000000000008, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 0000830030570, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000080e000000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 00000080d0d53, Class: 10, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 71325d1585251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0009006004000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000c000000005, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 22b11311c5915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: f97d525181832, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0000400000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 3979512125321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000d000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000000000d000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0004000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 000c0e0000e00, Class:  6, CF:0.998381, Len:  3, Fitness_tra: 0
Rule 33: 000c000c80000, Class: 10, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: a663152515129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 61125d11ad515, Class:  7, CF:  1, Len: 13, Fitness_tra: 4
Rule 36: 00000000900d0, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 0000005040ed0, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 03070f6200539, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: f9bcd852151c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 0004000000de0, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000d00000e000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 0003006004000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 000e20e5d0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 4231552121885, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 0008003000024, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 77782d61e1d28, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 0000500002000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 61fdd35515851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: b265211e18125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000d300800000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 4228e9c12991e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 111d2131111d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000c000000, Class: 10, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 0000308000d40, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 27b839c829953, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 1aa2511e121c3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 42731222e131d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0000000000008, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 3378511362d15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 171118353511d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 0000000803000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 63155158118d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: fa325165128d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 11b1423561922, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 41b1311b1111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1af5559c11113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: f3b115919dd2c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000c00000e000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 71f981c321311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 00000300c0000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 0000005000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 00000000000a0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: b4734cc5e5158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 0000000809005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 71119514c5e15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: b21c111159828, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 0000000090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 1329518c5125d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 000e000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 211413157cc81, Class:  3, CF:0.110165, Len: 13, Fitness_tra: -12
Rule 82: 020b0f6800539, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 00080060e000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000d8000005d0, Class:  4, CF:0.117262, Len:  4, Fitness_tra: -13
Rule 85: 63a1dc1d21813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 3975981219551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 000000000d000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 21b8513c84361, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 0008049030045, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 4115c11ed821e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 1a0d000411e1e, Class:  6, CF:  1, Len:  9, Fitness_tra: 0
Rule 92: 0300000000000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 3209711e15021, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 3510201700d13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 000c00000d000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 0e0080e9c000c, Class:  9, CF:0.884065, Len:  6, Fitness_tra: 0
Rule 97: a000038030d53, Class: 10, CF:0.441447, Len:  7, Fitness_tra: -2
Rule 98: 0300000005000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 0002000400e04, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 6318a104058d5, Class:  1, CF:  1, Len: 11, Fitness_tra: 0
------Current------
Miss_rate(tra)	:82.8283
------Result------
Miss_rate(tra)	:82.8283
Miss_rate(tst)	:81.8182
ARL				:6.4

------Generation 2------
Rule  1: 0000e0000800c, Class:  7, CF:0.352233, Len:  3, Fitness_tra: 20
Rule  2: 0000a0040000d, Class:  0, CF:0.831904, Len:  3, Fitness_tra: 14
Rule  3: 000d0050a000d, Class:  2, CF:0.902511, Len:  4, Fitness_tra: 6
Rule  4: 000c0e0000900, Class:  6, CF:0.997815, Len:  3, Fitness_tra: 4
Rule  5: 0205211e10020, Class:  2, CF:0.59603, Len:  8, Fitness_tra: 3
Rule  6: 000ec400000cd, Class:  3, CF:0.510168, Len:  5, Fitness_tra: 3
Rule  7: 000080e90000c, Class:  9, CF:0.981218, Len:  4, Fitness_tra: 1
Rule  8: 0002000400e0e, Class:  6, CF:0.878754, Len:  4, Fitness_tra: 0
Rule  9: 000d5000058e0, Class:  6, CF:  1, Len:  5, Fitness_tra: 1
Rule 10: 11ad5111c52d6, Class:  4, CF:  1, Len: 13, Fitness_tra: 2
Rule 11: 000d000400e0e, Class:  6, CF:  1, Len:  4, Fitness_tra: 1
Rule 12: 0800d3c980000, Class:  8, CF:  1, Len:  6, Fitness_tra: 1
Rule 13: 6aad5d31d5c8e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
