------Generation 0------
Rule  1: f315153d31921, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 71132de5c8259, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 6124115259511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: b81e3d5121119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: bdf54113521ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000000000d0, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: f923925525381, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 71f3d19551154, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 00002000d0000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0200d00020000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 714953c8cd235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 0000000900070, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000d000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 0600cd003e0dc, Class:  9, CF:  1, Len:  7, Fitness_tra: 1
Rule 41: 0000d30d00c00, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 31fc11811151d, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 3119511d51181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 61b1115551555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: b2a1299312153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: bd191d8221e15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: b1721d322e111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 31713d955113d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: a1b2216163222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1812515915d28, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: f171585211155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 0600c0009e0dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0008000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: f671251911152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 11a31d8415e85, Class:  7, CF:  1, Len: 13, Fitness_tra: 0
Rule 56: 0008000000d00, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 75f81151d9512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 181d111355811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 42398112519d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 0000300800000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 00000000000b0, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 36fd2111282d3, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: aa11159515156, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: f149182285585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 0000009000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000b065ec0008, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 0304d00000000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 0007000000000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 6e2e55d119852, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 22b19131811f3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 000d000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1149211815158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: b563111515c1e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: a361111355111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 00000064009ea, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 4149c1121d511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0009000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000009000000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 0000000000002, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 0003902020000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 4819cd131511e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 72732752a5115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 71291e58813e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 3345181335d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 0505c0000900c, Class:  6, CF:0.133502, Len:  5, Fitness_tra: 3
Rule 86: b8a12d5d11152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 0000d90d00c00, Class:  9, CF:0.789609, Len:  4, Fitness_tra: 4
Rule 88: 48f58d9115119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 0007000d00c80, Class: 10, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0007000090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 10300d0400005, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000d011128080, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 0600cd003e0dc, Class:  9, CF:  1, Len:  0, Fitness_tra: 0
Rule 94: 0001893012003, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 6113d28313b15, Class:  6, CF:  1, Len: 13, Fitness_tra: 2
Rule 96: b81e11112d119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 0005150870921, Class:  5, CF:0.220268, Len:  8, Fitness_tra: 0
Rule 98: 0011109015056, Class:  9, CF:  1, Len:  8, Fitness_tra: 1
Rule 99: 4671711355211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: ae07050001112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:85.7464
------Result------
Miss_rate(tra)	:85.7464
Miss_rate(tst)	:84.8485
ARL				:6.68421

------Generation 1------
Rule  1: 000e803000000, Class:  3, CF:0.98352, Len:  3, Fitness_tra: 17
Rule  2: 0000e000020dc, Class:  7, CF:0.868199, Len:  4, Fitness_tra: 17
Rule  3: 000cc00900008, Class:  1, CF:0.53977, Len:  4, Fitness_tra: 10
Rule  4: 0300e00000000, Class:  7, CF:0.63272, Len:  2, Fitness_tra: 11
Rule  5: 000c0e0000e00, Class:  6, CF:0.99888, Len:  3, Fitness_tra: 7
Rule  6: 000d0050a000d, Class:  2, CF:0.898674, Len:  4, Fitness_tra: 5
Rule  7: 0000000000e90, Class:  7, CF:0.764416, Len:  2, Fitness_tra: 3
Rule  8: 00000e0e00000, Class:  0, CF:  1, Len:  2, Fitness_tra: 2
Rule  9: 6111d21353118, Class:  8, CF:0.968211, Len: 13, Fitness_tra: 1
Rule 10: 6fa1513215116, Class:  4, CF:  1, Len: 13, Fitness_tra: 1
Rule 11: aa313c8219121, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 12: 03000cc006c05, Class:  2, CF:  1, Len:  6, Fitness_tra: 1
Rule 13: f315153d31921, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 242185555e59d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 486151e1121d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: b11111124d31c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 44715554d1811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 25f1118c1d118, Class: 10, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000d000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 241e815d95131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0000000000080, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1268111311411, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00050000d0d00, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 18a2153313119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 0000500d00000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000000e000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 71132de5c8259, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 6124115259511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: b81e3d5121119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: bdf54113521ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000000000d0, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: f923925525381, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 71f3d19551154, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 00002000d0000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0200d00020000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 714953c8cd235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 0000000900070, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000d000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 0600cd003e0dc, Class:  9, CF:  1, Len:  7, Fitness_tra: 1
Rule 41: 0000d30d00c00, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 31fc11811151d, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 3119511d51181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 61b1115551555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: b2a1299312153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: bd191d8221e15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: b1721d322e111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 31713d955113d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: a1b2216163222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1812515915d28, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: f171585211155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 0600c0009e0dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0008000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: f671251911152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 11a31d8415e85, Class:  7, CF:  1, Len: 13, Fitness_tra: 0
Rule 56: 0008000000d00, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 75f81151d9512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 181d111355811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 42398112519d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 0000300800000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 00000000000b0, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 36fd2111282d3, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: aa11159515156, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: f149182285585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 0000009000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000b065ec0008, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 0304d00000000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 0007000000000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 6e2e55d119852, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 22b19131811f3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 000d000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1149211815158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: b563111515c1e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: a361111355111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 00000064009ea, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 4149c1121d511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0009000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000009000000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 0000000000002, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 0003902020000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 4819cd131511e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 72732752a5115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 71291e58813e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 3345181335d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 0505c0000900c, Class:  6, CF:0.133502, Len:  5, Fitness_tra: 3
Rule 86: b8a12d5d11152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 0000d90d00c00, Class:  9, CF:0.789609, Len:  4, Fitness_tra: 4
Rule 88: 48f58d9115119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 0007000d00c80, Class: 10, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0007000090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 10300d0400005, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000d011128080, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 0600cd003e0dc, Class:  9, CF:  1, Len:  0, Fitness_tra: 0
Rule 94: 0001893012003, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 6113d28313b15, Class:  6, CF:  1, Len: 13, Fitness_tra: 2
Rule 96: b81e11112d119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 0005150870921, Class:  5, CF:0.220268, Len:  8, Fitness_tra: 0
Rule 98: 0011109015056, Class:  9, CF:  1, Len:  8, Fitness_tra: 1
Rule 99: 4671711355211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: ae07050001112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:85.7464
------Result------
Miss_rate(tra)	:85.7464
Miss_rate(tst)	:84.8485
ARL				:6.68421

------Generation 2------
Rule  1: 000e803000000, Class:  3, CF:0.98352, Len:  3, Fitness_tra: 17
Rule  2: 0000e000020dc, Class:  7, CF:0.868199, Len:  4, Fitness_tra: 17
Rule  3: 000cc00900008, Class:  1, CF:0.53977, Len:  4, Fitness_tra: 10
Rule  4: 0300e00000000, Class:  7, CF:0.63272, Len:  2, Fitness_tra: 11
Rule  5: 000c0e0000e00, Class:  6, CF:0.99888, Len:  3, Fitness_tra: 7
Rule  6: 000d0050a000d, Class:  2, CF:0.898674, Len:  4, Fitness_tra: 5
Rule  7: 0000000000e90, Class:  7, CF:0.764416, Len:  2, Fitness_tra: 3
Rule  8: 00000e0e00000, Class:  0, CF:  1, Len:  2, Fitness_tra: 2
Rule  9: 6111d21353118, Class:  8, CF:0.968211, Len: 13, Fitness_tra: 1
Rule 10: 6fa1513215116, Class:  4, CF:  1, Len: 13, Fitness_tra: 1
Rule 11: aa313c8219121, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 12: 03000cc006c05, Class:  2, CF:  1, Len:  6, Fitness_tra: 1
Rule 13: f315153d31921, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 242185555e59d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 486151e1121d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
