------Generation 0------
Rule  1: 13f11c11312c5, Class:  0, CF:  1, Len: 13, Fitness_tra: 6
Rule 50: 33118191212d1, Class:  1, CF:0.310752, Len: 13, Fitness_tra: 1
Rule 51: b81123e321811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 7569dd818e515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 2215d1e11265e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: b4281e2c8915e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 72151335728d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 362295185e51d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: a63d115125523, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 58: b1b2112c83119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 7448c81865158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 4113c1283139d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: a3481551d1915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: a622213518d55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1145211c55313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: a3311d5d55511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 31431282111d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: a362811112551, Class:  0, CF:0.829939, Len: 13, Fitness_tra: 8
Rule 67: 6121281115311, Class:  1, CF:0.561437, Len: 13, Fitness_tra: -28
Rule 68: b2b13532195e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 0007000530000, Class:  1, CF:0.476683, Len:  3, Fitness_tra: -84
Rule 70: a1fd883219c1e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: aeb55d3311d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1aa11139515c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 3335951d51151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 28f38d51c1d11, Class:  1, CF:0.933521, Len: 13, Fitness_tra: 2
Rule 75: 3a1515dd8d821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 4475151123513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: b23c912119311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: b415518181111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 113811e11512e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 2846182d15155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 2511dddd1dc11, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 82: 722293e221e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 7728111e11811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: f63112855121e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 22111d315153d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: f94394d83d11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 211513158d591, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 88: 1375c11da1528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 0d050000d0009, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 90: 281dd1c21e121, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 91: 7749d131d9515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 21b2515895191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 6e71122119911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: bdf1133a3d221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 131195391822a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 691913d815111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 2c6c192113d81, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 98: f111e21251112, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 99: b111151551c83, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 21ac5d1918153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:35.6902
------Result------
Miss_rate(tra)	:35.6902
Miss_rate(tst)	:37.3737
ARL				:10.9655

------Generation 0------
Rule  1: 0008000c80000, Class:  0, CF:0.9029, Len:  3, Fitness_tra: 385
Rule  2: 00080000000dd, Class:  0, CF:0.769541, Len:  3, Fitness_tra: 58
Rule  3: 0004000000de0, Class:  0, CF:0.924041, Len:  3, Fitness_tra: 21
Rule  4: f11121111112c, Class:  0, CF:0.0415293, Len: 13, Fitness_tra: 17
Rule  5: 000080e300000, Class:  0, CF:0.709576, Len:  3, Fitness_tra: 13
Rule  6: 612b111118851, Class:  0, CF:0.721069, Len: 13, Fitness_tra: 7
Rule  7: a362811112551, Class:  0, CF:0.829939, Len: 13, Fitness_tra: 5
Rule  8: 2c6c192113d81, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule  9: 13f11c11312c5, Class:  0, CF:  1, Len: 13, Fitness_tra: 6
Rule 10: 28f38d51c1d11, Class:  1, CF:0.933521, Len: 13, Fitness_tra: 1
Rule 11: 36f1e82111185, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 12: 13111595c5211, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 13: 1111d13112813, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 14: 3313112d99113, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 15: 33118191212d1, Class:  1, CF:0.310752, Len: 13, Fitness_tra: 1
Rule 16: a63d115125523, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 17: 63191213d1111, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 18: f9b8915191111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 6af11d9115853, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 20: 74b5183111595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: aeb9851121138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 7141115811313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: a6b131858e598, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1d15231c51131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: fff25515852c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 44411d34119e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: a641988d13de1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: a318121535581, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 29: f94555288535d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 72b5211155515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 71611d1219512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 75a1112181358, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 22b1211591521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 253c5d1e11119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 6fa398183188e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: a11c151538185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 111111d58d531, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 38: b13819c815351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 7dfd853151821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: bb78591721132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: a5b15d31ddd18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: afadd5591d153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 617583181cde3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 7249d892158d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: b8111551495c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: ae21d111155dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 772218121851c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 3af5111e8cccd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 3573158d11351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1c15835118131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b81123e321811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 7569dd818e515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 2215d1e11265e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: b4281e2c8915e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 72151335728d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 362295185e51d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: a6f9121233213, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 58: b1b2112c83119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 7448c81865158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 4113c1283139d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: a3481551d1915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: a622213518d55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1145211c55313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: a3311d5d55511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 31431282111d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: b11612313511d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 21ac5d1918153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: b2b13532195e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: a1fd883219c1e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: aeb55d3311d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 1aa11139515c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 3335951d51151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 697ce81d19555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 3a1515dd8d821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 4475151123513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: b23c912119311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: b415518181111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 113811e11512e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 2846182d15155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 2511dddd1dc11, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 81: 11a8d5d1d1551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 82: 0000000de0000, Class:  1, CF:0.230732, Len:  2, Fitness_tra: 3
Rule 83: 1361531311153, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 84: 75ac11331cc8a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: aeb9111581551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 16fd599125113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1531811915c13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 31b151d12191d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: a319552515d18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 66725d1562115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: e836152d51155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: b415e18181111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: f31111c851515, Class:  1, CF:0.805894, Len: 13, Fitness_tra: 0
Rule 94: 29f9dd5181d15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 0318112d900d3, Class:  1, CF:0.492042, Len: 10, Fitness_tra: 0
Rule 96: 316511915551c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 97: 3243189211121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: a573121511351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 7db1358501b21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 11f111114885c, Class:  1, CF:0.285627, Len: 13, Fitness_tra: -1
------Current------
Miss_rate(tra)	:36.8126
------Result------
Miss_rate(tra)	:36.8126
Miss_rate(tst)	:38.3838
ARL				:11.1379

------Generation 1------
Rule  1: 0008000c80000, Class:  0, CF:0.9029, Len:  3, Fitness_tra: 373
Rule  2: 00080000000dd, Class:  0, CF:0.769541, Len:  3, Fitness_tra: 52
Rule  3: 0004000000de0, Class:  0, CF:0.924041, Len:  3, Fitness_tra: 21
Rule  4: f11121111112c, Class:  0, CF:0.0415293, Len: 13, Fitness_tra: 5
Rule  5: 000080e300000, Class:  0, CF:0.709576, Len:  3, Fitness_tra: 14
Rule  6: 612b111118851, Class:  0, CF:0.721069, Len: 13, Fitness_tra: 0
Rule  7: 2c6c192113d81, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: 13f11c11312c5, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: a362811112551, Class:  0, CF:0.829939, Len: 13, Fitness_tra: 1
Rule 10: 0000000de0000, Class:  1, CF:0.230732, Len:  2, Fitness_tra: 3
Rule 11: 36f1e82111185, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 12: 28f38d51c1d11, Class:  1, CF:0.933521, Len: 13, Fitness_tra: 0
Rule 13: 1111d13112813, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: 3313112d99113, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 33118191212d1, Class:  1, CF:0.310752, Len: 13, Fitness_tra: 1
Rule 16: a63d115125523, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 63191213d1111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 18: 13111595c5211, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: f9b8915191111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 74b5183111595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: aeb9851121138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 7141115811313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: a6b131858e598, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1d15231c51131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: fff25515852c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 44411d34119e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: a641988d13de1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: a318121535581, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 29: f94555288535d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 72b5211155515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 71611d1219512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 75a1112181358, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 22b1211591521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 253c5d1e11119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 6fa398183188e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: a11c151538185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 111111d58d531, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 38: b13819c815351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 7dfd853151821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: bb78591721132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: a5b15d31ddd18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: afadd5591d153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 617583181cde3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 7249d892158d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: b8111551495c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: ae21d111155dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 772218121851c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 3af5111e8cccd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 3573158d11351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1c15835118131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b81123e321811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 7569dd818e515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 2215d1e11265e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: b4281e2c8915e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 72151335728d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 362295185e51d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: a6f9121233213, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 58: b1b2112c83119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 7448c81865158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 4113c1283139d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: a3481551d1915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: a622213518d55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1145211c55313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: a3311d5d55511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 31431282111d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: b11612313511d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 21ac5d1918153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: b2b13532195e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: a1fd883219c1e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: aeb55d3311d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 1aa11139515c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 3335951d51151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 697ce81d19555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 3a1515dd8d821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 4475151123513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: b23c912119311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: b415518181111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 113811e11512e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 2846182d15155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 2511dddd1dc11, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 81: 1a32116511111, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 82: 03070800c0000, Class:  1, CF:0.190938, Len:  4, Fitness_tra: -87
Rule 83: 1131382151311, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 84: 31fe118125511, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule 85: 000800e300000, Class:  0, CF:  1, Len:  3, Fitness_tra: 5
Rule 86: 28a5811315519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: f3f1919151c15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 486c535551982, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 7d6215111e311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 3afd133112526, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 91: 3a1115d58d221, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 92: f2f12115912c1, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 93: 1d155351122c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 06b800858e59d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: f9455c2185d5d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: b131d91815b51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 614521181ad13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: fa1121115112c, Class:  1, CF:0.213654, Len: 13, Fitness_tra: 0
Rule 99: 000308c201121, Class:  1, CF:0.873884, Len:  8, Fitness_tra: -63
Rule100: 097c2816e0500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:38.8328
------Result------
Miss_rate(tra)	:38.8328
Miss_rate(tst)	:34.3434
ARL				:10.6563

------Generation 2------
Rule  1: 0008000c80000, Class:  0, CF:0.9029, Len:  3, Fitness_tra: 373
Rule  2: 00080000000dd, Class:  0, CF:0.769541, Len:  3, Fitness_tra: 52
Rule  3: 0004000000de0, Class:  0, CF:0.924041, Len:  3, Fitness_tra: 21
Rule  4: f11121111112c, Class:  0, CF:0.0415293, Len: 13, Fitness_tra: 5
Rule  5: 000080e300000, Class:  0, CF:0.709576, Len:  3, Fitness_tra: 14
Rule  6: 612b111118851, Class:  0, CF:0.721069, Len: 13, Fitness_tra: 0
Rule  7: 2c6c192113d81, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: 13f11c11312c5, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: a362811112551, Class:  0, CF:0.829939, Len: 13, Fitness_tra: 1
Rule 10: 0000000de0000, Class:  1, CF:0.230732, Len:  2, Fitness_tra: 3
Rule 11: 36f1e82111185, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 12: 28f38d51c1d11, Class:  1, CF:0.933521, Len: 13, Fitness_tra: 0
Rule 13: 1111d13112813, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: 3313112d99113, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
