------Generation 0------
Rule  1: c00d000000092, Class:  0, CF:0.646283, Len:  4, Fitness_tra: 0
Rule 76: 12dc83dc51d19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 111511414227c, Class:  2, CF:0.295624, Len: 13, Fitness_tra: 0
Rule 78: 341c135155115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 91331821c9218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 5131111141211, Class:  1, CF:0.624381, Len: 13, Fitness_tra: 0
Rule 81: 1111111341221, Class:  1, CF:0.675193, Len: 13, Fitness_tra: 0
Rule 82: 1231115151533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 3238515215513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 1211211111512, Class:  1, CF:0.548773, Len: 13, Fitness_tra: 0
Rule 85: 1115111182111, Class:  2, CF:0.464086, Len: 13, Fitness_tra: 0
Rule 86: 311813111821d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 5131112115121, Class:  0, CF:0.612933, Len: 13, Fitness_tra: 0
Rule 88: 1115855182d1d, Class:  1, CF:0.220025, Len: 13, Fitness_tra: 0
Rule 89: 1251211512112, Class:  2, CF:0.983669, Len: 13, Fitness_tra: 0
Rule 90: e111814525121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 5151114111211, Class:  0, CF:0.575394, Len: 13, Fitness_tra: 0
Rule 92: 1215111152132, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 93: 11d2539211531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 9135811515412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1221118114511, Class:  0, CF:0.0263169, Len: 13, Fitness_tra: 0
Rule 96: 1151287911112, Class:  1, CF:0.173926, Len: 13, Fitness_tra: 0
Rule 97: 1191114121421, Class:  0, CF:0.0110127, Len: 13, Fitness_tra: 0
Rule 98: 1115251114151, Class:  1, CF:0.971092, Len: 13, Fitness_tra: 0
Rule 99: 11d1212128111, Class:  2, CF:0.420482, Len: 13, Fitness_tra: 0
Rule100: 341c191151235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:50.2924
------Result------
Miss_rate(tra)	:50.2924
Miss_rate(tst)	:63.8889
ARL				:11.2542

------Generation 0------
Rule  1: 000000c000002, Class:  0, CF:0.734941, Len:  2, Fitness_tra: 25
Rule  2: 000000b0c04b0, Class:  1, CF:0.670172, Len:  4, Fitness_tra: 8
Rule  3: 000080c0b4000, Class:  0, CF:0.977473, Len:  4, Fitness_tra: 1
Rule  4: c00d000000092, Class:  0, CF:0.646283, Len:  4, Fitness_tra: 0
Rule  5: 341c191151235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 111514211121c, Class:  1, CF:0.762603, Len: 13, Fitness_tra: 0
Rule  7: 1155411512111, Class:  2, CF:0.968662, Len: 13, Fitness_tra: 0
Rule  8: 11dd111913b22, Class:  2, CF:0.950417, Len: 13, Fitness_tra: 0
Rule  9: 34511191d1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 300800d008005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 3c1113dc52513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 8191182111121, Class:  0, CF:0.813948, Len: 13, Fitness_tra: 0
Rule 13: 1155c12113218, Class:  0, CF:0.997963, Len: 13, Fitness_tra: 0
Rule 14: 221d218154152, Class:  0, CF:0.977149, Len: 13, Fitness_tra: 0
Rule 15: 119512734118c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 55352c7923bc2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 5113114111222, Class:  0, CF:0.949982, Len: 13, Fitness_tra: 0
Rule 18: 2113111922511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: 1111115111112, Class:  0, CF:0.601755, Len: 13, Fitness_tra: 0
Rule 20: 1111111122111, Class:  2, CF:0.31713, Len: 13, Fitness_tra: 0
Rule 21: 5153155552111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000900000b004, Class:  1, CF:0.590597, Len:  3, Fitness_tra: 0
Rule 23: 5c98195215111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 311151d211115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1191114311182, Class:  0, CF:0.536603, Len: 13, Fitness_tra: 0
Rule 26: 315111125111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 113188b129b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 5111121111141, Class:  0, CF:0.310713, Len: 13, Fitness_tra: 0
Rule 29: 5551812111111, Class:  2, CF:0.623306, Len: 13, Fitness_tra: 0
Rule 30: 31158111891c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 3c98531155511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 9c15133212191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: d111524111412, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 34: 315115d158535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 111111111121c, Class:  0, CF:0.0806536, Len: 13, Fitness_tra: 0
Rule 36: 51d1111118c22, Class:  0, CF:0.984426, Len: 13, Fitness_tra: 0
Rule 37: 9c1111111c515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 38: 21d54c1354551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 1121212282512, Class:  0, CF:0.777904, Len: 13, Fitness_tra: 0
Rule 40: 1595111583441, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 41: 1131118312552, Class:  1, CF:0.418092, Len: 13, Fitness_tra: 0
Rule 42: 923115d111131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1c31851552511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: ec12511811531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 2000000007007, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 3c3153dc11515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1251211511112, Class:  2, CF:0.960576, Len: 13, Fitness_tra: 0
Rule 48: 1151539255131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 5d31227312288, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: 2000000000002, Class:  0, CF:0.387867, Len:  2, Fitness_tra: -59
Rule 51: 1135251118111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 5115114111111, Class:  1, CF:0.369667, Len: 13, Fitness_tra: 0
Rule 53: 9c91111111551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 153d224115111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1c111e5118291, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 56: 111121515c535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 51392cb11d212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 91d1114511211, Class:  0, CF:0.0976443, Len: 13, Fitness_tra: 0
Rule 59: 1111cc111111c, Class:  0, CF:0.495823, Len: 13, Fitness_tra: 0
Rule 60: 0000000400d50, Class:  0, CF:0.0199713, Len:  3, Fitness_tra: 0
Rule 61: 1411511151111, Class:  1, CF:0.997547, Len: 13, Fitness_tra: 0
Rule 62: 1d51214111121, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 11d111231112c, Class:  0, CF:0.903752, Len: 13, Fitness_tra: 0
Rule 64: 9535817389421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 2111151152591, Class:  0, CF:0.593977, Len: 13, Fitness_tra: 0
Rule 66: 141521d181155, Class:  0, CF:0.191724, Len: 13, Fitness_tra: 0
Rule 67: 11e1111185111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1211111821151, Class:  1, CF:0.950753, Len: 13, Fitness_tra: 0
Rule 69: 2cd5411324811, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 70: 1115111151591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 2000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 6151d91211511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1151115212531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 12dc83dc51d19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 111511414227c, Class:  2, CF:0.295624, Len: 13, Fitness_tra: 0
Rule 76: 341c135155115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 91331821c9218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 5131111141211, Class:  1, CF:0.624381, Len: 13, Fitness_tra: 0
Rule 79: 1111111341221, Class:  1, CF:0.675193, Len: 13, Fitness_tra: 0
Rule 80: 1231115151533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 000000b0c04b0, Class:  1, CF:0.670172, Len:  0, Fitness_tra: 0
Rule 82: 5111812145111, Class:  2, CF:0.888728, Len: 13, Fitness_tra: 0
Rule 83: 1111211152511, Class:  1, CF:0.933646, Len: 13, Fitness_tra: 0
Rule 84: 0000400000050, Class:  0, CF:0.502841, Len:  2, Fitness_tra: -11
Rule 85: 5115111129212, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 86: 1351217111211, Class:  1, CF:0.478708, Len: 13, Fitness_tra: 0
Rule 87: 2151418112531, Class:  0, CF:0.986484, Len: 13, Fitness_tra: 0
Rule 88: 000000c000002, Class:  0, CF:0.734941, Len:  0, Fitness_tra: 0
Rule 89: 311d124353b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 8411222154814, Class:  0, CF:0.914817, Len: 13, Fitness_tra: 0
Rule 91: 1111115115135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 003007b110111, Class:  1, CF:0.956869, Len:  8, Fitness_tra: 3
Rule 93: 141521d181145, Class:  0, CF:0.949304, Len: 13, Fitness_tra: 0
Rule 94: 0050807014012, Class:  0, CF:0.457665, Len:  7, Fitness_tra: 0
Rule 95: 1195121d4c11c, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 96: 9139111545715, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 1151117110521, Class:  1, CF:0.698468, Len: 12, Fitness_tra: 0
Rule 98: 55951c79214c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 1155111151511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule100: 320c510210093, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:48.538
------Result------
Miss_rate(tra)	:48.538
Miss_rate(tst)	:55.5556
ARL				:11.386

------Generation 1------
Rule  1: 000000c000002, Class:  0, CF:0.734941, Len:  2, Fitness_tra: 20
Rule  2: 000000b0c04b0, Class:  1, CF:0.670172, Len:  4, Fitness_tra: -9
Rule  3: 003007b110111, Class:  1, CF:0.956869, Len:  8, Fitness_tra: 5
Rule  4: 000080c0b4000, Class:  0, CF:0.977473, Len:  4, Fitness_tra: 1
Rule  5: 341c191151235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 111514211121c, Class:  1, CF:0.762603, Len: 13, Fitness_tra: 0
Rule  7: 1155411512111, Class:  2, CF:0.968662, Len: 13, Fitness_tra: 3
Rule  8: 11dd111913b22, Class:  2, CF:0.950417, Len: 13, Fitness_tra: 0
Rule  9: 34511191d1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 300800d008005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 3c1113dc52513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 8191182111121, Class:  0, CF:0.813948, Len: 13, Fitness_tra: 0
Rule 13: 1155c12113218, Class:  0, CF:0.997963, Len: 13, Fitness_tra: 0
Rule 14: 221d218154152, Class:  0, CF:0.977149, Len: 13, Fitness_tra: 0
Rule 15: 119512734118c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 55352c7923bc2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 5113114111222, Class:  0, CF:0.949982, Len: 13, Fitness_tra: 0
Rule 18: 2113111922511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: 1111115111112, Class:  0, CF:0.601755, Len: 13, Fitness_tra: 0
Rule 20: 1111111122111, Class:  2, CF:0.31713, Len: 13, Fitness_tra: 3
Rule 21: 5153155552111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000900000b004, Class:  1, CF:0.590597, Len:  3, Fitness_tra: 0
Rule 23: 5c98195215111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 311151d211115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1191114311182, Class:  0, CF:0.536603, Len: 13, Fitness_tra: 0
Rule 26: 315111125111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 113188b129b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 5111121111141, Class:  0, CF:0.310713, Len: 13, Fitness_tra: -1
Rule 29: 5551812111111, Class:  2, CF:0.623306, Len: 13, Fitness_tra: 0
Rule 30: 31158111891c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 3c98531155511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 9c15133212191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: d111524111412, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 34: 315115d158535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 111111111121c, Class:  0, CF:0.0806536, Len: 13, Fitness_tra: 0
Rule 36: 51d1111118c22, Class:  0, CF:0.984426, Len: 13, Fitness_tra: 0
Rule 37: 9c1111111c515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 38: 21d54c1354551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 1121212282512, Class:  0, CF:0.777904, Len: 13, Fitness_tra: 0
Rule 40: 1595111583441, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 41: 1131118312552, Class:  1, CF:0.418092, Len: 13, Fitness_tra: 0
Rule 42: 923115d111131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1c31851552511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: ec12511811531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 2000000007007, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 3c3153dc11515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1251211511112, Class:  2, CF:0.960576, Len: 13, Fitness_tra: 3
Rule 48: 1151539255131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 5d31227312288, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: 320c510210093, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 1135251118111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 5115114111111, Class:  1, CF:0.369667, Len: 13, Fitness_tra: 0
Rule 53: 9c91111111551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 153d224115111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1c111e5118291, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 56: 111121515c535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 51392cb11d212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 91d1114511211, Class:  0, CF:0.0976443, Len: 13, Fitness_tra: 0
Rule 59: 1111cc111111c, Class:  0, CF:0.495823, Len: 13, Fitness_tra: -1
Rule 60: 0000000400d50, Class:  0, CF:0.0199713, Len:  3, Fitness_tra: 1
Rule 61: 1411511151111, Class:  1, CF:0.997547, Len: 13, Fitness_tra: 0
Rule 62: 1d51214111121, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 11d111231112c, Class:  0, CF:0.903752, Len: 13, Fitness_tra: 0
Rule 64: 9535817389421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 2111151152591, Class:  0, CF:0.593977, Len: 13, Fitness_tra: 0
Rule 66: 141521d181155, Class:  0, CF:0.191724, Len: 13, Fitness_tra: 0
Rule 67: 11e1111185111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1211111821151, Class:  1, CF:0.950753, Len: 13, Fitness_tra: 0
Rule 69: 2cd5411324811, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 70: 1115111151591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 2000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 6151d91211511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1151115212531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 12dc83dc51d19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 111511414227c, Class:  2, CF:0.295624, Len: 13, Fitness_tra: 0
Rule 76: 341c135155115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 91331821c9218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 5131111141211, Class:  1, CF:0.624381, Len: 13, Fitness_tra: 0
Rule 79: 1111111341221, Class:  1, CF:0.675193, Len: 13, Fitness_tra: 2
Rule 80: 1231115151533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 2119111111552, Class:  1, CF:0.999491, Len: 13, Fitness_tra: 0
Rule 82: 1221111122514, Class:  0, CF:0.226989, Len: 13, Fitness_tra: 0
Rule 83: 8211111212511, Class:  1, CF:0.0797068, Len: 13, Fitness_tra: 0
Rule 84: 15d512b52912c, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 85: 5115541111142, Class:  1, CF:0.982598, Len: 13, Fitness_tra: 0
Rule 86: 2231111584111, Class:  2, CF:0.835634, Len: 13, Fitness_tra: 0
Rule 87: 1113821111418, Class:  0, CF:0.95453, Len: 13, Fitness_tra: 0
Rule 88: d131511141c12, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 89: 2000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 5111111121552, Class:  0, CF:0.971127, Len: 13, Fitness_tra: 0
Rule 91: 020c81c210b93, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 92: 0c91961110551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 2115414112271, Class:  2, CF:0.00373177, Len: 13, Fitness_tra: 0
Rule 94: 1001002015430, Class:  2, CF:  1, Len:  7, Fitness_tra: 7
Rule 95: 9191115111852, Class:  0, CF:0.947323, Len: 13, Fitness_tra: 0
Rule 96: 40391015404b0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: e1515ed215115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 119512734918a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 2151111111111, Class:  2, CF:0.565297, Len: 13, Fitness_tra: 17
Rule100: 1151117110526, Class:  1, CF:  1, Len: 12, Fitness_tra: 0
------Current------
Miss_rate(tra)	:42.6901
------Result------
Miss_rate(tra)	:42.6901
Miss_rate(tst)	:50
ARL				:11.8966

------Generation 2------
Rule  1: 000000c000002, Class:  0, CF:0.734941, Len:  2, Fitness_tra: 20
Rule  2: 000000b0c04b0, Class:  1, CF:0.670172, Len:  4, Fitness_tra: -9
Rule  3: 003007b110111, Class:  1, CF:0.956869, Len:  8, Fitness_tra: 5
Rule  4: 000080c0b4000, Class:  0, CF:0.977473, Len:  4, Fitness_tra: 1
Rule  5: 341c191151235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 111514211121c, Class:  1, CF:0.762603, Len: 13, Fitness_tra: 0
Rule  7: 1155411512111, Class:  2, CF:0.968662, Len: 13, Fitness_tra: 3
Rule  8: 11dd111913b22, Class:  2, CF:0.950417, Len: 13, Fitness_tra: 0
Rule  9: 34511191d1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 300800d008005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 3c1113dc52513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 8191182111121, Class:  0, CF:0.813948, Len: 13, Fitness_tra: 0
Rule 13: 1155c12113218, Class:  0, CF:0.997963, Len: 13, Fitness_tra: 0
Rule 14: 221d218154152, Class:  0, CF:0.977149, Len: 13, Fitness_tra: 0
