------Generation 0------
Rule  1: 00d000b0c0408, Class:  0, CF:0.982682, Len:  5, Fitness_tra: 0
Rule 35: 1111c11351b18, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: 121c135151131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 0000090004004, Class:  0, CF:0.655142, Len:  3, Fitness_tra: 2
Rule 38: 1115141325112, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 0700400000d50, Class:  0, CF:0.0753065, Len:  4, Fitness_tra: 0
Rule 40: 2119418982112, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 41: c00d000000050, Class:  1, CF:0.241143, Len:  3, Fitness_tra: 0
Rule 42: 1211111111ddd, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 43: 149811525c511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: 2111c11111111, Class:  2, CF:0.673363, Len: 13, Fitness_tra: 0
Rule 45: 95111c41c9111, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 46: 1111522112471, Class:  1, CF:0.225099, Len: 13, Fitness_tra: 0
Rule 47: 000f660000e00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 115c11311521d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 5211115812512, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: 1311212325218, Class:  0, CF:0.999971, Len: 13, Fitness_tra: 0
Rule 51: 315c513211131, Class:  1, CF:0.778947, Len: 13, Fitness_tra: 0
Rule 52: 1132531111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 919119111d531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 00007080d0000, Class:  0, CF:0.744097, Len:  3, Fitness_tra: 7
Rule 55: 3c92111151133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 1c11251211131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000c000000, Class:  0, CF:0.281994, Len:  1, Fitness_tra: -11
Rule 58: 3115111111411, Class:  1, CF:0.873798, Len: 13, Fitness_tra: 0
Rule 59: 1115812381448, Class:  1, CF:0.802459, Len: 13, Fitness_tra: 0
Rule 60: 5411115881111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 61: 919d2c2123218, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 62: 919112414521c, Class:  2, CF:0.853704, Len: 13, Fitness_tra: 0
Rule 63: 12551185111e2, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 64: 3218195118831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 1252819215139, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 94121d1281519, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 67: 1115111525181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1c119e1218111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1111121519112, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 70: 513112114222c, Class:  0, CF:0.999269, Len: 13, Fitness_tra: 0
Rule 71: 1225118252112, Class:  0, CF:0.8407, Len: 13, Fitness_tra: 0
Rule 72: 2700000000000, Class:  0, CF:0.0266849, Len:  2, Fitness_tra: -1
Rule 73: 1c51c55251565, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 112d215182511, Class:  0, CF:0.413543, Len: 13, Fitness_tra: 0
Rule 75: 9c51551c51135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0020c00050500, Class:  0, CF:0.973782, Len:  4, Fitness_tra: 0
Rule 77: 32555955555d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1131121125211, Class:  0, CF:0.39625, Len: 13, Fitness_tra: 0
Rule 79: 00008040c0000, Class:  0, CF:0.765301, Len:  3, Fitness_tra: 8
Rule 80: 5258855181111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 81: 321551d1d5113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 513114111372c, Class:  0, CF:0.99384, Len: 13, Fitness_tra: 0
Rule 83: 1551812121111, Class:  2, CF:0.665689, Len: 13, Fitness_tra: 0
Rule 84: 1591222225c72, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 121111b515111, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 86: 2215222811111, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 5118111152511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 88: 000000c0b0500, Class:  1, CF:0.16682, Len:  3, Fitness_tra: 0
Rule 89: 3131514143241, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 90: 125c119c11815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 211d255252211, Class:  0, CF:0.997342, Len: 13, Fitness_tra: 0
Rule 92: 3111555111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 0000000000004, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 311151d111135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 2000000004004, Class:  0, CF:0.225168, Len:  3, Fitness_tra: -17
Rule 96: 5515812123121, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 97: 1111111218511, Class:  0, CF:0.936553, Len: 13, Fitness_tra: 0
Rule 98: 1111111282191, Class:  0, CF:0.338931, Len: 13, Fitness_tra: 0
Rule 99: 3111119155111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 12511111c511c, Class:  2, CF:0.999116, Len: 13, Fitness_tra: 0
------Current------
Miss_rate(tra)	:46.1988
------Result------
Miss_rate(tra)	:46.1988
Miss_rate(tst)	:44.4444
ARL				:10.7188

------Generation 0------
Rule  1: c000000000007, Class:  2, CF:0.196012, Len:  2, Fitness_tra: 11
Rule  2: 00008040c0000, Class:  0, CF:0.765301, Len:  3, Fitness_tra: 14
Rule  3: 00007080d0000, Class:  0, CF:0.744097, Len:  3, Fitness_tra: 5
Rule  4: 000080c0b0000, Class:  0, CF:0.88953, Len:  3, Fitness_tra: 3
Rule  5: 0000090004004, Class:  0, CF:0.655142, Len:  3, Fitness_tra: 3
Rule  6: 00d000b0c0408, Class:  0, CF:0.982682, Len:  5, Fitness_tra: 1
Rule  7: 3c51119258511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1151112811141, Class:  1, CF:0.545705, Len: 13, Fitness_tra: 0
Rule  9: 111582118111c, Class:  1, CF:0.913994, Len: 13, Fitness_tra: 0
Rule 10: 211d42c511532, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: 9533824111122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: e4581e5212511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 3115112153428, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 2251211152551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 325c119c15211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1155811145211, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 1211121812111, Class:  2, CF:0.889342, Len: 13, Fitness_tra: 2
Rule 18: 5195127145822, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: e211115215131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1211128811512, Class:  1, CF:0.430532, Len: 13, Fitness_tra: 0
Rule 21: 3151811535111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1c12111112535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 5153517111122, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 24: 811d151854131, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 25: 1c11893115593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1831155188151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1151c24121221, Class:  0, CF:0.839236, Len: 13, Fitness_tra: 0
Rule 28: 3158591155d13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1195114d11221, Class:  1, CF:0.205193, Len: 13, Fitness_tra: 0
Rule 30: c0000000575c0, Class:  1, CF:0.527535, Len:  5, Fitness_tra: 0
Rule 31: 51991811c1228, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 32: 1d1d214121128, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 33: c200c08004000, Class:  0, CF:0.935968, Len:  5, Fitness_tra: 3
Rule 34: 1531112c11222, Class:  1, CF:0.623975, Len: 13, Fitness_tra: 0
Rule 35: 1111c11351b18, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: 121c135151131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1151511155551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1115141325112, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 0700400000d50, Class:  0, CF:0.0753065, Len:  4, Fitness_tra: -2
Rule 40: 2119418982112, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 41: c00d000000050, Class:  1, CF:0.241143, Len:  3, Fitness_tra: 2
Rule 42: 1211111111ddd, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 43: 149811525c511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: 2111c11111111, Class:  2, CF:0.673363, Len: 13, Fitness_tra: 0
Rule 45: 95111c41c9111, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 46: 1111522112471, Class:  1, CF:0.225099, Len: 13, Fitness_tra: 0
Rule 47: 000f660000e00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 115c11311521d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 5211115812512, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: 1311212325218, Class:  0, CF:0.999971, Len: 13, Fitness_tra: 0
Rule 51: 315c513211131, Class:  1, CF:0.778947, Len: 13, Fitness_tra: 0
Rule 52: 1132531111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 919119111d531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 55551145212c1, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 55: 3c92111151133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 1c11251211131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 12511111c511c, Class:  2, CF:0.999116, Len: 13, Fitness_tra: 0
Rule 58: 3115111111411, Class:  1, CF:0.873798, Len: 13, Fitness_tra: 1
Rule 59: 1115812381448, Class:  1, CF:0.802459, Len: 13, Fitness_tra: 0
Rule 60: 5411115881111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 61: 919d2c2123218, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 62: 919112414521c, Class:  2, CF:0.853704, Len: 13, Fitness_tra: 0
Rule 63: 12551185111e2, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 64: 3218195118831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 1252819215139, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 94121d1281519, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 67: 1115111525181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1c119e1218111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1111121519112, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 70: 513112114222c, Class:  0, CF:0.999269, Len: 13, Fitness_tra: 0
Rule 71: 1225118252112, Class:  0, CF:0.8407, Len: 13, Fitness_tra: 0
Rule 72: 3111119155111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1c51c55251565, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 112d215182511, Class:  0, CF:0.413543, Len: 13, Fitness_tra: 0
Rule 75: 9c51551c51135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0020c00050500, Class:  0, CF:0.973782, Len:  4, Fitness_tra: 0
Rule 77: 32555955555d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1131121125211, Class:  0, CF:0.39625, Len: 13, Fitness_tra: 0
Rule 79: 2c552c1151511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 5258855181111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 81: 5915822125211, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 82: 1111c11152511, Class:  0, CF:0.535732, Len: 13, Fitness_tra: 0
Rule 83: 52d141251142c, Class:  0, CF:0.887073, Len: 13, Fitness_tra: 0
Rule 84: 5481122811d12, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 85: 1115111114131, Class:  2, CF:0.967623, Len: 13, Fitness_tra: 0
Rule 86: 1111111111114, Class:  2, CF:0.0933436, Len: 13, Fitness_tra: 1
Rule 87: 000000c0b0500, Class:  1, CF:0.16682, Len:  3, Fitness_tra: 3
Rule 88: 12512511c451c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 89: 1515211111272, Class:  2, CF:0.963089, Len: 13, Fitness_tra: 0
Rule 90: 0700400000d50, Class:  0, CF:0.0753065, Len:  0, Fitness_tra: 0
Rule 91: 811d111151111, Class:  2, CF:0.456052, Len: 13, Fitness_tra: 0
Rule 92: 0001112cba002, Class:  1, CF:0.875077, Len:  8, Fitness_tra: 4
Rule 93: 51051271450b4, Class:  2, CF:  1, Len: 11, Fitness_tra: 0
Rule 94: 1011005872501, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 95: 1511522c11222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 519273011d531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 0040110104004, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 11511c11c9211, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 99: 5c119e1113711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 270d050050011, Class:  2, CF:0.906727, Len:  7, Fitness_tra: 2
------Current------
Miss_rate(tra)	:45.614
------Result------
Miss_rate(tra)	:45.614
Miss_rate(tst)	:36.1111
ARL				:11.0303

------Generation 1------
Rule  1: 00008040c0000, Class:  0, CF:0.765301, Len:  3, Fitness_tra: 14
Rule  2: c000000000007, Class:  2, CF:0.196012, Len:  2, Fitness_tra: 6
Rule  3: 00007080d0000, Class:  0, CF:0.744097, Len:  3, Fitness_tra: 6
Rule  4: 0001112cba002, Class:  1, CF:0.875077, Len:  8, Fitness_tra: 1
Rule  5: 000080c0b0000, Class:  0, CF:0.88953, Len:  3, Fitness_tra: 3
Rule  6: 0000090004004, Class:  0, CF:0.655142, Len:  3, Fitness_tra: 3
Rule  7: c200c08004000, Class:  0, CF:0.935968, Len:  5, Fitness_tra: 1
Rule  8: 000000c0b0500, Class:  1, CF:0.16682, Len:  3, Fitness_tra: 5
Rule  9: 270d050050011, Class:  2, CF:0.906727, Len:  7, Fitness_tra: 1
Rule 10: 1211121812111, Class:  2, CF:0.889342, Len: 13, Fitness_tra: 0
Rule 11: c00d000000050, Class:  1, CF:0.241143, Len:  3, Fitness_tra: 2
Rule 12: 00d000b0c0408, Class:  0, CF:0.982682, Len:  5, Fitness_tra: 1
Rule 13: 1111111111114, Class:  2, CF:0.0933436, Len: 13, Fitness_tra: 0
Rule 14: 3115111111411, Class:  1, CF:0.873798, Len: 13, Fitness_tra: 0
Rule 15: 3115112153428, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1155811145211, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 3c51119258511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 5195127145822, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: e211115215131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1211128811512, Class:  1, CF:0.430532, Len: 13, Fitness_tra: 0
Rule 21: 3151811535111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1c12111112535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 5153517111122, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 24: 811d151854131, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 25: 1c11893115593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1831155188151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1151c24121221, Class:  0, CF:0.839236, Len: 13, Fitness_tra: 0
Rule 28: 3158591155d13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1195114d11221, Class:  1, CF:0.205193, Len: 13, Fitness_tra: 0
Rule 30: c0000000575c0, Class:  1, CF:0.527535, Len:  5, Fitness_tra: 0
Rule 31: 51991811c1228, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 32: 1d1d214121128, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 33: 1151112811141, Class:  1, CF:0.545705, Len: 13, Fitness_tra: 0
Rule 34: 1531112c11222, Class:  1, CF:0.623975, Len: 13, Fitness_tra: 0
Rule 35: 1111c11351b18, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: 121c135151131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1151511155551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1115141325112, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: e4581e5212511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 2119418982112, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 41: 111582118111c, Class:  1, CF:0.913994, Len: 13, Fitness_tra: 0
Rule 42: 1211111111ddd, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 43: 149811525c511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: 2111c11111111, Class:  2, CF:0.673363, Len: 13, Fitness_tra: 0
Rule 45: 95111c41c9111, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 46: 1111522112471, Class:  1, CF:0.225099, Len: 13, Fitness_tra: 0
Rule 47: 000f660000e00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 115c11311521d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 5211115812512, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: 1311212325218, Class:  0, CF:0.999971, Len: 13, Fitness_tra: 0
Rule 51: 315c513211131, Class:  1, CF:0.778947, Len: 13, Fitness_tra: 0
Rule 52: 1132531111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 919119111d531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 55551145212c1, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 55: 3c92111151133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 1c11251211131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 12511111c511c, Class:  2, CF:0.999116, Len: 13, Fitness_tra: 0
Rule 58: 2251211152551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 59: 1115812381448, Class:  1, CF:0.802459, Len: 13, Fitness_tra: 0
Rule 60: 5411115881111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 61: 919d2c2123218, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 62: 919112414521c, Class:  2, CF:0.853704, Len: 13, Fitness_tra: 0
Rule 63: 12551185111e2, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 64: 3218195118831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 1252819215139, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 94121d1281519, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 67: 1115111525181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1c119e1218111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1111121519112, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 70: 513112114222c, Class:  0, CF:0.999269, Len: 13, Fitness_tra: 0
Rule 71: 1225118252112, Class:  0, CF:0.8407, Len: 13, Fitness_tra: 0
Rule 72: 3111119155111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1c51c55251565, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 112d215182511, Class:  0, CF:0.413543, Len: 13, Fitness_tra: 0
Rule 75: 9c51551c51135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0020c00050500, Class:  0, CF:0.973782, Len:  4, Fitness_tra: 0
Rule 77: 32555955555d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1131121125211, Class:  0, CF:0.39625, Len: 13, Fitness_tra: 0
Rule 79: 2c552c1151511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 5258855181111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 81: 1519122142122, Class:  2, CF:2.7918e-05, Len: 13, Fitness_tra: 0
Rule 82: 2700000000000, Class:  0, CF:0.0266849, Len:  2, Fitness_tra: -6
Rule 83: 2211211511352, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 84: 1c12115111511, Class:  1, CF:0.989503, Len: 13, Fitness_tra: 0
Rule 85: 0000705050000, Class:  0, CF:0.856299, Len:  3, Fitness_tra: 0
Rule 86: 115dc11111211, Class:  2, CF:0.536596, Len: 13, Fitness_tra: 0
Rule 87: 0c0900c004550, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 88: 92188dd252513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 5151511221421, Class:  0, CF:0.999837, Len: 13, Fitness_tra: 0
Rule 90: 11d111412217c, Class:  0, CF:0.494425, Len: 13, Fitness_tra: 0
Rule 91: 1191117848122, Class:  2, CF:0.00608964, Len: 13, Fitness_tra: 0
Rule 92: 5000000070604, Class:  2, CF:0.959177, Len:  4, Fitness_tra: 11
Rule 93: 1515810001150, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 94: 21511c1150011, Class:  2, CF:0.169071, Len: 11, Fitness_tra: 0
Rule 95: 1100114dd150b, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 96: 1c51193115216, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 51d111114122c, Class:  0, CF:0.989324, Len: 13, Fitness_tra: 0
Rule 98: 0015112c53408, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 99: 20d0201052558, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule100: 5900a28004006, Class:  1, CF:  1, Len:  7, Fitness_tra: 0
------Current------
Miss_rate(tra)	:44.4444
------Result------
Miss_rate(tra)	:44.4444
Miss_rate(tst)	:41.6667
ARL				:10.5493

------Generation 2------
Rule  1: 00008040c0000, Class:  0, CF:0.765301, Len:  3, Fitness_tra: 14
Rule  2: c000000000007, Class:  2, CF:0.196012, Len:  2, Fitness_tra: 6
Rule  3: 00007080d0000, Class:  0, CF:0.744097, Len:  3, Fitness_tra: 6
Rule  4: 0001112cba002, Class:  1, CF:0.875077, Len:  8, Fitness_tra: 1
Rule  5: 000080c0b0000, Class:  0, CF:0.88953, Len:  3, Fitness_tra: 3
Rule  6: 0000090004004, Class:  0, CF:0.655142, Len:  3, Fitness_tra: 3
Rule  7: c200c08004000, Class:  0, CF:0.935968, Len:  5, Fitness_tra: 1
Rule  8: 000000c0b0500, Class:  1, CF:0.16682, Len:  3, Fitness_tra: 5
Rule  9: 270d050050011, Class:  2, CF:0.906727, Len:  7, Fitness_tra: 1
Rule 10: 1211121812111, Class:  2, CF:0.889342, Len: 13, Fitness_tra: 0
Rule 11: c00d000000050, Class:  1, CF:0.241143, Len:  3, Fitness_tra: 2
Rule 12: 00d000b0c0408, Class:  0, CF:0.982682, Len:  5, Fitness_tra: 1
Rule 13: 1111111111114, Class:  2, CF:0.0933436, Len: 13, Fitness_tra: 0
Rule 14: 3115111111411, Class:  1, CF:0.873798, Len: 13, Fitness_tra: 0
Rule 15: 3115112153428, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
