------Generation 0------
Rule  1: e151119c11511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 93: 0000008004050, Class:  0, CF:0.791927, Len:  3, Fitness_tra: 14
Rule 94: 62d2151115d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1c52111181515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 96: 1251c55111891, Class:  1, CF:0.143509, Len: 13, Fitness_tra: 0
Rule 97: 1c92113581111, Class:  1, CF:0.901816, Len: 13, Fitness_tra: 0
Rule 98: e1521951d5511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 99: 1111233c15111, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule100: 1151151115151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
------Current------
Miss_rate(tra)	:44.4444
------Result------
Miss_rate(tra)	:44.4444
Miss_rate(tst)	:38.8889
ARL				:11.1449

------Generation 0------
Rule  1: 2000003000000, Class:  2, CF:0.61137, Len:  2, Fitness_tra: 18
Rule  2: 0000008004050, Class:  0, CF:0.791927, Len:  3, Fitness_tra: 11
Rule  3: 8000000000002, Class:  0, CF:0.409002, Len:  2, Fitness_tra: 20
Rule  4: c00000c000002, Class:  0, CF:0.667112, Len:  3, Fitness_tra: 6
Rule  5: 2000000004004, Class:  0, CF:0.221456, Len:  3, Fitness_tra: 4
Rule  6: e151119c11511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  7: 1225112212111, Class:  2, CF:0.73428, Len: 13, Fitness_tra: 0
Rule  8: 1112115111132, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: 34125912d15e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 2111211184111, Class:  0, CF:0.0784648, Len: 13, Fitness_tra: 0
Rule 11: 11152111515d1, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 1159112154111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1155c1132d111, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: 3151144118122, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 121285d152111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 1111595115191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 111d114529422, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 18: 1152115252595, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: 9112215112511, Class:  0, CF:0.782391, Len: 13, Fitness_tra: 0
Rule 20: 2155112151514, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 8181211821132, Class:  2, CF:0.974576, Len: 13, Fitness_tra: 0
Rule 22: 1215211281511, Class:  1, CF:0.998456, Len: 13, Fitness_tra: 0
Rule 23: 1151151115151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 24: 6111531212815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 9412155c551e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1212187621415, Class:  0, CF:0.996898, Len: 13, Fitness_tra: 0
Rule 27: 5155c22118c1c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 28: 1115212125721, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 29: 000ae60000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 9112111c52d11, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 31: 51d52221c112c, Class:  1, CF:0.861841, Len: 13, Fitness_tra: 0
Rule 32: 3151221181111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 33: 59d5124125211, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 34: 1198193181511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 121d11c112151, Class:  1, CF:0.959352, Len: 13, Fitness_tra: 0
Rule 36: 31d5112125242, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: 5155822112112, Class:  2, CF:0.401126, Len: 13, Fitness_tra: 0
Rule 38: 31d11c7111141, Class:  1, CF:0.981141, Len: 13, Fitness_tra: 0
Rule 39: 812d212181191, Class:  0, CF:0.537744, Len: 13, Fitness_tra: 0
Rule 40: 1115412511552, Class:  1, CF:0.975043, Len: 13, Fitness_tra: 0
Rule 41: 5231155511131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 34d151dc1851d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 155188b12111c, Class:  0, CF:0.970289, Len: 13, Fitness_tra: 0
Rule 44: 355815112c131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 3151519151151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 8215215551214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1111211115228, Class:  0, CF:0.375804, Len: 13, Fitness_tra: 0
Rule 48: 129551d5115d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: d595522245118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 11518c1119211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0c0000c004554, Class:  1, CF:0.466041, Len:  6, Fitness_tra: 0
Rule 52: 1155215112112, Class:  1, CF:0.994752, Len: 13, Fitness_tra: 0
Rule 53: 15d1121122118, Class:  0, CF:0.751788, Len: 13, Fitness_tra: 0
Rule 54: 000050000000d, Class:  0, CF:0.962261, Len:  2, Fitness_tra: 1
Rule 55: 2455218524114, Class:  0, CF:0.987786, Len: 13, Fitness_tra: 0
Rule 56: 5331111121111, Class:  1, CF:0.0550762, Len: 13, Fitness_tra: 0
Rule 57: 0700000000d50, Class:  0, CF:0.127133, Len:  3, Fitness_tra: 0
Rule 58: 11314171c141c, Class:  1, CF:0.232864, Len: 13, Fitness_tra: 0
Rule 59: 3c11195111513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 11111422c8cb2, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 61: c00d000000092, Class:  0, CF:0.722264, Len:  4, Fitness_tra: 0
Rule 62: 000000c070500, Class:  1, CF:0.1344, Len:  3, Fitness_tra: 2
Rule 63: 91518c2dc5118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 211d155121134, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 3135115111515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 11511e3c55131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 5395821612811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1121112881531, Class:  1, CF:0.986464, Len: 13, Fitness_tra: 0
Rule 69: 1c11851188115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 70: 12514c1112112, Class:  2, CF:0.11372, Len: 13, Fitness_tra: 0
Rule 71: 5511111123118, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 72: 311821d812d13, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 73: c251151d12294, Class:  0, CF:0.923019, Len: 13, Fitness_tra: 0
Rule 74: 1211235211d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1111181111111, Class:  1, CF:0.635315, Len: 13, Fitness_tra: 0
Rule 76: 115dc84925111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 00000cc084550, Class:  0, CF:0.621137, Len:  6, Fitness_tra: 0
Rule 78: 1191115211511, Class:  0, CF:0.79329, Len: 13, Fitness_tra: 0
Rule 79: 1251119111593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 113588411c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1115211514151, Class:  1, CF:0.993913, Len: 13, Fitness_tra: 0
Rule 82: 0c00008004557, Class:  1, CF:0.928481, Len:  6, Fitness_tra: 0
Rule 83: 8211c51514112, Class:  0, CF:0.987342, Len: 13, Fitness_tra: 0
Rule 84: 8421212111131, Class:  2, CF:0.970088, Len: 13, Fitness_tra: 0
Rule 85: 1115414321228, Class:  1, CF:0.902794, Len: 13, Fitness_tra: 0
Rule 86: 5215218182512, Class:  1, CF:0.996941, Len: 13, Fitness_tra: 0
Rule 87: 2115158882111, Class:  1, CF:0.888457, Len: 13, Fitness_tra: 0
Rule 88: 395182b1c1222, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 89: 1181111c11531, Class:  1, CF:0.997743, Len: 13, Fitness_tra: 0
Rule 90: 21112121c4151, Class:  0, CF:0.899629, Len: 13, Fitness_tra: 0
Rule 91: 91181e5888191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 1159112154111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: c020008094050, Class:  0, CF:0.933842, Len:  6, Fitness_tra: 0
Rule 94: 1112482611412, Class:  0, CF:0.285579, Len: 13, Fitness_tra: 0
Rule 95: e151109711511, Class:  0, CF:  1, Len: 12, Fitness_tra: 0
Rule 96: 915825112c111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 97: 5155c11828c3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 0700202177191, Class:  0, CF:0.486285, Len:  9, Fitness_tra: -1
Rule 99: 11171181eb132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 5235155612141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:43.2749
------Result------
Miss_rate(tra)	:43.2749
Miss_rate(tst)	:38.8889
ARL				:11.1884

------Generation 1------
Rule  1: 2000003000000, Class:  2, CF:0.61137, Len:  2, Fitness_tra: 18
Rule  2: 0000008004050, Class:  0, CF:0.791927, Len:  3, Fitness_tra: 11
Rule  3: 8000000000002, Class:  0, CF:0.409002, Len:  2, Fitness_tra: 20
Rule  4: c00000c000002, Class:  0, CF:0.667112, Len:  3, Fitness_tra: 6
Rule  5: 2000000004004, Class:  0, CF:0.221456, Len:  3, Fitness_tra: 4
Rule  6: e151119c11511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  7: 1225112212111, Class:  2, CF:0.73428, Len: 13, Fitness_tra: 0
Rule  8: 1112115111132, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: 34125912d15e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 2111211184111, Class:  0, CF:0.0784648, Len: 13, Fitness_tra: 0
Rule 11: 11152111515d1, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 1159112154111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1155c1132d111, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: 3151144118122, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 121285d152111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 1111595115191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 111d114529422, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 18: 1152115252595, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: 9112215112511, Class:  0, CF:0.782391, Len: 13, Fitness_tra: 0
Rule 20: 2155112151514, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 8181211821132, Class:  2, CF:0.974576, Len: 13, Fitness_tra: 0
Rule 22: 1215211281511, Class:  1, CF:0.998456, Len: 13, Fitness_tra: 0
Rule 23: 1151151115151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 24: 6111531212815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 9412155c551e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1212187621415, Class:  0, CF:0.996898, Len: 13, Fitness_tra: 0
Rule 27: 5155c22118c1c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 28: 1115212125721, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 29: 000ae60000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 9112111c52d11, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 31: 51d52221c112c, Class:  1, CF:0.861841, Len: 13, Fitness_tra: 0
Rule 32: 3151221181111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 33: 59d5124125211, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 34: 1198193181511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 121d11c112151, Class:  1, CF:0.959352, Len: 13, Fitness_tra: 0
Rule 36: 31d5112125242, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: 5155822112112, Class:  2, CF:0.401126, Len: 13, Fitness_tra: 0
Rule 38: 31d11c7111141, Class:  1, CF:0.981141, Len: 13, Fitness_tra: 0
Rule 39: 812d212181191, Class:  0, CF:0.537744, Len: 13, Fitness_tra: 0
Rule 40: 1115412511552, Class:  1, CF:0.975043, Len: 13, Fitness_tra: 0
Rule 41: 5231155511131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 34d151dc1851d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 155188b12111c, Class:  0, CF:0.970289, Len: 13, Fitness_tra: 0
Rule 44: 355815112c131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 3151519151151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 8215215551214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1111211115228, Class:  0, CF:0.375804, Len: 13, Fitness_tra: 0
Rule 48: 129551d5115d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: d595522245118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 11518c1119211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0c0000c004554, Class:  1, CF:0.466041, Len:  6, Fitness_tra: 0
Rule 52: 1155215112112, Class:  1, CF:0.994752, Len: 13, Fitness_tra: 0
Rule 53: 15d1121122118, Class:  0, CF:0.751788, Len: 13, Fitness_tra: 0
Rule 54: 000050000000d, Class:  0, CF:0.962261, Len:  2, Fitness_tra: 1
Rule 55: 2455218524114, Class:  0, CF:0.987786, Len: 13, Fitness_tra: 0
Rule 56: 5331111121111, Class:  1, CF:0.0550762, Len: 13, Fitness_tra: 0
Rule 57: 0700000000d50, Class:  0, CF:0.127133, Len:  3, Fitness_tra: 0
Rule 58: 11314171c141c, Class:  1, CF:0.232864, Len: 13, Fitness_tra: 0
Rule 59: 3c11195111513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 11111422c8cb2, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 61: c00d000000092, Class:  0, CF:0.722264, Len:  4, Fitness_tra: 0
Rule 62: 000000c070500, Class:  1, CF:0.1344, Len:  3, Fitness_tra: 2
Rule 63: 91518c2dc5118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 211d155121134, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 3135115111515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 11511e3c55131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 5395821612811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1121112881531, Class:  1, CF:0.986464, Len: 13, Fitness_tra: 0
Rule 69: 1c11851188115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 70: 12514c1112112, Class:  2, CF:0.11372, Len: 13, Fitness_tra: 0
Rule 71: 5511111123118, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 72: 311821d812d13, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 73: c251151d12294, Class:  0, CF:0.923019, Len: 13, Fitness_tra: 0
Rule 74: 1211235211d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1111181111111, Class:  1, CF:0.635315, Len: 13, Fitness_tra: 0
Rule 76: 115dc84925111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 00000cc084550, Class:  0, CF:0.621137, Len:  6, Fitness_tra: 0
Rule 78: 1191115211511, Class:  0, CF:0.79329, Len: 13, Fitness_tra: 0
Rule 79: 1251119111593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 113588411c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1115211514151, Class:  1, CF:0.993913, Len: 13, Fitness_tra: 0
Rule 82: 0c00008004557, Class:  1, CF:0.928481, Len:  6, Fitness_tra: 0
Rule 83: 8211c51514112, Class:  0, CF:0.987342, Len: 13, Fitness_tra: 0
Rule 84: 8421212111131, Class:  2, CF:0.970088, Len: 13, Fitness_tra: 0
Rule 85: 1115414321228, Class:  1, CF:0.902794, Len: 13, Fitness_tra: 0
Rule 86: 5215218182512, Class:  1, CF:0.996941, Len: 13, Fitness_tra: 0
Rule 87: 2115158882111, Class:  1, CF:0.888457, Len: 13, Fitness_tra: 0
Rule 88: 395182b1c1222, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 89: 1181111c11531, Class:  1, CF:0.997743, Len: 13, Fitness_tra: 0
Rule 90: 21112121c4151, Class:  0, CF:0.899629, Len: 13, Fitness_tra: 0
Rule 91: 91181e5888191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 1159112154111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: c020008094050, Class:  0, CF:0.933842, Len:  6, Fitness_tra: 0
Rule 94: 1112482611412, Class:  0, CF:0.285579, Len: 13, Fitness_tra: 0
Rule 95: e151109711511, Class:  0, CF:  1, Len: 12, Fitness_tra: 0
Rule 96: 915825112c111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 97: 5155c11828c3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 0700202177191, Class:  0, CF:0.486285, Len:  9, Fitness_tra: -1
Rule 99: 11171181eb132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 5235155612141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:43.2749
------Result------
Miss_rate(tra)	:43.2749
Miss_rate(tst)	:38.8889
ARL				:11.1884

------Generation 2------
Rule  1: 2000003000000, Class:  2, CF:0.61137, Len:  2, Fitness_tra: 18
Rule  2: 0000008004050, Class:  0, CF:0.791927, Len:  3, Fitness_tra: 11
Rule  3: 8000000000002, Class:  0, CF:0.409002, Len:  2, Fitness_tra: 20
Rule  4: c00000c000002, Class:  0, CF:0.667112, Len:  3, Fitness_tra: 6
Rule  5: 2000000004004, Class:  0, CF:0.221456, Len:  3, Fitness_tra: 4
Rule  6: e151119c11511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  7: 1225112212111, Class:  2, CF:0.73428, Len: 13, Fitness_tra: 0
Rule  8: 1112115111132, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: 34125912d15e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 2111211184111, Class:  0, CF:0.0784648, Len: 13, Fitness_tra: 0
Rule 11: 11152111515d1, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 1159112154111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1155c1132d111, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: 3151144118122, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 121285d152111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
