------Generation 0------
Rule  1: 2cd5222321112, Class:  2, CF:0.937587, Len: 13, Fitness_tra: 0
Rule 32: 0000000004004, Class:  0, CF:0.0264816, Len:  2, Fitness_tra: -6
Rule 33: 181151c811112, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 34: 5811122211421, Class:  0, CF:0.904206, Len: 13, Fitness_tra: 0
Rule 35: 2251c5111c532, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: 5158cc41c512c, Class:  2, CF:0.977767, Len: 13, Fitness_tra: 0
Rule 37: 5591211611111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 38: 919521b589115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1135811183212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 3c15815512511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 121c591552519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1155112611111, Class:  2, CF:0.806048, Len: 13, Fitness_tra: 0
Rule 43: 00000cc084550, Class:  0, CF:0.318166, Len:  6, Fitness_tra: -1
Rule 44: 5291811288111, Class:  2, CF:0.441494, Len: 13, Fitness_tra: 0
Rule 45: 1111151111515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 46: 11d1121121241, Class:  1, CF:0.203021, Len: 13, Fitness_tra: 0
Rule 47: 381c539251591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 3111115158111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1151115c52553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1252c11811119, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 1111128181852, Class:  0, CF:0.633617, Len: 13, Fitness_tra: 0
Rule 52: 31121111d2811, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 53: 1151c51182112, Class:  0, CF:0.96504, Len: 13, Fitness_tra: 0
Rule 54: 000fe60000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1255212181151, Class:  1, CF:0.819255, Len: 13, Fitness_tra: 0
Rule 56: d199821115c28, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 15e182111c181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 11112115c1c12, Class:  1, CF:0.821938, Len: 13, Fitness_tra: 0
Rule 59: 3251195131111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 60: 5131114c11471, Class:  1, CF:0.847803, Len: 13, Fitness_tra: 0
Rule 61: 1251131111191, Class:  0, CF:0.150861, Len: 13, Fitness_tra: 0
Rule 62: 3351212511111, Class:  1, CF:0.99073, Len: 13, Fitness_tra: 0
Rule 63: 3c00d00008005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 521111b121428, Class:  0, CF:0.998409, Len: 13, Fitness_tra: 0
Rule 65: 2720002004000, Class:  0, CF:0.668567, Len:  5, Fitness_tra: -8
Rule 66: 2191155112511, Class:  0, CF:0.685328, Len: 13, Fitness_tra: 0
Rule 67: 11e5212e4282c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1415218211111, Class:  1, CF:0.957014, Len: 13, Fitness_tra: 0
Rule 69: 31912271c9112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 11111221c1471, Class:  1, CF:0.767875, Len: 13, Fitness_tra: 0
Rule 71: 121111d11c515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 72: d1d1121111112, Class:  0, CF:0.691205, Len: 13, Fitness_tra: 0
Rule 73: 123113911d511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 18dc215221d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 5111112118cb2, Class:  0, CF:0.653431, Len: 13, Fitness_tra: 0
Rule 76: 3212112211511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 77: 1c5cc1d81811e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1281158281111, Class:  1, CF:0.115983, Len: 13, Fitness_tra: 0
Rule 79: 1115122521141, Class:  1, CF:0.954784, Len: 13, Fitness_tra: 0
Rule 80: 1111199152515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 81: 2211218121111, Class:  0, CF:0.527022, Len: 13, Fitness_tra: 0
Rule 82: 1185cc2315218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 11d1814118412, Class:  0, CF:0.607802, Len: 13, Fitness_tra: 0
Rule 84: 1155121321112, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 1251111111131, Class:  2, CF:0.971587, Len: 13, Fitness_tra: 0
Rule 86: 3111111113718, Class:  1, CF:0.854982, Len: 13, Fitness_tra: 0
Rule 87: 2111855111511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 88: 1211228512531, Class:  1, CF:0.93953, Len: 13, Fitness_tra: 0
Rule 89: 1151218512152, Class:  0, CF:0.972348, Len: 13, Fitness_tra: 0
Rule 90: 000d000000092, Class:  1, CF:0.3109, Len:  3, Fitness_tra: 2
Rule 91: 1151115c52583, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 1c11143513141, Class:  2, CF:0.168131, Len: 13, Fitness_tra: 0
Rule 93: 155621231e479, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 2155c51122951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1115228b11e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 11d5b22111112, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 115541112153c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: da562223c9112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 1dd0200201001, Class:  2, CF:0.015313, Len:  7, Fitness_tra: -1
Rule100: 4111222311411, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:48.538
------Result------
Miss_rate(tra)	:48.538
Miss_rate(tst)	:41.6667
ARL				:11.7941

------Generation 2------
Rule  1: 8000000004007, Class:  2, CF:0.300888, Len:  3, Fitness_tra: 34
Rule  2: 000000000000c, Class:  0, CF:0.410223, Len:  1, Fitness_tra: 15
Rule  3: 00007080d0000, Class:  0, CF:0.785632, Len:  3, Fitness_tra: 3
Rule  4: 000d000000092, Class:  1, CF:0.3109, Len:  3, Fitness_tra: 2
Rule  5: 20e0804040000, Class:  0, CF:0.993934, Len:  5, Fitness_tra: 1
Rule  6: 2cd5222321112, Class:  2, CF:0.937587, Len: 13, Fitness_tra: 0
Rule  7: 11528d115c111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: 1211218381551, Class:  0, CF:0.388834, Len: 13, Fitness_tra: 0
Rule  9: 111259111513a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 11112d528cdd1, Class:  0, CF:0.672084, Len: 13, Fitness_tra: 0
Rule 11: 5151122121288, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 151d1c4971188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
