------Generation 0------
Rule  1: dc444, Class:  0, CF:0.898652, Len:  5, Fitness_tra: 0
Rule 71: 12218, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 72: d8177, Class:  0, CF:0.749915, Len:  5, Fitness_tra: 0
Rule 73: e2414, Class:  1, CF:0.311804, Len:  5, Fitness_tra: 0
Rule 74: 58c14, Class:  1, CF:0.945541, Len:  5, Fitness_tra: 0
Rule 75: 35124, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 76: 12118, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 77: 29111, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 78: de214, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 79: 8e177, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 80: 5c217, Class:  0, CF:0.733017, Len:  5, Fitness_tra: 0
Rule 81: 31248, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 11172, Class:  2, CF:0.94241, Len:  5, Fitness_tra: 0
Rule 83: 34771, Class:  1, CF:0.684102, Len:  5, Fitness_tra: 0
Rule 84: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 8
Rule 85: d841b, Class:  0, CF:0.308658, Len:  5, Fitness_tra: 0
Rule 86: e141c, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 87: 415bb, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 88: 3bcc2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 1e424, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 90: d5774, Class:  1, CF:0.847495, Len:  5, Fitness_tra: 0
Rule 91: 51172, Class:  2, CF:0.984286, Len:  5, Fitness_tra: 0
Rule 92: 2111b, Class:  2, CF:0.484584, Len:  5, Fitness_tra: -1
Rule 93: 1c742, Class:  0, CF:0.530187, Len:  5, Fitness_tra: 0
Rule 94: e84b1, Class:  1, CF:0.942412, Len:  5, Fitness_tra: 0
Rule 95: 15144, Class:  1, CF:0.900685, Len:  5, Fitness_tra: 0
Rule 96: 9b211, Class:  2, CF:0.187995, Len:  5, Fitness_tra: 0
Rule 97: 69514, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 98: 5e37b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 99: 55824, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule100: 55147, Class:  1, CF:0.842796, Len:  5, Fitness_tra: 0
------Current------
Miss_rate(tra)	:85.5556
------Result------
Miss_rate(tra)	:85.5556
Miss_rate(tst)	:69.7674
ARL				:4.72414

------Generation 0------
Rule  1: 05000, Class:  1, CF:0.982182, Len:  1, Fitness_tra: 56
Rule  2: 00c00, Class:  1, CF:0.978809, Len:  1, Fitness_tra: 44
Rule  3: 03000, Class:  2, CF:0.435539, Len:  1, Fitness_tra: 6
Rule  4: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 8
Rule  5: 32111, Class:  1, CF:0.836546, Len:  5, Fitness_tra: 3
Rule  6: 23141, Class:  2, CF:0.926124, Len:  5, Fitness_tra: 3
Rule  7: d1127, Class:  2, CF:0.980359, Len:  5, Fitness_tra: 2
Rule  8: dc444, Class:  0, CF:0.898652, Len:  5, Fitness_tra: 0
Rule  9: 17212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 13372, Class:  2, CF:0.971025, Len:  5, Fitness_tra: 0
Rule 11: 32121, Class:  1, CF:0.792311, Len:  5, Fitness_tra: 0
Rule 12: 32bc2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 32241, Class:  1, CF:0.974841, Len:  5, Fitness_tra: 0
Rule 14: 9111e, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: 55147, Class:  1, CF:0.842796, Len:  5, Fitness_tra: 0
Rule 16: 11142, Class:  2, CF:0.950774, Len:  5, Fitness_tra: 0
Rule 17: d5242, Class:  1, CF:0.915856, Len:  5, Fitness_tra: 0
Rule 18: 04000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 11428, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 20: 32714, Class:  1, CF:0.554522, Len:  5, Fitness_tra: 0
Rule 21: 9817b, Class:  1, CF:0.219004, Len:  5, Fitness_tra: 0
Rule 22: 11117, Class:  2, CF:0.318395, Len:  5, Fitness_tra: 0
Rule 23: 94112, Class:  2, CF:0.572455, Len:  5, Fitness_tra: 0
Rule 24: 55824, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 25: 13e22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 03000, Class:  2, CF:0.435539, Len:  1, Fitness_tra: 0
Rule 27: 14451, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 28: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: dc7b2, Class:  0, CF:0.913329, Len:  5, Fitness_tra: 0
Rule 30: e1411, Class:  1, CF:0.0840912, Len:  5, Fitness_tra: 0
Rule 31: 113b1, Class:  2, CF:0.542751, Len:  5, Fitness_tra: 0
Rule 32: 5d547, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 33: 1d1b4, Class:  1, CF:0.86576, Len:  5, Fitness_tra: 0
Rule 34: dc127, Class:  0, CF:0.95262, Len:  5, Fitness_tra: 0
Rule 35: 55144, Class:  1, CF:0.842796, Len:  5, Fitness_tra: 0
Rule 36: 2131b, Class:  2, CF:0.530142, Len:  5, Fitness_tra: -7
Rule 37: 31844, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 38: e2b12, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 14bb1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 3c1b2, Class:  1, CF:0.119843, Len:  5, Fitness_tra: 0
Rule 41: 1911b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 42: 85544, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 43: 19821, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 44: 81277, Class:  2, CF:0.876707, Len:  5, Fitness_tra: 0
Rule 45: d2212, Class:  2, CF:0.0958326, Len:  5, Fitness_tra: 0
Rule 46: 61521, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 47: 1914b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 48: 04000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 85144, Class:  1, CF:0.596111, Len:  5, Fitness_tra: 0
Rule 50: 927c5, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 51: 11344, Class:  2, CF:0.945025, Len:  5, Fitness_tra: 0
Rule 52: 15872, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 53: 147c8, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 54: d0700, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 29122, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 56: 13227, Class:  2, CF:0.926442, Len:  5, Fitness_tra: 0
Rule 57: e1171, Class:  2, CF:0.962222, Len:  5, Fitness_tra: 0
Rule 58: 51222, Class:  2, CF:0.971373, Len:  5, Fitness_tra: 0
Rule 59: 51417, Class:  2, CF:0.49739, Len:  5, Fitness_tra: 0
Rule 60: 1c448, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 51c7b, Class:  1, CF:0.354971, Len:  5, Fitness_tra: 0
Rule 62: 54111, Class:  0, CF:0.0611237, Len:  5, Fitness_tra: 1
Rule 63: 4314b, Class:  2, CF:0.935622, Len:  5, Fitness_tra: 0
Rule 64: 12119, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 65: d5271, Class:  1, CF:0.96573, Len:  5, Fitness_tra: 0
Rule 66: 11221, Class:  2, CF:0.185879, Len:  5, Fitness_tra: 0
Rule 67: d3244, Class:  2, CF:0.979521, Len:  5, Fitness_tra: 0
Rule 68: c614b, Class:  2, CF:0.920912, Len:  5, Fitness_tra: 0
Rule 69: d81b1, Class:  0, CF:0.203934, Len:  5, Fitness_tra: 0
Rule 70: 12218, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 71: d8177, Class:  0, CF:0.749915, Len:  5, Fitness_tra: 0
Rule 72: e2414, Class:  1, CF:0.311804, Len:  5, Fitness_tra: 0
Rule 73: 58c14, Class:  1, CF:0.945541, Len:  5, Fitness_tra: 0
Rule 74: 35124, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 75: 12118, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 76: 29111, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 77: de214, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 78: 8e177, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 79: 5c217, Class:  0, CF:0.733017, Len:  5, Fitness_tra: 0
Rule 80: 31248, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 12714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 151bb, Class:  1, CF:0.900685, Len:  5, Fitness_tra: 0
Rule 83: a1417, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 84: 581b1, Class:  1, CF:0.239125, Len:  5, Fitness_tra: 0
Rule 85: 15c42, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 86: 92271, Class:  1, CF:0.215814, Len:  5, Fitness_tra: 0
Rule 87: 14b24, Class:  2, CF:0.584918, Len:  5, Fitness_tra: 0
Rule 88: 3121b, Class:  1, CF:0.433245, Len:  5, Fitness_tra: 0
Rule 89: 21c11, Class:  1, CF:0.943131, Len:  5, Fitness_tra: 0
Rule 90: 51272, Class:  2, CF:0.96221, Len:  5, Fitness_tra: 0
Rule 91: 32054, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 5911b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 93: 32b0a, Class:  1, CF:0.796635, Len:  4, Fitness_tra: 4
Rule 94: 14112, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 8518b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 18429, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 1d117, Class:  1, CF:0.901417, Len:  5, Fitness_tra: 0
Rule 98: 35114, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 99: e27c4, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule100: 15871, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
------Current------
Miss_rate(tra)	:85.2778
------Result------
Miss_rate(tra)	:85.2778
Miss_rate(tst)	:69.7674
ARL				:4.75

------Generation 1------
Rule  1: 05000, Class:  1, CF:0.982182, Len:  1, Fitness_tra: 56
Rule  2: 00c00, Class:  1, CF:0.978809, Len:  1, Fitness_tra: 44
Rule  3: 03000, Class:  2, CF:0.435539, Len:  1, Fitness_tra: 6
Rule  4: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 8
Rule  5: 32111, Class:  1, CF:0.836546, Len:  5, Fitness_tra: 3
Rule  6: 23141, Class:  2, CF:0.926124, Len:  5, Fitness_tra: 3
Rule  7: d1127, Class:  2, CF:0.980359, Len:  5, Fitness_tra: 2
Rule  8: dc444, Class:  0, CF:0.898652, Len:  5, Fitness_tra: 0
Rule  9: 17212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 13372, Class:  2, CF:0.971025, Len:  5, Fitness_tra: 0
Rule 11: 32121, Class:  1, CF:0.792311, Len:  5, Fitness_tra: 0
Rule 12: 32bc2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 32241, Class:  1, CF:0.974841, Len:  5, Fitness_tra: 0
Rule 14: 9111e, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: 55147, Class:  1, CF:0.842796, Len:  5, Fitness_tra: 0
Rule 16: 11142, Class:  2, CF:0.950774, Len:  5, Fitness_tra: 0
Rule 17: d5242, Class:  1, CF:0.915856, Len:  5, Fitness_tra: 0
Rule 18: 04000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 11428, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 20: 32714, Class:  1, CF:0.554522, Len:  5, Fitness_tra: 0
Rule 21: 9817b, Class:  1, CF:0.219004, Len:  5, Fitness_tra: 0
Rule 22: 11117, Class:  2, CF:0.318395, Len:  5, Fitness_tra: 0
Rule 23: 94112, Class:  2, CF:0.572455, Len:  5, Fitness_tra: 0
Rule 24: 55824, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 25: 13e22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 03000, Class:  2, CF:0.435539, Len:  1, Fitness_tra: 0
Rule 27: 14451, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 28: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: dc7b2, Class:  0, CF:0.913329, Len:  5, Fitness_tra: 0
Rule 30: e1411, Class:  1, CF:0.0840912, Len:  5, Fitness_tra: 0
Rule 31: 113b1, Class:  2, CF:0.542751, Len:  5, Fitness_tra: 0
Rule 32: 5d547, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 33: 1d1b4, Class:  1, CF:0.86576, Len:  5, Fitness_tra: 0
Rule 34: dc127, Class:  0, CF:0.95262, Len:  5, Fitness_tra: 0
Rule 35: 55144, Class:  1, CF:0.842796, Len:  5, Fitness_tra: 0
Rule 36: 2131b, Class:  2, CF:0.530142, Len:  5, Fitness_tra: -7
Rule 37: 31844, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 38: e2b12, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 14bb1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 3c1b2, Class:  1, CF:0.119843, Len:  5, Fitness_tra: 0
Rule 41: 1911b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 42: 85544, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 43: 19821, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 44: 81277, Class:  2, CF:0.876707, Len:  5, Fitness_tra: 0
Rule 45: d2212, Class:  2, CF:0.0958326, Len:  5, Fitness_tra: 0
Rule 46: 61521, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 47: 1914b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 48: 04000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 85144, Class:  1, CF:0.596111, Len:  5, Fitness_tra: 0
Rule 50: 927c5, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 51: 11344, Class:  2, CF:0.945025, Len:  5, Fitness_tra: 0
Rule 52: 15872, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 53: 147c8, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 54: d0700, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 29122, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 56: 13227, Class:  2, CF:0.926442, Len:  5, Fitness_tra: 0
Rule 57: e1171, Class:  2, CF:0.962222, Len:  5, Fitness_tra: 0
Rule 58: 51222, Class:  2, CF:0.971373, Len:  5, Fitness_tra: 0
Rule 59: 51417, Class:  2, CF:0.49739, Len:  5, Fitness_tra: 0
Rule 60: 1c448, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 51c7b, Class:  1, CF:0.354971, Len:  5, Fitness_tra: 0
Rule 62: 54111, Class:  0, CF:0.0611237, Len:  5, Fitness_tra: 1
Rule 63: 4314b, Class:  2, CF:0.935622, Len:  5, Fitness_tra: 0
Rule 64: 12119, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 65: d5271, Class:  1, CF:0.96573, Len:  5, Fitness_tra: 0
Rule 66: 11221, Class:  2, CF:0.185879, Len:  5, Fitness_tra: 0
Rule 67: d3244, Class:  2, CF:0.979521, Len:  5, Fitness_tra: 0
Rule 68: c614b, Class:  2, CF:0.920912, Len:  5, Fitness_tra: 0
Rule 69: d81b1, Class:  0, CF:0.203934, Len:  5, Fitness_tra: 0
Rule 70: 12218, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 71: d8177, Class:  0, CF:0.749915, Len:  5, Fitness_tra: 0
Rule 72: e2414, Class:  1, CF:0.311804, Len:  5, Fitness_tra: 0
Rule 73: 58c14, Class:  1, CF:0.945541, Len:  5, Fitness_tra: 0
Rule 74: 35124, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 75: 12118, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 76: 29111, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 77: de214, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 78: 8e177, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 79: 5c217, Class:  0, CF:0.733017, Len:  5, Fitness_tra: 0
Rule 80: 31248, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 12714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 151bb, Class:  1, CF:0.900685, Len:  5, Fitness_tra: 0
Rule 83: a1417, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 84: 581b1, Class:  1, CF:0.239125, Len:  5, Fitness_tra: 0
Rule 85: 15c42, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 86: 92271, Class:  1, CF:0.215814, Len:  5, Fitness_tra: 0
Rule 87: 14b24, Class:  2, CF:0.584918, Len:  5, Fitness_tra: 0
Rule 88: 3121b, Class:  1, CF:0.433245, Len:  5, Fitness_tra: 0
Rule 89: 21c11, Class:  1, CF:0.943131, Len:  5, Fitness_tra: 0
Rule 90: 51272, Class:  2, CF:0.96221, Len:  5, Fitness_tra: 0
Rule 91: 32054, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 5911b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 93: 32b0a, Class:  1, CF:0.796635, Len:  4, Fitness_tra: 4
Rule 94: 14112, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 8518b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 18429, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 1d117, Class:  1, CF:0.901417, Len:  5, Fitness_tra: 0
Rule 98: 35114, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 99: e27c4, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule100: 15871, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
------Current------
Miss_rate(tra)	:85.2778
------Result------
Miss_rate(tra)	:85.2778
Miss_rate(tst)	:69.7674
ARL				:4.75

------Generation 2------
Rule  1: 05000, Class:  1, CF:0.982182, Len:  1, Fitness_tra: 56
Rule  2: 00c00, Class:  1, CF:0.978809, Len:  1, Fitness_tra: 44
Rule  3: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 8
Rule  4: 03000, Class:  2, CF:0.435539, Len:  1, Fitness_tra: -45
Rule  5: 32b0a, Class:  1, CF:0.796635, Len:  4, Fitness_tra: 4
Rule  6: 32111, Class:  1, CF:0.836546, Len:  5, Fitness_tra: 3
Rule  7: 23141, Class:  2, CF:0.926124, Len:  5, Fitness_tra: 3
Rule  8: d1127, Class:  2, CF:0.980359, Len:  5, Fitness_tra: 0
Rule  9: 54111, Class:  0, CF:0.0611237, Len:  5, Fitness_tra: 2
Rule 10: 17212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 32121, Class:  1, CF:0.792311, Len:  5, Fitness_tra: 0
Rule 12: 32bc2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 32241, Class:  1, CF:0.974841, Len:  5, Fitness_tra: 0
Rule 14: 9111e, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: 55147, Class:  1, CF:0.842796, Len:  5, Fitness_tra: 0
Rule 16: 11142, Class:  2, CF:0.950774, Len:  5, Fitness_tra: 0
Rule 17: d5242, Class:  1, CF:0.915856, Len:  5, Fitness_tra: 0
Rule 18: 04000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 11428, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 20: 32714, Class:  1, CF:0.554522, Len:  5, Fitness_tra: 0
Rule 21: 9817b, Class:  1, CF:0.219004, Len:  5, Fitness_tra: 0
Rule 22: 11117, Class:  2, CF:0.318395, Len:  5, Fitness_tra: -1
Rule 23: 94112, Class:  2, CF:0.572455, Len:  5, Fitness_tra: 0
Rule 24: 55824, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 25: 13e22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 03000, Class:  2, CF:0.435539, Len:  1, Fitness_tra: 0
Rule 27: 14451, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 28: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: dc7b2, Class:  0, CF:0.913329, Len:  5, Fitness_tra: 0
Rule 30: e1411, Class:  1, CF:0.0840912, Len:  5, Fitness_tra: 0
Rule 31: 113b1, Class:  2, CF:0.542751, Len:  5, Fitness_tra: 0
Rule 32: 5d547, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 33: 1d1b4, Class:  1, CF:0.86576, Len:  5, Fitness_tra: 0
Rule 34: dc127, Class:  0, CF:0.95262, Len:  5, Fitness_tra: 0
Rule 35: 55144, Class:  1, CF:0.842796, Len:  5, Fitness_tra: 0
Rule 36: 15871, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 37: 31844, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
