------Generation 0------
Rule  1: c28bb12121c2211124, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 0000000020009cc002, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 26: 0000007e707b000000, Class:  0, CF:0.103866, Len:  5, Fitness_tra: 0
Rule 27: 13122ccd298c8211c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: d00000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: e00840000000000000, Class:  1, CF:0.807951, Len:  3, Fitness_tra: 22
Rule 30: 000000943000e00020, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1dd8c2c11514181282, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 00f000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1918423191d1911159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000000000000007000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 511d2b181d1114819d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 0000c0000500000050, Class:  2, CF:  1, Len:  3, Fitness_tra: 0
Rule 39: 0000b000e00e000000, Class:  2, CF:  1, Len:  3, Fitness_tra: 1
Rule 40: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 009000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 16f8b1f43311681184, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 5e18111733591c2111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1851c14328442bc431, Class:  2, CF:0.298838, Len: 18, Fitness_tra: 0
Rule 48: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 003000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000980000000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 51: 13651b11619332c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 5222712e112b221814, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 2112471911c11cc511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000000000006003, Class:  2, CF:0.142883, Len:  2, Fitness_tra: -16
Rule 55: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 030d800c50000c0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 00a000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 0000000000800c0080, Class:  0, CF:0.369539, Len:  3, Fitness_tra: 0
Rule 59: 91187b3219e1311814, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: c0070000000000c060, Class:  0, CF:0.617645, Len:  4, Fitness_tra: 15
Rule 62: 111274132212142118, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 363144126311182124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 0e0000000000000000, Class:  3, CF:0.0613822, Len:  1, Fitness_tra: 11
Rule 65: 1212c7c2421841111e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 00e070000000000500, Class:  1, CF:0.10153, Len:  3, Fitness_tra: 7
Rule 67: 00000000000000000d, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 00000b000000070000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 933dc41c515d121218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: c21244c5151cd81414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1a6114643e13351112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 000000000500000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 508700400000050007, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 2d281bc14212512188, Class:  1, CF:0.69998, Len: 18, Fitness_tra: 1
Rule 78: 000000000000000400, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 00e000000000000003, Class:  2, CF:0.780693, Len:  2, Fitness_tra: 6
Rule 81: 000000000020000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 15122225284c582121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 003000000000000003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000000000000085000, Class:  1, CF:0.146794, Len:  2, Fitness_tra: 0
Rule 85: 111c17cdc1111c2881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000cb0000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 600000003000000003, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 5111c1c1252c171231, Class:  3, CF:0.419319, Len: 18, Fitness_tra: 0
Rule 89: 19924c21891c118215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0000000020009cc002, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 91: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 00000000000000000d, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 1efd12323115125321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 082000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1d2117c31542511122, Class:  3, CF:0.0267282, Len: 18, Fitness_tra: -2
Rule 96: 815422811521521111, Class:  3, CF:0.0200823, Len: 18, Fitness_tra: 0
Rule 97: 005000000000080030, Class:  2, CF:0.197974, Len:  3, Fitness_tra: 0
Rule 98: 5c11127315c4181182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 16114bfb19e63c2122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 000070000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:60.7096
------Result------
Miss_rate(tra)	:60.7096
Miss_rate(tst)	:68.2353
ARL				:7.17241

------Generation 0------
Rule  1: 0000c0000000000400, Class:  2, CF:0.233167, Len:  2, Fitness_tra: 31
Rule  2: e00840000000000000, Class:  1, CF:0.807951, Len:  3, Fitness_tra: 19
Rule  3: c0070000000000c060, Class:  0, CF:0.617645, Len:  4, Fitness_tra: 6
Rule  4: 0e0000000000000000, Class:  3, CF:0.0613822, Len:  1, Fitness_tra: 11
Rule  5: 00e070000000000500, Class:  1, CF:0.10153, Len:  3, Fitness_tra: 3
Rule  6: 00900b0000000000dc, Class:  3, CF:0.458867, Len:  4, Fitness_tra: 5
Rule  7: 00e000000000000003, Class:  2, CF:0.780693, Len:  2, Fitness_tra: 7
Rule  8: d89111814211142411, Class:  1, CF:0.0943704, Len: 18, Fitness_tra: 7
Rule  9: 000980000000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 2
Rule 10: 1181221978248111c4, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 11: 0000b000e00e000000, Class:  2, CF:  1, Len:  3, Fitness_tra: 1
Rule 12: 2d281bc14212512188, Class:  1, CF:0.69998, Len: 18, Fitness_tra: 0
Rule 13: c28bb12121c2211124, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 11151b31339311c1c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000000005000c0020, Class:  2, CF:0.702847, Len:  3, Fitness_tra: 3
Rule 16: c004007eb07b000000, Class:  0, CF:0.97315, Len:  7, Fitness_tra: 4
Rule 17: 000070000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 111114c34121828811, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 003000000000000003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 211887c1821c12b811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 85214415212421c152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 0000000020009cc002, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 26: 0000007e707b000000, Class:  0, CF:0.103866, Len:  5, Fitness_tra: -7
Rule 27: 13122ccd298c8211c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: d00000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00000000020000000d, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000000943000e00020, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1dd8c2c11514181282, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 00f000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1918423191d1911159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000000000000007000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 511d2b181d1114819d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 0000c0000500000050, Class:  2, CF:  1, Len:  3, Fitness_tra: 0
Rule 39: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 009000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 16f8b1f43311681184, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 5e18111733591c2111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1851c14328442bc431, Class:  2, CF:0.298838, Len: 18, Fitness_tra: 0
Rule 48: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 003000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 13651b11619332c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 5222712e112b221814, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 2112471911c11cc511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 030d800c50000c0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 00a000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 0000000000800c0080, Class:  0, CF:0.369539, Len:  3, Fitness_tra: 0
Rule 57: 91187b3219e1311814, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 111274132212142118, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 363144126311182124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1212c7c2421841111e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 00000c500d000c00c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 00000000000000000d, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 00000b000000070000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 933dc41c515d121218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: c21244c5151cd81414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 1a6114643e13351112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 000000000500000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 508700400000050007, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 56652c145111111289, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000000000000000400, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000020000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 15122225284c582121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 003000000000000003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 2552111529115181c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 00000000060000d002, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 00007000d020000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000000000000080000, Class:  0, CF:0.00968627, Len:  1, Fitness_tra: -13
Rule 87: 00044c0eb00b000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 0000000c050d004080, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 00a000000000000009, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 91: 000800000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 00e000006000000000, Class:  1, CF:0.41791, Len:  2, Fitness_tra: 0
Rule 93: 10f0c0011570000002, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 0110c1010a2c070000, Class:  2, CF:  1, Len:  9, Fitness_tra: 0
Rule 95: 00940000000000008e, Class:  1, CF:0.502124, Len:  4, Fitness_tra: 7
Rule 96: 00e000000000400000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 003900000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 01c122100824010104, Class:  0, CF:0.333659, Len: 12, Fitness_tra: -32
Rule 99: 00000000220090c002, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 00000000000e00000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:59.3955
------Result------
Miss_rate(tra)	:59.3955
Miss_rate(tst)	:61.1765
ARL				:6.08

------Generation 1------
Rule  1: 0000c0000000000400, Class:  2, CF:0.233167, Len:  2, Fitness_tra: 31
Rule  2: e00840000000000000, Class:  1, CF:0.807951, Len:  3, Fitness_tra: 19
Rule  3: c0070000000000c060, Class:  0, CF:0.617645, Len:  4, Fitness_tra: 6
Rule  4: 0e0000000000000000, Class:  3, CF:0.0613822, Len:  1, Fitness_tra: 11
Rule  5: 00e070000000000500, Class:  1, CF:0.10153, Len:  3, Fitness_tra: 3
Rule  6: 00900b0000000000dc, Class:  3, CF:0.458867, Len:  4, Fitness_tra: 5
Rule  7: 00e000000000000003, Class:  2, CF:0.780693, Len:  2, Fitness_tra: 7
Rule  8: d89111814211142411, Class:  1, CF:0.0943704, Len: 18, Fitness_tra: 7
Rule  9: 000980000000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 2
Rule 10: 1181221978248111c4, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 11: 0000b000e00e000000, Class:  2, CF:  1, Len:  3, Fitness_tra: 1
Rule 12: 2d281bc14212512188, Class:  1, CF:0.69998, Len: 18, Fitness_tra: 0
Rule 13: c28bb12121c2211124, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 11151b31339311c1c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000000005000c0020, Class:  2, CF:0.702847, Len:  3, Fitness_tra: 3
Rule 16: c004007eb07b000000, Class:  0, CF:0.97315, Len:  7, Fitness_tra: 4
Rule 17: 000070000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 111114c34121828811, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 003000000000000003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 211887c1821c12b811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 85214415212421c152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 0000000020009cc002, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 26: 0000007e707b000000, Class:  0, CF:0.103866, Len:  5, Fitness_tra: -7
Rule 27: 13122ccd298c8211c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: d00000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00000000020000000d, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000000943000e00020, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1dd8c2c11514181282, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 00f000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1918423191d1911159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000000000000007000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 511d2b181d1114819d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 0000c0000500000050, Class:  2, CF:  1, Len:  3, Fitness_tra: 0
Rule 39: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 009000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 16f8b1f43311681184, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 5e18111733591c2111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1851c14328442bc431, Class:  2, CF:0.298838, Len: 18, Fitness_tra: 0
Rule 48: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 003000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 13651b11619332c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 5222712e112b221814, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 2112471911c11cc511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 030d800c50000c0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 00a000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 0000000000800c0080, Class:  0, CF:0.369539, Len:  3, Fitness_tra: 0
Rule 57: 91187b3219e1311814, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 111274132212142118, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 363144126311182124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1212c7c2421841111e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 00000c500d000c00c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 00000000000000000d, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 00000b000000070000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 933dc41c515d121218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: c21244c5151cd81414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 1a6114643e13351112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 000000000500000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 508700400000050007, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 56652c145111111289, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000000000000000400, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000020000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 15122225284c582121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 003000000000000003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 2552111529115181c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 00000000060000d002, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 00007000d020000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000000000000080000, Class:  0, CF:0.00968627, Len:  1, Fitness_tra: -13
Rule 87: 00044c0eb00b000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 0000000c050d004080, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 00a000000000000009, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 91: 000800000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 00e000006000000000, Class:  1, CF:0.41791, Len:  2, Fitness_tra: 0
Rule 93: 10f0c0011570000002, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 0110c1010a2c070000, Class:  2, CF:  1, Len:  9, Fitness_tra: 0
Rule 95: 00940000000000008e, Class:  1, CF:0.502124, Len:  4, Fitness_tra: 7
Rule 96: 00e000000000400000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 003900000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 01c122100824010104, Class:  0, CF:0.333659, Len: 12, Fitness_tra: -32
Rule 99: 00000000220090c002, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 00000000000e00000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:59.3955
------Result------
Miss_rate(tra)	:59.3955
Miss_rate(tst)	:61.1765
ARL				:6.08

------Generation 2------
Rule  1: 0000c0000000000400, Class:  2, CF:0.233167, Len:  2, Fitness_tra: 31
Rule  2: e00840000000000000, Class:  1, CF:0.807951, Len:  3, Fitness_tra: 19
Rule  3: c0070000000000c060, Class:  0, CF:0.617645, Len:  4, Fitness_tra: 6
Rule  4: 0e0000000000000000, Class:  3, CF:0.0613822, Len:  1, Fitness_tra: 11
Rule  5: 00e070000000000500, Class:  1, CF:0.10153, Len:  3, Fitness_tra: 3
