------Generation 0------
Rule  1: 1265132d11541, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 35: 113111e118186, Class:  0, CF:0.961768, Len: 13, Fitness_tra: 0
Rule 36: 1511115913411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 4171118139931, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 28139581511d8, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 6911315539911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: a31d8d3115111, Class:  0, CF:0.425982, Len: 13, Fitness_tra: 0
Rule 41: 75a198115e11c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: ae75153d15375, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 11ad189d153dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 33fc912191118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1129821481851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 0000e0000800c, Class:  0, CF:  1, Len:  3, Fitness_tra: 24
Rule 47: 6e42ddd831522, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: bc31812d19583, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1132111113112, Class:  0, CF:0.80153, Len: 13, Fitness_tra: 0
Rule 50: a1a1911112585, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 18a8151151225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 6529552d15131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 7c32151115151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 15b111d558558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: b14151d515d13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 1cf9152111521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: a6f1193924125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: a171e81512515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0002c00e00002, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 60: af61591215131, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 61: 442612323d151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 000dcd0000000, Class:  0, CF:0.905499, Len:  3, Fitness_tra: 57
Rule 63: 3318e81119515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: b225129c32951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 3635351193111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 4b75185111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 18615551113ed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 72f5251991145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 44b5855151115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: f6689129d1115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: b5f8118125115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 11b15932111e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: b3a8115558851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: fe755d1555128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 756181d118581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: f365511d2d55d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0002c00300002, Class:  0, CF:0.904182, Len:  4, Fitness_tra: 164
Rule 78: 197d315c15111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 42a81511d1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 31b3252511951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 11417c1de3ed2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 7171181c51155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 0800300000040, Class:  0, CF:0.903069, Len:  3, Fitness_tra: 39
Rule 84: 114c152511511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 0900000500050, Class:  0, CF:  1, Len:  3, Fitness_tra: 1
Rule 86: b475181195911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 69b1511d53185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 1115111521335, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 661c915882384, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: f941111931112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 113151312115a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 4531318811111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 31b26d5413311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: b2b1551115311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 00000308000c0, Class:  0, CF:0.935368, Len:  3, Fitness_tra: 70
Rule 96: 3a61913318c1e, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 97: 11ae59851d5d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 6e1191559111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 1945e18221911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 481185e131121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:9.53984
------Result------
Miss_rate(tra)	:9.53984
Miss_rate(tst)	:10.101
ARL				:8.5

------Generation 0------
Rule  1: 00000000000b0, Class:  0, CF:0.799611, Len:  1, Fitness_tra: 370
Rule  2: 0002c00300002, Class:  0, CF:0.904182, Len:  4, Fitness_tra: 149
Rule  3: 00000308000c0, Class:  0, CF:0.935368, Len:  3, Fitness_tra: 69
Rule  4: 000dcd0000000, Class:  0, CF:0.905499, Len:  3, Fitness_tra: 56
Rule  5: 0800300000040, Class:  0, CF:0.903069, Len:  3, Fitness_tra: 40
Rule  6: 0000e0000800c, Class:  0, CF:  1, Len:  3, Fitness_tra: 24
Rule  7: 0900000500050, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule  8: 1265132d11541, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: 611113e911211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: bc1581e122155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1c11512115515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: a3f55515c1811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 65b321811d955, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: ff63922139821, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: f1252de111518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: b27c311125111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 75fd291111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 272831e7cd111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: feb9212e15518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 651111d58d51d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: a361156e91259, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: fef1951d115c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 6362388d59518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 6147edd511111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 0008000000690, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 26: f1b5163182133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 13a5ec8113c53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 287115112155c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 4b43121255c32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: fe3585e911581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 17451985c1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 713c3119d1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 63f1111193113, Class:  0, CF:0.704286, Len: 13, Fitness_tra: 0
Rule 34: 2362612111181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 113111e118186, Class:  0, CF:0.961768, Len: 13, Fitness_tra: 0
Rule 36: 1511115913411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 4171118139931, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 28139581511d8, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 6911315539911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: a31d8d3115111, Class:  0, CF:0.425982, Len: 13, Fitness_tra: 0
Rule 41: 75a198115e11c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: ae75153d15375, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 11ad189d153dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 33fc912191118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1129821481851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 31f5e11111d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 6e42ddd831522, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: bc31812d19583, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1132111113112, Class:  0, CF:0.80153, Len: 13, Fitness_tra: 0
Rule 50: a1a1911112585, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 18a8151151225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 6529552d15131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 7c32151115151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 15b111d558558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: b14151d515d13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 1cf9152111521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: a6f1193924125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: a171e81512515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0002c00e00002, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 60: af61591215131, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 61: 442612323d151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: aa1551151d213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 3318e81119515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: b225129c32951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 3635351193111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 4b75185111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 18615551113ed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 72f5251991145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 44b5855151115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: f6689129d1115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: b5f8118125115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 11b15932111e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: b3a8115558851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: fe755d1555128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 756181d118581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: f365511d2d55d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 6e65352dd91c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 197d315c15111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 42a81511d1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 31b3252511951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 0002000d00900, Class:  0, CF:0.951194, Len:  3, Fitness_tra: 1
Rule 82: 2813851525321, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 83: 00000000d0053, Class:  0, CF:0.687919, Len:  3, Fitness_tra: 9
Rule 84: 3e211d531d521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000dcd000d000, Class:  0, CF:0.800285, Len:  4, Fitness_tra: 0
Rule 86: 7c31d1555d31c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 000d00005c0dc, Class:  0, CF:0.851383, Len:  5, Fitness_tra: 0
Rule 88: b1f5851155554, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 1811231912811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 75a1551528513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 272831c8cd111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: feb9942e15528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 6147e1d121411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 353e7c0593151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 0808000000090, Class:  0, CF:0.590181, Len:  3, Fitness_tra: 8
Rule 96: 15152d5911511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 694c510530910, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: b465111115111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 0000e0000800c, Class:  0, CF:  1, Len:  0, Fitness_tra: 0
Rule100: 3311e8115e115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:9.42761
------Result------
Miss_rate(tra)	:9.42761
Miss_rate(tst)	:10.101
ARL				:7.29167

------Generation 1------
Rule  1: 00000000000b0, Class:  0, CF:0.799611, Len:  1, Fitness_tra: 300
Rule  2: 0002c00300002, Class:  0, CF:0.904182, Len:  4, Fitness_tra: 71
Rule  3: 00000308000c0, Class:  0, CF:0.935368, Len:  3, Fitness_tra: 23
Rule  4: 000dcd0000000, Class:  0, CF:0.905499, Len:  3, Fitness_tra: 27
Rule  5: 0800300000040, Class:  0, CF:0.903069, Len:  3, Fitness_tra: 26
Rule  6: 0000e0000800c, Class:  0, CF:  1, Len:  3, Fitness_tra: 8
Rule  7: 00000000d0053, Class:  0, CF:0.687919, Len:  3, Fitness_tra: 3
Rule  8: 0808000000090, Class:  0, CF:0.590181, Len:  3, Fitness_tra: 3
Rule  9: 0002000d00900, Class:  0, CF:0.951194, Len:  3, Fitness_tra: 0
Rule 10: 0900000500050, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 11: 1c11512115515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: a3f55515c1811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 65b321811d955, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: ff63922139821, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: f1252de111518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: b27c311125111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 75fd291111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 272831e7cd111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: feb9212e15518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 651111d58d51d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: a361156e91259, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: fef1951d115c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 6362388d59518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 6147edd511111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 0008000000690, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 26: f1b5163182133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 13a5ec8113c53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 287115112155c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 4b43121255c32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: fe3585e911581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 17451985c1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 713c3119d1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 63f1111193113, Class:  0, CF:0.704286, Len: 13, Fitness_tra: 0
Rule 34: 2362612111181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 113111e118186, Class:  0, CF:0.961768, Len: 13, Fitness_tra: 0
Rule 36: 1511115913411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 4171118139931, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 28139581511d8, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 6911315539911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: a31d8d3115111, Class:  0, CF:0.425982, Len: 13, Fitness_tra: 0
Rule 41: 75a198115e11c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: ae75153d15375, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 11ad189d153dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 33fc912191118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1129821481851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 31f5e11111d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 6e42ddd831522, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: bc31812d19583, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1132111113112, Class:  0, CF:0.80153, Len: 13, Fitness_tra: 0
Rule 50: a1a1911112585, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 18a8151151225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 6529552d15131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 7c32151115151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 15b111d558558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: b14151d515d13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 1cf9152111521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: a6f1193924125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: a171e81512515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0002c00e00002, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 60: af61591215131, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 61: 442612323d151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: aa1551151d213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 3318e81119515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: b225129c32951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 3635351193111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 4b75185111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 18615551113ed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 72f5251991145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 44b5855151115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: f6689129d1115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: b5f8118125115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 11b15932111e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: b3a8115558851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: fe755d1555128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 756181d118581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: f365511d2d55d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 6e65352dd91c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 197d315c15111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 42a81511d1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 31b3252511951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 0002000d00900, Class:  0, CF:0.951194, Len:  0, Fitness_tra: 0
Rule 82: 00000000000b0, Class:  0, CF:0.799611, Len:  0, Fitness_tra: 0
Rule 83: aa3d11d55d589, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 44b3129511158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 0000000000d00, Class:  0, CF:0.793453, Len:  1, Fitness_tra: 205
Rule 86: f3fd555d11155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 00020d3000d24, Class:  0, CF:0.864987, Len:  6, Fitness_tra: 0
Rule 88: 78a3155513549, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 0002308000d40, Class:  0, CF:0.829897, Len:  5, Fitness_tra: 0
Rule 90: 0009000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 62
Rule 91: 8362380d5c5cc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: a061cd0100013, Class:  0, CF:0.855105, Len:  8, Fitness_tra: -1
Rule 93: 1265132d11541, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 94: 3633922193821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 4a083011d1140, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 31fde89d11d1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: d11c51d515dee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 43455515c5c31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 657d215c35151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 6e00e500d9101, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:9.31538
------Result------
Miss_rate(tra)	:9.31538
Miss_rate(tst)	:9.09091
ARL				:6.69231

------Generation 2------
Rule  1: 00000000000b0, Class:  0, CF:0.799611, Len:  1, Fitness_tra: 265
Rule  2: 0000000000d00, Class:  0, CF:0.793453, Len:  1, Fitness_tra: 160
Rule  3: 0002c00300002, Class:  0, CF:0.904182, Len:  4, Fitness_tra: 32
Rule  4: 0009000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 62
Rule  5: 000dcd0000000, Class:  0, CF:0.905499, Len:  3, Fitness_tra: 23
Rule  6: 0800300000040, Class:  0, CF:0.903069, Len:  3, Fitness_tra: 23
Rule  7: 00000308000c0, Class:  0, CF:0.935368, Len:  3, Fitness_tra: 12
Rule  8: 0000e0000800c, Class:  0, CF:  1, Len:  3, Fitness_tra: 4
Rule  9: 0808000000090, Class:  0, CF:0.590181, Len:  3, Fitness_tra: 0
Rule 10: 00000000d0053, Class:  0, CF:0.687919, Len:  3, Fitness_tra: 1
Rule 11: 0002000d00900, Class:  0, CF:0.951194, Len:  3, Fitness_tra: 0
Rule 12: a3f55515c1811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 65b321811d955, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: ff63922139821, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: f1252de111518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
