------Generation 0------
Rule  1: 615e, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule 42: 1111, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 0050, Class:  2, CF:0.331412, Len:  1, Fitness_tra: 0
Rule 44: 5613, Class:  0, CF:0.720798, Len:  4, Fitness_tra: 1
Rule 45: 6705, Class:  2, CF:0.943925, Len:  3, Fitness_tra: 3
Rule 46: 0055, Class:  2, CF:0.828571, Len:  2, Fitness_tra: 22
Rule 47: 3411, Class:  0, CF:0.0128676, Len:  4, Fitness_tra: 0
Rule 48: 1111, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1324, Class:  2, CF:0.959614, Len:  4, Fitness_tra: 2
Rule 50: 6131, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 1912, Class:  0, CF:0.185351, Len:  4, Fitness_tra: 0
Rule 52: 2411, Class:  0, CF:0.833645, Len:  4, Fitness_tra: 2
Rule 53: 2465, Class:  0, CF:0.770833, Len:  4, Fitness_tra: 1
Rule 54: 3113, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 3132, Class:  2, CF:0.609164, Len:  4, Fitness_tra: 0
Rule 56: 1151, Class:  2, CF:0.670812, Len:  4, Fitness_tra: 7
Rule 57: 5314, Class:  0, CF:0.0152905, Len:  4, Fitness_tra: 0
Rule 58: 0206, Class:  0, CF:0.761354, Len:  2, Fitness_tra: 0
Rule 59: 9121, Class:  0, CF:0.15267, Len:  4, Fitness_tra: 0
Rule 60: 6111, Class:  2, CF:0.154052, Len:  4, Fitness_tra: 0
Rule 61: 2400, Class:  0, CF:0.290889, Len:  2, Fitness_tra: -1
Rule 62: 1665, Class:  2, CF:0.821317, Len:  4, Fitness_tra: 2
Rule 63: 6000, Class:  2, CF:0.481081, Len:  1, Fitness_tra: 21
Rule 64: 3052, Class:  2, CF:0.981132, Len:  3, Fitness_tra: 9
Rule 65: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 6322, Class:  2, CF:0.998521, Len:  4, Fitness_tra: 2
Rule 67: 0050, Class:  2, CF:0.331412, Len:  1, Fitness_tra: 0
Rule 68: 0304, Class:  2, CF:0.608856, Len:  2, Fitness_tra: 19
Rule 69: 5000, Class:  0, CF:0.351032, Len:  1, Fitness_tra: 0
Rule 70: 6141, Class:  2, CF:0.70615, Len:  4, Fitness_tra: 1
Rule 71: 530b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 0455, Class:  2, CF:0.927273, Len:  3, Fitness_tra: 13
Rule 73: 3614, Class:  2, CF:0.921488, Len:  4, Fitness_tra: 0
Rule 74: 0005, Class:  2, CF:0.349398, Len:  1, Fitness_tra: 11
Rule 75: 4030, Class:  0, CF:0.5625, Len:  2, Fitness_tra: 21
Rule 76: 1213, Class:  0, CF:0.753869, Len:  4, Fitness_tra: 0
Rule 77: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1833, Class:  0, CF:0.908676, Len:  4, Fitness_tra: 1
Rule 79: 5054, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1861, Class:  0, CF:0.80387, Len:  4, Fitness_tra: 0
Rule 81: 2066, Class:  0, CF:0.979226, Len:  3, Fitness_tra: 7
Rule 82: 0004, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 4111, Class:  0, CF:0.233792, Len:  4, Fitness_tra: 0
Rule 84: 3645, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule 85: 3004, Class:  2, CF:0.568773, Len:  2, Fitness_tra: 0
Rule 86: 0500, Class:  0, CF:0.362832, Len:  1, Fitness_tra: 28
Rule 87: 1632, Class:  2, CF:0.704073, Len:  4, Fitness_tra: 2
Rule 88: 1216, Class:  0, CF:0.807384, Len:  4, Fitness_tra: 0
Rule 89: 0403, Class:  0, CF:0.584229, Len:  2, Fitness_tra: 25
Rule 90: 1231, Class:  0, CF:0.76683, Len:  4, Fitness_tra: 0
Rule 91: f512, Class:  2, CF:0.234848, Len:  4, Fitness_tra: 0
Rule 92: 0050, Class:  2, CF:0.331412, Len:  1, Fitness_tra: 0
Rule 93: 1f13, Class:  2, CF:0.0305344, Len:  4, Fitness_tra: 0
Rule 94: 1339, Class:  2, CF:0.793296, Len:  4, Fitness_tra: 0
Rule 95: 2506, Class:  0, CF:0.990977, Len:  3, Fitness_tra: 5
Rule 96: 3113, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 1241, Class:  0, CF:0.194249, Len:  4, Fitness_tra: 0
Rule 98: 1323, Class:  2, CF:0.607547, Len:  4, Fitness_tra: 1
Rule 99: 4141, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 1152, Class:  2, CF:0.970149, Len:  4, Fitness_tra: 1
------Current------
Miss_rate(tra)	:17.0819
------Result------
Miss_rate(tra)	:17.0819
Miss_rate(tst)	:25.3968
ARL				:3.2069

------Generation 0------
Rule  1: 020b, Class:  0, CF:0.524229, Len:  2, Fitness_tra: 28
Rule  2: 0500, Class:  0, CF:0.362832, Len:  1, Fitness_tra: 25
Rule  3: 0403, Class:  0, CF:0.584229, Len:  2, Fitness_tra: 14
Rule  4: 0206, Class:  0, CF:0.761354, Len:  2, Fitness_tra: 20
Rule  5: 0055, Class:  2, CF:0.828571, Len:  2, Fitness_tra: 22
Rule  6: 4030, Class:  0, CF:0.5625, Len:  2, Fitness_tra: 20
Rule  7: 6000, Class:  2, CF:0.481081, Len:  1, Fitness_tra: 15
Rule  8: 0304, Class:  2, CF:0.608856, Len:  2, Fitness_tra: 15
Rule  9: 0325, Class:  2, CF:0.980998, Len:  3, Fitness_tra: 11
Rule 10: 3004, Class:  2, CF:0.568773, Len:  2, Fitness_tra: 14
Rule 11: 5460, Class:  0, CF:0.97037, Len:  3, Fitness_tra: 10
Rule 12: 0455, Class:  2, CF:0.927273, Len:  3, Fitness_tra: 13
Rule 13: 0340, Class:  2, CF:0.582734, Len:  2, Fitness_tra: 13
Rule 14: 0005, Class:  2, CF:0.349398, Len:  1, Fitness_tra: 10
Rule 15: 0050, Class:  2, CF:0.331412, Len:  1, Fitness_tra: 4
Rule 16: 5000, Class:  0, CF:0.351032, Len:  1, Fitness_tra: 12
Rule 17: 3052, Class:  2, CF:0.981132, Len:  3, Fitness_tra: 7
Rule 18: 3604, Class:  2, CF:0.962406, Len:  3, Fitness_tra: 7
Rule 19: 4036, Class:  0, CF:0.928854, Len:  3, Fitness_tra: 8
Rule 20: 2066, Class:  0, CF:0.979226, Len:  3, Fitness_tra: 6
Rule 21: 1151, Class:  2, CF:0.670812, Len:  4, Fitness_tra: 5
Rule 22: 2506, Class:  0, CF:0.990977, Len:  3, Fitness_tra: 5
Rule 23: 5203, Class:  0, CF:0.980907, Len:  3, Fitness_tra: 0
Rule 24: 9411, Class:  0, CF:0.947396, Len:  4, Fitness_tra: 3
Rule 25: 6705, Class:  2, CF:0.943925, Len:  3, Fitness_tra: 0
Rule 26: 3341, Class:  2, CF:0.835366, Len:  4, Fitness_tra: 2
Rule 27: 6322, Class:  2, CF:0.998521, Len:  4, Fitness_tra: 2
Rule 28: 1665, Class:  2, CF:0.821317, Len:  4, Fitness_tra: 1
Rule 29: 5111, Class:  0, CF:0.654265, Len:  4, Fitness_tra: 1
Rule 30: 5624, Class:  2, CF:0.831193, Len:  4, Fitness_tra: 2
Rule 31: 3555, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule 32: 1115, Class:  2, CF:0.691447, Len:  4, Fitness_tra: 1
Rule 33: 1324, Class:  2, CF:0.959614, Len:  4, Fitness_tra: 2
Rule 34: 1632, Class:  2, CF:0.704073, Len:  4, Fitness_tra: 1
Rule 35: 2411, Class:  0, CF:0.833645, Len:  4, Fitness_tra: 2
Rule 36: 615e, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule 37: 1152, Class:  2, CF:0.970149, Len:  4, Fitness_tra: 1
Rule 38: 1231, Class:  0, CF:0.76683, Len:  4, Fitness_tra: 1
Rule 39: 5613, Class:  0, CF:0.720798, Len:  4, Fitness_tra: 0
Rule 40: 2465, Class:  0, CF:0.770833, Len:  4, Fitness_tra: 1
Rule 41: 6141, Class:  2, CF:0.70615, Len:  4, Fitness_tra: 1
Rule 42: 1513, Class:  0, CF:0.877604, Len:  4, Fitness_tra: 1
Rule 43: 1833, Class:  0, CF:0.908676, Len:  4, Fitness_tra: 1
Rule 44: 1121, Class:  2, CF:0.531508, Len:  4, Fitness_tra: 0
Rule 45: 3645, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule 46: 1323, Class:  2, CF:0.607547, Len:  4, Fitness_tra: 0
Rule 47: 1131, Class:  0, CF:0.0955077, Len:  4, Fitness_tra: 0
Rule 48: 1111, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 3141, Class:  2, CF:0.630189, Len:  4, Fitness_tra: 0
Rule 50: 6131, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 1912, Class:  0, CF:0.185351, Len:  4, Fitness_tra: 0
Rule 52: 2111, Class:  0, CF:0.48565, Len:  4, Fitness_tra: 0
Rule 53: 2111, Class:  0, CF:0.48565, Len:  4, Fitness_tra: 0
Rule 54: 3113, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 3132, Class:  2, CF:0.609164, Len:  4, Fitness_tra: 0
Rule 56: 5300, Class:  2, CF:0.0854271, Len:  2, Fitness_tra: 0
Rule 57: 5314, Class:  0, CF:0.0152905, Len:  4, Fitness_tra: 0
Rule 58: 0206, Class:  0, CF:0.761354, Len:  2, Fitness_tra: 0
Rule 59: 9121, Class:  0, CF:0.15267, Len:  4, Fitness_tra: 0
Rule 60: 6111, Class:  2, CF:0.154052, Len:  4, Fitness_tra: 0
Rule 61: 3411, Class:  0, CF:0.0128676, Len:  4, Fitness_tra: 0
Rule 62: 1643, Class:  2, CF:0.429616, Len:  4, Fitness_tra: 0
Rule 63: 3111, Class:  2, CF:0.0910448, Len:  4, Fitness_tra: 0
Rule 64: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 5405, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0050, Class:  2, CF:0.331412, Len:  1, Fitness_tra: 0
Rule 67: b336, Class:  0, CF:0.463415, Len:  4, Fitness_tra: 0
Rule 68: 5000, Class:  0, CF:0.351032, Len:  1, Fitness_tra: 0
Rule 69: 1117, Class:  2, CF:0.122435, Len:  4, Fitness_tra: 0
Rule 70: 530b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 9311, Class:  0, CF:0.482185, Len:  4, Fitness_tra: 0
Rule 72: 3614, Class:  2, CF:0.921488, Len:  4, Fitness_tra: 0
Rule 73: 1111, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1113, Class:  0, CF:0.0816551, Len:  4, Fitness_tra: 0
Rule 75: 1213, Class:  0, CF:0.753869, Len:  4, Fitness_tra: 0
Rule 76: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0050, Class:  2, CF:0.331412, Len:  1, Fitness_tra: 0
Rule 78: 5054, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 1861, Class:  0, CF:0.80387, Len:  4, Fitness_tra: 0
Rule 80: 1135, Class:  2, CF:0.521622, Len:  4, Fitness_tra: 0
Rule 81: 0200, Class:  0, CF:0.211692, Len:  1, Fitness_tra: -1
Rule 82: 0050, Class:  2, CF:0.331412, Len:  0, Fitness_tra: 0
Rule 83: 0300, Class:  2, CF:0.449102, Len:  1, Fitness_tra: 18
Rule 84: 7000, Class:  2, CF:0.030303, Len:  1, Fitness_tra: 0
Rule 85: 4035, Class:  0, CF:0.28, Len:  3, Fitness_tra: 0
Rule 86: 5642, Class:  2, CF:0.838313, Len:  4, Fitness_tra: 2
Rule 87: 122b, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 2006, Class:  0, CF:0.780357, Len:  2, Fitness_tra: 29
Rule 90: 4635, Class:  2, CF:0.632353, Len:  4, Fitness_tra: 1
Rule 91: a005, Class:  2, CF:0.910448, Len:  2, Fitness_tra: 15
Rule 92: 0206, Class:  0, CF:0.761354, Len:  0, Fitness_tra: 0
Rule 93: 53d0, Class:  2, CF:0.512195, Len:  3, Fitness_tra: 2
Rule 94: 6fa0, Class:  2, CF:0.5, Len:  3, Fitness_tra: 0
Rule 95: 2262, Class:  0, CF:0.934208, Len:  4, Fitness_tra: 6
Rule 96: 5d60, Class:  0, CF:  1, Len:  3, Fitness_tra: 7
Rule 97: 0b03, Class:  0, CF:0.267606, Len:  2, Fitness_tra: 0
Rule 98: 6695, Class:  2, CF:  1, Len:  4, Fitness_tra: 0
Rule 99: 1091, Class:  2, CF:0.377391, Len:  3, Fitness_tra: 0
Rule100: 0450, Class:  2, CF:0.34767, Len:  2, Fitness_tra: 5
------Current------
Miss_rate(tra)	:14.9466
------Result------
Miss_rate(tra)	:14.9466
Miss_rate(tst)	:30.1587
ARL				:3.12644

------Generation 1------
Rule  1: 2006, Class:  0, CF:0.780357, Len:  2, Fitness_tra: 29
Rule  2: 020b, Class:  0, CF:0.524229, Len:  2, Fitness_tra: 24
Rule  3: 0500, Class:  0, CF:0.362832, Len:  1, Fitness_tra: -2
Rule  4: 0055, Class:  2, CF:0.828571, Len:  2, Fitness_tra: 16
Rule  5: 0206, Class:  0, CF:0.761354, Len:  2, Fitness_tra: 19
Rule  6: 4030, Class:  0, CF:0.5625, Len:  2, Fitness_tra: 20
Rule  7: 0300, Class:  2, CF:0.449102, Len:  1, Fitness_tra: 17
Rule  8: a005, Class:  2, CF:0.910448, Len:  2, Fitness_tra: 15
Rule  9: 6000, Class:  2, CF:0.481081, Len:  1, Fitness_tra: 14
Rule 10: 0304, Class:  2, CF:0.608856, Len:  2, Fitness_tra: 15
Rule 11: 0403, Class:  0, CF:0.584229, Len:  2, Fitness_tra: 14
Rule 12: 3004, Class:  2, CF:0.568773, Len:  2, Fitness_tra: 14
Rule 13: 0455, Class:  2, CF:0.927273, Len:  3, Fitness_tra: 10
Rule 14: 0340, Class:  2, CF:0.582734, Len:  2, Fitness_tra: 13
Rule 15: 5000, Class:  0, CF:0.351032, Len:  1, Fitness_tra: 10
Rule 16: 0325, Class:  2, CF:0.980998, Len:  3, Fitness_tra: 11
Rule 17: 0005, Class:  2, CF:0.349398, Len:  1, Fitness_tra: 10
Rule 18: 5460, Class:  0, CF:0.97037, Len:  3, Fitness_tra: 10
Rule 19: 4036, Class:  0, CF:0.928854, Len:  3, Fitness_tra: 7
Rule 20: 3604, Class:  2, CF:0.962406, Len:  3, Fitness_tra: 8
Rule 21: 5d60, Class:  0, CF:  1, Len:  3, Fitness_tra: 7
Rule 22: 3052, Class:  2, CF:0.981132, Len:  3, Fitness_tra: 7
Rule 23: 2066, Class:  0, CF:0.979226, Len:  3, Fitness_tra: 6
Rule 24: 2262, Class:  0, CF:0.934208, Len:  4, Fitness_tra: 3
Rule 25: 1151, Class:  2, CF:0.670812, Len:  4, Fitness_tra: 5
Rule 26: 0450, Class:  2, CF:0.34767, Len:  2, Fitness_tra: 5
Rule 27: 2506, Class:  0, CF:0.990977, Len:  3, Fitness_tra: 5
Rule 28: 0050, Class:  2, CF:0.331412, Len:  1, Fitness_tra: 4
Rule 29: 9411, Class:  0, CF:0.947396, Len:  4, Fitness_tra: 3
Rule 30: 3341, Class:  2, CF:0.835366, Len:  4, Fitness_tra: 2
Rule 31: 5624, Class:  2, CF:0.831193, Len:  4, Fitness_tra: 2
Rule 32: 1324, Class:  2, CF:0.959614, Len:  4, Fitness_tra: 2
Rule 33: 2411, Class:  0, CF:0.833645, Len:  4, Fitness_tra: 1
Rule 34: 6322, Class:  2, CF:0.998521, Len:  4, Fitness_tra: 2
Rule 35: 5642, Class:  2, CF:0.838313, Len:  4, Fitness_tra: 2
Rule 36: 53d0, Class:  2, CF:0.512195, Len:  3, Fitness_tra: 2
Rule 37: 3555, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule 38: 1231, Class:  0, CF:0.76683, Len:  4, Fitness_tra: 1
Rule 39: 1152, Class:  2, CF:0.970149, Len:  4, Fitness_tra: 1
Rule 40: 2465, Class:  0, CF:0.770833, Len:  4, Fitness_tra: 1
Rule 41: 6141, Class:  2, CF:0.70615, Len:  4, Fitness_tra: 1
Rule 42: 1513, Class:  0, CF:0.877604, Len:  4, Fitness_tra: 0
Rule 43: 1833, Class:  0, CF:0.908676, Len:  4, Fitness_tra: 0
Rule 44: 3645, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule 45: 1632, Class:  2, CF:0.704073, Len:  4, Fitness_tra: 1
Rule 46: 1115, Class:  2, CF:0.691447, Len:  4, Fitness_tra: 1
Rule 47: 1665, Class:  2, CF:0.821317, Len:  4, Fitness_tra: 1
Rule 48: 4635, Class:  2, CF:0.632353, Len:  4, Fitness_tra: 1
Rule 49: 615e, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule 50: 5111, Class:  0, CF:0.654265, Len:  4, Fitness_tra: 1
Rule 51: 5613, Class:  0, CF:0.720798, Len:  4, Fitness_tra: 0
Rule 52: 2111, Class:  0, CF:0.48565, Len:  4, Fitness_tra: 0
Rule 53: 2111, Class:  0, CF:0.48565, Len:  4, Fitness_tra: 0
Rule 54: 3113, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 3132, Class:  2, CF:0.609164, Len:  4, Fitness_tra: 0
Rule 56: 5300, Class:  2, CF:0.0854271, Len:  2, Fitness_tra: 0
Rule 57: 5314, Class:  0, CF:0.0152905, Len:  4, Fitness_tra: 0
Rule 58: 0206, Class:  0, CF:0.761354, Len:  2, Fitness_tra: 0
Rule 59: 9121, Class:  0, CF:0.15267, Len:  4, Fitness_tra: 0
Rule 60: 6111, Class:  2, CF:0.154052, Len:  4, Fitness_tra: 0
Rule 61: 3411, Class:  0, CF:0.0128676, Len:  4, Fitness_tra: 0
Rule 62: 1643, Class:  2, CF:0.429616, Len:  4, Fitness_tra: 0
Rule 63: 3111, Class:  2, CF:0.0910448, Len:  4, Fitness_tra: 0
Rule 64: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 5405, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0050, Class:  2, CF:0.331412, Len:  1, Fitness_tra: 0
Rule 67: b336, Class:  0, CF:0.463415, Len:  4, Fitness_tra: 0
Rule 68: 5000, Class:  0, CF:0.351032, Len:  1, Fitness_tra: 0
Rule 69: 1117, Class:  2, CF:0.122435, Len:  4, Fitness_tra: 0
Rule 70: 530b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 9311, Class:  0, CF:0.482185, Len:  4, Fitness_tra: 0
Rule 72: 3614, Class:  2, CF:0.921488, Len:  4, Fitness_tra: 0
Rule 73: 1111, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1113, Class:  0, CF:0.0816551, Len:  4, Fitness_tra: 0
Rule 75: 1213, Class:  0, CF:0.753869, Len:  4, Fitness_tra: 0
Rule 76: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0050, Class:  2, CF:0.331412, Len:  1, Fitness_tra: 0
Rule 78: 5054, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 1861, Class:  0, CF:0.80387, Len:  4, Fitness_tra: 0
Rule 80: 1135, Class:  2, CF:0.521622, Len:  4, Fitness_tra: 0
Rule 81: 0266, Class:  0, CF:0.972452, Len:  3, Fitness_tra: 4
Rule 82: 5230, Class:  0, CF:0.9801, Len:  3, Fitness_tra: 6
Rule 83: 0050, Class:  2, CF:0.331412, Len:  0, Fitness_tra: 0
Rule 84: 5000, Class:  0, CF:0.351032, Len:  0, Fitness_tra: 0
Rule 85: 0570, Class:  0, CF:0.577982, Len:  2, Fitness_tra: 4
Rule 86: 0050, Class:  2, CF:0.331412, Len:  0, Fitness_tra: 0
Rule 87: 4055, Class:  2, CF:0.930233, Len:  3, Fitness_tra: 14
Rule 88: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 0035, Class:  0, CF:0.108808, Len:  2, Fitness_tra: 0
Rule 90: 2500, Class:  0, CF:0.668135, Len:  2, Fitness_tra: 24
Rule 91: 8314, Class:  2, CF:0.0878505, Len:  4, Fitness_tra: 0
Rule 92: 2475, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 0015, Class:  2, CF:0.00772798, Len:  2, Fitness_tra: 0
Rule 94: 1001, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 0055, Class:  2, CF:0.828571, Len:  0, Fitness_tra: 0
Rule 96: 811e, Class:  2, CF:0.380208, Len:  4, Fitness_tra: 0
Rule 97: 1411, Class:  0, CF:0.283329, Len:  4, Fitness_tra: 0
Rule 98: 2856, Class:  0, CF:0.951149, Len:  4, Fitness_tra: 0
Rule 99: 0850, Class:  2, CF:0.184751, Len:  2, Fitness_tra: 0
Rule100: 720e, Class:  2, CF:0.382199, Len:  3, Fitness_tra: 0
------Current------
Miss_rate(tra)	:14.7687
------Result------
Miss_rate(tra)	:14.7687
Miss_rate(tst)	:28.5714
ARL				:3.10465

------Generation 2------
Rule  1: 2006, Class:  0, CF:0.780357, Len:  2, Fitness_tra: 26
Rule  2: 020b, Class:  0, CF:0.524229, Len:  2, Fitness_tra: 20
Rule  3: 2500, Class:  0, CF:0.668135, Len:  2, Fitness_tra: 24
Rule  4: 4030, Class:  0, CF:0.5625, Len:  2, Fitness_tra: 11
Rule  5: 0206, Class:  0, CF:0.761354, Len:  2, Fitness_tra: 19
Rule  6: 0300, Class:  2, CF:0.449102, Len:  1, Fitness_tra: 12
Rule  7: 0055, Class:  2, CF:0.828571, Len:  2, Fitness_tra: 17
Rule  8: a005, Class:  2, CF:0.910448, Len:  2, Fitness_tra: 15
Rule  9: 0304, Class:  2, CF:0.608856, Len:  2, Fitness_tra: 16
Rule 10: 6000, Class:  2, CF:0.481081, Len:  1, Fitness_tra: 15
Rule 11: 0403, Class:  0, CF:0.584229, Len:  2, Fitness_tra: 11
Rule 12: 3004, Class:  2, CF:0.568773, Len:  2, Fitness_tra: 18
Rule 13: 4055, Class:  2, CF:0.930233, Len:  3, Fitness_tra: 14
Rule 14: 0340, Class:  2, CF:0.582734, Len:  2, Fitness_tra: 13
Rule 15: 0325, Class:  2, CF:0.980998, Len:  3, Fitness_tra: 6
Rule 16: 0455, Class:  2, CF:0.927273, Len:  3, Fitness_tra: 10
Rule 17: 0005, Class:  2, CF:0.349398, Len:  1, Fitness_tra: 11
Rule 18: 5460, Class:  0, CF:0.97037, Len:  3, Fitness_tra: 6
Rule 19: 5000, Class:  0, CF:0.351032, Len:  1, Fitness_tra: 6
Rule 20: 3604, Class:  2, CF:0.962406, Len:  3, Fitness_tra: 3
Rule 21: 4036, Class:  0, CF:0.928854, Len:  3, Fitness_tra: 7
Rule 22: 3052, Class:  2, CF:0.981132, Len:  3, Fitness_tra: 7
Rule 23: 5d60, Class:  0, CF:  1, Len:  3, Fitness_tra: 4
Rule 24: 2066, Class:  0, CF:0.979226, Len:  3, Fitness_tra: 5
Rule 25: 5230, Class:  0, CF:0.9801, Len:  3, Fitness_tra: 4
Rule 26: 1151, Class:  2, CF:0.670812, Len:  4, Fitness_tra: 5
Rule 27: 2506, Class:  0, CF:0.990977, Len:  3, Fitness_tra: 5
Rule 28: 0450, Class:  2, CF:0.34767, Len:  2, Fitness_tra: 5
Rule 29: 0050, Class:  2, CF:0.331412, Len:  1, Fitness_tra: 5
Rule 30: 0570, Class:  0, CF:0.577982, Len:  2, Fitness_tra: 4
Rule 31: 0266, Class:  0, CF:0.972452, Len:  3, Fitness_tra: 4
Rule 32: 2262, Class:  0, CF:0.934208, Len:  4, Fitness_tra: 0
Rule 33: 9411, Class:  0, CF:0.947396, Len:  4, Fitness_tra: 2
Rule 34: 3341, Class:  2, CF:0.835366, Len:  4, Fitness_tra: 2
Rule 35: 5642, Class:  2, CF:0.838313, Len:  4, Fitness_tra: 2
Rule 36: 53d0, Class:  2, CF:0.512195, Len:  3, Fitness_tra: 2
