------Generation 0------
Rule  1: 219c21c1c1c15c1215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000000b60000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 93: 536d2111d9d5341115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: dd5824118225522111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 95: 115822852851141911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 080000c50000800008, Class:  1, CF:0.982204, Len:  5, Fitness_tra: 0
Rule 97: 913dcce29319921351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 000000000d00000000, Class:  0, CF:0.751654, Len:  1, Fitness_tra: 81
Rule 99: d1154251d15dd4121d, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule100: 18382728c118241111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:23.5217
------Result------
Miss_rate(tra)	:23.5217
Miss_rate(tst)	:23.5294
ARL				:7.95349

------Generation 0------
Rule  1: 219c21c1c1c15c1215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: e3184257311994111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 5338419131519441c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 291c148d898224111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 1111211c5113129211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 3a351c171315e422cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 285
Rule  8: 5211241e1114242212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 8121421d8522182242, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 8151211d15c1521581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 111824434122171113, Class:  0, CF:0.995323, Len: 18, Fitness_tra: 0
Rule 12: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 13: d11524dc1118541159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 936112511311347553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 33151b313136381122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 523122d81c22245151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 311111613936121214, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 18: 3611c8325e15524121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 18271281118c21512c, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 20: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 21: 9d32143155dd1212d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 5111c12c228cc12111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 23: 11d1cb22212c2225ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 212274112111185412, Class:  0, CF:0.771093, Len: 18, Fitness_tra: 0
Rule 25: 2c581215182c1c1215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 5211178321c4288c74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 28: 9912449259d9112151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 31152151d111111211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 30: 133124919359941511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 15522225111418c211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 8112241581c4141228, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 363122323513181111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000700000000000, Class:  0, CF:0.447885, Len:  1, Fitness_tra: 0
Rule 35: 5258222dc811211b15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: d1921c25292c221511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 38: 000000000000000380, Class:  0, CF:0.490256, Len:  2, Fitness_tra: 0
Rule 39: 0000c0000000000005, Class:  0, CF:0.810848, Len:  2, Fitness_tra: 0
Rule 40: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 41: 13a1c4171651141155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 111474151141122144, Class:  1, CF:0.294443, Len: 18, Fitness_tra: 0
Rule 43: 11522b7171242c2121, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 44: 111122e21351525555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 46: 11652411dd5d214311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 113114121959911115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 51d821154c82111115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 53114451111112118d, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 50: 1518421c5d515113d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 000000000000000003, Class:  0, CF:0.572139, Len:  1, Fitness_tra: 17
Rule 52: 00000b000000000000, Class:  0, CF:0.514502, Len:  1, Fitness_tra: 0
Rule 53: c1d8121515222c1183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 00e08c0040440c0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000000000cb0000000, Class:  0, CF:0.231367, Len:  2, Fitness_tra: 0
Rule 56: 000000c50000000000, Class:  1, CF:0.00840336, Len:  2, Fitness_tra: 0
Rule 57: 000000000050000000, Class:  0, CF:0.801307, Len:  1, Fitness_tra: -1
Rule 58: 8251c1258c14811451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 1217b123212c281841, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 13ad12349e51111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 002000000000000008, Class:  0, CF:0.649504, Len:  2, Fitness_tra: 13
Rule 62: 155172c5c881121421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 3111219131d9145155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 111c17c122c2241111, Class:  0, CF:0.999997, Len: 18, Fitness_tra: 0
Rule 65: 111812811d82111155, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 66: 11182215121c122151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000000000000004000, Class:  0, CF:0.507292, Len:  1, Fitness_tra: 0
Rule 68: e13811e23959521151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 121224114224141251, Class:  0, CF:0.982869, Len: 18, Fitness_tra: 0
Rule 70: 1d11c185152cd11281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 003000000000000003, Class:  0, CF:0.404087, Len:  2, Fitness_tra: 0
Rule 72: 12d882114112144de1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 74: 00044000b007000000, Class:  0, CF:0.633009, Len:  4, Fitness_tra: 0
Rule 75: d12712491841122151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: c82722251114252221, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 77: 12521bc52114111181, Class:  1, CF:0.885974, Len: 18, Fitness_tra: 0
Rule 78: 116121145353315121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 55524711c5cc28c241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 9ea112949955124555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 50000000c000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 8
Rule 82: 1d15215c9155511919, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 31112c5c55d91211de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0000008d000c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 003000000007000020, Class:  0, CF:0.439893, Len:  3, Fitness_tra: 0
Rule 86: 181c118d1511881811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 8111211d4422241555, Class:  1, CF:0.489202, Len: 18, Fitness_tra: 0
Rule 88: 1584141dc814112412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 111c21c91822111251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 00000000000000005d, Class:  0, CF:0.501045, Len:  2, Fitness_tra: 0
Rule 91: 5152b15d8521dc71c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000000b60000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 93: 536d2111d9d5341115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: dd5824118225522111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 95: 115822852851141911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 080000c50000800008, Class:  1, CF:0.982204, Len:  5, Fitness_tra: 0
Rule 97: 913dcce29319921351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 000000000d00000000, Class:  0, CF:0.751654, Len:  1, Fitness_tra: 81
Rule 99: d1154251d15dd4121d, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule100: 18382728c118241111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:23.5217
------Result------
Miss_rate(tra)	:23.5217
Miss_rate(tst)	:23.5294
ARL				:7.95349

------Generation 1------
Rule  1: 219c21c1c1c15c1215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: e3184257311994111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 5338419131519441c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 291c148d898224111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 1111211c5113129211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 3a351c171315e422cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 285
Rule  8: 5211241e1114242212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 8121421d8522182242, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 8151211d15c1521581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 111824434122171113, Class:  0, CF:0.995323, Len: 18, Fitness_tra: 0
Rule 12: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 13: d11524dc1118541159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 936112511311347553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 33151b313136381122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 523122d81c22245151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 311111613936121214, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 18: 3611c8325e15524121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 18271281118c21512c, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 20: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 21: 9d32143155dd1212d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 5111c12c228cc12111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 23: 11d1cb22212c2225ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 212274112111185412, Class:  0, CF:0.771093, Len: 18, Fitness_tra: 0
Rule 25: 2c581215182c1c1215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 5211178321c4288c74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 28: 9912449259d9112151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 31152151d111111211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 30: 133124919359941511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 15522225111418c211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 8112241581c4141228, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 363122323513181111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000700000000000, Class:  0, CF:0.447885, Len:  1, Fitness_tra: 0
Rule 35: 5258222dc811211b15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: d1921c25292c221511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 38: 000000000000000380, Class:  0, CF:0.490256, Len:  2, Fitness_tra: 0
Rule 39: 0000c0000000000005, Class:  0, CF:0.810848, Len:  2, Fitness_tra: 0
Rule 40: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 41: 13a1c4171651141155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 111474151141122144, Class:  1, CF:0.294443, Len: 18, Fitness_tra: 0
Rule 43: 11522b7171242c2121, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 44: 111122e21351525555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 46: 11652411dd5d214311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 113114121959911115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 51d821154c82111115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 53114451111112118d, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 50: 1518421c5d515113d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 000000000000000003, Class:  0, CF:0.572139, Len:  1, Fitness_tra: 17
Rule 52: 00000b000000000000, Class:  0, CF:0.514502, Len:  1, Fitness_tra: 0
Rule 53: c1d8121515222c1183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 00e08c0040440c0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000000000cb0000000, Class:  0, CF:0.231367, Len:  2, Fitness_tra: 0
Rule 56: 000000c50000000000, Class:  1, CF:0.00840336, Len:  2, Fitness_tra: 0
Rule 57: 000000000050000000, Class:  0, CF:0.801307, Len:  1, Fitness_tra: -1
Rule 58: 8251c1258c14811451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 1217b123212c281841, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 13ad12349e51111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 002000000000000008, Class:  0, CF:0.649504, Len:  2, Fitness_tra: 13
Rule 62: 155172c5c881121421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 3111219131d9145155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 111c17c122c2241111, Class:  0, CF:0.999997, Len: 18, Fitness_tra: 0
Rule 65: 111812811d82111155, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 66: 11182215121c122151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000000000000004000, Class:  0, CF:0.507292, Len:  1, Fitness_tra: 0
Rule 68: e13811e23959521151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 121224114224141251, Class:  0, CF:0.982869, Len: 18, Fitness_tra: 0
Rule 70: 1d11c185152cd11281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 003000000000000003, Class:  0, CF:0.404087, Len:  2, Fitness_tra: 0
Rule 72: 12d882114112144de1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 0
Rule 74: 00044000b007000000, Class:  0, CF:0.633009, Len:  4, Fitness_tra: 0
Rule 75: d12712491841122151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: c82722251114252221, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 77: 12521bc52114111181, Class:  1, CF:0.885974, Len: 18, Fitness_tra: 0
Rule 78: 116121145353315121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 55524711c5cc28c241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 9ea112949955124555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 50000000c000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 8
Rule 82: 1d15215c9155511919, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 31112c5c55d91211de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0000008d000c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 003000000007000020, Class:  0, CF:0.439893, Len:  3, Fitness_tra: 0
Rule 86: 181c118d1511881811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 8111211d4422241555, Class:  1, CF:0.489202, Len: 18, Fitness_tra: 0
Rule 88: 1584141dc814112412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 111c21c91822111251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 00000000000000005d, Class:  0, CF:0.501045, Len:  2, Fitness_tra: 0
Rule 91: 5152b15d8521dc71c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000000b60000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 93: 536d2111d9d5341115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: dd5824118225522111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 95: 115822852851141911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 080000c50000800008, Class:  1, CF:0.982204, Len:  5, Fitness_tra: 0
Rule 97: 913dcce29319921351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 000000000d00000000, Class:  0, CF:0.751654, Len:  1, Fitness_tra: 81
Rule 99: d1154251d15dd4121d, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule100: 18382728c118241111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:23.5217
------Result------
Miss_rate(tra)	:23.5217
Miss_rate(tst)	:23.5294
ARL				:7.95349

------Generation 2------
Rule  1: 219c21c1c1c15c1215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: e3184257311994111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
