------Generation 0------
Rule  1: 1211b4ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 58cc2432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1d117738, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 15881212, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule 43: 12d14298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 55112334, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 85114be2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 252c4f9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1182bf12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 181474e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 15512292, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 0c000000, Class:  1, CF:0.113766, Len:  1, Fitness_tra: 0
Rule 51: 8221111c, Class:  0, CF:0.820351, Len:  8, Fitness_tra: 1
Rule 52: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 82117412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 1d2c4912, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 5851b652, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 18114715, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 00030000, Class:  1, CF:0.0298252, Len:  1, Fitness_tra: -110
Rule 58: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 998cb1e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 15227198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 111121e2, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 62: 91112a58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 25521295, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 21522191, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 67: 1d51b198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: cd141a31, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 69: dd822492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: c151b19c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 151322ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: c58c2451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 5811b31c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 552223e2, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 75: 5c11119c, Class:  0, CF:0.987257, Len:  8, Fitness_tra: 0
Rule 76: 815c7651, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 1d541194, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 78: c1182f18, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 79: 551246e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: d5812f11, Class:  0, CF:  1, Len:  8, Fitness_tra: 2
Rule 81: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 8c542435, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 8c181711, Class:  1, CF:0.996587, Len:  8, Fitness_tra: 0
Rule 85: 11d116e1, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 86: 558c7b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 15114191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 85547411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 1181b11c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 31124a91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 21811413, Class:  1, CF:0.985568, Len:  8, Fitness_tra: 0
Rule 92: dd814be2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 21847be2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 5151723c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 51c81411, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule 96: d18c7152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 555d2732, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 58112612, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 99: 15841512, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule100: c0000000, Class:  1, CF:0.0837869, Len:  1, Fitness_tra: -111
------Current------
Miss_rate(tra)	:97.2285
------Result------
Miss_rate(tra)	:97.2285
Miss_rate(tst)	:91.9463
ARL				:4.45946

------Generation 0------
Rule  1: 0c000000, Class:  1, CF:0.113766, Len:  1, Fitness_tra: 235
Rule  2: 00000005, Class:  0, CF:  1, Len:  1, Fitness_tra: 51
Rule  3: d5812f11, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule  4: 82811114, Class:  0, CF:0.412292, Len:  8, Fitness_tra: 0
Rule  5: 8221111c, Class:  0, CF:0.820351, Len:  8, Fitness_tra: 1
Rule  6: 1211b4ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 8814261c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  8: 51857451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 2881b432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 81187218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1d82bb18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 58182334, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: dd5127ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: d811249c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1d817b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 15524192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: d18121e2, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 20: 115213e8, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 21: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1d8c243c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 8d81b198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: c511b492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 5118b718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 5554141c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: dd857298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 8511baec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 2588229d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 15812251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 588cb351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 282cba18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 188c4614, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: c1814f11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 24512752, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 12214838, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 58cc2432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1d117738, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 15881212, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule 43: 12d14298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 55112334, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 85114be2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 252c4f9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1182bf12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 181474e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 15512292, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 0c000000, Class:  1, CF:0.113766, Len:  1, Fitness_tra: 0
Rule 51: 52212411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 82117412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 1d2c4912, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 5851b652, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 18114715, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 15841512, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule 58: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 998cb1e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 15227198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 111121e2, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 62: 91112a58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 25521295, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 21522191, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 67: 1d51b198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: cd141a31, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 69: dd822492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: c151b19c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 151322ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: c58c2451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 5811b31c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 552223e2, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 75: 5c11119c, Class:  0, CF:0.987257, Len:  8, Fitness_tra: 0
Rule 76: 815c7651, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 1d541194, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 78: c1182f18, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 79: 551246e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: d2512214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 8d2cb132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 11124118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 35d2b232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 52112b31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 5c584132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 821cb311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: e5551791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 15841f18, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 89: 158c4292, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 1812b99c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 000145e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 00100005, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 93: 2801b0c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 00000022, Class:  0, CF:0.0898315, Len:  2, Fitness_tra: 181
Rule 95: 55847851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 55112334, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: c88c46e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 20500605, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 99: 9d102926, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 552cbae8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:87.3197
------Result------
Miss_rate(tra)	:87.3197
Miss_rate(tst)	:75.8389
ARL				:4.34375

------Generation 1------
Rule  1: 0c000000, Class:  1, CF:0.113766, Len:  1, Fitness_tra: 235
Rule  2: 00000005, Class:  0, CF:  1, Len:  1, Fitness_tra: 51
Rule  3: d5812f11, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule  4: 82811114, Class:  0, CF:0.412292, Len:  8, Fitness_tra: 0
Rule  5: 8221111c, Class:  0, CF:0.820351, Len:  8, Fitness_tra: 1
Rule  6: 1211b4ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 8814261c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  8: 51857451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 2881b432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 81187218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1d82bb18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 58182334, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: dd5127ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: d811249c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1d817b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 15524192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: d18121e2, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 20: 115213e8, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 21: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1d8c243c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 8d81b198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: c511b492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 5118b718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 5554141c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: dd857298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 8511baec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 2588229d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 15812251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 588cb351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 282cba18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 188c4614, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: c1814f11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 24512752, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 12214838, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 58cc2432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1d117738, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 15881212, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule 43: 12d14298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 55112334, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 85114be2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 252c4f9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1182bf12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 181474e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 15512292, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 0c000000, Class:  1, CF:0.113766, Len:  1, Fitness_tra: 0
Rule 51: 52212411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 82117412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 1d2c4912, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 5851b652, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 18114715, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 15841512, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule 58: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 998cb1e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 15227198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 111121e2, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 62: 91112a58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 25521295, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 21522191, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 67: 1d51b198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: cd141a31, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 69: dd822492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: c151b19c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 151322ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: c58c2451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 5811b31c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 552223e2, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 75: 5c11119c, Class:  0, CF:0.987257, Len:  8, Fitness_tra: 0
Rule 76: 815c7651, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 1d541194, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 78: c1182f18, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 79: 551246e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: d2512214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 8d2cb132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 11124118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 35d2b232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 52112b31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 5c584132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 821cb311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: e5551791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 15841f18, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 89: 158c4292, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 1812b99c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 000145e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 00100005, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 93: 2801b0c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 00000022, Class:  0, CF:0.0898315, Len:  2, Fitness_tra: 181
Rule 95: 55847851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 55112334, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: c88c46e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 20500605, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 99: 9d102926, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 552cbae8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:87.3197
------Result------
Miss_rate(tra)	:87.3197
Miss_rate(tst)	:75.8389
ARL				:4.34375

------Generation 2------
Rule  1: 0c000000, Class:  1, CF:0.113766, Len:  1, Fitness_tra: 309
Rule  2: 00000022, Class:  0, CF:0.0898315, Len:  2, Fitness_tra: 155
Rule  3: 00000005, Class:  0, CF:  1, Len:  1, Fitness_tra: 48
Rule  4: d5812f11, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule  5: 8221111c, Class:  0, CF:0.820351, Len:  8, Fitness_tra: 1
Rule  6: 82811114, Class:  0, CF:0.412292, Len:  8, Fitness_tra: 0
Rule  7: 8814261c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  8: 51857451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 2881b432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 81187218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1d82bb18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 58182334, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: dd5127ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: d811249c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1d817b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 15524192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: d18121e2, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 20: 115213e8, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 21: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1d8c243c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 8d81b198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: c511b492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 5118b718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 5554141c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: dd857298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 8511baec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 2588229d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 15812251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 588cb351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 282cba18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
