------Generation 0------
Rule  1: d8dc71e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 81812794, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: d11c44e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1251b151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 2c2c4ae1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 15184651, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: c0000000, Class:  1, CF:0.076647, Len:  1, Fitness_tra: 0
Rule 86: 8811fb98, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule 87: 13824291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 811c7711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 12117f54, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: c1112151, Class:  0, CF:  1, Len:  8, Fitness_tra: 2
Rule 91: 8d2c1212, Class:  1, CF:0.726288, Len:  8, Fitness_tra: 0
Rule 92: 5d114b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 8854b21c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 1881b13c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1512b431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 51817be8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 85522731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: d888b131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 28287131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:90.6297
------Result------
Miss_rate(tra)	:90.6297
Miss_rate(tst)	:89.1892
ARL				:3.40541

------Generation 0------
Rule  1: c0000000, Class:  1, CF:0.076647, Len:  1, Fitness_tra: 416
Rule  2: d0030000, Class:  0, CF:0.169216, Len:  2, Fitness_tra: 17
Rule  3: c1112151, Class:  0, CF:  1, Len:  8, Fitness_tra: 2
Rule  4: 52121132, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  5: 212c135c, Class:  0, CF:0.966174, Len:  8, Fitness_tra: 0
Rule  6: d8dc71e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: d1cd4451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 185c4a12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 18882795, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 81821f58, Class:  0, CF:0.993154, Len:  8, Fitness_tra: 0
Rule 13: 15517734, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 12122f51, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 15: 5d541b98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 11d22331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 88817414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1514b195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1552159c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 28d84714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 8dd4111c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 23: 155c1252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1114b591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 15182798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 15157411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: d1551c1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 28287131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1111411c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: d85124e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 15dc4b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 58287311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 21127158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 221174e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 88514191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 2111b118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 2d211712, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule 43: 1d527c3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 281d7452, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 13c17458, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 8181463c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 8121b212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 85122391, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 51: 15822354, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 52: 58821231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 15d84e12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 5cd2411c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 128c7735, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 28524755, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 11811711, Class:  1, CF:0.999363, Len:  8, Fitness_tra: 0
Rule 58: 1dd1be34, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 12412792, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 28542292, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 5152141c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 282113e4, Class:  0, CF:0.993107, Len:  8, Fitness_tra: 0
Rule 65: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 911117e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1251b492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 12d4b81c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1d211818, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 000000d0, Class:  1, CF:0.0290291, Len:  1, Fitness_tra: 4
Rule 71: 5c121b1c, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule 72: 51127191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 5121715c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 12212112, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 75: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: d5211498, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: d8112238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 81812794, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: d11c44e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1251b151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 818477e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 2158bb18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 555c241c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 2124255c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 22d4bb12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 11211651, Class:  0, CF:0.400743, Len:  8, Fitness_tra: 41
Rule 88: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 828cb191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 11851131, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule 91: 81112151, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule 92: 85d41b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 5882b131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: d851b101, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 02000110, Class:  0, CF:0.286357, Len:  3, Fitness_tra: 358
Rule 96: 1d511b92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 1551121c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 28860155, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 99: 58547a11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 1291b492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:71.8513
------Result------
Miss_rate(tra)	:71.8513
Miss_rate(tst)	:50
ARL				:4.05714

------Generation 1------
Rule  1: c0000000, Class:  1, CF:0.076647, Len:  1, Fitness_tra: 315
Rule  2: 02000110, Class:  0, CF:0.286357, Len:  3, Fitness_tra: 46
Rule  3: 11211651, Class:  0, CF:0.400743, Len:  8, Fitness_tra: 0
Rule  4: d0030000, Class:  0, CF:0.169216, Len:  2, Fitness_tra: 1
Rule  5: 000000d0, Class:  1, CF:0.0290291, Len:  1, Fitness_tra: 3
Rule  6: c1112151, Class:  0, CF:  1, Len:  8, Fitness_tra: 2
Rule  7: 81112151, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  8: 11851131, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule  9: 212c135c, Class:  0, CF:0.966174, Len:  8, Fitness_tra: 0
Rule 10: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 18882795, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 81821f58, Class:  0, CF:0.993154, Len:  8, Fitness_tra: 0
Rule 13: 15517734, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 12122f51, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 15: 5d541b98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 11d22331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 88817414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1514b195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1552159c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 28d84714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 8dd4111c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 23: 155c1252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1114b591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 15182798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 15157411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: d1551c1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 28287131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1111411c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: d85124e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 15dc4b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 58287311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 21127158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 221174e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 88514191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 2111b118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 2d211712, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule 43: 1d527c3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 281d7452, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 13c17458, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 8181463c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 8121b212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 85122391, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 51: 15822354, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 52: 58821231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 15d84e12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 5cd2411c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 128c7735, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 28524755, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 11811711, Class:  1, CF:0.999363, Len:  8, Fitness_tra: 0
Rule 58: 1dd1be34, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 12412792, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 28542292, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 5152141c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 282113e4, Class:  0, CF:0.993107, Len:  8, Fitness_tra: 0
Rule 65: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 911117e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1251b492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 12d4b81c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1d211818, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: d8dc71e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 5c121b1c, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule 72: 51127191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 5121715c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 12212112, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 75: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: d5211498, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: d8112238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 81812794, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: d11c44e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1251b151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: d553b291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: d0000000, Class:  0, CF:0.159991, Len:  1, Fitness_tra: 3
Rule 83: d5172111, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 84: 12884358, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 5152b735, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 00070000, Class:  1, CF:0.0540955, Len:  1, Fitness_tra: 280
Rule 87: 51124ce1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 1dd14418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 55511312, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 90: 51512931, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 2128255c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: c0102591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 5182b125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 81112152, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 95: d181471c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 655c241c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 01812190, Class:  0, CF:  1, Len:  6, Fitness_tra: 1
Rule 99: 211177e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 00201304, Class:  0, CF:0.434293, Len:  4, Fitness_tra: 544
------Current------
Miss_rate(tra)	:34.1426
------Result------
Miss_rate(tra)	:34.1426
Miss_rate(tst)	:10.1351
ARL				:4.17949

------Generation 2------
Rule  1: c0000000, Class:  1, CF:0.076647, Len:  1, Fitness_tra: 315
Rule  2: 02000110, Class:  0, CF:0.286357, Len:  3, Fitness_tra: 46
Rule  3: 11211651, Class:  0, CF:0.400743, Len:  8, Fitness_tra: 0
Rule  4: d0030000, Class:  0, CF:0.169216, Len:  2, Fitness_tra: 1
Rule  5: 000000d0, Class:  1, CF:0.0290291, Len:  1, Fitness_tra: 3
Rule  6: c1112151, Class:  0, CF:  1, Len:  8, Fitness_tra: 2
Rule  7: 81112151, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  8: 11851131, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule  9: 212c135c, Class:  0, CF:0.966174, Len:  8, Fitness_tra: 0
Rule 10: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 18882795, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 81821f58, Class:  0, CF:0.993154, Len:  8, Fitness_tra: 0
Rule 13: 15517734, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 12122f51, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 15: 5d541b98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 11d22331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 88817414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1514b195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1552159c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 28d84714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 8dd4111c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 23: 155c1252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1114b591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 15182798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 15157411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: d1551c1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 28287131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1111411c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: d85124e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 15dc4b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 58287311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 21127158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
