------Generation 0------
Rule  1: f3118e5515e117b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: b1d6f6335d12d711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 23115113222211a4, Class:  0, CF:  1, Len: 16, Fitness_tra: 0
Rule 39: 1145c13ba1631f13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1111321211113f13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 415f1912172255f1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 3613131311121441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 0000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 21132d91f1311832, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 5336f61591911117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 3f16291c87121225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11497511a961181b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1f71b19133311887, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 5000000000d50900, Class:  8, CF:0.915683, Len:  4, Fitness_tra: 11
Rule 51: f111812c1b12924c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 4111122271431a66, Class:  3, CF:  1, Len: 16, Fitness_tra: 1
Rule 53: 232f1351521457ab, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 1f734d5161113131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 71165155124c113b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 2a6f5f7359f5e211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 3321714c1b311142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1123191581123411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: c15a598172c71117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1111413561331294, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 415f6e35118221f5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 731a311157141115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 5111154431a11872, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 1a132118311132e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 3313152241121212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 16131d15a165e592, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 131111221815111b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 66511d115b623272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 315115181bb45131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 1351115531115bb2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 1f4315653111521b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 8331111511611772, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 00000f0005000000, Class:  0, CF:0.896825, Len:  2, Fitness_tra: 19
Rule 74: 2611415d19111117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 5f134d1132f1d121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 3316133335629b17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 21225212f5e11111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1f11113154211111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 050900000000e05b, Class:  2, CF:0.590118, Len:  5, Fitness_tra: 0
Rule 80: fa3121721132d21c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 115a911117715531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 00de000000000400, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 11411c5468f99311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 11a6361355111272, Class:  0, CF:  1, Len: 16, Fitness_tra: 0
Rule 85: 23cf9315122151ab, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 1113336311321431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 11112112d4615541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 2111535571471261, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 411a311561141442, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 8313195172141134, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 8153a1116512d2b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: f090000020980b00, Class:  5, CF:  1, Len:  6, Fitness_tra: 0
Rule 93: 1916211212411161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 81414211a11e5f13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1e151122283ef611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 261f111992311172, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 1a2eb51818311817, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 165f91593df85b21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 51712211386e1a11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 2156331e11121417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:94.7826
------Result------
Miss_rate(tra)	:94.7826
Miss_rate(tst)	:94.5455
ARL				:8.54545

------Generation 0------
Rule  1: 00000f0005000000, Class:  0, CF:0.896825, Len:  2, Fitness_tra: 19
Rule  2: 5000000000d50900, Class:  8, CF:0.915683, Len:  4, Fitness_tra: 11
Rule  3: 00090f0603080000, Class:  0, CF:  1, Len:  5, Fitness_tra: 2
Rule  4: f090000000980700, Class:  5, CF:  1, Len:  5, Fitness_tra: 2
Rule  5: 2115c29411a11111, Class:  8, CF:  1, Len: 16, Fitness_tra: 0
Rule  6: 4111122271431a66, Class:  3, CF:  1, Len: 16, Fitness_tra: 1
Rule  7: f3118e5515e117b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 158e136af9613132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0509000000000850, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 4111336a193d1417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 3e1146113361121b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 331a211512445df3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 233f1f1e516d3412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 7323e11114575211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 21113117281e51f3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 3116431111442133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 7113e131141121a2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 33d32d2114ac1112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1e1517e1a1112f79, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 16531366151112b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 5a13154588181c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 4f13311117221231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: c349115bf1111371, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 11192437a1ae1313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 5349b21c61659832, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 5000000a00000000, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 5143711711115641, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 2156331e11121417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: b32a11f139152117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 212f191211221ca8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 13e139184411523b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 9f86254254f23113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 6f56114112a1d142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1913131517121161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 11211b34311f2f45, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1321117417671111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: b1d6f6335d12d711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 23115113222211a4, Class:  0, CF:  1, Len: 16, Fitness_tra: 0
Rule 39: 1145c13ba1631f13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1111321211113f13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 415f1912172255f1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 3613131311121441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 0000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 21132d91f1311832, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 5336f61591911117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 3f16291c87121225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11497511a961181b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1f71b19133311887, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1a91211151651254, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: f111812c1b12924c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 837d213b61f3d61e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 232f1351521457ab, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 1f734d5161113131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 71165155124c113b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 2a6f5f7359f5e211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 3321714c1b311142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1123191581123411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: c15a598172c71117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1111413561331294, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 415f6e35118221f5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 731a311157141115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 5111154431a11872, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 1a132118311132e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 3313152241121212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 16131d15a165e592, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 131111221815111b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 66511d115b623272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 315115181bb45131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 1351115531115bb2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 1f4315653111521b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 8331111511611772, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 631f131111115124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 2611415d19111117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 5f134d1132f1d121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 3316133335629b17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 21225212f5e11111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1f11113154211111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 050900000000e05b, Class:  2, CF:0.590118, Len:  5, Fitness_tra: 0
Rule 80: fa3121721132d21c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 11114112a13e5623, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 0000000000000800, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 533f11111c3b1b21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 2653161111121211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 111f1115821134f2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 1931114111639c44, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 2613611311e55224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 465f111935341141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 11df5581112b92f4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0000000040030500, Class:  8, CF:0.239016, Len:  3, Fitness_tra: 4
Rule 91: 11211124276e4b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 1a11251131a11872, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 711f113112311172, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 1f91151551651254, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 261f311112311232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 731e128577451566, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 71734151111c39db, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 5349125b81159871, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: c116598112442197, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 4f13e13114211232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:93.3696
------Result------
Miss_rate(tra)	:93.3696
Miss_rate(tst)	:92.7273
ARL				:8

------Generation 1------
Rule  1: 00000f0005000000, Class:  0, CF:0.896825, Len:  2, Fitness_tra: 19
Rule  2: 5000000000d50900, Class:  8, CF:0.915683, Len:  4, Fitness_tra: 11
Rule  3: 0000000040030500, Class:  8, CF:0.239016, Len:  3, Fitness_tra: 4
Rule  4: 00090f0603080000, Class:  0, CF:  1, Len:  5, Fitness_tra: 2
Rule  5: f090000000980700, Class:  5, CF:  1, Len:  5, Fitness_tra: 2
Rule  6: 4111122271431a66, Class:  3, CF:  1, Len: 16, Fitness_tra: 1
Rule  7: 2115c29411a11111, Class:  8, CF:  1, Len: 16, Fitness_tra: 0
Rule  8: 158e136af9613132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0509000000000850, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 4111336a193d1417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 3e1146113361121b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 331a211512445df3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 233f1f1e516d3412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 7323e11114575211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 21113117281e51f3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 3116431111442133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 7113e131141121a2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 33d32d2114ac1112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1e1517e1a1112f79, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 16531366151112b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 5a13154588181c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 4f13311117221231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: c349115bf1111371, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 11192437a1ae1313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 5349b21c61659832, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 5000000a00000000, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 5143711711115641, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 2156331e11121417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: b32a11f139152117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 212f191211221ca8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 13e139184411523b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 9f86254254f23113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 6f56114112a1d142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1913131517121161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 11211b34311f2f45, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1321117417671111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: b1d6f6335d12d711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 23115113222211a4, Class:  0, CF:  1, Len: 16, Fitness_tra: 0
Rule 39: 1145c13ba1631f13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1111321211113f13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 415f1912172255f1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 3613131311121441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 0000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 21132d91f1311832, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 5336f61591911117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 3f16291c87121225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11497511a961181b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1f71b19133311887, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1a91211151651254, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: f111812c1b12924c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 837d213b61f3d61e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 232f1351521457ab, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 1f734d5161113131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 71165155124c113b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 2a6f5f7359f5e211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 3321714c1b311142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1123191581123411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: c15a598172c71117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1111413561331294, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 415f6e35118221f5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 731a311157141115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 5111154431a11872, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 1a132118311132e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 3313152241121212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 16131d15a165e592, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 131111221815111b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 66511d115b623272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 315115181bb45131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 1351115531115bb2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 1f4315653111521b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 8331111511611772, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 631f131111115124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 2611415d19111117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 5f134d1132f1d121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 3316133335629b17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 21225212f5e11111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1f11113154211111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 050900000000e05b, Class:  2, CF:0.590118, Len:  5, Fitness_tra: 0
Rule 80: fa3121721132d21c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 465f333112141861, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 000050d000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 1613269113313711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 4113111931a15411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 112f11112114d1a7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 23231121211313f1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 21115518c2111262, Class:  8, CF:  1, Len: 16, Fitness_tra: 1
Rule 88: 5116711114fc1212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 2111611112111d21, Class:  5, CF:  1, Len: 16, Fitness_tra: 0
Rule 90: 3a1313211de18272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: b112f633821137f2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: b1d6f6625d4bd711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 3149131181149873, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 3f13191c17121129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: ca51291172c5b114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 131c1114c21771f2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 1355115531111bb3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 5e36f61133911217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 3011460033001700, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 111121183b113031, Class:  5, CF:  1, Len: 15, Fitness_tra: 1
------Current------
Miss_rate(tra)	:93.2609
------Result------
Miss_rate(tra)	:93.2609
Miss_rate(tst)	:92.7273
ARL				:9.91667

------Generation 2------
Rule  1: 00000f0005000000, Class:  0, CF:0.896825, Len:  2, Fitness_tra: 19
Rule  2: 5000000000d50900, Class:  8, CF:0.915683, Len:  4, Fitness_tra: 11
Rule  3: 0000000040030500, Class:  8, CF:0.239016, Len:  3, Fitness_tra: -4
Rule  4: 00090f0603080000, Class:  0, CF:  1, Len:  5, Fitness_tra: 2
Rule  5: f090000000980700, Class:  5, CF:  1, Len:  5, Fitness_tra: 2
Rule  6: 4111122271431a66, Class:  3, CF:  1, Len: 16, Fitness_tra: 1
Rule  7: 111121183b113031, Class:  5, CF:  1, Len: 15, Fitness_tra: 1
