------Generation 0------
Rule  1: 669f20b000e00b20, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 2313319115111bb1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 16153f1111153212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 11232491616e1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 111f3151a8141211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 791f511212111412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 5a11151157f13112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: a6511315245b1221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 050e00000000e850, Class:  8, CF:0.176852, Len:  5, Fitness_tra: -7
Rule 36: 133311159132117b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 111a195124b15163, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 112f1a3e153c911b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 00e0000060000000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1319211c11356214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 215613311c4254f4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 6351297224149121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: c31114341233112e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1a1e21113165185b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1a11414c54615572, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 3121113b22151113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1a1127111536c321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11116123196111bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: f15611151132512b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 451913aa191d5281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 1a1319b144121c12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1a11151131611531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 411631115d211137, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 13a6161359615221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 8123711b11311a8f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 2641111211a31323, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 211396116d321b41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 75839a6f391d1117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 211a611551111d19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1113121412115129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 73163e3817211535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 000060e000000000, Class:  4, CF:0.227021, Len:  2, Fitness_tra: -10
Rule 63: c3b5421b12a91a43, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 41191613a391d117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 711a3355511111a5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 731631211162942b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 16d3191119a25271, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 4e8311514c1b52f7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1918117155111621, Class:  4, CF:0.999101, Len: 16, Fitness_tra: 14
Rule 70: 1113715461391641, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 162972c112ad111f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: f1111e1217111113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 13332312221b5122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 311f1e1511428511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 13113191111117b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1313151111111114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: af5645421b1b5c41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1143211811331814, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 114e4d113565623b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 368341111e151117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1e22c1e7a1311671, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 462a1311211734f2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 6a16117214321211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 1116133633181212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 111ab11817221316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 21111e1d35311442, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 511a111112212114, Class:  0, CF:  1, Len: 16, Fitness_tra: 1
Rule 88: 25135166e95dc514, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 133a631561375774, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0009000000030c00, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 49111432619a1f71, Class:  6, CF:  1, Len: 16, Fitness_tra: 1
Rule 92: 212655114411d4f4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 11221411113a2e22, Class:  8, CF:  1, Len: 16, Fitness_tra: 1
Rule 94: af13851844e15cbc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1123311a3631613b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 1659a11633353721, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 13455551212913f6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 000000000000f000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 13193f1133651124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 71131e2511615241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:91.3043
------Result------
Miss_rate(tra)	:91.3043
Miss_rate(tst)	:90
ARL				:12.4

------Generation 0------
Rule  1: 669f20b000e00b20, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 13936a33121254b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 611f1a1111181127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1311131911623214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 090e0000600d0c00, Class:  9, CF:  1, Len:  5, Fitness_tra: 1
Rule  6: 1a25911427251afa, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 114214616353c115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 111a131522211111, Class:  0, CF:  1, Len: 16, Fitness_tra: 0
Rule  9: 2511111581471714, Class:  8, CF:  1, Len: 16, Fitness_tra: 1
Rule 10: 21451b11a5111a71, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 452933616e1d3117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 2a11b118326da237, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 13113851b1111af1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 13515522b4111462, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 11d6ee1511115112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: b18a16594811d7f4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 111915112221111f, Class:  3, CF:0.263955, Len: 16, Fitness_tra: 5
Rule 19: 231a1a51151c9bb1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 4559963fe1d1182b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 43516ff639515214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 9aca7111126cf316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 234315116311585b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000e000008000300, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 26261951171155fd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 133f1558b7115731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0509000f0e0d0c00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 2313319115111bb1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 16153f1111153212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 11232491616e1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 111f3151a8141211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 791f511212111412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 5a11151157f13112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: a6511315245b1221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 050e00000000e850, Class:  8, CF:0.176852, Len:  5, Fitness_tra: -7
Rule 36: 133311159132117b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 111a195124b15163, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 112f1a3e153c911b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 00e0000060000000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1319211c11356214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 215613311c4254f4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 6351297224149121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: c31114341233112e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1a1e21113165185b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1a11414c54615572, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 3121113b22151113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1a1127111536c321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11116123196111bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: f15611151132512b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 451913aa191d5281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 1a1319b144121c12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1a11151131611531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 411631115d211137, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 13a6161359615221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 8123711b11311a8f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 2641111211a31323, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 211396116d321b41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 75839a6f391d1117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 211a611551111d19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1113121412115129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 73163e3817211535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 000060e000000000, Class:  4, CF:0.227021, Len:  2, Fitness_tra: -10
Rule 63: c3b5421b12a91a43, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 41191613a391d117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 711a3355511111a5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 731631211162942b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 16d3191119a25271, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 4e8311514c1b52f7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1918117155111621, Class:  4, CF:0.999101, Len: 16, Fitness_tra: 14
Rule 70: 1113715461391641, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 162972c112ad111f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: f1111e1217111113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 13332312221b5122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 311f1e1511428511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 13113191111117b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1313151111111114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: af5645421b1b5c41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1143211811331814, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 114e4d113565623b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 368341111e151117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1e22c1e7a1311671, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 462a1311211734f2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 6a16117214321211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 1116133633181212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 111ab11817221316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 21111e1d35311442, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 511a111112212114, Class:  0, CF:  1, Len: 16, Fitness_tra: 1
Rule 88: 25135166e95dc514, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 133a631561375774, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0009000000030c00, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 49111432619a1f71, Class:  6, CF:  1, Len: 16, Fitness_tra: 1
Rule 92: 212655114411d4f4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 11221411113a2e22, Class:  8, CF:  1, Len: 16, Fitness_tra: 1
Rule 94: af13851844e15cbc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1123311a3631613b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 1659a11633353721, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 13455551212913f6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 000000000000f000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 13193f1133651124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 71131e2511615241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:91.3043
------Result------
Miss_rate(tra)	:91.3043
Miss_rate(tst)	:90
ARL				:12.4

------Generation 1------
Rule  1: 669f20b000e00b20, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 13936a33121254b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 611f1a1111181127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1311131911623214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 090e0000600d0c00, Class:  9, CF:  1, Len:  5, Fitness_tra: 1
Rule  6: 1a25911427251afa, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 114214616353c115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 111a131522211111, Class:  0, CF:  1, Len: 16, Fitness_tra: 0
Rule  9: 2511111581471714, Class:  8, CF:  1, Len: 16, Fitness_tra: 1
Rule 10: 21451b11a5111a71, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 452933616e1d3117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 2a11b118326da237, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 13113851b1111af1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 13515522b4111462, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 11d6ee1511115112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: b18a16594811d7f4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 111915112221111f, Class:  3, CF:0.263955, Len: 16, Fitness_tra: 5
Rule 19: 231a1a51151c9bb1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 4559963fe1d1182b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 43516ff639515214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 9aca7111126cf316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 234315116311585b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000e000008000300, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 26261951171155fd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 133f1558b7115731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0509000f0e0d0c00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 2313319115111bb1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 16153f1111153212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 11232491616e1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 111f3151a8141211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 791f511212111412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 5a11151157f13112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: a6511315245b1221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 050e00000000e850, Class:  8, CF:0.176852, Len:  5, Fitness_tra: -7
Rule 36: 133311159132117b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 111a195124b15163, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 112f1a3e153c911b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 00e0000060000000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1319211c11356214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 215613311c4254f4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 6351297224149121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: c31114341233112e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1a1e21113165185b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1a11414c54615572, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 3121113b22151113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1a1127111536c321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11116123196111bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: f15611151132512b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 451913aa191d5281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 1a1319b144121c12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1a11151131611531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 411631115d211137, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 13a6161359615221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 8123711b11311a8f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 2641111211a31323, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 211396116d321b41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 75839a6f391d1117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 211a611551111d19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1113121412115129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 73163e3817211535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 000060e000000000, Class:  4, CF:0.227021, Len:  2, Fitness_tra: -10
Rule 63: c3b5421b12a91a43, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 41191613a391d117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 711a3355511111a5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 731631211162942b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 16d3191119a25271, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 4e8311514c1b52f7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1918117155111621, Class:  4, CF:0.999101, Len: 16, Fitness_tra: 14
Rule 70: 1113715461391641, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 162972c112ad111f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: f1111e1217111113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 13332312221b5122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 311f1e1511428511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 13113191111117b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1313151111111114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: af5645421b1b5c41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1143211811331814, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 114e4d113565623b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 368341111e151117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1e22c1e7a1311671, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 462a1311211734f2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 6a16117214321211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 1116133633181212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 111ab11817221316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 21111e1d35311442, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 511a111112212114, Class:  0, CF:  1, Len: 16, Fitness_tra: 1
Rule 88: 25135166e95dc514, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 133a631561375774, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0009000000030c00, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 49111432619a1f71, Class:  6, CF:  1, Len: 16, Fitness_tra: 1
Rule 92: 212655114411d4f4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 11221411113a2e22, Class:  8, CF:  1, Len: 16, Fitness_tra: 1
Rule 94: af13851844e15cbc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1123311a3631613b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 1659a11633353721, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 13455551212913f6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 000000000000f000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 13193f1133651124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 71131e2511615241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:91.3043
------Result------
Miss_rate(tra)	:91.3043
Miss_rate(tst)	:90
ARL				:12.4

------Generation 2------
Rule  1: 1918117155111621, Class:  4, CF:0.999101, Len: 16, Fitness_tra: 14
Rule  2: 111915112221111f, Class:  3, CF:0.263955, Len: 16, Fitness_tra: 38
Rule  3: 11221411113a2e22, Class:  8, CF:  1, Len: 16, Fitness_tra: 1
Rule  4: 090e0000600d0c00, Class:  9, CF:  1, Len:  5, Fitness_tra: 1
Rule  5: 2511111581471714, Class:  8, CF:  1, Len: 16, Fitness_tra: 1
Rule  6: 511a111112212114, Class:  0, CF:  1, Len: 16, Fitness_tra: 1
Rule  7: 49111432619a1f71, Class:  6, CF:  1, Len: 16, Fitness_tra: 1
