------Generation 0------
Rule  1: 212a13195d31522b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 2123b4116ca51f23, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 111a111315611b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 0000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1615111142153a16, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 0900000000000009, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1a15115424418663, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1123131f31111c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1f51151854121121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 090000000000d003, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: c6151111111d81ff, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 335111711835181b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 6356c5b11b641221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 6313111333111147, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 0000506009020400, Class:  9, CF:0.977374, Len:  5, Fitness_tra: 11
Rule 56: 962115119b31f116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 13211712f19a2121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 6313731333311217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 132e2db41b611541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 6336131511121144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 114a151511281113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 0500000800942000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 16131171281812f4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 3e13732113111117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 1619121122111623, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 2113a11514121571, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 13211e51db221815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 19151b4458111313, Class:  4, CF:0.991837, Len: 16, Fitness_tra: 21
Rule 69: 13d381225b121121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 15211af6153d1211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 1111252111f59157, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 211313aa91d11222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1121111412111616, Class:  9, CF:0.9969, Len: 16, Fitness_tra: 2
Rule 74: c151669568a15721, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 11112b11f1931121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: b31313511b11d131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: d11f615d12341b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 00006000020b0c08, Class:  8, CF:  1, Len:  5, Fitness_tra: 1
Rule 79: 41b522376d362a41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: fa368911b4125122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 3323213115121777, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 465a3e2512321421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 16452712f1312f43, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: c118116261111611, Class:  9, CF:  1, Len: 16, Fitness_tra: 1
Rule 85: 0000000000002000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: fa53294822613115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 2e261a3912225b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 11133f3911142431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 13131d11346c55b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: af13152517171128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 113316231d111112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 111333e1a1e48b24, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 2111153121211633, Class:  9, CF:0.982502, Len: 16, Fitness_tra: 5
Rule 94: 11214114e46d3111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1613714451341542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 311f21511122311a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 234114e7f5111f71, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 1115124125193381, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 533a31151114144b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 060f000090d00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:94.4565
------Result------
Miss_rate(tra)	:94.4565
Miss_rate(tst)	:95.9091
ARL				:11.1429

------Generation 0------
Rule  1: 19151b4458111313, Class:  4, CF:0.991837, Len: 16, Fitness_tra: 15
Rule  2: 0000506009020400, Class:  9, CF:0.977374, Len:  5, Fitness_tra: 8
Rule  3: 2111153121211633, Class:  9, CF:0.982502, Len: 16, Fitness_tra: 3
Rule  4: 1121111412111616, Class:  9, CF:0.9969, Len: 16, Fitness_tra: 2
Rule  5: 00006000020b0c08, Class:  8, CF:  1, Len:  5, Fitness_tra: 1
Rule  6: c118116261111611, Class:  9, CF:  1, Len: 16, Fitness_tra: 1
Rule  7: 212a13195d31522b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1318172421191a23, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 56ea313311118b4b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 431131f615111217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1311e32113311714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 16d3311111a11421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 114115113333121b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 2336119138341272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1a211254f8135121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 06ca000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 2111151818151861, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 153a711514221831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 112341121111a111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1141518b2121166f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 19112a1531111144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 31561318c7e4d872, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000005030e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: ba50000080000008, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 3f511d1432125271, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1ade157217111c2c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: a1e31118b4821411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 83234112f535181b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1321181b12111a11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 2121754115656211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 191f111214223761, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1316134511153117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 060f000090d00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 5a81151114a115b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 133fee1115311744, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1121411735161111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 152c5b611153c621, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 6f13857215311c32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 050e000000204800, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1311111172133316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1a16516119985174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 2123b4116ca51f23, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 111a111315611b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 0000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1615111142153a16, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 0900000000000009, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1a15115424418663, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1123131f31111c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1f51151854121121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 090000000000d003, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: c6151111111d81ff, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 335111711835181b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 6356c5b11b641221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 6313111333111147, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: ba0030000000000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 962115119b31f116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 13211712f19a2121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 6313731333311217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 132e2db41b611541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 6336131511121144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 114a151511281113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 0500000800942000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 16131171281812f4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 3e13732113111117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 1619121122111623, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 2113a11514121571, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 13211e51db221815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 3326712111fcf111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 13d381225b121121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 15211af6153d1211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 1111252111f59157, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 211313aa91d11222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1111163511212232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: c151669568a15721, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 11112b11f1931121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: b31313511b11d131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: d11f615d12341b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 331a291111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 41b522376d362a41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: fa368911b4125122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 3f21721be1fde621, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 135111411531a151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 3353291d11188b42, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 1353135931f2d442, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 33d6134555122722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000000000000b000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1119111112153126, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 0000e50e0a000090, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 11c9111b211311a1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 600000000d204000, Class:  1, CF:0.16163, Len:  4, Fitness_tra: -36
Rule 91: 2113a6151415157e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 13de11f217111c2c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 0910210204253361, Class:  4, CF:0.939436, Len: 12, Fitness_tra: 2
Rule 94: 11254b1435161111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: ba50000080000008, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 133e191124441813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 431131331111121b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 1115d1e1a1e18b63, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 29151ca491d11322, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 3e13732113151117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:90.7609
------Result------
Miss_rate(tra)	:90.7609
Miss_rate(tst)	:90
ARL				:11.25

------Generation 1------
Rule  1: 19151b4458111313, Class:  4, CF:0.991837, Len: 16, Fitness_tra: 15
Rule  2: 0000506009020400, Class:  9, CF:0.977374, Len:  5, Fitness_tra: 8
Rule  3: 2111153121211633, Class:  9, CF:0.982502, Len: 16, Fitness_tra: 3
Rule  4: 1121111412111616, Class:  9, CF:0.9969, Len: 16, Fitness_tra: 2
Rule  5: 00006000020b0c08, Class:  8, CF:  1, Len:  5, Fitness_tra: 1
Rule  6: c118116261111611, Class:  9, CF:  1, Len: 16, Fitness_tra: 1
Rule  7: 212a13195d31522b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1318172421191a23, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 56ea313311118b4b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 431131f615111217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1311e32113311714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 16d3311111a11421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 114115113333121b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 2336119138341272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1a211254f8135121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 06ca000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 2111151818151861, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 153a711514221831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 112341121111a111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1141518b2121166f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 19112a1531111144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 31561318c7e4d872, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000005030e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: ba50000080000008, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 3f511d1432125271, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1ade157217111c2c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: a1e31118b4821411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 83234112f535181b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1321181b12111a11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 2121754115656211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 191f111214223761, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1316134511153117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 060f000090d00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 5a81151114a115b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 133fee1115311744, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1121411735161111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 152c5b611153c621, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 6f13857215311c32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 050e000000204800, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1311111172133316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1a16516119985174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 2123b4116ca51f23, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 111a111315611b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 0000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1615111142153a16, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 0900000000000009, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1a15115424418663, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1123131f31111c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1f51151854121121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 090000000000d003, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: c6151111111d81ff, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 335111711835181b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 6356c5b11b641221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 6313111333111147, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: ba0030000000000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 962115119b31f116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 13211712f19a2121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 6313731333311217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 132e2db41b611541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 6336131511121144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 114a151511281113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 0500000800942000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 16131171281812f4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 3e13732113111117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 1619121122111623, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 2113a11514121571, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 13211e51db221815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 3326712111fcf111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 13d381225b121121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 15211af6153d1211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 1111252111f59157, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 211313aa91d11222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1111163511212232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: c151669568a15721, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 11112b11f1931121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: b31313511b11d131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: d11f615d12341b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 331a291111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 41b522376d362a41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: fa368911b4125122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 3f21721be1fde621, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 135111411531a151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 3353291d11188b42, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 1353135931f2d442, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 33d6134555122722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000000000000b000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1119111112153126, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 0000e50e0a000090, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 11c9111b211311a1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 600000000d204000, Class:  1, CF:0.16163, Len:  4, Fitness_tra: -36
Rule 91: 2113a6151415157e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 13de11f217111c2c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 0910210204253361, Class:  4, CF:0.939436, Len: 12, Fitness_tra: 2
Rule 94: 11254b1435161111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: ba50000080000008, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 133e191124441813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 431131331111121b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 1115d1e1a1e18b63, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 29151ca491d11322, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 3e13732113151117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:90.7609
------Result------
Miss_rate(tra)	:90.7609
Miss_rate(tst)	:90
ARL				:11.25

------Generation 2------
Rule  1: 19151b4458111313, Class:  4, CF:0.991837, Len: 16, Fitness_tra: 15
Rule  2: 0000506009020400, Class:  9, CF:0.977374, Len:  5, Fitness_tra: 8
Rule  3: 2111153121211633, Class:  9, CF:0.982502, Len: 16, Fitness_tra: 3
Rule  4: 1121111412111616, Class:  9, CF:0.9969, Len: 16, Fitness_tra: 2
Rule  5: 00006000020b0c08, Class:  8, CF:  1, Len:  5, Fitness_tra: 1
Rule  6: c118116261111611, Class:  9, CF:  1, Len: 16, Fitness_tra: 1
Rule  7: 212a13195d31522b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1318172421191a23, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 56ea313311118b4b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 431131f615111217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
