------Generation 0------
Rule  1: 8c7, Class:  0, CF:0.470325, Len:  3, Fitness_tra: -1
Rule 16: 114, Class:  0, CF:0.3577, Len:  3, Fitness_tra: -1
Rule 17: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 18: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 19: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 20: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 21: 1b7, Class:  0, CF:0.155156, Len:  3, Fitness_tra: 0
Rule 22: 2c2, Class:  0, CF:0.605895, Len:  3, Fitness_tra: -2
Rule 23: d47, Class:  0, CF:0.349105, Len:  3, Fitness_tra: 0
Rule 24: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 25: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 26: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 27: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 28: 257, Class:  0, CF:0.342031, Len:  3, Fitness_tra: 2
Rule 29: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 30: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 31: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 32: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 33: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 34: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 35: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 36: 1b4, Class:  0, CF:0.234457, Len:  3, Fitness_tra: 0
Rule 37: 212, Class:  0, CF:0.524392, Len:  3, Fitness_tra: 0
Rule 38: 121, Class:  1, CF:0.0201083, Len:  3, Fitness_tra: 0
Rule 39: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 40: 51b, Class:  0, CF:0.439366, Len:  3, Fitness_tra: -1
Rule 41: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 42: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 43: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 44: 334, Class:  0, CF:0.062359, Len:  3, Fitness_tra: 0
Rule 45: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 46: c00, Class:  0, CF:0.0175429, Len:  1, Fitness_tra: 0
Rule 47: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 48: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 49: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 50: 122, Class:  0, CF:0.325732, Len:  3, Fitness_tra: -1
Rule 51: 5e4, Class:  0, CF:0.380645, Len:  3, Fitness_tra: 0
Rule 52: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 53: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 54: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 55: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 56: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 57: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 58: 114, Class:  0, CF:0.3577, Len:  3, Fitness_tra: 0
Rule 59: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 60: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 61: e34, Class:  1, CF:0.0515926, Len:  3, Fitness_tra: 0
Rule 62: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 63: 33b, Class:  0, CF:0.0814077, Len:  3, Fitness_tra: 0
Rule 64: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 65: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 66: 112, Class:  0, CF:0.441988, Len:  3, Fitness_tra: 0
Rule 67: 252, Class:  0, CF:0.171154, Len:  3, Fitness_tra: 0
Rule 68: 112, Class:  0, CF:0.441988, Len:  3, Fitness_tra: 0
Rule 69: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 70: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 71: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 72: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 73: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 74: 9e7, Class:  0, CF:0.272107, Len:  3, Fitness_tra: 0
Rule 75: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 76: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 77: 112, Class:  0, CF:0.441988, Len:  3, Fitness_tra: 0
Rule 78: 008, Class:  0, CF:0.461281, Len:  1, Fitness_tra: 0
Rule 79: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 80: 400, Class:  0, CF:0.0306062, Len:  1, Fitness_tra: -21
Rule 81: 300, Class:  1, CF:0.0795614, Len:  1, Fitness_tra: 5
Rule 82: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 83: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 84: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 85: 020, Class:  1, CF:0.00477861, Len:  1, Fitness_tra: 0
Rule 86: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 87: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 88: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 89: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 90: 900, Class:  0, CF:0.0441075, Len:  1, Fitness_tra: 0
Rule 91: 005, Class:  0, CF:0.576717, Len:  1, Fitness_tra: 0
Rule 92: 5eb, Class:  0, CF:0.380645, Len:  3, Fitness_tra: 0
Rule 93: 901, Class:  0, CF:0.0372687, Len:  2, Fitness_tra: 0
Rule 94: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 95: 012, Class:  0, CF:0.473874, Len:  2, Fitness_tra: 10
Rule 96: 600, Class:  1, CF:0.272368, Len:  1, Fitness_tra: 42
Rule 97: 050, Class:  1, CF:0.0236736, Len:  0, Fitness_tra: 0
Rule 98: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 99: 40e, Class:  0, CF:0.471402, Len:  2, Fitness_tra: 0
Rule100: 262, Class:  0, CF:0.599288, Len:  3, Fitness_tra: 0
------Current------
Miss_rate(tra)	:31.2727
------Result------
Miss_rate(tra)	:31.2727
Miss_rate(tst)	:25.8065
ARL				:1.06667

------Generation 1------
Rule  1: 2b1, Class:  1, CF:0.203641, Len:  3, Fitness_tra: 38
Rule  2: d81, Class:  1, CF:0.200805, Len:  3, Fitness_tra: 22
Rule  3: c11, Class:  1, CF:0.0500674, Len:  3, Fitness_tra: 9
Rule  4: 132, Class:  0, CF:0.449516, Len:  3, Fitness_tra: 0
Rule  5: 56b, Class:  0, CF:0.515826, Len:  3, Fitness_tra: 1
Rule  6: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule  7: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule  8: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule  9: 050, Class:  1, CF:0.0236736, Len:  1, Fitness_tra: 0
Rule 10: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 11: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 12: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 13: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 14: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 15: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 16: 114, Class:  0, CF:0.3577, Len:  3, Fitness_tra: -1
Rule 17: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 18: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 19: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 20: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 21: 1b7, Class:  0, CF:0.155156, Len:  3, Fitness_tra: 0
Rule 22: 2c2, Class:  0, CF:0.605895, Len:  3, Fitness_tra: -2
Rule 23: d47, Class:  0, CF:0.349105, Len:  3, Fitness_tra: 0
Rule 24: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 25: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 26: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 27: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 28: 257, Class:  0, CF:0.342031, Len:  3, Fitness_tra: 2
Rule 29: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 30: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 31: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 32: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 33: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 34: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 35: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 36: 1b4, Class:  0, CF:0.234457, Len:  3, Fitness_tra: 0
Rule 37: 212, Class:  0, CF:0.524392, Len:  3, Fitness_tra: 0
Rule 38: 121, Class:  1, CF:0.0201083, Len:  3, Fitness_tra: 0
Rule 39: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 40: 51b, Class:  0, CF:0.439366, Len:  3, Fitness_tra: -1
Rule 41: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 42: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 43: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 44: 334, Class:  0, CF:0.062359, Len:  3, Fitness_tra: 0
Rule 45: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 46: c00, Class:  0, CF:0.0175429, Len:  1, Fitness_tra: 0
Rule 47: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 48: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 49: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 50: 122, Class:  0, CF:0.325732, Len:  3, Fitness_tra: -1
Rule 51: 5e4, Class:  0, CF:0.380645, Len:  3, Fitness_tra: 0
Rule 52: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 53: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 54: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 55: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 56: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 57: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 58: 114, Class:  0, CF:0.3577, Len:  3, Fitness_tra: 0
Rule 59: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 60: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 61: e34, Class:  1, CF:0.0515926, Len:  3, Fitness_tra: 0
Rule 62: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 63: 33b, Class:  0, CF:0.0814077, Len:  3, Fitness_tra: 0
Rule 64: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 65: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 66: 112, Class:  0, CF:0.441988, Len:  3, Fitness_tra: 0
Rule 67: 252, Class:  0, CF:0.171154, Len:  3, Fitness_tra: 0
Rule 68: 112, Class:  0, CF:0.441988, Len:  3, Fitness_tra: 0
Rule 69: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 70: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 71: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 72: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 73: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 74: 9e7, Class:  0, CF:0.272107, Len:  3, Fitness_tra: 0
Rule 75: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 76: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 77: 112, Class:  0, CF:0.441988, Len:  3, Fitness_tra: 0
Rule 78: 008, Class:  0, CF:0.461281, Len:  1, Fitness_tra: 0
Rule 79: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 80: 400, Class:  0, CF:0.0306062, Len:  1, Fitness_tra: -21
Rule 81: 300, Class:  1, CF:0.0795614, Len:  1, Fitness_tra: 5
Rule 82: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 83: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 84: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 85: 020, Class:  1, CF:0.00477861, Len:  1, Fitness_tra: 0
Rule 86: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 87: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 88: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 89: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 90: 900, Class:  0, CF:0.0441075, Len:  1, Fitness_tra: 0
Rule 91: 005, Class:  0, CF:0.576717, Len:  1, Fitness_tra: 0
Rule 92: 5eb, Class:  0, CF:0.380645, Len:  3, Fitness_tra: 0
Rule 93: 901, Class:  0, CF:0.0372687, Len:  2, Fitness_tra: 0
Rule 94: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 95: 012, Class:  0, CF:0.473874, Len:  2, Fitness_tra: 10
Rule 96: 600, Class:  1, CF:0.272368, Len:  1, Fitness_tra: 42
Rule 97: 050, Class:  1, CF:0.0236736, Len:  0, Fitness_tra: 0
Rule 98: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 99: 40e, Class:  0, CF:0.471402, Len:  2, Fitness_tra: 0
Rule100: 262, Class:  0, CF:0.599288, Len:  3, Fitness_tra: 0
------Current------
Miss_rate(tra)	:31.2727
------Result------
Miss_rate(tra)	:31.2727
Miss_rate(tst)	:25.8065
ARL				:1.06667

------Generation 2------
Rule  1: 2b1, Class:  1, CF:0.203641, Len:  3, Fitness_tra: 38
Rule  2: d81, Class:  1, CF:0.200805, Len:  3, Fitness_tra: 22
Rule  3: c11, Class:  1, CF:0.0500674, Len:  3, Fitness_tra: 9
Rule  4: 132, Class:  0, CF:0.449516, Len:  3, Fitness_tra: 0
Rule  5: 56b, Class:  0, CF:0.515826, Len:  3, Fitness_tra: 1
Rule  6: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule  7: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule  8: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule  9: 050, Class:  1, CF:0.0236736, Len:  1, Fitness_tra: 0
Rule 10: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 11: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 12: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 13: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 14: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 15: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 16: 114, Class:  0, CF:0.3577, Len:  3, Fitness_tra: -1
Rule 17: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 18: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 19: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 20: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 21: 1b7, Class:  0, CF:0.155156, Len:  3, Fitness_tra: 0
Rule 22: 2c2, Class:  0, CF:0.605895, Len:  3, Fitness_tra: -2
Rule 23: d47, Class:  0, CF:0.349105, Len:  3, Fitness_tra: 0
Rule 24: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 25: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
