------Generation 0------
Rule  1: bb745a2b41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 2bb42a77b1, Class:  4, CF:0.13715, Len: 10, Fitness_tra: 0
Rule 51: 142459b222, Class:  2, CF:0.931583, Len: 10, Fitness_tra: -3
Rule 52: 78714db477, Class:  4, CF:0.932435, Len: 10, Fitness_tra: 0
Rule 53: 2472594247, Class:  2, CF:0.991095, Len: 10, Fitness_tra: 0
Rule 54: 4274412b14, Class:  4, CF:0.285669, Len: 10, Fitness_tra: 0
Rule 55: 141bff141b, Class:  4, CF:0.883694, Len: 10, Fitness_tra: -2
Rule 56: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 4b2b114b42, Class:  2, CF:0.275937, Len: 10, Fitness_tra: 0
Rule 58: 7247137b27, Class:  4, CF:0.987214, Len: 10, Fitness_tra: 0
Rule 59: 2171d31b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 714726b477, Class:  4, CF:0.998533, Len: 10, Fitness_tra: 0
Rule 61: 2bb4c64177, Class:  2, CF:0.925213, Len: 10, Fitness_tra: 0
Rule 62: 1244132b4b, Class:  4, CF:0.972826, Len: 10, Fitness_tra: 0
Rule 63: b12481b222, Class:  2, CF:0.998061, Len: 10, Fitness_tra: 1
Rule 64: 4872252144, Class:  4, CF:0.271549, Len: 10, Fitness_tra: 0
Rule 65: 4b2181111b, Class:  2, CF:0.998979, Len: 10, Fitness_tra: -1019
Rule 66: 442216b174, Class:  4, CF:0.998718, Len: 10, Fitness_tra: 0
Rule 67: 77bb11b272, Class:  2, CF:0.39933, Len: 10, Fitness_tra: 0
Rule 68: 44271641b2, Class:  4, CF:0.998738, Len: 10, Fitness_tra: 0
Rule 69: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: b724ca227b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 4b475a7221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: b12b194bbb, Class:  0, CF:0.0584671, Len: 10, Fitness_tra: 0
Rule 74: 41115e7724, Class:  2, CF:0.994427, Len: 10, Fitness_tra: 0
Rule 75: b1b4161b2b, Class:  4, CF:0.990127, Len: 10, Fitness_tra: 0
Rule 76: 211413217b, Class:  4, CF:0.708844, Len: 10, Fitness_tra: 0
Rule 77: 1d12457127, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 4271312414, Class:  2, CF:0.116097, Len: 10, Fitness_tra: 2
Rule 79: 4127851771, Class:  2, CF:0.945674, Len: 10, Fitness_tra: 0
Rule 80: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 7114452412, Class:  2, CF:0.922897, Len: 10, Fitness_tra: -3
Rule 82: 1147164742, Class:  4, CF:0.996909, Len: 10, Fitness_tra: 0
Rule 83: 7344114411, Class:  2, CF:0.47072, Len: 10, Fitness_tra: -17
Rule 84: b14b8a1171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: b24483b171, Class:  2, CF:0.548295, Len: 10, Fitness_tra: -2
Rule 86: 427b81477b, Class:  2, CF:0.914363, Len: 10, Fitness_tra: 0
Rule 87: 14b7212bb4, Class:  4, CF:0.228527, Len: 10, Fitness_tra: 0
Rule 88: 22b7494b4b, Class:  1, CF:0.457488, Len: 10, Fitness_tra: 0
Rule 89: 2c72492224, Class:  2, CF:0.98046, Len: 10, Fitness_tra: 0
Rule 90: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 2247337417, Class:  4, CF:0.435469, Len: 10, Fitness_tra: 0
Rule 93: b114132417, Class:  4, CF:0.643527, Len: 10, Fitness_tra: -1
Rule 94: 4172ca1244, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 224713b777, Class:  4, CF:0.988512, Len: 10, Fitness_tra: 0
Rule 96: b5b2292414, Class:  1, CF:0.884155, Len: 10, Fitness_tra: 0
Rule 97: 214283214b, Class:  2, CF:0.829851, Len: 10, Fitness_tra: 0
Rule 98: 44b721477b, Class:  2, CF:0.451352, Len: 10, Fitness_tra: 0
Rule 99: 227221b412, Class:  2, CF:0.734552, Len: 10, Fitness_tra: 0
Rule100: b4241511bb, Class:  4, CF:0.428194, Len: 10, Fitness_tra: -81
------Current------
Miss_rate(tra)	:97.9438
------Result------
Miss_rate(tra)	:97.9438
Miss_rate(tst)	:97.8995
ARL				:10

------Generation 0------
Rule  1: 4271312414, Class:  2, CF:0.116097, Len: 10, Fitness_tra: 0
Rule  2: b12481b222, Class:  2, CF:0.998061, Len: 10, Fitness_tra: 1
Rule  3: bb745a2b41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 24bb814744, Class:  2, CF:0.981571, Len: 10, Fitness_tra: 0
Rule  5: 71b4412212, Class:  2, CF:0.710769, Len: 10, Fitness_tra: 0
Rule  6: 252bc5442b, Class:  0, CF:0.12188, Len: 10, Fitness_tra: 0
Rule  7: 227221b412, Class:  2, CF:0.734552, Len: 10, Fitness_tra: 0
Rule  8: 42b7262b12, Class:  4, CF:0.99723, Len: 10, Fitness_tra: 0
Rule  9: 44721a27b7, Class:  4, CF:0.998429, Len: 10, Fitness_tra: 0
Rule 10: 227416b222, Class:  4, CF:0.999206, Len: 10, Fitness_tra: 0
Rule 11: 17b74fbbb2, Class:  4, CF:0.999006, Len: 10, Fitness_tra: 0
Rule 12: 4b7481b2b4, Class:  2, CF:0.998714, Len: 10, Fitness_tra: 0
Rule 13: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 7622537112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 7442d31b44, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 7141c3b1b2, Class:  2, CF:0.959661, Len: 10, Fitness_tra: 0
Rule 19: 72228e2477, Class:  2, CF:0.750408, Len: 10, Fitness_tra: 0
Rule 20: 421116b414, Class:  4, CF:0.990117, Len: 10, Fitness_tra: 0
Rule 21: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 4227892774, Class:  2, CF:0.465061, Len: 10, Fitness_tra: 0
Rule 23: 417b814142, Class:  2, CF:0.990022, Len: 10, Fitness_tra: 0
Rule 24: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: b12216427b, Class:  4, CF:0.999406, Len: 10, Fitness_tra: 0
Rule 26: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 2171514227, Class:  2, CF:0.999816, Len: 10, Fitness_tra: 1
Rule 28: 17171ab474, Class:  4, CF:0.973765, Len: 10, Fitness_tra: 0
Rule 29: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1b7b5a1127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 414b16217b, Class:  4, CF:0.994441, Len: 10, Fitness_tra: 0
Rule 32: 747111421b, Class:  2, CF:0.171162, Len: 10, Fitness_tra: 0
Rule 33: 48447e24bb, Class:  0, CF:0.999985, Len: 10, Fitness_tra: 0
Rule 34: b1b21324b7, Class:  4, CF:0.933062, Len: 10, Fitness_tra: 0
Rule 35: 7175f671b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: b4145a1774, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: b417214bb1, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 117255bb22, Class:  1, CF:0.0592611, Len: 10, Fitness_tra: 15
Rule 39: bb71c9241b, Class:  0, CF:0.943155, Len: 10, Fitness_tra: 3
Rule 40: b47bc6bbb7, Class:  2, CF:0.762693, Len: 10, Fitness_tra: 0
Rule 41: 17725a7b74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 2bb42a77b1, Class:  4, CF:0.13715, Len: 10, Fitness_tra: 0
Rule 43: 78714db477, Class:  4, CF:0.932435, Len: 10, Fitness_tra: 0
Rule 44: 2472594247, Class:  2, CF:0.991095, Len: 10, Fitness_tra: 0
Rule 45: 4274412b14, Class:  4, CF:0.285669, Len: 10, Fitness_tra: 0
Rule 46: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 4b2b114b42, Class:  2, CF:0.275937, Len: 10, Fitness_tra: 0
Rule 48: 7247137b27, Class:  4, CF:0.987214, Len: 10, Fitness_tra: 0
Rule 49: 2171d31b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 714726b477, Class:  4, CF:0.998533, Len: 10, Fitness_tra: 0
Rule 51: 2bb4c64177, Class:  2, CF:0.925213, Len: 10, Fitness_tra: 0
Rule 52: 1244132b4b, Class:  4, CF:0.972826, Len: 10, Fitness_tra: 0
Rule 53: 44b721477b, Class:  2, CF:0.451352, Len: 10, Fitness_tra: 0
Rule 54: 4872252144, Class:  4, CF:0.271549, Len: 10, Fitness_tra: 0
Rule 55: 442216b174, Class:  4, CF:0.998718, Len: 10, Fitness_tra: 0
Rule 56: 77bb11b272, Class:  2, CF:0.39933, Len: 10, Fitness_tra: 0
Rule 57: 44271641b2, Class:  4, CF:0.998738, Len: 10, Fitness_tra: 0
Rule 58: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: b724ca227b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 4b475a7221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: b12b194bbb, Class:  0, CF:0.0584671, Len: 10, Fitness_tra: 0
Rule 63: 41115e7724, Class:  2, CF:0.994427, Len: 10, Fitness_tra: -16
Rule 64: b1b4161b2b, Class:  4, CF:0.990127, Len: 10, Fitness_tra: 0
Rule 65: 211413217b, Class:  4, CF:0.708844, Len: 10, Fitness_tra: 0
Rule 66: 1d12457127, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 14b211b74b, Class:  4, CF:0.400708, Len: 10, Fitness_tra: 0
Rule 68: 4127851771, Class:  2, CF:0.945674, Len: 10, Fitness_tra: -147
Rule 69: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 1147164742, Class:  4, CF:0.996909, Len: 10, Fitness_tra: 0
Rule 71: b14b8a1171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 427b81477b, Class:  2, CF:0.914363, Len: 10, Fitness_tra: 0
Rule 73: 14b7212bb4, Class:  4, CF:0.228527, Len: 10, Fitness_tra: 0
Rule 74: 22b7494b4b, Class:  1, CF:0.457488, Len: 10, Fitness_tra: 0
Rule 75: 2c72492224, Class:  2, CF:0.98046, Len: 10, Fitness_tra: 0
Rule 76: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 2247337417, Class:  4, CF:0.435469, Len: 10, Fitness_tra: 0
Rule 79: 4172ca1244, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 224713b777, Class:  4, CF:0.988512, Len: 10, Fitness_tra: 0
Rule 81: 4122231721, Class:  4, CF:0.824816, Len: 10, Fitness_tra: 0
Rule 82: 2c7bf1b717, Class:  4, CF:0.98704, Len: 10, Fitness_tra: 0
Rule 83: 22b28e444b, Class:  2, CF:0.856887, Len: 10, Fitness_tra: 0
Rule 84: 2741231214, Class:  4, CF:0.836452, Len: 10, Fitness_tra: -1
Rule 85: 1944c12711, Class:  1, CF:0.992901, Len: 10, Fitness_tra: 13
Rule 86: 22218a2447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 2414251b2b, Class:  4, CF:0.0410119, Len: 10, Fitness_tra: -22
Rule 88: b117ceb2bb, Class:  0, CF:0.999803, Len: 10, Fitness_tra: 0
Rule 89: 22472124b4, Class:  2, CF:0.296186, Len: 10, Fitness_tra: 0
Rule 90: b741c97712, Class:  2, CF:0.998663, Len: 10, Fitness_tra: 1
Rule 91: 4000313010, Class:  4, CF:0.259752, Len:  5, Fitness_tra: -3392
Rule 92: 2771532b4b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 3bbb1a114b, Class:  4, CF:0.97842, Len: 10, Fitness_tra: 0
Rule 94: 27b2112272, Class:  2, CF:0.399329, Len: 10, Fitness_tra: 0
Rule 95: bb245621b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 414c564722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 442016b110, Class:  4, CF:0.914099, Len:  8, Fitness_tra: 0
Rule 98: 74b28e4477, Class:  2, CF:0.965146, Len: 10, Fitness_tra: 0
Rule 99: 400081470b, Class:  2, CF:0.991847, Len:  6, Fitness_tra: -201
Rule100: b47b214b57, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:97.0528
------Result------
Miss_rate(tra)	:97.0528
Miss_rate(tst)	:96.5297
ARL				:9.84058

------Generation 1------
Rule  1: 4271312414, Class:  2, CF:0.116097, Len: 10, Fitness_tra: 0
Rule  2: b12481b222, Class:  2, CF:0.998061, Len: 10, Fitness_tra: 1
Rule  3: bb745a2b41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 24bb814744, Class:  2, CF:0.981571, Len: 10, Fitness_tra: 0
Rule  5: 71b4412212, Class:  2, CF:0.710769, Len: 10, Fitness_tra: 0
Rule  6: 252bc5442b, Class:  0, CF:0.12188, Len: 10, Fitness_tra: 0
Rule  7: 227221b412, Class:  2, CF:0.734552, Len: 10, Fitness_tra: 0
Rule  8: 42b7262b12, Class:  4, CF:0.99723, Len: 10, Fitness_tra: 0
Rule  9: 44721a27b7, Class:  4, CF:0.998429, Len: 10, Fitness_tra: 0
Rule 10: 227416b222, Class:  4, CF:0.999206, Len: 10, Fitness_tra: 0
Rule 11: 17b74fbbb2, Class:  4, CF:0.999006, Len: 10, Fitness_tra: 0
Rule 12: 4b7481b2b4, Class:  2, CF:0.998714, Len: 10, Fitness_tra: 0
Rule 13: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 7622537112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 7442d31b44, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 7141c3b1b2, Class:  2, CF:0.959661, Len: 10, Fitness_tra: 0
Rule 19: 72228e2477, Class:  2, CF:0.750408, Len: 10, Fitness_tra: 0
Rule 20: 421116b414, Class:  4, CF:0.990117, Len: 10, Fitness_tra: 0
Rule 21: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 4227892774, Class:  2, CF:0.465061, Len: 10, Fitness_tra: 0
Rule 23: 417b814142, Class:  2, CF:0.990022, Len: 10, Fitness_tra: 0
Rule 24: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: b12216427b, Class:  4, CF:0.999406, Len: 10, Fitness_tra: 0
Rule 26: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 2171514227, Class:  2, CF:0.999816, Len: 10, Fitness_tra: 1
Rule 28: 17171ab474, Class:  4, CF:0.973765, Len: 10, Fitness_tra: 0
Rule 29: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1b7b5a1127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 414b16217b, Class:  4, CF:0.994441, Len: 10, Fitness_tra: 0
Rule 32: 747111421b, Class:  2, CF:0.171162, Len: 10, Fitness_tra: 0
Rule 33: 48447e24bb, Class:  0, CF:0.999985, Len: 10, Fitness_tra: 0
Rule 34: b1b21324b7, Class:  4, CF:0.933062, Len: 10, Fitness_tra: 0
Rule 35: 7175f671b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: b4145a1774, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: b417214bb1, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 117255bb22, Class:  1, CF:0.0592611, Len: 10, Fitness_tra: 15
Rule 39: bb71c9241b, Class:  0, CF:0.943155, Len: 10, Fitness_tra: 3
Rule 40: b47bc6bbb7, Class:  2, CF:0.762693, Len: 10, Fitness_tra: 0
Rule 41: 17725a7b74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 2bb42a77b1, Class:  4, CF:0.13715, Len: 10, Fitness_tra: 0
Rule 43: 78714db477, Class:  4, CF:0.932435, Len: 10, Fitness_tra: 0
Rule 44: 2472594247, Class:  2, CF:0.991095, Len: 10, Fitness_tra: 0
Rule 45: 4274412b14, Class:  4, CF:0.285669, Len: 10, Fitness_tra: 0
Rule 46: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 4b2b114b42, Class:  2, CF:0.275937, Len: 10, Fitness_tra: 0
Rule 48: 7247137b27, Class:  4, CF:0.987214, Len: 10, Fitness_tra: 0
Rule 49: 2171d31b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 714726b477, Class:  4, CF:0.998533, Len: 10, Fitness_tra: 0
Rule 51: 2bb4c64177, Class:  2, CF:0.925213, Len: 10, Fitness_tra: 0
Rule 52: 1244132b4b, Class:  4, CF:0.972826, Len: 10, Fitness_tra: 0
Rule 53: 44b721477b, Class:  2, CF:0.451352, Len: 10, Fitness_tra: 0
Rule 54: 4872252144, Class:  4, CF:0.271549, Len: 10, Fitness_tra: 0
Rule 55: 442216b174, Class:  4, CF:0.998718, Len: 10, Fitness_tra: 0
Rule 56: 77bb11b272, Class:  2, CF:0.39933, Len: 10, Fitness_tra: 0
Rule 57: 44271641b2, Class:  4, CF:0.998738, Len: 10, Fitness_tra: 0
Rule 58: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: b724ca227b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 4b475a7221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: b12b194bbb, Class:  0, CF:0.0584671, Len: 10, Fitness_tra: 0
Rule 63: 41115e7724, Class:  2, CF:0.994427, Len: 10, Fitness_tra: -16
Rule 64: b1b4161b2b, Class:  4, CF:0.990127, Len: 10, Fitness_tra: 0
Rule 65: 211413217b, Class:  4, CF:0.708844, Len: 10, Fitness_tra: 0
Rule 66: 1d12457127, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 14b211b74b, Class:  4, CF:0.400708, Len: 10, Fitness_tra: 0
Rule 68: 4127851771, Class:  2, CF:0.945674, Len: 10, Fitness_tra: -147
Rule 69: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 1147164742, Class:  4, CF:0.996909, Len: 10, Fitness_tra: 0
Rule 71: b14b8a1171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 427b81477b, Class:  2, CF:0.914363, Len: 10, Fitness_tra: 0
Rule 73: 14b7212bb4, Class:  4, CF:0.228527, Len: 10, Fitness_tra: 0
Rule 74: 22b7494b4b, Class:  1, CF:0.457488, Len: 10, Fitness_tra: 0
Rule 75: 2c72492224, Class:  2, CF:0.98046, Len: 10, Fitness_tra: 0
Rule 76: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 2247337417, Class:  4, CF:0.435469, Len: 10, Fitness_tra: 0
Rule 79: 4172ca1244, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 224713b777, Class:  4, CF:0.988512, Len: 10, Fitness_tra: 0
Rule 81: 4122231721, Class:  4, CF:0.824816, Len: 10, Fitness_tra: 0
Rule 82: 2c7bf1b717, Class:  4, CF:0.98704, Len: 10, Fitness_tra: 0
Rule 83: 22b28e444b, Class:  2, CF:0.856887, Len: 10, Fitness_tra: 0
Rule 84: 2741231214, Class:  4, CF:0.836452, Len: 10, Fitness_tra: -1
Rule 85: 1944c12711, Class:  1, CF:0.992901, Len: 10, Fitness_tra: 13
Rule 86: 22218a2447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 2414251b2b, Class:  4, CF:0.0410119, Len: 10, Fitness_tra: -22
Rule 88: b117ceb2bb, Class:  0, CF:0.999803, Len: 10, Fitness_tra: 0
Rule 89: 22472124b4, Class:  2, CF:0.296186, Len: 10, Fitness_tra: 0
Rule 90: b741c97712, Class:  2, CF:0.998663, Len: 10, Fitness_tra: 1
Rule 91: 4000313010, Class:  4, CF:0.259752, Len:  5, Fitness_tra: -3392
Rule 92: 2771532b4b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 3bbb1a114b, Class:  4, CF:0.97842, Len: 10, Fitness_tra: 0
Rule 94: 27b2112272, Class:  2, CF:0.399329, Len: 10, Fitness_tra: 0
Rule 95: bb245621b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 414c564722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 442016b110, Class:  4, CF:0.914099, Len:  8, Fitness_tra: 0
Rule 98: 74b28e4477, Class:  2, CF:0.965146, Len: 10, Fitness_tra: 0
Rule 99: 400081470b, Class:  2, CF:0.991847, Len:  6, Fitness_tra: -201
Rule100: b47b214b57, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:97.0528
------Result------
Miss_rate(tra)	:97.0528
Miss_rate(tst)	:96.5297
ARL				:9.84058

------Generation 2------
Rule  1: 117255bb22, Class:  1, CF:0.0592611, Len: 10, Fitness_tra: 0
Rule  2: 1944c12711, Class:  1, CF:0.992901, Len: 10, Fitness_tra: 30
Rule  3: bb71c9241b, Class:  0, CF:0.943155, Len: 10, Fitness_tra: -1
Rule  4: b741c97712, Class:  2, CF:0.998663, Len: 10, Fitness_tra: 2
Rule  5: 2171514227, Class:  2, CF:0.999816, Len: 10, Fitness_tra: 0
Rule  6: b12481b222, Class:  2, CF:0.998061, Len: 10, Fitness_tra: 1
Rule  7: 4271312414, Class:  2, CF:0.116097, Len: 10, Fitness_tra: 1
Rule  8: 42b7262b12, Class:  4, CF:0.99723, Len: 10, Fitness_tra: 0
Rule  9: 44721a27b7, Class:  4, CF:0.998429, Len: 10, Fitness_tra: 0
Rule 10: 227416b222, Class:  4, CF:0.999206, Len: 10, Fitness_tra: 0
Rule 11: 17b74fbbb2, Class:  4, CF:0.999006, Len: 10, Fitness_tra: 0
Rule 12: 4b7481b2b4, Class:  2, CF:0.998714, Len: 10, Fitness_tra: 0
Rule 13: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 7622537112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
