------Generation 0------
Rule  1: 7471c91472, Class:  2, CF:0.998633, Len: 10, Fitness_tra: -36
Rule 24: 15b7812172, Class:  1, CF:0.616227, Len: 10, Fitness_tra: 0
Rule 25: 11222327b2, Class:  4, CF:0.870425, Len: 10, Fitness_tra: 0
Rule 26: 44b7862b77, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: b22b26b424, Class:  4, CF:0.999928, Len: 10, Fitness_tra: 0
Rule 28: 7bbb1e4417, Class:  2, CF:0.997918, Len: 10, Fitness_tra: 0
Rule 29: 124b454717, Class:  1, CF:0.0325384, Len: 10, Fitness_tra: 43
Rule 30: 71121f11b4, Class:  4, CF:0.890969, Len: 10, Fitness_tra: 0
Rule 31: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1142112b44, Class:  4, CF:0.623542, Len: 10, Fitness_tra: 0
Rule 33: 1714117b11, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 4721237bb1, Class:  4, CF:0.897579, Len: 10, Fitness_tra: 0
Rule 35: 47b7261111, Class:  4, CF:0.83579, Len: 10, Fitness_tra: -23
Rule 36: 414471b277, Class:  2, CF:0.331314, Len: 10, Fitness_tra: 0
Rule 37: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 4171864411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 2422ca2127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: b5b24d7b44, Class:  4, CF:0.488238, Len: 10, Fitness_tra: 0
Rule 41: 1224812bb2, Class:  1, CF:0.17421, Len: 10, Fitness_tra: 0
Rule 42: b2428621b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: b111c97421, Class:  2, CF:0.995912, Len: 10, Fitness_tra: -1210
Rule 44: 71448d274b, Class:  2, CF:0.988044, Len: 10, Fitness_tra: 0
Rule 45: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 27475a4b21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 21242371bb, Class:  4, CF:0.861395, Len: 10, Fitness_tra: 0
Rule 48: 2c421121bb, Class:  4, CF:0.931818, Len: 10, Fitness_tra: 0
Rule 49: 74bb534411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1bb2cd1b77, Class:  2, CF:0.976735, Len: 10, Fitness_tra: -204
Rule 51: b1b449b271, Class:  2, CF:0.980318, Len: 10, Fitness_tra: 0
Rule 52: 41b253b772, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 427bc31147, Class:  2, CF:0.997256, Len: 10, Fitness_tra: 0
Rule 54: 4b71134217, Class:  4, CF:0.899191, Len: 10, Fitness_tra: 0
Rule 55: b414ce7b47, Class:  2, CF:0.801533, Len: 10, Fitness_tra: 0
Rule 56: 21bb212272, Class:  2, CF:0.808606, Len: 10, Fitness_tra: 0
Rule 57: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1d72c91772, Class:  0, CF:0.996023, Len: 10, Fitness_tra: 13
Rule 59: 71112621b4, Class:  4, CF:0.940138, Len: 10, Fitness_tra: 0
Rule 60: b742c3bbb1, Class:  2, CF:0.812179, Len: 10, Fitness_tra: 0
Rule 61: 42b2292722, Class:  2, CF:0.720081, Len: 10, Fitness_tra: 0
Rule 62: b21113b7b4, Class:  4, CF:0.969737, Len: 10, Fitness_tra: 1
Rule 63: bb245e7b22, Class:  0, CF:0.981709, Len: 10, Fitness_tra: 0
Rule 64: 4b42111444, Class:  2, CF:0.837161, Len: 10, Fitness_tra: 0
Rule 65: b2128174bb, Class:  2, CF:0.777612, Len: 10, Fitness_tra: 0
Rule 66: 1411512421, Class:  2, CF:0.942243, Len: 10, Fitness_tra: -29
Rule 67: 2cbb132111, Class:  4, CF:0.448332, Len: 10, Fitness_tra: 0
Rule 68: 4c74294b74, Class:  2, CF:0.0404487, Len: 10, Fitness_tra: 0
Rule 69: 71271127b4, Class:  4, CF:0.526292, Len: 10, Fitness_tra: 0
Rule 70: 2124151bbb, Class:  4, CF:0.445426, Len: 10, Fitness_tra: -51
Rule 71: 45722e4bb2, Class:  1, CF:0.830073, Len: 10, Fitness_tra: 0
Rule 72: 2d422e2b12, Class:  1, CF:0.65285, Len: 10, Fitness_tra: 0
Rule 73: 24725f1114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 21bb131b11, Class:  4, CF:0.769326, Len: 10, Fitness_tra: -106
Rule 75: bb27867127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 111451211b, Class:  1, CF:0.382974, Len: 10, Fitness_tra: -75
Rule 77: 4142c12224, Class:  2, CF:0.998836, Len: 10, Fitness_tra: 1
Rule 78: 212b561472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 414bcd4b72, Class:  2, CF:0.930275, Len: 10, Fitness_tra: 0
Rule 80: 727bc31b22, Class:  2, CF:0.834271, Len: 10, Fitness_tra: 0
Rule 81: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 21712e77b1, Class:  2, CF:0.960198, Len: 10, Fitness_tra: -53
Rule 83: 274721b2b2, Class:  2, CF:0.554742, Len: 10, Fitness_tra: 0
Rule 84: 12712f1411, Class:  4, CF:0.986529, Len: 10, Fitness_tra: 1
Rule 85: 44b4132721, Class:  4, CF:0.973543, Len: 10, Fitness_tra: 0
Rule 86: 1117c12b18, Class:  2, CF:0.998396, Len: 10, Fitness_tra: 0
Rule 87: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: bbbb5374bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 21115e2217, Class:  2, CF:0.996949, Len: 10, Fitness_tra: -5
Rule 90: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: b1bb137141, Class:  4, CF:0.717952, Len: 10, Fitness_tra: 0
Rule 92: bc12114112, Class:  4, CF:0.395507, Len: 10, Fitness_tra: -3
Rule 93: 47413a2227, Class:  4, CF:0.999855, Len: 10, Fitness_tra: 0
Rule 94: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 41178eb4bb, Class:  2, CF:0.732883, Len: 10, Fitness_tra: 0
Rule 96: b8b2c111b2, Class:  4, CF:0.498493, Len: 10, Fitness_tra: -51
Rule 97: 151b837b44, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 98: 1d24414711, Class:  1, CF:0.703374, Len: 10, Fitness_tra: 11
Rule 99: 77142172bb, Class:  2, CF:0.721961, Len: 10, Fitness_tra: 0
Rule100: b227214422, Class:  2, CF:0.982474, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:95.4078
------Result------
Miss_rate(tra)	:95.4078
Miss_rate(tst)	:95.6164
ARL				:10

------Generation 0------
Rule  1: 124b454717, Class:  1, CF:0.0325384, Len: 10, Fitness_tra: 39
Rule  2: 122bc311b1, Class:  1, CF:0.452106, Len: 10, Fitness_tra: -11
Rule  3: 1d72c91772, Class:  0, CF:0.996023, Len: 10, Fitness_tra: 14
Rule  4: 1d24414711, Class:  1, CF:0.703374, Len: 10, Fitness_tra: -129
Rule  5: 71b113b7b7, Class:  4, CF:0.973165, Len: 10, Fitness_tra: 4
Rule  6: b21113b7b4, Class:  4, CF:0.969737, Len: 10, Fitness_tra: -27
Rule  7: 4142c12224, Class:  2, CF:0.998836, Len: 10, Fitness_tra: 0
Rule  8: 12712f1411, Class:  4, CF:0.986529, Len: 10, Fitness_tra: -3
Rule  9: b227214422, Class:  2, CF:0.982474, Len: 10, Fitness_tra: 0
Rule 10: b1bb1142b7, Class:  4, CF:0.0613781, Len: 10, Fitness_tra: 0
Rule 11: b271492b2b, Class:  1, CF:0.226279, Len: 10, Fitness_tra: 0
Rule 12: bbb4861724, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 7b71d61427, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: b2b721b714, Class:  2, CF:0.322899, Len: 10, Fitness_tra: 0
Rule 16: b4b129bbb2, Class:  1, CF:0.244078, Len: 10, Fitness_tra: 0
Rule 17: 44bbc97bb7, Class:  0, CF:0.996228, Len: 10, Fitness_tra: 0
Rule 18: 4214537b24, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 4542114172, Class:  4, CF:0.687194, Len: 10, Fitness_tra: 0
Rule 21: b447212211, Class:  2, CF:0.366861, Len: 10, Fitness_tra: -13
Rule 22: 15b7812172, Class:  1, CF:0.616227, Len: 10, Fitness_tra: 0
Rule 23: 11222327b2, Class:  4, CF:0.870425, Len: 10, Fitness_tra: 0
Rule 24: 44b7862b77, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: b22b26b424, Class:  4, CF:0.999928, Len: 10, Fitness_tra: 0
Rule 26: 7bbb1e4417, Class:  2, CF:0.997918, Len: 10, Fitness_tra: 0
Rule 27: 1c22267117, Class:  4, CF:0.967872, Len: 10, Fitness_tra: 0
Rule 28: 71121f11b4, Class:  4, CF:0.890969, Len: 10, Fitness_tra: 0
Rule 29: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1142112b44, Class:  4, CF:0.623542, Len: 10, Fitness_tra: 0
Rule 31: 1714117b11, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 4721237bb1, Class:  4, CF:0.897579, Len: 10, Fitness_tra: -5
Rule 33: 77142172bb, Class:  2, CF:0.721961, Len: 10, Fitness_tra: 0
Rule 34: 414471b277, Class:  2, CF:0.331314, Len: 10, Fitness_tra: 0
Rule 35: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 4171864411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2422ca2127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b5b24d7b44, Class:  4, CF:0.488238, Len: 10, Fitness_tra: 0
Rule 39: 1224812bb2, Class:  1, CF:0.17421, Len: 10, Fitness_tra: 0
Rule 40: b2428621b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 71448d274b, Class:  2, CF:0.988044, Len: 10, Fitness_tra: 0
Rule 42: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 27475a4b21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 21242371bb, Class:  4, CF:0.861395, Len: 10, Fitness_tra: -1
Rule 45: 2c421121bb, Class:  4, CF:0.931818, Len: 10, Fitness_tra: 0
Rule 46: 74bb534411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: b1b449b271, Class:  2, CF:0.980318, Len: 10, Fitness_tra: 0
Rule 48: 41b253b772, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 427bc31147, Class:  2, CF:0.997256, Len: 10, Fitness_tra: 2
Rule 50: 4b71134217, Class:  4, CF:0.899191, Len: 10, Fitness_tra: 0
Rule 51: b414ce7b47, Class:  2, CF:0.801533, Len: 10, Fitness_tra: 0
Rule 52: 21bb212272, Class:  2, CF:0.808606, Len: 10, Fitness_tra: 0
Rule 53: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 4b428311b2, Class:  2, CF:0.971388, Len: 10, Fitness_tra: 0
Rule 55: 71112621b4, Class:  4, CF:0.940138, Len: 10, Fitness_tra: 4
Rule 56: b742c3bbb1, Class:  2, CF:0.812179, Len: 10, Fitness_tra: 0
Rule 57: 42b2292722, Class:  2, CF:0.720081, Len: 10, Fitness_tra: 0
Rule 58: bb245e7b22, Class:  0, CF:0.981709, Len: 10, Fitness_tra: 0
Rule 59: 4b42111444, Class:  2, CF:0.837161, Len: 10, Fitness_tra: -430
Rule 60: b2128174bb, Class:  2, CF:0.777612, Len: 10, Fitness_tra: 0
Rule 61: 2cbb132111, Class:  4, CF:0.448332, Len: 10, Fitness_tra: -11
Rule 62: 4c74294b74, Class:  2, CF:0.0404487, Len: 10, Fitness_tra: 0
Rule 63: 71271127b4, Class:  4, CF:0.526292, Len: 10, Fitness_tra: 0
Rule 64: 45722e4bb2, Class:  1, CF:0.830073, Len: 10, Fitness_tra: 0
Rule 65: 2d422e2b12, Class:  1, CF:0.65285, Len: 10, Fitness_tra: 0
Rule 66: 24725f1114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: bb27867127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 27218a4414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 212b561472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 414bcd4b72, Class:  2, CF:0.930275, Len: 10, Fitness_tra: 0
Rule 71: 727bc31b22, Class:  2, CF:0.834271, Len: 10, Fitness_tra: 0
Rule 72: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 274721b2b2, Class:  2, CF:0.554742, Len: 10, Fitness_tra: 0
Rule 74: 4d72784141, Class:  2, CF:0.4269, Len: 10, Fitness_tra: 0
Rule 75: 44b4132721, Class:  4, CF:0.973543, Len: 10, Fitness_tra: 0
Rule 76: 1117c12b18, Class:  2, CF:0.998396, Len: 10, Fitness_tra: 0
Rule 77: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: bbbb5374bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 277b864142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 111213b214, Class:  4, CF:0.251274, Len: 10, Fitness_tra: -61
Rule 82: b147114221, Class:  2, CF:0.725204, Len: 10, Fitness_tra: 2
Rule 83: 2b2b19bb72, Class:  2, CF:0.997075, Len: 10, Fitness_tra: 0
Rule 84: 4cb4861741, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 42711e1121, Class:  2, CF:0.964579, Len: 10, Fitness_tra: -2298
Rule 86: 1b27134b1b, Class:  4, CF:0.445488, Len: 10, Fitness_tra: 0
Rule 87: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 27741327b1, Class:  4, CF:0.961225, Len: 10, Fitness_tra: 0
Rule 89: 717411b42b, Class:  2, CF:0.317131, Len: 10, Fitness_tra: 0
Rule 90: b121232427, Class:  4, CF:0.240576, Len: 10, Fitness_tra: 0
Rule 91: 151b531b74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: b4372b2211, Class:  2, CF:0.0394788, Len: 10, Fitness_tra: -2
Rule 93: ac428ebbbb, Class:  1, CF:0.474097, Len: 10, Fitness_tra: 9
Rule 94: bb70001c00, Class:  2, CF:0.962037, Len:  5, Fitness_tra: 3
Rule 95: b1bb4d7144, Class:  2, CF:0.843616, Len: 10, Fitness_tra: -644
Rule 96: b2428c21b2, Class:  2, CF:0.896127, Len: 10, Fitness_tra: 0
Rule 97: 44bb861b77, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 2022c020d7, Class:  2, CF:  1, Len:  7, Fitness_tra: 0
Rule 99: 724bc6b422, Class:  2, CF:0.745943, Len: 10, Fitness_tra: 0
Rule100: 00000000a0, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:95.5677
------Result------
Miss_rate(tra)	:95.5677
Miss_rate(tst)	:95.4338
ARL				:9.88406

------Generation 1------
Rule  1: 124b454717, Class:  1, CF:0.0325384, Len: 10, Fitness_tra: 39
Rule  2: 122bc311b1, Class:  1, CF:0.452106, Len: 10, Fitness_tra: -11
Rule  3: 1d72c91772, Class:  0, CF:0.996023, Len: 10, Fitness_tra: 14
Rule  4: 1d24414711, Class:  1, CF:0.703374, Len: 10, Fitness_tra: -129
Rule  5: 71b113b7b7, Class:  4, CF:0.973165, Len: 10, Fitness_tra: 4
Rule  6: b21113b7b4, Class:  4, CF:0.969737, Len: 10, Fitness_tra: -27
Rule  7: 4142c12224, Class:  2, CF:0.998836, Len: 10, Fitness_tra: 0
Rule  8: 12712f1411, Class:  4, CF:0.986529, Len: 10, Fitness_tra: -3
Rule  9: b227214422, Class:  2, CF:0.982474, Len: 10, Fitness_tra: 0
Rule 10: b1bb1142b7, Class:  4, CF:0.0613781, Len: 10, Fitness_tra: 0
Rule 11: b271492b2b, Class:  1, CF:0.226279, Len: 10, Fitness_tra: 0
Rule 12: bbb4861724, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 7b71d61427, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: b2b721b714, Class:  2, CF:0.322899, Len: 10, Fitness_tra: 0
Rule 16: b4b129bbb2, Class:  1, CF:0.244078, Len: 10, Fitness_tra: 0
Rule 17: 44bbc97bb7, Class:  0, CF:0.996228, Len: 10, Fitness_tra: 0
Rule 18: 4214537b24, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 4542114172, Class:  4, CF:0.687194, Len: 10, Fitness_tra: 0
Rule 21: b447212211, Class:  2, CF:0.366861, Len: 10, Fitness_tra: -13
Rule 22: 15b7812172, Class:  1, CF:0.616227, Len: 10, Fitness_tra: 0
Rule 23: 11222327b2, Class:  4, CF:0.870425, Len: 10, Fitness_tra: 0
Rule 24: 44b7862b77, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: b22b26b424, Class:  4, CF:0.999928, Len: 10, Fitness_tra: 0
Rule 26: 7bbb1e4417, Class:  2, CF:0.997918, Len: 10, Fitness_tra: 0
Rule 27: 1c22267117, Class:  4, CF:0.967872, Len: 10, Fitness_tra: 0
Rule 28: 71121f11b4, Class:  4, CF:0.890969, Len: 10, Fitness_tra: 0
Rule 29: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1142112b44, Class:  4, CF:0.623542, Len: 10, Fitness_tra: 0
Rule 31: 1714117b11, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 4721237bb1, Class:  4, CF:0.897579, Len: 10, Fitness_tra: -5
Rule 33: 77142172bb, Class:  2, CF:0.721961, Len: 10, Fitness_tra: 0
Rule 34: 414471b277, Class:  2, CF:0.331314, Len: 10, Fitness_tra: 0
Rule 35: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 4171864411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2422ca2127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b5b24d7b44, Class:  4, CF:0.488238, Len: 10, Fitness_tra: 0
Rule 39: 1224812bb2, Class:  1, CF:0.17421, Len: 10, Fitness_tra: 0
Rule 40: b2428621b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 71448d274b, Class:  2, CF:0.988044, Len: 10, Fitness_tra: 0
Rule 42: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 27475a4b21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 21242371bb, Class:  4, CF:0.861395, Len: 10, Fitness_tra: -1
Rule 45: 2c421121bb, Class:  4, CF:0.931818, Len: 10, Fitness_tra: 0
Rule 46: 74bb534411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: b1b449b271, Class:  2, CF:0.980318, Len: 10, Fitness_tra: 0
Rule 48: 41b253b772, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 427bc31147, Class:  2, CF:0.997256, Len: 10, Fitness_tra: 2
Rule 50: 4b71134217, Class:  4, CF:0.899191, Len: 10, Fitness_tra: 0
Rule 51: b414ce7b47, Class:  2, CF:0.801533, Len: 10, Fitness_tra: 0
Rule 52: 21bb212272, Class:  2, CF:0.808606, Len: 10, Fitness_tra: 0
Rule 53: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 4b428311b2, Class:  2, CF:0.971388, Len: 10, Fitness_tra: 0
Rule 55: 71112621b4, Class:  4, CF:0.940138, Len: 10, Fitness_tra: 4
Rule 56: b742c3bbb1, Class:  2, CF:0.812179, Len: 10, Fitness_tra: 0
Rule 57: 42b2292722, Class:  2, CF:0.720081, Len: 10, Fitness_tra: 0
Rule 58: bb245e7b22, Class:  0, CF:0.981709, Len: 10, Fitness_tra: 0
Rule 59: 4b42111444, Class:  2, CF:0.837161, Len: 10, Fitness_tra: -430
Rule 60: b2128174bb, Class:  2, CF:0.777612, Len: 10, Fitness_tra: 0
Rule 61: 2cbb132111, Class:  4, CF:0.448332, Len: 10, Fitness_tra: -11
Rule 62: 4c74294b74, Class:  2, CF:0.0404487, Len: 10, Fitness_tra: 0
Rule 63: 71271127b4, Class:  4, CF:0.526292, Len: 10, Fitness_tra: 0
Rule 64: 45722e4bb2, Class:  1, CF:0.830073, Len: 10, Fitness_tra: 0
Rule 65: 2d422e2b12, Class:  1, CF:0.65285, Len: 10, Fitness_tra: 0
Rule 66: 24725f1114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: bb27867127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 27218a4414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 212b561472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 414bcd4b72, Class:  2, CF:0.930275, Len: 10, Fitness_tra: 0
Rule 71: 727bc31b22, Class:  2, CF:0.834271, Len: 10, Fitness_tra: 0
Rule 72: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 274721b2b2, Class:  2, CF:0.554742, Len: 10, Fitness_tra: 0
Rule 74: 4d72784141, Class:  2, CF:0.4269, Len: 10, Fitness_tra: 0
Rule 75: 44b4132721, Class:  4, CF:0.973543, Len: 10, Fitness_tra: 0
Rule 76: 1117c12b18, Class:  2, CF:0.998396, Len: 10, Fitness_tra: 0
Rule 77: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: bbbb5374bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 277b864142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 111213b214, Class:  4, CF:0.251274, Len: 10, Fitness_tra: -61
Rule 82: b147114221, Class:  2, CF:0.725204, Len: 10, Fitness_tra: 2
Rule 83: 2b2b19bb72, Class:  2, CF:0.997075, Len: 10, Fitness_tra: 0
Rule 84: 4cb4861741, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 42711e1121, Class:  2, CF:0.964579, Len: 10, Fitness_tra: -2298
Rule 86: 1b27134b1b, Class:  4, CF:0.445488, Len: 10, Fitness_tra: 0
Rule 87: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 27741327b1, Class:  4, CF:0.961225, Len: 10, Fitness_tra: 0
Rule 89: 717411b42b, Class:  2, CF:0.317131, Len: 10, Fitness_tra: 0
Rule 90: b121232427, Class:  4, CF:0.240576, Len: 10, Fitness_tra: 0
Rule 91: 151b531b74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: b4372b2211, Class:  2, CF:0.0394788, Len: 10, Fitness_tra: -2
Rule 93: ac428ebbbb, Class:  1, CF:0.474097, Len: 10, Fitness_tra: 9
Rule 94: bb70001c00, Class:  2, CF:0.962037, Len:  5, Fitness_tra: 3
Rule 95: b1bb4d7144, Class:  2, CF:0.843616, Len: 10, Fitness_tra: -644
Rule 96: b2428c21b2, Class:  2, CF:0.896127, Len: 10, Fitness_tra: 0
Rule 97: 44bb861b77, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 2022c020d7, Class:  2, CF:  1, Len:  7, Fitness_tra: 0
Rule 99: 724bc6b422, Class:  2, CF:0.745943, Len: 10, Fitness_tra: 0
Rule100: 00000000a0, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:95.5677
------Result------
Miss_rate(tra)	:95.5677
Miss_rate(tst)	:95.4338
ARL				:9.88406

------Generation 2------
Rule  1: 124b454717, Class:  1, CF:0.0325384, Len: 10, Fitness_tra: 39
Rule  2: 122bc311b1, Class:  1, CF:0.452106, Len: 10, Fitness_tra: -11
Rule  3: 1d72c91772, Class:  0, CF:0.996023, Len: 10, Fitness_tra: 14
Rule  4: 1d24414711, Class:  1, CF:0.703374, Len: 10, Fitness_tra: -129
Rule  5: 71b113b7b7, Class:  4, CF:0.973165, Len: 10, Fitness_tra: 4
Rule  6: b21113b7b4, Class:  4, CF:0.969737, Len: 10, Fitness_tra: -27
Rule  7: 4142c12224, Class:  2, CF:0.998836, Len: 10, Fitness_tra: 0
Rule  8: 12712f1411, Class:  4, CF:0.986529, Len: 10, Fitness_tra: -3
Rule  9: b227214422, Class:  2, CF:0.982474, Len: 10, Fitness_tra: 0
Rule 10: b1bb1142b7, Class:  4, CF:0.0613781, Len: 10, Fitness_tra: 0
Rule 11: b271492b2b, Class:  1, CF:0.226279, Len: 10, Fitness_tra: 0
Rule 12: bbb4861724, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 7b71d61427, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
