------Generation 0------
Rule  1: 14418e7bb7, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 7221ca1b72, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: b41451b744, Class:  2, CF:0.936191, Len: 10, Fitness_tra: 0
Rule 38: 41471317b2, Class:  4, CF:0.997254, Len: 10, Fitness_tra: 1
Rule 39: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: b114ce4b21, Class:  2, CF:0.894032, Len: 10, Fitness_tra: -1
Rule 41: 77128e2147, Class:  2, CF:0.965698, Len: 10, Fitness_tra: 0
Rule 42: 27b71eb7b2, Class:  2, CF:0.901176, Len: 10, Fitness_tra: 0
Rule 43: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 4db4751b2b, Class:  4, CF:0.828528, Len: 10, Fitness_tra: 0
Rule 45: 41b18117b7, Class:  2, CF:0.997147, Len: 10, Fitness_tra: 2
Rule 46: 7311814174, Class:  2, CF:0.998751, Len: 10, Fitness_tra: -35
Rule 47: 47b18a2b44, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 222b164141, Class:  4, CF:0.991364, Len: 10, Fitness_tra: 0
Rule 49: 1c1b231124, Class:  4, CF:0.824799, Len: 10, Fitness_tra: 0
Rule 50: 1c17292147, Class:  1, CF:0.402479, Len: 10, Fitness_tra: 5
Rule 51: 172413bb17, Class:  4, CF:0.979035, Len: 10, Fitness_tra: 0
Rule 52: b7411e14b1, Class:  2, CF:0.960422, Len: 10, Fitness_tra: -161
Rule 53: 741111141b, Class:  2, CF:0.0759224, Len: 10, Fitness_tra: -2614
Rule 54: bb14cf1277, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 7b7218217b, Class:  2, CF:0.992453, Len: 10, Fitness_tra: 0
Rule 56: 11421141bb, Class:  4, CF:0.569288, Len: 10, Fitness_tra: 0
Rule 57: 114bc1bb21, Class:  2, CF:0.472857, Len: 10, Fitness_tra: 0
Rule 58: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 11b1267221, Class:  4, CF:0.99939, Len: 10, Fitness_tra: 0
Rule 60: 4771d1b212, Class:  2, CF:0.999793, Len: 10, Fitness_tra: 0
Rule 61: bc22511741, Class:  2, CF:0.911439, Len: 10, Fitness_tra: 0
Rule 62: 7c72234471, Class:  4, CF:0.993954, Len: 10, Fitness_tra: 0
Rule 63: b71b191221, Class:  2, CF:0.971477, Len: 10, Fitness_tra: -355
Rule 64: 4774517b24, Class:  2, CF:0.992601, Len: 10, Fitness_tra: 0
Rule 65: b422932142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 41248a2122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 12bb1a1271, Class:  4, CF:0.983376, Len: 10, Fitness_tra: 0
Rule 68: 42b72174b4, Class:  2, CF:0.156797, Len: 10, Fitness_tra: 0
Rule 69: bb41134741, Class:  4, CF:0.990336, Len: 10, Fitness_tra: 0
Rule 70: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: b72b114b14, Class:  4, CF:0.610095, Len: 10, Fitness_tra: 0
Rule 72: 111b217447, Class:  2, CF:0.737077, Len: 10, Fitness_tra: 0
Rule 73: 1222167112, Class:  4, CF:0.969416, Len: 10, Fitness_tra: 0
Rule 74: 7247167b2b, Class:  4, CF:0.99994, Len: 10, Fitness_tra: 0
Rule 75: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 777b11217b, Class:  4, CF:0.222489, Len: 10, Fitness_tra: 0
Rule 77: 0802400000, Class:  1, CF:0.673383, Len:  3, Fitness_tra: -507
Rule 78: 2171cd4b21, Class:  2, CF:0.985448, Len: 10, Fitness_tra: 0
Rule 79: 73422e4b11, Class:  2, CF:0.451053, Len: 10, Fitness_tra: -19
Rule 80: 747bc92b27, Class:  2, CF:0.931487, Len: 10, Fitness_tra: 0
Rule 81: 7212aa141b, Class:  4, CF:0.993765, Len: 10, Fitness_tra: 0
Rule 82: b722c17411, Class:  2, CF:0.96174, Len: 10, Fitness_tra: 0
Rule 83: bbb2154b71, Class:  2, CF:0.977819, Len: 10, Fitness_tra: 0
Rule 84: b71b1dbb72, Class:  2, CF:0.466746, Len: 10, Fitness_tra: 0
Rule 85: 42b139272b, Class:  0, CF:0.542435, Len: 10, Fitness_tra: 0
Rule 86: 752b11244b, Class:  2, CF:0.514113, Len: 10, Fitness_tra: 0
Rule 87: 1712d12bb1, Class:  1, CF:0.424775, Len: 10, Fitness_tra: 1
Rule 88: 42b1112111, Class:  4, CF:0.610476, Len: 10, Fitness_tra: -105
Rule 89: 172b2f2244, Class:  4, CF:0.999813, Len: 10, Fitness_tra: 0
Rule 90: 4222537b44, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 2314534124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 744bc671bb, Class:  0, CF:0.956258, Len: 10, Fitness_tra: 0
Rule 94: 2b745924b7, Class:  2, CF:0.995893, Len: 10, Fitness_tra: 0
Rule 95: 212b4341b4, Class:  4, CF:0.986091, Len: 10, Fitness_tra: 0
Rule 96: 7b2bd94b42, Class:  2, CF:0.957924, Len: 10, Fitness_tra: 0
Rule 97: b741c61442, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 98: 444bd94774, Class:  2, CF:0.867627, Len: 10, Fitness_tra: 0
Rule 99: 7f74152171, Class:  2, CF:0.634395, Len: 10, Fitness_tra: 0
Rule100: 1444212217, Class:  2, CF:0.509167, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:96.7101
------Result------
Miss_rate(tra)	:96.7101
Miss_rate(tst)	:97.0776
ARL				:9.90909

------Generation 0------
Rule  1: 1c17292147, Class:  1, CF:0.402479, Len: 10, Fitness_tra: 11
Rule  2: bb7bc91422, Class:  2, CF:0.999887, Len: 10, Fitness_tra: 0
Rule  3: 41b18117b7, Class:  2, CF:0.997147, Len: 10, Fitness_tra: -7
Rule  4: 1712d12bb1, Class:  1, CF:0.424775, Len: 10, Fitness_tra: 7
Rule  5: 154b554b17, Class:  1, CF:0.923115, Len: 10, Fitness_tra: 1
Rule  6: 41471317b2, Class:  4, CF:0.997254, Len: 10, Fitness_tra: -1
Rule  7: 14418e7bb7, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 214bc121b7, Class:  2, CF:0.916325, Len: 10, Fitness_tra: 0
Rule  9: 7c74212711, Class:  4, CF:0.681337, Len: 10, Fitness_tra: 0
Rule 10: 24b211b124, Class:  2, CF:0.212651, Len: 10, Fitness_tra: 0
Rule 11: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1cb4137142, Class:  4, CF:0.974431, Len: 10, Fitness_tra: 0
Rule 13: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: b721897b74, Class:  2, CF:0.996271, Len: 10, Fitness_tra: 0
Rule 15: 1444212217, Class:  2, CF:0.509167, Len: 10, Fitness_tra: 0
Rule 16: 422b192777, Class:  2, CF:0.301344, Len: 10, Fitness_tra: 0
Rule 17: 74b7512742, Class:  2, CF:0.973157, Len: 10, Fitness_tra: 0
Rule 18: 71171371bb, Class:  4, CF:0.956532, Len: 10, Fitness_tra: -5
Rule 19: 74411e4412, Class:  2, CF:0.998412, Len: 10, Fitness_tra: 1
Rule 20: 174753444b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 21bb152112, Class:  2, CF:0.760989, Len: 10, Fitness_tra: 0
Rule 22: 147b212bb4, Class:  4, CF:0.510283, Len: 10, Fitness_tra: 0
Rule 23: 2841861744, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 7827b874b7, Class:  4, CF:0.974772, Len: 10, Fitness_tra: 0
Rule 25: 24215eb712, Class:  2, CF:0.976725, Len: 10, Fitness_tra: 0
Rule 26: 114156b7b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 27bb937b71, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 2b445114b2, Class:  2, CF:0.999501, Len: 10, Fitness_tra: 0
Rule 30: 71111147b4, Class:  2, CF:0.0422615, Len: 10, Fitness_tra: 0
Rule 31: 7f74152171, Class:  2, CF:0.634395, Len: 10, Fitness_tra: 0
Rule 32: 144b13b2b4, Class:  4, CF:0.99552, Len: 10, Fitness_tra: 0
Rule 33: bc71d62b21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 7c4416bbb1, Class:  4, CF:0.999046, Len: 10, Fitness_tra: 0
Rule 35: 7221ca1b72, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: b41451b744, Class:  2, CF:0.936191, Len: 10, Fitness_tra: 0
Rule 37: 44b7417b74, Class:  4, CF:0.334598, Len: 10, Fitness_tra: 0
Rule 38: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 444bd94774, Class:  2, CF:0.867627, Len: 10, Fitness_tra: 0
Rule 40: 77128e2147, Class:  2, CF:0.965698, Len: 10, Fitness_tra: 0
Rule 41: 27b71eb7b2, Class:  2, CF:0.901176, Len: 10, Fitness_tra: 0
Rule 42: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 4db4751b2b, Class:  4, CF:0.828528, Len: 10, Fitness_tra: 0
Rule 44: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 47b18a2b44, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 222b164141, Class:  4, CF:0.991364, Len: 10, Fitness_tra: 0
Rule 47: 1c1b231124, Class:  4, CF:0.824799, Len: 10, Fitness_tra: -25
Rule 48: 2441214b11, Class:  4, CF:0.446933, Len: 10, Fitness_tra: -4
Rule 49: 172413bb17, Class:  4, CF:0.979035, Len: 10, Fitness_tra: 0
Rule 50: bb14cf1277, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 7b7218217b, Class:  2, CF:0.992453, Len: 10, Fitness_tra: 0
Rule 52: 11421141bb, Class:  4, CF:0.569288, Len: 10, Fitness_tra: 0
Rule 53: 114bc1bb21, Class:  2, CF:0.472857, Len: 10, Fitness_tra: 0
Rule 54: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 11b1267221, Class:  4, CF:0.99939, Len: 10, Fitness_tra: 0
Rule 56: 4771d1b212, Class:  2, CF:0.999793, Len: 10, Fitness_tra: 0
Rule 57: bc22511741, Class:  2, CF:0.911439, Len: 10, Fitness_tra: 0
Rule 58: 7c72234471, Class:  4, CF:0.993954, Len: 10, Fitness_tra: 0
Rule 59: 4774517b24, Class:  2, CF:0.992601, Len: 10, Fitness_tra: 0
Rule 60: b422932142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 41248a2122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 12bb1a1271, Class:  4, CF:0.983376, Len: 10, Fitness_tra: -2
Rule 63: 42b72174b4, Class:  2, CF:0.156797, Len: 10, Fitness_tra: 0
Rule 64: bb41134741, Class:  4, CF:0.990336, Len: 10, Fitness_tra: 0
Rule 65: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: b72b114b14, Class:  4, CF:0.610095, Len: 10, Fitness_tra: 0
Rule 67: 111b217447, Class:  2, CF:0.737077, Len: 10, Fitness_tra: 1
Rule 68: 1222167112, Class:  4, CF:0.969416, Len: 10, Fitness_tra: -2
Rule 69: 7247167b2b, Class:  4, CF:0.99994, Len: 10, Fitness_tra: 0
Rule 70: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 777b11217b, Class:  4, CF:0.222489, Len: 10, Fitness_tra: 0
Rule 72: 2171cd4b21, Class:  2, CF:0.985448, Len: 10, Fitness_tra: 0
Rule 73: 747bc92b27, Class:  2, CF:0.931487, Len: 10, Fitness_tra: 0
Rule 74: 7212aa141b, Class:  4, CF:0.993765, Len: 10, Fitness_tra: 0
Rule 75: b722c17411, Class:  2, CF:0.96174, Len: 10, Fitness_tra: 0
Rule 76: bbb2154b71, Class:  2, CF:0.977819, Len: 10, Fitness_tra: 0
Rule 77: b71b1dbb72, Class:  2, CF:0.466746, Len: 10, Fitness_tra: 0
Rule 78: 42b139272b, Class:  0, CF:0.542435, Len: 10, Fitness_tra: 0
Rule 79: 752b11244b, Class:  2, CF:0.514113, Len: 10, Fitness_tra: 1
Rule 80: 7774d1141b, Class:  2, CF:0.996911, Len: 10, Fitness_tra: 0
Rule 81: 42b1134b41, Class:  4, CF:0.996308, Len: 10, Fitness_tra: 0
Rule 82: 4b1b1d7427, Class:  2, CF:0.997676, Len: 10, Fitness_tra: 0
Rule 83: b441164227, Class:  4, CF:0.999964, Len: 10, Fitness_tra: 0
Rule 84: b5b1c94b22, Class:  0, CF:0.995668, Len: 10, Fitness_tra: 0
Rule 85: 1221132bb1, Class:  4, CF:0.994942, Len: 10, Fitness_tra: -3
Rule 86: 422b89b741, Class:  2, CF:0.338052, Len: 10, Fitness_tra: 0
Rule 87: 41212e4171, Class:  2, CF:0.991011, Len: 10, Fitness_tra: -127
Rule 88: 1144157b4b, Class:  4, CF:0.270914, Len: 10, Fitness_tra: -15
Rule 89: 41441614b1, Class:  4, CF:0.998368, Len: 10, Fitness_tra: -2
Rule 90: 111baa1bb7, Class:  4, CF:0.988336, Len: 10, Fitness_tra: 7
Rule 91: 1174282b24, Class:  2, CF:0.159807, Len: 10, Fitness_tra: 0
Rule 92: 7c74212710, Class:  4, CF:0.617299, Len:  9, Fitness_tra: 0
Rule 93: 0c01060020, Class:  4, CF:0.89111, Len:  4, Fitness_tra: -13
Rule 94: 00b0781420, Class:  2, CF:0.75394, Len:  6, Fitness_tra: -2237
Rule 95: 00a0208040, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule 96: 17b713b742, Class:  4, CF:0.991785, Len: 10, Fitness_tra: 0
Rule 97: 7412212417, Class:  2, CF:0.573943, Len: 10, Fitness_tra: 0
Rule 98: 72b139a11b, Class:  4, CF:0.724501, Len: 10, Fitness_tra: -1585
Rule 99: 41b12173b4, Class:  2, CF:0.276558, Len: 10, Fitness_tra: 0
Rule100: 4fb4152141, Class:  2, CF:0.634395, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:97.8753
------Result------
Miss_rate(tra)	:97.8753
Miss_rate(tst)	:97.8995
ARL				:9.7875

------Generation 1------
Rule  1: 1c17292147, Class:  1, CF:0.402479, Len: 10, Fitness_tra: 0
Rule  2: 111baa1bb7, Class:  4, CF:0.988336, Len: 10, Fitness_tra: -6
Rule  3: 1712d12bb1, Class:  1, CF:0.424775, Len: 10, Fitness_tra: 0
Rule  4: 154b554b17, Class:  1, CF:0.923115, Len: 10, Fitness_tra: 0
Rule  5: 74411e4412, Class:  2, CF:0.998412, Len: 10, Fitness_tra: -1
Rule  6: 111b217447, Class:  2, CF:0.737077, Len: 10, Fitness_tra: -517
Rule  7: 752b11244b, Class:  2, CF:0.514113, Len: 10, Fitness_tra: 0
Rule  8: bb7bc91422, Class:  2, CF:0.999887, Len: 10, Fitness_tra: -12
Rule  9: 7c74212711, Class:  4, CF:0.681337, Len: 10, Fitness_tra: 0
Rule 10: 24b211b124, Class:  2, CF:0.212651, Len: 10, Fitness_tra: 0
Rule 11: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1cb4137142, Class:  4, CF:0.974431, Len: 10, Fitness_tra: -2
Rule 13: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: b721897b74, Class:  2, CF:0.996271, Len: 10, Fitness_tra: 0
Rule 15: 1444212217, Class:  2, CF:0.509167, Len: 10, Fitness_tra: 0
Rule 16: 422b192777, Class:  2, CF:0.301344, Len: 10, Fitness_tra: 0
Rule 17: 74b7512742, Class:  2, CF:0.973157, Len: 10, Fitness_tra: 0
Rule 18: 4fb4152141, Class:  2, CF:0.634395, Len: 10, Fitness_tra: 0
Rule 19: 174753444b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 21bb152112, Class:  2, CF:0.760989, Len: 10, Fitness_tra: -687
Rule 21: 147b212bb4, Class:  4, CF:0.510283, Len: 10, Fitness_tra: 0
Rule 22: 2841861744, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 7827b874b7, Class:  4, CF:0.974772, Len: 10, Fitness_tra: 0
Rule 24: 24215eb712, Class:  2, CF:0.976725, Len: 10, Fitness_tra: 0
Rule 25: 114156b7b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 27bb937b71, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 2b445114b2, Class:  2, CF:0.999501, Len: 10, Fitness_tra: 0
Rule 29: 71111147b4, Class:  2, CF:0.0422615, Len: 10, Fitness_tra: 0
Rule 30: 7f74152171, Class:  2, CF:0.634395, Len: 10, Fitness_tra: -157
Rule 31: 144b13b2b4, Class:  4, CF:0.99552, Len: 10, Fitness_tra: 0
Rule 32: bc71d62b21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 7c4416bbb1, Class:  4, CF:0.999046, Len: 10, Fitness_tra: 0
Rule 34: 7221ca1b72, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: b41451b744, Class:  2, CF:0.936191, Len: 10, Fitness_tra: 0
Rule 36: 44b7417b74, Class:  4, CF:0.334598, Len: 10, Fitness_tra: 0
Rule 37: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 444bd94774, Class:  2, CF:0.867627, Len: 10, Fitness_tra: 0
Rule 39: 77128e2147, Class:  2, CF:0.965698, Len: 10, Fitness_tra: 0
Rule 40: 27b71eb7b2, Class:  2, CF:0.901176, Len: 10, Fitness_tra: 0
Rule 41: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 4db4751b2b, Class:  4, CF:0.828528, Len: 10, Fitness_tra: -108
Rule 43: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 47b18a2b44, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 222b164141, Class:  4, CF:0.991364, Len: 10, Fitness_tra: 0
Rule 46: 41b12173b4, Class:  2, CF:0.276558, Len: 10, Fitness_tra: -54
Rule 47: 172413bb17, Class:  4, CF:0.979035, Len: 10, Fitness_tra: -2
Rule 48: bb14cf1277, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 7b7218217b, Class:  2, CF:0.992453, Len: 10, Fitness_tra: 0
Rule 50: 11421141bb, Class:  4, CF:0.569288, Len: 10, Fitness_tra: -567
Rule 51: 114bc1bb21, Class:  2, CF:0.472857, Len: 10, Fitness_tra: -2
Rule 52: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 11b1267221, Class:  4, CF:0.99939, Len: 10, Fitness_tra: -2
Rule 54: 4771d1b212, Class:  2, CF:0.999793, Len: 10, Fitness_tra: 0
Rule 55: bc22511741, Class:  2, CF:0.911439, Len: 10, Fitness_tra: 0
Rule 56: 7c72234471, Class:  4, CF:0.993954, Len: 10, Fitness_tra: 0
Rule 57: 4774517b24, Class:  2, CF:0.992601, Len: 10, Fitness_tra: 0
Rule 58: b422932142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 41248a2122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 7412212417, Class:  2, CF:0.573943, Len: 10, Fitness_tra: 0
Rule 61: 42b72174b4, Class:  2, CF:0.156797, Len: 10, Fitness_tra: 0
Rule 62: bb41134741, Class:  4, CF:0.990336, Len: 10, Fitness_tra: 2
Rule 63: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: b72b114b14, Class:  4, CF:0.610095, Len: 10, Fitness_tra: 0
Rule 65: 17b713b742, Class:  4, CF:0.991785, Len: 10, Fitness_tra: 0
Rule 66: 7247167b2b, Class:  4, CF:0.99994, Len: 10, Fitness_tra: 0
Rule 67: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 777b11217b, Class:  4, CF:0.222489, Len: 10, Fitness_tra: 0
Rule 69: 2171cd4b21, Class:  2, CF:0.985448, Len: 10, Fitness_tra: 0
Rule 70: 747bc92b27, Class:  2, CF:0.931487, Len: 10, Fitness_tra: 0
Rule 71: 7212aa141b, Class:  4, CF:0.993765, Len: 10, Fitness_tra: 0
Rule 72: b722c17411, Class:  2, CF:0.96174, Len: 10, Fitness_tra: 0
Rule 73: bbb2154b71, Class:  2, CF:0.977819, Len: 10, Fitness_tra: 0
Rule 74: b71b1dbb72, Class:  2, CF:0.466746, Len: 10, Fitness_tra: 0
Rule 75: 42b139272b, Class:  0, CF:0.542435, Len: 10, Fitness_tra: 0
Rule 76: 14418e7bb7, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 7774d1141b, Class:  2, CF:0.996911, Len: 10, Fitness_tra: 0
Rule 78: 42b1134b41, Class:  4, CF:0.996308, Len: 10, Fitness_tra: 0
Rule 79: 4b1b1d7427, Class:  2, CF:0.997676, Len: 10, Fitness_tra: 0
Rule 80: b441164227, Class:  4, CF:0.999964, Len: 10, Fitness_tra: 0
Rule 81: 11221f472b, Class:  4, CF:0.999008, Len: 10, Fitness_tra: 0
Rule 82: 7b14867771, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 44b129bbb1, Class:  1, CF:0.0967799, Len: 10, Fitness_tra: 0
Rule 84: 7c7b254471, Class:  2, CF:0.437764, Len: 10, Fitness_tra: 0
Rule 85: 711123b74b, Class:  4, CF:0.979416, Len: 10, Fitness_tra: -7
Rule 86: 41721a447b, Class:  4, CF:0.999834, Len: 10, Fitness_tra: 0
Rule 87: b17b561bb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 4422184711, Class:  2, CF:0.433977, Len: 10, Fitness_tra: 0
Rule 89: 21171a1717, Class:  4, CF:0.960578, Len: 10, Fitness_tra: 2
Rule 90: 29b28d4142, Class:  1, CF:0.895642, Len: 10, Fitness_tra: 0
Rule 91: bc22511541, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 92: 747bc97b27, Class:  2, CF:0.931487, Len: 10, Fitness_tra: 0
Rule 93: 1c17294107, Class:  1, CF:0.743786, Len:  9, Fitness_tra: -210
Rule 94: 1150007001, Class:  2, CF:0.502748, Len:  5, Fitness_tra: -1
Rule 95: 11e2217b44, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
Rule 96: 422b112774, Class:  4, CF:0.743292, Len: 10, Fitness_tra: 0
Rule 97: b241134b41, Class:  4, CF:0.998059, Len: 10, Fitness_tra: 1
Rule 98: 174116b942, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 020080b000, Class:  1, CF:0.356375, Len:  3, Fitness_tra: -1242
Rule100: 0020501740, Class:  2, CF:0.903879, Len:  5, Fitness_tra: -104
------Current------
Miss_rate(tra)	:94.3112
------Result------
Miss_rate(tra)	:94.3112
Miss_rate(tst)	:94.1553
ARL				:9.76623

------Generation 2------
Rule  1: 21171a1717, Class:  4, CF:0.960578, Len: 10, Fitness_tra: -2
Rule  2: bb41134741, Class:  4, CF:0.990336, Len: 10, Fitness_tra: -6
Rule  3: b241134b41, Class:  4, CF:0.998059, Len: 10, Fitness_tra: -24
Rule  4: 1c17292147, Class:  1, CF:0.402479, Len: 10, Fitness_tra: -132
Rule  5: 174116b942, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 752b11244b, Class:  2, CF:0.514113, Len: 10, Fitness_tra: 1
Rule  7: 7c74212711, Class:  4, CF:0.681337, Len: 10, Fitness_tra: -5
Rule  8: 24b211b124, Class:  2, CF:0.212651, Len: 10, Fitness_tra: 0
Rule  9: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: b721897b74, Class:  2, CF:0.996271, Len: 10, Fitness_tra: 0
Rule 12: 1444212217, Class:  2, CF:0.509167, Len: 10, Fitness_tra: -3
