------Generation 0------
Rule  1: 12b13e7141, Class:  2, CF:0.72487, Len: 10, Fitness_tra: -1515
Rule 35: 1bbb294177, Class:  2, CF:0.961557, Len: 10, Fitness_tra: -1
Rule 36: 42b229422b, Class:  2, CF:0.936442, Len: 10, Fitness_tra: 0
Rule 37: 47148f1744, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 24b7e12bb1, Class:  1, CF:0.907067, Len: 10, Fitness_tra: 0
Rule 39: b111732411, Class:  2, CF:0.213648, Len: 10, Fitness_tra: -155
Rule 40: 12bb537442, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 7b748a74bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 2222864477, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1222c141b4, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 22774112b2, Class:  4, CF:0.461255, Len: 10, Fitness_tra: 0
Rule 46: b14b712714, Class:  2, CF:0.0209867, Len: 10, Fitness_tra: 0
Rule 47: 214415712c, Class:  2, CF:0.907618, Len: 10, Fitness_tra: 0
Rule 48: 72b71e71b4, Class:  1, CF:0.0660244, Len: 10, Fitness_tra: 0
Rule 49: 24b7511b14, Class:  2, CF:0.888207, Len: 10, Fitness_tra: 0
Rule 50: 224b1d4421, Class:  2, CF:0.704007, Len: 10, Fitness_tra: 0
Rule 51: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: b1212d2211, Class:  2, CF:0.99231, Len: 10, Fitness_tra: -306
Rule 53: b12419b744, Class:  2, CF:0.992905, Len: 10, Fitness_tra: 0
Rule 54: bb11112b2b, Class:  2, CF:0.404621, Len: 10, Fitness_tra: 0
Rule 55: 11471dbb7b, Class:  4, CF:0.51161, Len: 10, Fitness_tra: 0
Rule 56: 4a24111228, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 57: 4b2bd61bbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 2b2413214b, Class:  4, CF:0.85426, Len: 10, Fitness_tra: 0
Rule 59: 7c2143177b, Class:  4, CF:0.989119, Len: 10, Fitness_tra: 2
Rule 60: 42718eb472, Class:  2, CF:0.993071, Len: 10, Fitness_tra: 0
Rule 61: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 4db4c31774, Class:  0, CF:0.969968, Len: 10, Fitness_tra: 0
Rule 64: b77111772b, Class:  4, CF:0.0179784, Len: 10, Fitness_tra: 0
Rule 65: b7b1ce21b1, Class:  2, CF:0.592274, Len: 10, Fitness_tra: -78
Rule 66: 21178fb772, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 427113772b, Class:  4, CF:0.992699, Len: 10, Fitness_tra: 0
Rule 68: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: b82229b14b, Class:  1, CF:0.733937, Len: 10, Fitness_tra: 0
Rule 70: 7212512412, Class:  2, CF:0.544558, Len: 10, Fitness_tra: 0
Rule 71: 0800000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 171459b1b7, Class:  1, CF:0.27214, Len: 10, Fitness_tra: 35
Rule 73: 122783b142, Class:  2, CF:0.461381, Len: 10, Fitness_tra: 0
Rule 74: 1744c9771b, Class:  0, CF:0.994536, Len: 10, Fitness_tra: -1
Rule 75: b8242314b1, Class:  4, CF:0.993116, Len: 10, Fitness_tra: 2
Rule 76: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: b11245bb42, Class:  2, CF:0.784525, Len: 10, Fitness_tra: 0
Rule 79: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 7174c5717b, Class:  2, CF:0.943305, Len: 10, Fitness_tra: 0
Rule 81: 72171344b2, Class:  4, CF:0.975133, Len: 10, Fitness_tra: 1
Rule 82: 7b72512742, Class:  2, CF:0.999904, Len: 10, Fitness_tra: 0
Rule 83: 74b41e741b, Class:  2, CF:0.919196, Len: 10, Fitness_tra: 0
Rule 84: 2222567b2b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 1c21137771, Class:  4, CF:0.995199, Len: 10, Fitness_tra: -2
Rule 86: 14745eb727, Class:  2, CF:0.0988552, Len: 10, Fitness_tra: -1
Rule 87: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 7427c6114b, Class:  2, CF:0.977094, Len: 10, Fitness_tra: 0
Rule 89: 227213bb72, Class:  4, CF:0.993284, Len: 10, Fitness_tra: 0
Rule 90: 4817817172, Class:  2, CF:0.543605, Len: 10, Fitness_tra: 0
Rule 91: 4742261441, Class:  4, CF:0.998461, Len: 10, Fitness_tra: 0
Rule 92: 7747114741, Class:  4, CF:0.446232, Len: 10, Fitness_tra: 0
Rule 93: 4c47217722, Class:  2, CF:0.392952, Len: 10, Fitness_tra: 0
Rule 94: 41b7787711, Class:  2, CF:0.597831, Len: 10, Fitness_tra: -19
Rule 95: 2142157221, Class:  2, CF:0.946671, Len: 10, Fitness_tra: 0
Rule 96: 1b2726bb22, Class:  4, CF:0.993593, Len: 10, Fitness_tra: 0
Rule 97: 1147214221, Class:  2, CF:0.832158, Len: 10, Fitness_tra: 2
Rule 98: 271116222b, Class:  4, CF:0.992897, Len: 10, Fitness_tra: -1
Rule 99: 2c12562272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 0000c00000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:97.4874
------Result------
Miss_rate(tra)	:97.4874
Miss_rate(tst)	:98.2633
ARL				:10

------Generation 0------
Rule  1: 171459b1b7, Class:  1, CF:0.27214, Len: 10, Fitness_tra: 45
Rule  2: 1147214221, Class:  2, CF:0.832158, Len: 10, Fitness_tra: 0
Rule  3: b8242314b1, Class:  4, CF:0.993116, Len: 10, Fitness_tra: -13
Rule  4: 7c2143177b, Class:  4, CF:0.989119, Len: 10, Fitness_tra: -37
Rule  5: 2341c97b22, Class:  2, CF:0.999922, Len: 10, Fitness_tra: 0
Rule  6: b141812222, Class:  2, CF:0.999587, Len: 10, Fitness_tra: 1
Rule  7: 72171344b2, Class:  4, CF:0.975133, Len: 10, Fitness_tra: 0
Rule  8: 0000c00000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 4121c9bbbb, Class:  0, CF:0.994026, Len: 10, Fitness_tra: 0
Rule 11: b117132124, Class:  4, CF:0.586241, Len: 10, Fitness_tra: 0
Rule 12: 7c4b21b7b7, Class:  4, CF:0.730323, Len: 10, Fitness_tra: 0
Rule 13: 777253b472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: b71bda1122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 2c12562272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: bb741622b1, Class:  4, CF:0.97335, Len: 10, Fitness_tra: 0
Rule 17: 1211da714b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 44721f127b, Class:  4, CF:0.999858, Len: 10, Fitness_tra: 1
Rule 19: 444253b722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 2242514477, Class:  2, CF:0.852114, Len: 10, Fitness_tra: 0
Rule 21: bb71d17774, Class:  2, CF:0.999986, Len: 10, Fitness_tra: 0
Rule 22: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 2142517277, Class:  2, CF:0.995475, Len: 10, Fitness_tra: 0
Rule 24: 41148e21bb, Class:  2, CF:0.297729, Len: 10, Fitness_tra: -48
Rule 25: 41727174b7, Class:  4, CF:0.241247, Len: 10, Fitness_tra: 0
Rule 26: 2c42117777, Class:  4, CF:0.699415, Len: 10, Fitness_tra: 0
Rule 27: bbb7514412, Class:  2, CF:0.999746, Len: 10, Fitness_tra: 0
Rule 28: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 4b71512147, Class:  2, CF:0.999959, Len: 10, Fitness_tra: 0
Rule 30: 0000c00000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 2477c5b71b, Class:  2, CF:0.885736, Len: 10, Fitness_tra: 0
Rule 32: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 42b229422b, Class:  2, CF:0.936442, Len: 10, Fitness_tra: 0
Rule 34: 47148f1744, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 24b7e12bb1, Class:  1, CF:0.907067, Len: 10, Fitness_tra: 1
Rule 36: 12bb537442, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 7b748a74bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 2222864477, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1222c141b4, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 22774112b2, Class:  4, CF:0.461255, Len: 10, Fitness_tra: -79
Rule 42: b14b712714, Class:  2, CF:0.0209867, Len: 10, Fitness_tra: 0
Rule 43: 214415712c, Class:  2, CF:0.907618, Len: 10, Fitness_tra: 0
Rule 44: 72b71e71b4, Class:  1, CF:0.0660244, Len: 10, Fitness_tra: 0
Rule 45: 24b7511b14, Class:  2, CF:0.888207, Len: 10, Fitness_tra: 0
Rule 46: 224b1d4421, Class:  2, CF:0.704007, Len: 10, Fitness_tra: 0
Rule 47: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: b12419b744, Class:  2, CF:0.992905, Len: 10, Fitness_tra: 0
Rule 49: bb11112b2b, Class:  2, CF:0.404621, Len: 10, Fitness_tra: -37
Rule 50: 11471dbb7b, Class:  4, CF:0.51161, Len: 10, Fitness_tra: -15
Rule 51: 4a24111228, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 52: 4b2bd61bbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 2b2413214b, Class:  4, CF:0.85426, Len: 10, Fitness_tra: 0
Rule 54: 2221c9bbb7, Class:  2, CF:0.303096, Len: 10, Fitness_tra: 0
Rule 55: 42718eb472, Class:  2, CF:0.993071, Len: 10, Fitness_tra: 1
Rule 56: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 4db4c31774, Class:  0, CF:0.969968, Len: 10, Fitness_tra: 0
Rule 59: b77111772b, Class:  4, CF:0.0179784, Len: 10, Fitness_tra: 0
Rule 60: 21178fb772, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 427113772b, Class:  4, CF:0.992699, Len: 10, Fitness_tra: 1
Rule 62: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: b82229b14b, Class:  1, CF:0.733937, Len: 10, Fitness_tra: 0
Rule 64: 7212512412, Class:  2, CF:0.544558, Len: 10, Fitness_tra: 0
Rule 65: 0800000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 42271e421b, Class:  2, CF:0.725537, Len: 10, Fitness_tra: 0
Rule 67: 122783b142, Class:  2, CF:0.461381, Len: 10, Fitness_tra: 0
Rule 68: 1772212b24, Class:  2, CF:0.0570215, Len: 10, Fitness_tra: 0
Rule 69: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: b11245bb42, Class:  2, CF:0.784525, Len: 10, Fitness_tra: 0
Rule 72: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 7174c5717b, Class:  2, CF:0.943305, Len: 10, Fitness_tra: 0
Rule 74: 7b72512742, Class:  2, CF:0.999904, Len: 10, Fitness_tra: 0
Rule 75: 74b41e741b, Class:  2, CF:0.919196, Len: 10, Fitness_tra: 0
Rule 76: 2222567b2b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 7427c6114b, Class:  2, CF:0.977094, Len: 10, Fitness_tra: 0
Rule 79: 227213bb72, Class:  4, CF:0.993284, Len: 10, Fitness_tra: 0
Rule 80: 4817817172, Class:  2, CF:0.543605, Len: 10, Fitness_tra: 0
Rule 81: 17b7c621bb, Class:  2, CF:0.999693, Len: 10, Fitness_tra: 0
Rule 82: 1b7bda4b44, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 21b2117722, Class:  2, CF:0.261792, Len: 10, Fitness_tra: 0
Rule 84: 127723b722, Class:  4, CF:0.947752, Len: 10, Fitness_tra: 0
Rule 85: 24b719b417, Class:  2, CF:0.947809, Len: 10, Fitness_tra: 0
Rule 86: 717b2eb41b, Class:  2, CF:0.971638, Len: 10, Fitness_tra: 0
Rule 87: 2b12291724, Class:  2, CF:0.996718, Len: 10, Fitness_tra: -212
Rule 88: bbbb561477, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: b244132712, Class:  4, CF:0.993503, Len: 10, Fitness_tra: 0
Rule 90: b22bc3774b, Class:  2, CF:0.594096, Len: 10, Fitness_tra: 0
Rule 91: 2402107020, Class:  2, CF:0.43846, Len:  6, Fitness_tra: -1231
Rule 92: bb71c1bbab, Class:  2, CF:0.98696, Len: 10, Fitness_tra: 1
Rule 93: 72121147b6, Class:  4, CF:0.590553, Len: 10, Fitness_tra: -5
Rule 94: 0740114742, Class:  2, CF:0.23945, Len:  8, Fitness_tra: -3
Rule 95: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 18518a11b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 21421f172b, Class:  4, CF:0.999628, Len: 10, Fitness_tra: 1
Rule 98: 0000cd0000, Class:  2, CF:0.0833544, Len:  2, Fitness_tra: -2272
Rule 99: cb07c0440b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 7ce7411722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:97.0763
------Result------
Miss_rate(tra)	:97.0763
Miss_rate(tst)	:97.8062
ARL				:9.78462

------Generation 1------
Rule  1: 171459b1b7, Class:  1, CF:0.27214, Len: 10, Fitness_tra: -68
Rule  2: 21421f172b, Class:  4, CF:0.999628, Len: 10, Fitness_tra: 0
Rule  3: b141812222, Class:  2, CF:0.999587, Len: 10, Fitness_tra: 0
Rule  4: 44721f127b, Class:  4, CF:0.999858, Len: 10, Fitness_tra: 0
Rule  5: 24b7e12bb1, Class:  1, CF:0.907067, Len: 10, Fitness_tra: 1
Rule  6: 42718eb472, Class:  2, CF:0.993071, Len: 10, Fitness_tra: 2
Rule  7: 427113772b, Class:  4, CF:0.992699, Len: 10, Fitness_tra: 5
Rule  8: bb71c1bbab, Class:  2, CF:0.98696, Len: 10, Fitness_tra: -303
Rule  9: 1147214221, Class:  2, CF:0.832158, Len: 10, Fitness_tra: -25
Rule 10: 4121c9bbbb, Class:  0, CF:0.994026, Len: 10, Fitness_tra: 1
Rule 11: b117132124, Class:  4, CF:0.586241, Len: 10, Fitness_tra: -11
Rule 12: 7c4b21b7b7, Class:  4, CF:0.730323, Len: 10, Fitness_tra: 0
Rule 13: 777253b472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: b71bda1122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 2c12562272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: bb741622b1, Class:  4, CF:0.97335, Len: 10, Fitness_tra: 0
Rule 17: 1211da714b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 7ce7411722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 444253b722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 2242514477, Class:  2, CF:0.852114, Len: 10, Fitness_tra: 0
Rule 21: bb71d17774, Class:  2, CF:0.999986, Len: 10, Fitness_tra: 2
Rule 22: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 2142517277, Class:  2, CF:0.995475, Len: 10, Fitness_tra: 0
Rule 24: 41727174b7, Class:  4, CF:0.241247, Len: 10, Fitness_tra: 0
Rule 25: 2c42117777, Class:  4, CF:0.699415, Len: 10, Fitness_tra: 0
Rule 26: bbb7514412, Class:  2, CF:0.999746, Len: 10, Fitness_tra: 0
Rule 27: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 4b71512147, Class:  2, CF:0.999959, Len: 10, Fitness_tra: 0
Rule 29: 0000c00000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 2477c5b71b, Class:  2, CF:0.885736, Len: 10, Fitness_tra: 0
Rule 31: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 42b229422b, Class:  2, CF:0.936442, Len: 10, Fitness_tra: 0
Rule 33: 47148f1744, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 2341c97b22, Class:  2, CF:0.999922, Len: 10, Fitness_tra: 0
Rule 35: 12bb537442, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 7b748a74bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 2222864477, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1222c141b4, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: b14b712714, Class:  2, CF:0.0209867, Len: 10, Fitness_tra: 0
Rule 41: 214415712c, Class:  2, CF:0.907618, Len: 10, Fitness_tra: 0
Rule 42: 72b71e71b4, Class:  1, CF:0.0660244, Len: 10, Fitness_tra: -2
Rule 43: 24b7511b14, Class:  2, CF:0.888207, Len: 10, Fitness_tra: -1
Rule 44: 224b1d4421, Class:  2, CF:0.704007, Len: 10, Fitness_tra: 0
Rule 45: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: b12419b744, Class:  2, CF:0.992905, Len: 10, Fitness_tra: 0
Rule 47: cb07c0440b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 4a24111228, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 49: 4b2bd61bbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 2b2413214b, Class:  4, CF:0.85426, Len: 10, Fitness_tra: 0
Rule 51: 2221c9bbb7, Class:  2, CF:0.303096, Len: 10, Fitness_tra: 0
Rule 52: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 4db4c31774, Class:  0, CF:0.969968, Len: 10, Fitness_tra: 1
Rule 56: b77111772b, Class:  4, CF:0.0179784, Len: 10, Fitness_tra: 0
Rule 57: 21178fb772, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 72171344b2, Class:  4, CF:0.975133, Len: 10, Fitness_tra: -14
Rule 59: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: b82229b14b, Class:  1, CF:0.733937, Len: 10, Fitness_tra: 0
Rule 61: 7212512412, Class:  2, CF:0.544558, Len: 10, Fitness_tra: 0
Rule 62: 0800000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 42271e421b, Class:  2, CF:0.725537, Len: 10, Fitness_tra: 0
Rule 64: 122783b142, Class:  2, CF:0.461381, Len: 10, Fitness_tra: 0
Rule 65: 1772212b24, Class:  2, CF:0.0570215, Len: 10, Fitness_tra: 0
Rule 66: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: b11245bb42, Class:  2, CF:0.784525, Len: 10, Fitness_tra: -47
Rule 69: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 7174c5717b, Class:  2, CF:0.943305, Len: 10, Fitness_tra: -1
Rule 71: 7b72512742, Class:  2, CF:0.999904, Len: 10, Fitness_tra: 0
Rule 72: 74b41e741b, Class:  2, CF:0.919196, Len: 10, Fitness_tra: -38
Rule 73: 2222567b2b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 7427c6114b, Class:  2, CF:0.977094, Len: 10, Fitness_tra: 0
Rule 76: 227213bb72, Class:  4, CF:0.993284, Len: 10, Fitness_tra: 0
Rule 77: 4817817172, Class:  2, CF:0.543605, Len: 10, Fitness_tra: 0
Rule 78: 17b7c621bb, Class:  2, CF:0.999693, Len: 10, Fitness_tra: 0
Rule 79: 1b7bda4b44, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 21b2117722, Class:  2, CF:0.261792, Len: 10, Fitness_tra: 0
Rule 81: 71178a7174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: bb421a7771, Class:  4, CF:0.994058, Len: 10, Fitness_tra: 0
Rule 83: 471bc91742, Class:  2, CF:0.996457, Len: 10, Fitness_tra: -1717
Rule 84: 74472e7747, Class:  2, CF:0.896082, Len: 10, Fitness_tra: 0
Rule 85: b2b2811722, Class:  2, CF:0.977284, Len: 10, Fitness_tra: -9
Rule 86: 7472532121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 11b1112427, Class:  2, CF:0.545073, Len: 10, Fitness_tra: -986
Rule 88: b11411444b, Class:  2, CF:0.342649, Len: 10, Fitness_tra: 0
Rule 89: 1b77437171, Class:  2, CF:0.136786, Len: 10, Fitness_tra: -127
Rule 90: 4224c611b1, Class:  2, CF:0.437593, Len: 10, Fitness_tra: -2
Rule 91: 122b83b121, Class:  2, CF:0.0454932, Len: 10, Fitness_tra: 0
Rule 92: 2242c194b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 224451b177, Class:  2, CF:0.719604, Len: 10, Fitness_tra: 0
Rule 94: 1a513a10b0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 42715e2772, Class:  2, CF:0.93229, Len: 10, Fitness_tra: 0
Rule 96: 0080c00000, Class:  2, CF:  1, Len:  2, Fitness_tra: 3
Rule 97: 779219b7b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: b8b4c617b7, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 99: 72971e7db4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 123741b722, Class:  2, CF:0.0507397, Len: 10, Fitness_tra: -65
------Current------
Miss_rate(tra)	:96.688
------Result------
Miss_rate(tra)	:96.688
Miss_rate(tst)	:96.8007
ARL				:9.87302

------Generation 2------
Rule  1: 427113772b, Class:  4, CF:0.992699, Len: 10, Fitness_tra: -5
Rule  2: 0080c00000, Class:  2, CF:  1, Len:  2, Fitness_tra: 3
Rule  3: 42718eb472, Class:  2, CF:0.993071, Len: 10, Fitness_tra: 3
Rule  4: bb71d17774, Class:  2, CF:0.999986, Len: 10, Fitness_tra: 1
Rule  5: 24b7e12bb1, Class:  1, CF:0.907067, Len: 10, Fitness_tra: 1
Rule  6: 4121c9bbbb, Class:  0, CF:0.994026, Len: 10, Fitness_tra: 5
Rule  7: 4db4c31774, Class:  0, CF:0.969968, Len: 10, Fitness_tra: 3
Rule  8: 72971e7db4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 21421f172b, Class:  4, CF:0.999628, Len: 10, Fitness_tra: 0
Rule 10: b8b4c617b7, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 11: 7c4b21b7b7, Class:  4, CF:0.730323, Len: 10, Fitness_tra: 0
Rule 12: 777253b472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b71bda1122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 2c12562272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
