------Generation 0------
Rule  1: 1412c6bb42, Class:  2, CF:0.716836, Len: 10, Fitness_tra: 0
Rule 35: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 2842c17771, Class:  2, CF:0.571505, Len: 10, Fitness_tra: 0
Rule 37: 21411e147b, Class:  2, CF:0.982423, Len: 10, Fitness_tra: 0
Rule 38: 7471132247, Class:  4, CF:0.94197, Len: 10, Fitness_tra: 0
Rule 39: 4114c92274, Class:  2, CF:0.983204, Len: 10, Fitness_tra: 0
Rule 40: b4b4c1172b, Class:  2, CF:0.807671, Len: 10, Fitness_tra: -53
Rule 41: b14181774b, Class:  2, CF:0.997745, Len: 10, Fitness_tra: 1
Rule 42: 2144132724, Class:  4, CF:0.980565, Len: 10, Fitness_tra: 0
Rule 43: 7122111b74, Class:  4, CF:0.920809, Len: 10, Fitness_tra: -36
Rule 44: 1174231b4b, Class:  4, CF:0.824754, Len: 10, Fitness_tra: 0
Rule 45: 4b148a41b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 4227214717, Class:  2, CF:0.0825746, Len: 10, Fitness_tra: 0
Rule 47: 4777ce1b21, Class:  2, CF:0.981284, Len: 10, Fitness_tra: 0
Rule 48: 4347197211, Class:  2, CF:0.993895, Len: 10, Fitness_tra: 0
Rule 49: 121b291111, Class:  1, CF:0.932951, Len: 10, Fitness_tra: -2572
Rule 50: 7274534127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 7414231b12, Class:  4, CF:0.796378, Len: 10, Fitness_tra: -181
Rule 52: b41b187bb1, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 71721fb742, Class:  4, CF:0.999708, Len: 10, Fitness_tra: 0
Rule 54: 442b131b2b, Class:  4, CF:0.992941, Len: 10, Fitness_tra: 1
Rule 55: b171232bbb, Class:  4, CF:0.868419, Len: 10, Fitness_tra: 0
Rule 56: 4bb2531471, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 1b41867422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 7b27d12117, Class:  2, CF:0.996172, Len: 10, Fitness_tra: 0
Rule 59: b714c94412, Class:  2, CF:0.978255, Len: 10, Fitness_tra: 0
Rule 60: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: b471194b12, Class:  2, CF:0.977253, Len: 10, Fitness_tra: 0
Rule 62: 0000080000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 2e17832224, Class:  2, CF:0.999985, Len: 10, Fitness_tra: 1
Rule 65: b1b4412b21, Class:  2, CF:0.183676, Len: 10, Fitness_tra: -1
Rule 66: 7c7713447b, Class:  4, CF:0.996161, Len: 10, Fitness_tra: 0
Rule 67: 1b171311b1, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 12b185bb7b, Class:  2, CF:0.124066, Len: 10, Fitness_tra: 0
Rule 69: 4724114172, Class:  4, CF:0.028333, Len: 10, Fitness_tra: 0
Rule 70: 7477751121, Class:  2, CF:0.0327193, Len: 10, Fitness_tra: -583
Rule 71: b1b1194124, Class:  2, CF:0.995693, Len: 10, Fitness_tra: 0
Rule 72: 487181b414, Class:  2, CF:0.990232, Len: 10, Fitness_tra: 0
Rule 73: 227bc14bb2, Class:  2, CF:0.345225, Len: 10, Fitness_tra: 0
Rule 74: 21b48eb471, Class:  2, CF:0.976278, Len: 10, Fitness_tra: 0
Rule 75: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 00005d0330, Class:  3, CF:0.105655, Len:  4, Fitness_tra: -243
Rule 77: 4c41c91421, Class:  2, CF:0.994016, Len: 10, Fitness_tra: 0
Rule 78: b27b814444, Class:  2, CF:0.981008, Len: 10, Fitness_tra: 0
Rule 79: 4b27234b11, Class:  2, CF:0.846597, Len: 10, Fitness_tra: -5
Rule 80: 2212197417, Class:  2, CF:0.290764, Len: 10, Fitness_tra: 0
Rule 81: 12b22a427b, Class:  4, CF:0.99983, Len: 10, Fitness_tra: 0
Rule 82: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 2bb1231212, Class:  4, CF:0.46541, Len: 10, Fitness_tra: 3
Rule 84: 421736b2b4, Class:  4, CF:0.999304, Len: 10, Fitness_tra: 0
Rule 85: 2144112b41, Class:  4, CF:0.616476, Len: 10, Fitness_tra: 0
Rule 86: 4874314244, Class:  2, CF:0.63546, Len: 10, Fitness_tra: 0
Rule 87: 1bb2117447, Class:  2, CF:0.941644, Len: 10, Fitness_tra: 0
Rule 88: 1a7215741c, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 89: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 1c27ce4272, Class:  2, CF:0.919813, Len: 10, Fitness_tra: 0
Rule 91: 1712ce7b1b, Class:  0, CF:0.824155, Len: 10, Fitness_tra: 0
Rule 92: b5428ebbb2, Class:  1, CF:0.885252, Len: 10, Fitness_tra: 0
Rule 93: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 1224514721, Class:  1, CF:0.440618, Len: 10, Fitness_tra: 0
Rule 95: bc7229471b, Class:  1, CF:0.317957, Len: 10, Fitness_tra: 0
Rule 96: 1324754471, Class:  2, CF:0.976489, Len: 10, Fitness_tra: -1
Rule 97: 7727162b77, Class:  4, CF:0.999549, Len: 10, Fitness_tra: 0
Rule 98: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 7177212447, Class:  2, CF:0.863133, Len: 10, Fitness_tra: 0
Rule100: b1b7c94bbb, Class:  0, CF:0.99415, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:94.2198
------Result------
Miss_rate(tra)	:94.2198
Miss_rate(tst)	:93.516
ARL				:9.91667

------Generation 0------
Rule  1: 2bb1231212, Class:  4, CF:0.46541, Len: 10, Fitness_tra: -25
Rule  2: 1114297bb2, Class:  1, CF:0.266112, Len: 10, Fitness_tra: 28
Rule  3: 4cbbc11244, Class:  2, CF:0.976302, Len: 10, Fitness_tra: -5
Rule  4: b14181774b, Class:  2, CF:0.997745, Len: 10, Fitness_tra: 0
Rule  5: 442b131b2b, Class:  4, CF:0.992941, Len: 10, Fitness_tra: 0
Rule  6: 2e17832224, Class:  2, CF:0.999985, Len: 10, Fitness_tra: 0
Rule  7: 1412c6bb42, Class:  2, CF:0.716836, Len: 10, Fitness_tra: 0
Rule  8: b1b7c94bbb, Class:  0, CF:0.99415, Len: 10, Fitness_tra: 0
Rule  9: 4271862bb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 7177212447, Class:  2, CF:0.863133, Len: 10, Fitness_tra: 0
Rule 12: bb4bc17471, Class:  2, CF:0.991868, Len: 10, Fitness_tra: -5
Rule 13: 72245fb412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 19b7197271, Class:  1, CF:0.918561, Len: 10, Fitness_tra: 0
Rule 19: b1b71eb121, Class:  2, CF:0.954584, Len: 10, Fitness_tra: -59
Rule 20: 42241e7b17, Class:  1, CF:0.0199137, Len: 10, Fitness_tra: 0
Rule 21: 221b511721, Class:  2, CF:0.0670928, Len: 10, Fitness_tra: -9
Rule 22: 2d41ceb242, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 23: b4b71e1777, Class:  2, CF:0.885549, Len: 10, Fitness_tra: -54
Rule 24: 211b5f2474, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 44141ebb77, Class:  2, CF:0.0496809, Len: 10, Fitness_tra: 0
Rule 26: 71b78612b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: bc4bb8227b, Class:  4, CF:0.449729, Len: 10, Fitness_tra: 0
Rule 28: 22b12342b2, Class:  4, CF:0.9373, Len: 10, Fitness_tra: 0
Rule 29: b2415f2b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: b114c62277, Class:  2, CF:0.958467, Len: 10, Fitness_tra: 0
Rule 31: 414216b474, Class:  4, CF:0.999732, Len: 10, Fitness_tra: 0
Rule 32: bbb22322b1, Class:  2, CF:0.730833, Len: 10, Fitness_tra: 0
Rule 33: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 2842c17771, Class:  2, CF:0.571505, Len: 10, Fitness_tra: 0
Rule 35: 21411e147b, Class:  2, CF:0.982423, Len: 10, Fitness_tra: -1435
Rule 36: 7471132247, Class:  4, CF:0.94197, Len: 10, Fitness_tra: 0
Rule 37: 4114c92274, Class:  2, CF:0.983204, Len: 10, Fitness_tra: 0
Rule 38: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 2144132724, Class:  4, CF:0.980565, Len: 10, Fitness_tra: 0
Rule 40: 1174231b4b, Class:  4, CF:0.824754, Len: 10, Fitness_tra: -85
Rule 41: 4b148a41b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 4227214717, Class:  2, CF:0.0825746, Len: 10, Fitness_tra: 0
Rule 43: 4777ce1b21, Class:  2, CF:0.981284, Len: 10, Fitness_tra: -18
Rule 44: 4347197211, Class:  2, CF:0.993895, Len: 10, Fitness_tra: -3
Rule 45: 7274534127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: b41b187bb1, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 71721fb742, Class:  4, CF:0.999708, Len: 10, Fitness_tra: 0
Rule 48: 0000040000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: b171232bbb, Class:  4, CF:0.868419, Len: 10, Fitness_tra: 0
Rule 50: 4bb2531471, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 1b41867422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 7b27d12117, Class:  2, CF:0.996172, Len: 10, Fitness_tra: 0
Rule 53: b714c94412, Class:  2, CF:0.978255, Len: 10, Fitness_tra: 0
Rule 54: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: b471194b12, Class:  2, CF:0.977253, Len: 10, Fitness_tra: 0
Rule 56: 0000080000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 7c7713447b, Class:  4, CF:0.996161, Len: 10, Fitness_tra: 0
Rule 61: 1b171311b1, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 12b185bb7b, Class:  2, CF:0.124066, Len: 10, Fitness_tra: 0
Rule 63: 4724114172, Class:  4, CF:0.028333, Len: 10, Fitness_tra: 0
Rule 64: b1b1194124, Class:  2, CF:0.995693, Len: 10, Fitness_tra: -78
Rule 65: 487181b414, Class:  2, CF:0.990232, Len: 10, Fitness_tra: 0
Rule 66: 227bc14bb2, Class:  2, CF:0.345225, Len: 10, Fitness_tra: 0
Rule 67: 21b48eb471, Class:  2, CF:0.976278, Len: 10, Fitness_tra: 0
Rule 68: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 4c41c91421, Class:  2, CF:0.994016, Len: 10, Fitness_tra: -106
Rule 70: b27b814444, Class:  2, CF:0.981008, Len: 10, Fitness_tra: 0
Rule 71: 2212197417, Class:  2, CF:0.290764, Len: 10, Fitness_tra: 0
Rule 72: 12b22a427b, Class:  4, CF:0.99983, Len: 10, Fitness_tra: 0
Rule 73: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 152223412b, Class:  2, CF:0.579473, Len: 10, Fitness_tra: 0
Rule 75: 421736b2b4, Class:  4, CF:0.999304, Len: 10, Fitness_tra: 0
Rule 76: 2144112b41, Class:  4, CF:0.616476, Len: 10, Fitness_tra: -2
Rule 77: 4874314244, Class:  2, CF:0.63546, Len: 10, Fitness_tra: 0
Rule 78: 1bb2117447, Class:  2, CF:0.941644, Len: 10, Fitness_tra: 0
Rule 79: 1a7215741c, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 80: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: b1b1c1bb42, Class:  2, CF:0.977486, Len: 10, Fitness_tra: 0
Rule 82: b1b18e2121, Class:  2, CF:0.998304, Len: 10, Fitness_tra: -562
Rule 83: 1f47784414, Class:  2, CF:0.96387, Len: 10, Fitness_tra: -254
Rule 84: b714deb414, Class:  2, CF:0.966391, Len: 10, Fitness_tra: 0
Rule 85: 2c4223224b, Class:  4, CF:0.990567, Len: 10, Fitness_tra: 0
Rule 86: 2121711274, Class:  2, CF:0.569562, Len: 10, Fitness_tra: -837
Rule 87: 4277817114, Class:  2, CF:0.765557, Len: 10, Fitness_tra: -4
Rule 88: b1b1112b42, Class:  4, CF:0.0881445, Len: 10, Fitness_tra: 0
Rule 89: 4c4141b412, Class:  2, CF:0.580931, Len: 10, Fitness_tra: 0
Rule 90: 12b21e4141, Class:  1, CF:0.373322, Len: 10, Fitness_tra: 43
Rule 91: bd41897b44, Class:  1, CF:0.673067, Len: 10, Fitness_tra: 0
Rule 92: 4777ce1b21, Class:  2, CF:0.981284, Len:  0, Fitness_tra: 0
Rule 93: 207bc14b02, Class:  2, CF:0.753376, Len:  8, Fitness_tra: 0
Rule 94: 0520002007, Class:  2, CF:0.864476, Len:  4, Fitness_tra: -293
Rule 95: 477723147b, Class:  4, CF:0.84641, Len: 10, Fitness_tra: 0
Rule 96: 4b148941b4, Class:  2, CF:0.929147, Len: 10, Fitness_tra: -1
Rule 97: 727ac14bb2, Class:  2, CF:0.862435, Len: 10, Fitness_tra: 0
Rule 98: b171c62277, Class:  2, CF:0.933968, Len: 10, Fitness_tra: 0
Rule 99: ebb12312b1, Class:  3, CF:  1, Len: 10, Fitness_tra: 1
Rule100: 4b14ca4bb4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:96.3217
------Result------
Miss_rate(tra)	:96.3217
Miss_rate(tst)	:95.3425
ARL				:9.88732

------Generation 1------
Rule  1: 12b21e4141, Class:  1, CF:0.373322, Len: 10, Fitness_tra: -657
Rule  2: 1114297bb2, Class:  1, CF:0.266112, Len: 10, Fitness_tra: -1042
Rule  3: ebb12312b1, Class:  3, CF:  1, Len: 10, Fitness_tra: 1
Rule  4: 4b14ca4bb4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 442b131b2b, Class:  4, CF:0.992941, Len: 10, Fitness_tra: -112
Rule  6: 2e17832224, Class:  2, CF:0.999985, Len: 10, Fitness_tra: 0
Rule  7: 1412c6bb42, Class:  2, CF:0.716836, Len: 10, Fitness_tra: 0
Rule  8: b1b7c94bbb, Class:  0, CF:0.99415, Len: 10, Fitness_tra: 0
Rule  9: 4271862bb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 7177212447, Class:  2, CF:0.863133, Len: 10, Fitness_tra: 0
Rule 12: b14181774b, Class:  2, CF:0.997745, Len: 10, Fitness_tra: -2
Rule 13: 72245fb412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 19b7197271, Class:  1, CF:0.918561, Len: 10, Fitness_tra: 1
Rule 19: 42241e7b17, Class:  1, CF:0.0199137, Len: 10, Fitness_tra: 0
Rule 20: 2d41ceb242, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 21: 211b5f2474, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 44141ebb77, Class:  2, CF:0.0496809, Len: 10, Fitness_tra: 0
Rule 23: 71b78612b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: bc4bb8227b, Class:  4, CF:0.449729, Len: 10, Fitness_tra: 0
Rule 25: 22b12342b2, Class:  4, CF:0.9373, Len: 10, Fitness_tra: 0
Rule 26: b2415f2b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: b114c62277, Class:  2, CF:0.958467, Len: 10, Fitness_tra: 0
Rule 28: 414216b474, Class:  4, CF:0.999732, Len: 10, Fitness_tra: 0
Rule 29: bbb22322b1, Class:  2, CF:0.730833, Len: 10, Fitness_tra: 0
Rule 30: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 2842c17771, Class:  2, CF:0.571505, Len: 10, Fitness_tra: -4
Rule 32: 7471132247, Class:  4, CF:0.94197, Len: 10, Fitness_tra: 0
Rule 33: 4114c92274, Class:  2, CF:0.983204, Len: 10, Fitness_tra: 0
Rule 34: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 2144132724, Class:  4, CF:0.980565, Len: 10, Fitness_tra: 0
Rule 36: 4b148a41b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 4227214717, Class:  2, CF:0.0825746, Len: 10, Fitness_tra: 0
Rule 38: b171c62277, Class:  2, CF:0.933968, Len: 10, Fitness_tra: 0
Rule 39: 7274534127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: b41b187bb1, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 71721fb742, Class:  4, CF:0.999708, Len: 10, Fitness_tra: 0
Rule 42: 0000040000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: b171232bbb, Class:  4, CF:0.868419, Len: 10, Fitness_tra: 4
Rule 44: 4bb2531471, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1b41867422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 7b27d12117, Class:  2, CF:0.996172, Len: 10, Fitness_tra: -4
Rule 47: b714c94412, Class:  2, CF:0.978255, Len: 10, Fitness_tra: -6
Rule 48: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: b471194b12, Class:  2, CF:0.977253, Len: 10, Fitness_tra: -327
Rule 50: 0000080000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 7c7713447b, Class:  4, CF:0.996161, Len: 10, Fitness_tra: 0
Rule 55: 1b171311b1, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 12b185bb7b, Class:  2, CF:0.124066, Len: 10, Fitness_tra: -71
Rule 57: 4724114172, Class:  4, CF:0.028333, Len: 10, Fitness_tra: 0
Rule 58: 487181b414, Class:  2, CF:0.990232, Len: 10, Fitness_tra: 0
Rule 59: 227bc14bb2, Class:  2, CF:0.345225, Len: 10, Fitness_tra: 0
Rule 60: 21b48eb471, Class:  2, CF:0.976278, Len: 10, Fitness_tra: 0
Rule 61: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: b27b814444, Class:  2, CF:0.981008, Len: 10, Fitness_tra: 0
Rule 63: 2212197417, Class:  2, CF:0.290764, Len: 10, Fitness_tra: 0
Rule 64: 12b22a427b, Class:  4, CF:0.99983, Len: 10, Fitness_tra: 0
Rule 65: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 152223412b, Class:  2, CF:0.579473, Len: 10, Fitness_tra: -4
Rule 67: 421736b2b4, Class:  4, CF:0.999304, Len: 10, Fitness_tra: 0
Rule 68: 727ac14bb2, Class:  2, CF:0.862435, Len: 10, Fitness_tra: -8
Rule 69: 4874314244, Class:  2, CF:0.63546, Len: 10, Fitness_tra: 0
Rule 70: 1bb2117447, Class:  2, CF:0.941644, Len: 10, Fitness_tra: -287
Rule 71: 1a7215741c, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 72: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: b1b1c1bb42, Class:  2, CF:0.977486, Len: 10, Fitness_tra: -90
Rule 74: b714deb414, Class:  2, CF:0.966391, Len: 10, Fitness_tra: -31
Rule 75: 2c4223224b, Class:  4, CF:0.990567, Len: 10, Fitness_tra: 0
Rule 76: b1b1112b42, Class:  4, CF:0.0881445, Len: 10, Fitness_tra: 1
Rule 77: 4c4141b412, Class:  2, CF:0.580931, Len: 10, Fitness_tra: -145
Rule 78: bd41897b44, Class:  1, CF:0.673067, Len: 10, Fitness_tra: 0
Rule 79: 4777ce1b21, Class:  2, CF:0.981284, Len:  0, Fitness_tra: 0
Rule 80: 207bc14b02, Class:  2, CF:0.753376, Len:  8, Fitness_tra: 0
Rule 81: b744cabb12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 124b412244, Class:  2, CF:0.967939, Len: 10, Fitness_tra: -65
Rule 83: b8418947b2, Class:  1, CF:0.551275, Len: 10, Fitness_tra: 0
Rule 84: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 72725ab424, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 73227d414c, Class:  2, CF:0.999759, Len: 10, Fitness_tra: 0
Rule 87: 1127234b41, Class:  4, CF:0.564007, Len: 10, Fitness_tra: -33
Rule 88: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: b174c3b221, Class:  2, CF:0.975445, Len: 10, Fitness_tra: 1
Rule 90: b8742e121b, Class:  1, CF:0.343762, Len: 10, Fitness_tra: -53
Rule 91: 4142161474, Class:  4, CF:0.999167, Len: 10, Fitness_tra: 2
Rule 92: bbb2232bb4, Class:  2, CF:0.248481, Len: 10, Fitness_tra: 0
Rule 93: 127b36b2b4, Class:  4, CF:0.99924, Len: 10, Fitness_tra: -1
Rule 94: 19b119b271, Class:  1, CF:0.902524, Len: 10, Fitness_tra: -19
Rule 95: 2dabc1b242, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 16b010d440, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 4bb2536471, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 41141eb742, Class:  2, CF:0.969711, Len: 10, Fitness_tra: 0
Rule 99: 7241c12bbd, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule100: 185115b142, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:95.5677
------Result------
Miss_rate(tra)	:95.5677
Miss_rate(tst)	:95.1598
ARL				:9.96875

------Generation 2------
Rule  1: 12b21e4141, Class:  1, CF:0.373322, Len: 10, Fitness_tra: -657
Rule  2: 1114297bb2, Class:  1, CF:0.266112, Len: 10, Fitness_tra: -1042
Rule  3: ebb12312b1, Class:  3, CF:  1, Len: 10, Fitness_tra: 1
Rule  4: 4b14ca4bb4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 442b131b2b, Class:  4, CF:0.992941, Len: 10, Fitness_tra: -112
Rule  6: 2e17832224, Class:  2, CF:0.999985, Len: 10, Fitness_tra: 0
Rule  7: 1412c6bb42, Class:  2, CF:0.716836, Len: 10, Fitness_tra: 0
Rule  8: b1b7c94bbb, Class:  0, CF:0.99415, Len: 10, Fitness_tra: 0
Rule  9: 4271862bb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 7177212447, Class:  2, CF:0.863133, Len: 10, Fitness_tra: 0
Rule 12: b14181774b, Class:  2, CF:0.997745, Len: 10, Fitness_tra: -2
Rule 13: 72245fb412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
