------Generation 0------
Rule  1: 212b131171, Class:  4, CF:0.928571, Len: 10, Fitness_tra: -137
Rule 84: 7271514127, Class:  2, CF:0.989967, Len: 10, Fitness_tra: 0
Rule 85: b7728371b2, Class:  2, CF:0.76834, Len: 10, Fitness_tra: 0
Rule 86: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 45744d7b21, Class:  4, CF:0.0200939, Len: 10, Fitness_tra: 0
Rule 88: 7e4b534772, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 2144c31b12, Class:  2, CF:0.950629, Len: 10, Fitness_tra: 0
Rule 90: 44b2c67b14, Class:  2, CF:0.9005, Len: 10, Fitness_tra: 0
Rule 91: 2774134424, Class:  4, CF:0.965509, Len: 10, Fitness_tra: 0
Rule 92: 771716711b, Class:  4, CF:0.785428, Len: 10, Fitness_tra: -1
Rule 93: 747bc94141, Class:  0, CF:0.754092, Len: 10, Fitness_tra: 1
Rule 94: 47b7161714, Class:  4, CF:0.996759, Len: 10, Fitness_tra: 0
Rule 95: 477b8a1714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 2722217414, Class:  2, CF:0.748144, Len: 10, Fitness_tra: 0
Rule 97: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: b72b532427, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: bdb149b741, Class:  1, CF:0.760216, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:98.0128
------Result------
Miss_rate(tra)	:98.0128
Miss_rate(tst)	:97.989
ARL				:10

------Generation 0------
Rule  1: 417116b112, Class:  4, CF:0.972223, Len: 10, Fitness_tra: 4
Rule  2: b224217221, Class:  2, CF:0.988493, Len: 10, Fitness_tra: 3
Rule  3: 1c71114772, Class:  4, CF:0.332, Len: 10, Fitness_tra: -363
Rule  4: b7741314bb, Class:  4, CF:0.958135, Len: 10, Fitness_tra: -61
Rule  5: 747bc94141, Class:  0, CF:0.754092, Len: 10, Fitness_tra: 767
Rule  6: bdb149b741, Class:  1, CF:0.760216, Len: 10, Fitness_tra: -29
Rule  7: 7112c174b7, Class:  2, CF:0.953462, Len: 10, Fitness_tra: -3
Rule  8: 12bbd141b7, Class:  1, CF:0.442218, Len: 10, Fitness_tra: 7
Rule  9: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 214111b4b2, Class:  2, CF:0.146783, Len: 10, Fitness_tra: -1
Rule 11: 72bbff4727, Class:  4, CF:0.998149, Len: 10, Fitness_tra: 0
Rule 12: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 72b2534714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 12b1df7b1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1714897b27, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: b24723411b, Class:  4, CF:0.54465, Len: 10, Fitness_tra: -5
Rule 17: 72b4217477, Class:  2, CF:0.59036, Len: 10, Fitness_tra: 0
Rule 18: 4b14167b14, Class:  4, CF:0.931229, Len: 10, Fitness_tra: 0
Rule 19: bbb1214712, Class:  2, CF:0.812146, Len: 10, Fitness_tra: -508
Rule 20: 4177c31b72, Class:  2, CF:0.920619, Len: 10, Fitness_tra: 0
Rule 21: 1a7b7dbbb4, Class:  2, CF:0.953644, Len: 10, Fitness_tra: -1033
Rule 22: b71113b277, Class:  4, CF:0.923898, Len: 10, Fitness_tra: -6
Rule 23: 1242c11b17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: b72b532427, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 44b45f21b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 447126b127, Class:  4, CF:0.997881, Len: 10, Fitness_tra: 0
Rule 28: 0000cd0330, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 727451b427, Class:  2, CF:0.885411, Len: 10, Fitness_tra: 0
Rule 30: 2341837712, Class:  2, CF:0.945914, Len: 10, Fitness_tra: 0
Rule 31: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 21125322b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 4b7713b7bb, Class:  4, CF:0.920158, Len: 10, Fitness_tra: 0
Rule 34: 7214514b1b, Class:  1, CF:0.443301, Len: 10, Fitness_tra: 1
Rule 35: bb77c14247, Class:  2, CF:0.998335, Len: 10, Fitness_tra: 0
Rule 36: 1e471d4744, Class:  1, CF:0.75863, Len: 10, Fitness_tra: -33
Rule 37: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 4bbb1a1147, Class:  4, CF:0.99982, Len: 10, Fitness_tra: -3
Rule 39: 114b23b272, Class:  4, CF:0.844591, Len: 10, Fitness_tra: 0
Rule 40: b2121d7171, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 22b2294b24, Class:  1, CF:0.68346, Len: 10, Fitness_tra: 0
Rule 42: 4724114427, Class:  2, CF:0.446888, Len: 10, Fitness_tra: 0
Rule 43: 7112ce27b4, Class:  2, CF:0.688682, Len: 10, Fitness_tra: 0
Rule 44: 4271254b12, Class:  2, CF:0.362107, Len: 10, Fitness_tra: -30
Rule 45: 1e4221bb22, Class:  1, CF:0.311494, Len: 10, Fitness_tra: 0
Rule 46: 2472d62b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 48115a2b21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 7bbb8f1bb4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: b114217744, Class:  2, CF:0.712059, Len: 10, Fitness_tra: 0
Rule 50: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b27251b771, Class:  2, CF:0.525094, Len: 10, Fitness_tra: 0
Rule 52: 7342214b2c, Class:  2, CF:0.997353, Len: 10, Fitness_tra: 0
Rule 53: 11bcf3b417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 11bb1d2742, Class:  2, CF:0.0107198, Len: 10, Fitness_tra: 0
Rule 55: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 7b27817424, Class:  2, CF:0.999243, Len: 10, Fitness_tra: 0
Rule 57: 22b78a4422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 21bbc3b7b2, Class:  2, CF:0.805974, Len: 10, Fitness_tra: 0
Rule 59: 42b4d31242, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 247283724b, Class:  2, CF:0.345774, Len: 10, Fitness_tra: 0
Rule 61: 2721212142, Class:  2, CF:0.747467, Len: 10, Fitness_tra: 0
Rule 62: 217215247b, Class:  2, CF:0.792397, Len: 10, Fitness_tra: 0
Rule 63: 27418f277b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 4c2711b144, Class:  2, CF:0.246759, Len: 10, Fitness_tra: 0
Rule 65: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 142bc1b247, Class:  2, CF:0.966841, Len: 10, Fitness_tra: -10
Rule 68: 127b1f4b47, Class:  4, CF:0.997893, Len: 10, Fitness_tra: 0
Rule 69: 427756b174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: b44b51b721, Class:  2, CF:0.929305, Len: 10, Fitness_tra: 0
Rule 71: 227183242b, Class:  2, CF:0.935408, Len: 10, Fitness_tra: 0
Rule 72: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 247b9e17b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: b22486144b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 712b11771b, Class:  4, CF:0.142741, Len: 10, Fitness_tra: 0
Rule 76: 744bd1bb44, Class:  2, CF:0.937852, Len: 10, Fitness_tra: 0
Rule 77: 7271514127, Class:  2, CF:0.989967, Len: 10, Fitness_tra: 1
Rule 78: b7728371b2, Class:  2, CF:0.76834, Len: 10, Fitness_tra: 0
Rule 79: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 45744d7b21, Class:  4, CF:0.0200939, Len: 10, Fitness_tra: 0
Rule 81: 15212311b2, Class:  4, CF:0.997907, Len: 10, Fitness_tra: -49
Rule 82: 1974214412, Class:  2, CF:0.435971, Len: 10, Fitness_tra: -33
Rule 83: b87b21b211, Class:  2, CF:0.264214, Len: 10, Fitness_tra: -14
Rule 84: 7122532144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 24bbca2b74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 71b213b1b4, Class:  4, CF:0.899719, Len: 10, Fitness_tra: 0
Rule 87: 424b1a7441, Class:  4, CF:0.996899, Len: 10, Fitness_tra: -2
Rule 88: b4bb564177, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 4724212222, Class:  2, CF:0.853382, Len: 10, Fitness_tra: 0
Rule 90: 2441c12b22, Class:  2, CF:0.947064, Len: 10, Fitness_tra: 0
Rule 91: 772bc37427, Class:  2, CF:0.797522, Len: 10, Fitness_tra: 0
Rule 92: b772884722, Class:  2, CF:0.995481, Len: 10, Fitness_tra: 0
Rule 93: 117b5dbb14, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 7101960009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 4574ed2421, Class:  1, CF:0.992066, Len: 10, Fitness_tra: 0
Rule 96: 7abb53bb14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 202479741d, Class:  2, CF:0.833674, Len:  9, Fitness_tra: 0
Rule 98: 727b33242b, Class:  4, CF:0.113145, Len: 10, Fitness_tra: 0
Rule 99: 1e4451b823, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 7724174447, Class:  2, CF:0.120849, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:80.265
------Result------
Miss_rate(tra)	:80.265
Miss_rate(tst)	:80.0731
ARL				:9.98413

------Generation 1------
Rule  1: 417116b112, Class:  4, CF:0.972223, Len: 10, Fitness_tra: 4
Rule  2: b224217221, Class:  2, CF:0.988493, Len: 10, Fitness_tra: 3
Rule  3: 1c71114772, Class:  4, CF:0.332, Len: 10, Fitness_tra: -363
Rule  4: b7741314bb, Class:  4, CF:0.958135, Len: 10, Fitness_tra: -61
Rule  5: 747bc94141, Class:  0, CF:0.754092, Len: 10, Fitness_tra: 767
Rule  6: bdb149b741, Class:  1, CF:0.760216, Len: 10, Fitness_tra: -29
Rule  7: 7112c174b7, Class:  2, CF:0.953462, Len: 10, Fitness_tra: -3
Rule  8: 12bbd141b7, Class:  1, CF:0.442218, Len: 10, Fitness_tra: 7
Rule  9: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 214111b4b2, Class:  2, CF:0.146783, Len: 10, Fitness_tra: -1
Rule 11: 72bbff4727, Class:  4, CF:0.998149, Len: 10, Fitness_tra: 0
Rule 12: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 72b2534714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 12b1df7b1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1714897b27, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: b24723411b, Class:  4, CF:0.54465, Len: 10, Fitness_tra: -5
Rule 17: 72b4217477, Class:  2, CF:0.59036, Len: 10, Fitness_tra: 0
Rule 18: 4b14167b14, Class:  4, CF:0.931229, Len: 10, Fitness_tra: 0
Rule 19: bbb1214712, Class:  2, CF:0.812146, Len: 10, Fitness_tra: -508
Rule 20: 4177c31b72, Class:  2, CF:0.920619, Len: 10, Fitness_tra: 0
Rule 21: 1a7b7dbbb4, Class:  2, CF:0.953644, Len: 10, Fitness_tra: -1033
Rule 22: b71113b277, Class:  4, CF:0.923898, Len: 10, Fitness_tra: -6
Rule 23: 1242c11b17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: b72b532427, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 44b45f21b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 447126b127, Class:  4, CF:0.997881, Len: 10, Fitness_tra: 0
Rule 28: 0000cd0330, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 727451b427, Class:  2, CF:0.885411, Len: 10, Fitness_tra: 0
Rule 30: 2341837712, Class:  2, CF:0.945914, Len: 10, Fitness_tra: 0
Rule 31: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 21125322b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 4b7713b7bb, Class:  4, CF:0.920158, Len: 10, Fitness_tra: 0
Rule 34: 7214514b1b, Class:  1, CF:0.443301, Len: 10, Fitness_tra: 1
Rule 35: bb77c14247, Class:  2, CF:0.998335, Len: 10, Fitness_tra: 0
Rule 36: 1e471d4744, Class:  1, CF:0.75863, Len: 10, Fitness_tra: -33
Rule 37: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 4bbb1a1147, Class:  4, CF:0.99982, Len: 10, Fitness_tra: -3
Rule 39: 114b23b272, Class:  4, CF:0.844591, Len: 10, Fitness_tra: 0
Rule 40: b2121d7171, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 22b2294b24, Class:  1, CF:0.68346, Len: 10, Fitness_tra: 0
Rule 42: 4724114427, Class:  2, CF:0.446888, Len: 10, Fitness_tra: 0
Rule 43: 7112ce27b4, Class:  2, CF:0.688682, Len: 10, Fitness_tra: 0
Rule 44: 4271254b12, Class:  2, CF:0.362107, Len: 10, Fitness_tra: -30
Rule 45: 1e4221bb22, Class:  1, CF:0.311494, Len: 10, Fitness_tra: 0
Rule 46: 2472d62b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 48115a2b21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 7bbb8f1bb4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: b114217744, Class:  2, CF:0.712059, Len: 10, Fitness_tra: 0
Rule 50: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b27251b771, Class:  2, CF:0.525094, Len: 10, Fitness_tra: 0
Rule 52: 7342214b2c, Class:  2, CF:0.997353, Len: 10, Fitness_tra: 0
Rule 53: 11bcf3b417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 11bb1d2742, Class:  2, CF:0.0107198, Len: 10, Fitness_tra: 0
Rule 55: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 7b27817424, Class:  2, CF:0.999243, Len: 10, Fitness_tra: 0
Rule 57: 22b78a4422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 21bbc3b7b2, Class:  2, CF:0.805974, Len: 10, Fitness_tra: 0
Rule 59: 42b4d31242, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 247283724b, Class:  2, CF:0.345774, Len: 10, Fitness_tra: 0
Rule 61: 2721212142, Class:  2, CF:0.747467, Len: 10, Fitness_tra: 0
Rule 62: 217215247b, Class:  2, CF:0.792397, Len: 10, Fitness_tra: 0
Rule 63: 27418f277b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 4c2711b144, Class:  2, CF:0.246759, Len: 10, Fitness_tra: 0
Rule 65: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 142bc1b247, Class:  2, CF:0.966841, Len: 10, Fitness_tra: -10
Rule 68: 127b1f4b47, Class:  4, CF:0.997893, Len: 10, Fitness_tra: 0
Rule 69: 427756b174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: b44b51b721, Class:  2, CF:0.929305, Len: 10, Fitness_tra: 0
Rule 71: 227183242b, Class:  2, CF:0.935408, Len: 10, Fitness_tra: 0
Rule 72: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 247b9e17b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: b22486144b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 712b11771b, Class:  4, CF:0.142741, Len: 10, Fitness_tra: 0
Rule 76: 744bd1bb44, Class:  2, CF:0.937852, Len: 10, Fitness_tra: 0
Rule 77: 7271514127, Class:  2, CF:0.989967, Len: 10, Fitness_tra: 1
Rule 78: b7728371b2, Class:  2, CF:0.76834, Len: 10, Fitness_tra: 0
Rule 79: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 45744d7b21, Class:  4, CF:0.0200939, Len: 10, Fitness_tra: 0
Rule 81: 15212311b2, Class:  4, CF:0.997907, Len: 10, Fitness_tra: -49
Rule 82: 1974214412, Class:  2, CF:0.435971, Len: 10, Fitness_tra: -33
Rule 83: b87b21b211, Class:  2, CF:0.264214, Len: 10, Fitness_tra: -14
Rule 84: 7122532144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 24bbca2b74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 71b213b1b4, Class:  4, CF:0.899719, Len: 10, Fitness_tra: 0
Rule 87: 424b1a7441, Class:  4, CF:0.996899, Len: 10, Fitness_tra: -2
Rule 88: b4bb564177, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 4724212222, Class:  2, CF:0.853382, Len: 10, Fitness_tra: 0
Rule 90: 2441c12b22, Class:  2, CF:0.947064, Len: 10, Fitness_tra: 0
Rule 91: 772bc37427, Class:  2, CF:0.797522, Len: 10, Fitness_tra: 0
Rule 92: b772884722, Class:  2, CF:0.995481, Len: 10, Fitness_tra: 0
Rule 93: 117b5dbb14, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 7101960009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 4574ed2421, Class:  1, CF:0.992066, Len: 10, Fitness_tra: 0
Rule 96: 7abb53bb14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 202479741d, Class:  2, CF:0.833674, Len:  9, Fitness_tra: 0
Rule 98: 727b33242b, Class:  4, CF:0.113145, Len: 10, Fitness_tra: 0
Rule 99: 1e4451b823, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 7724174447, Class:  2, CF:0.120849, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:80.265
------Result------
Miss_rate(tra)	:80.265
Miss_rate(tst)	:80.0731
ARL				:9.98413

------Generation 2------
Rule  1: 417116b112, Class:  4, CF:0.972223, Len: 10, Fitness_tra: 4
Rule  2: b224217221, Class:  2, CF:0.988493, Len: 10, Fitness_tra: 3
Rule  3: 1c71114772, Class:  4, CF:0.332, Len: 10, Fitness_tra: -363
Rule  4: b7741314bb, Class:  4, CF:0.958135, Len: 10, Fitness_tra: -61
Rule  5: 747bc94141, Class:  0, CF:0.754092, Len: 10, Fitness_tra: 767
Rule  6: bdb149b741, Class:  1, CF:0.760216, Len: 10, Fitness_tra: -29
Rule  7: 7112c174b7, Class:  2, CF:0.953462, Len: 10, Fitness_tra: -3
Rule  8: 12bbd141b7, Class:  1, CF:0.442218, Len: 10, Fitness_tra: 7
Rule  9: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 214111b4b2, Class:  2, CF:0.146783, Len: 10, Fitness_tra: -1
Rule 11: 72bbff4727, Class:  4, CF:0.998149, Len: 10, Fitness_tra: 0
Rule 12: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 72b2534714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 12b1df7b1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
