------Generation 0------
Rule  1: b221df471b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 4bb7864174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: cccb11b111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: b222112474, Class:  4, CF:0.247784, Len: 10, Fitness_tra: 0
Rule 37: b1221e7772, Class:  2, CF:0.983679, Len: 10, Fitness_tra: 0
Rule 38: 14bb111147, Class:  4, CF:0.150044, Len: 10, Fitness_tra: -770
Rule 39: 222183b477, Class:  2, CF:0.498798, Len: 10, Fitness_tra: 0
Rule 40: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 17b121b72b, Class:  2, CF:0.739513, Len: 10, Fitness_tra: 0
Rule 42: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 7b41c92b7b, Class:  0, CF:0.992213, Len: 10, Fitness_tra: 0
Rule 44: b22b161147, Class:  4, CF:0.999685, Len: 10, Fitness_tra: 0
Rule 45: 4841194111, Class:  1, CF:0.374382, Len: 10, Fitness_tra: 0
Rule 46: 282b897b41, Class:  1, CF:0.650111, Len: 10, Fitness_tra: 0
Rule 47: b1471a7224, Class:  4, CF:0.999936, Len: 10, Fitness_tra: 0
Rule 48: 214d151441, Class:  1, CF:0.995701, Len: 10, Fitness_tra: 0
Rule 49: 441b892bb1, Class:  1, CF:0.711492, Len: 10, Fitness_tra: 1
Rule 50: 47275e1224, Class:  2, CF:0.999272, Len: 10, Fitness_tra: 0
Rule 51: 2bbb8924b4, Class:  2, CF:0.997226, Len: 10, Fitness_tra: 0
Rule 52: 74b211747b, Class:  4, CF:0.065729, Len: 10, Fitness_tra: 0
Rule 53: 4b14c112b1, Class:  2, CF:0.98699, Len: 10, Fitness_tra: -7
Rule 54: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 71772a722b, Class:  4, CF:0.99999, Len: 10, Fitness_tra: 0
Rule 56: 2c7b232142, Class:  4, CF:0.984617, Len: 10, Fitness_tra: 0
Rule 57: 11442ebb21, Class:  1, CF:0.650138, Len: 10, Fitness_tra: 10
Rule 58: 2b7b291241, Class:  2, CF:0.999316, Len: 10, Fitness_tra: -5
Rule 59: 2177264b12, Class:  4, CF:0.999711, Len: 10, Fitness_tra: 0
Rule 60: 2bb1c6b7b4, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 61: 7bb4cd2124, Class:  2, CF:0.998012, Len: 10, Fitness_tra: 0
Rule 62: 1172157242, Class:  2, CF:0.93743, Len: 10, Fitness_tra: 0
Rule 63: 11742147b1, Class:  2, CF:0.0241805, Len: 10, Fitness_tra: 0
Rule 64: 4c74864b27, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 1171ce7221, Class:  2, CF:0.956436, Len: 10, Fitness_tra: 0
Rule 66: 417b19727b, Class:  2, CF:0.988797, Len: 10, Fitness_tra: 0
Rule 67: 1514297447, Class:  1, CF:0.65467, Len: 10, Fitness_tra: -3
Rule 68: b177154414, Class:  2, CF:0.938079, Len: 10, Fitness_tra: 0
Rule 69: 1114157171, Class:  1, CF:0.394457, Len: 10, Fitness_tra: -2747
Rule 70: 422bc1b421, Class:  2, CF:0.994337, Len: 10, Fitness_tra: 0
Rule 71: 2772c544bb, Class:  2, CF:0.989922, Len: 10, Fitness_tra: 0
Rule 72: 14b4d31217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 4b2b5f1bb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 12245a41b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 77218fb217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 2b4bc3b2b1, Class:  2, CF:0.911887, Len: 10, Fitness_tra: 0
Rule 77: 27421e7772, Class:  2, CF:0.992762, Len: 10, Fitness_tra: 0
Rule 78: 22b111712b, Class:  4, CF:0.0564279, Len: 10, Fitness_tra: 0
Rule 79: 2c22c37bb2, Class:  0, CF:0.135292, Len: 10, Fitness_tra: 0
Rule 80: 1242c3714b, Class:  2, CF:0.936569, Len: 10, Fitness_tra: 0
Rule 81: 1b44294b12, Class:  2, CF:0.567122, Len: 10, Fitness_tra: 0
Rule 82: b174234477, Class:  4, CF:0.949181, Len: 10, Fitness_tra: 0
Rule 83: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 1cb25f7272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 2141217114, Class:  2, CF:0.667007, Len: 10, Fitness_tra: -2
Rule 86: 42bb167b22, Class:  4, CF:0.999842, Len: 10, Fitness_tra: 0
Rule 87: 2bb78ebbb4, Class:  0, CF:0.999837, Len: 10, Fitness_tra: 0
Rule 88: bcb4c321b4, Class:  2, CF:0.153819, Len: 10, Fitness_tra: 0
Rule 89: 41b28a2b21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0000700000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 1d411e7271, Class:  1, CF:0.348687, Len: 10, Fitness_tra: 0
Rule 92: 4b2429411b, Class:  2, CF:0.982243, Len: 10, Fitness_tra: 0
Rule 93: 14774f2777, Class:  4, CF:0.999804, Len: 10, Fitness_tra: 0
Rule 94: 72118f1244, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 1777257147, Class:  2, CF:0.883918, Len: 10, Fitness_tra: -1
Rule 97: 441bca7441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 1b741f7742, Class:  4, CF:0.963962, Len: 10, Fitness_tra: 0
Rule 99: 71211db171, Class:  2, CF:0.94997, Len: 10, Fitness_tra: -6
Rule100: 227713214b, Class:  4, CF:0.849185, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:93.3988
------Result------
Miss_rate(tra)	:93.3988
Miss_rate(tst)	:93.6015
ARL				:9.77333

------Generation 0------
Rule  1: 11442ebb21, Class:  1, CF:0.650138, Len: 10, Fitness_tra: 71
Rule  2: 0000000880, Class:  2, CF:  1, Len:  2, Fitness_tra: 6
Rule  3: 441b892bb1, Class:  1, CF:0.711492, Len: 10, Fitness_tra: 0
Rule  4: b221df471b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: b127c67742, Class:  0, CF:0.999993, Len: 10, Fitness_tra: 0
Rule  6: 1b71c172b7, Class:  2, CF:0.997434, Len: 10, Fitness_tra: 0
Rule  7: b447231474, Class:  4, CF:0.982211, Len: 10, Fitness_tra: 0
Rule  8: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: b324b1b211, Class:  4, CF:0.379851, Len: 10, Fitness_tra: 0
Rule 10: b1b413b477, Class:  4, CF:0.970049, Len: 10, Fitness_tra: 0
Rule 11: 7b415a41b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 741b231b4b, Class:  4, CF:0.870609, Len: 10, Fitness_tra: 0
Rule 14: 211213b144, Class:  4, CF:0.77609, Len: 10, Fitness_tra: 0
Rule 15: 147b2647b7, Class:  4, CF:0.999886, Len: 10, Fitness_tra: 0
Rule 16: b171c34b42, Class:  2, CF:0.902181, Len: 10, Fitness_tra: 0
Rule 17: 4212834727, Class:  2, CF:0.466944, Len: 10, Fitness_tra: 0
Rule 18: 47441e2b71, Class:  2, CF:0.49913, Len: 10, Fitness_tra: 0
Rule 19: 7742557427, Class:  2, CF:0.998485, Len: 10, Fitness_tra: 0
Rule 20: 1bb416b227, Class:  4, CF:0.999576, Len: 10, Fitness_tra: 0
Rule 21: 124b5fb742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 2b2b1eb44b, Class:  2, CF:0.99961, Len: 10, Fitness_tra: 0
Rule 23: b521157424, Class:  2, CF:0.981552, Len: 10, Fitness_tra: 0
Rule 24: 744251b4b7, Class:  2, CF:0.980913, Len: 10, Fitness_tra: 0
Rule 25: 4172864427, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 7142814244, Class:  2, CF:0.997252, Len: 10, Fitness_tra: 0
Rule 27: 214183b2b4, Class:  2, CF:0.748209, Len: 10, Fitness_tra: 0
Rule 28: 227713214b, Class:  4, CF:0.849185, Len: 10, Fitness_tra: 0
Rule 29: b8124a7221, Class:  4, CF:0.998895, Len: 10, Fitness_tra: 0
Rule 30: b172817b17, Class:  2, CF:0.945617, Len: 10, Fitness_tra: 0
Rule 31: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1214dab247, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 2174437211, Class:  4, CF:0.793154, Len: 10, Fitness_tra: 0
Rule 34: 4bb7864174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: cccb11b111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: b222112474, Class:  4, CF:0.247784, Len: 10, Fitness_tra: 0
Rule 37: b1221e7772, Class:  2, CF:0.983679, Len: 10, Fitness_tra: 0
Rule 38: 222183b477, Class:  2, CF:0.498798, Len: 10, Fitness_tra: 0
Rule 39: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 17b121b72b, Class:  2, CF:0.739513, Len: 10, Fitness_tra: 0
Rule 41: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 7b41c92b7b, Class:  0, CF:0.992213, Len: 10, Fitness_tra: 0
Rule 43: b22b161147, Class:  4, CF:0.999685, Len: 10, Fitness_tra: 0
Rule 44: 4841194111, Class:  1, CF:0.374382, Len: 10, Fitness_tra: 0
Rule 45: 282b897b41, Class:  1, CF:0.650111, Len: 10, Fitness_tra: 0
Rule 46: b1471a7224, Class:  4, CF:0.999936, Len: 10, Fitness_tra: 0
Rule 47: 214d151441, Class:  1, CF:0.995701, Len: 10, Fitness_tra: 0
Rule 48: b2211f7774, Class:  4, CF:0.999996, Len: 10, Fitness_tra: 0
Rule 49: 47275e1224, Class:  2, CF:0.999272, Len: 10, Fitness_tra: 0
Rule 50: 2bbb8924b4, Class:  2, CF:0.997226, Len: 10, Fitness_tra: 0
Rule 51: 74b211747b, Class:  4, CF:0.065729, Len: 10, Fitness_tra: 0
Rule 52: 1b741f7742, Class:  4, CF:0.963962, Len: 10, Fitness_tra: 0
Rule 53: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 71772a722b, Class:  4, CF:0.99999, Len: 10, Fitness_tra: 0
Rule 55: 2c7b232142, Class:  4, CF:0.984617, Len: 10, Fitness_tra: 0
Rule 56: 441bca7441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 2177264b12, Class:  4, CF:0.999711, Len: 10, Fitness_tra: 0
Rule 58: 2bb1c6b7b4, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 59: 7bb4cd2124, Class:  2, CF:0.998012, Len: 10, Fitness_tra: 0
Rule 60: 1172157242, Class:  2, CF:0.93743, Len: 10, Fitness_tra: 0
Rule 61: 11742147b1, Class:  2, CF:0.0241805, Len: 10, Fitness_tra: 0
Rule 62: 4c74864b27, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1171ce7221, Class:  2, CF:0.956436, Len: 10, Fitness_tra: -22
Rule 64: 417b19727b, Class:  2, CF:0.988797, Len: 10, Fitness_tra: 0
Rule 65: b177154414, Class:  2, CF:0.938079, Len: 10, Fitness_tra: 0
Rule 66: 422bc1b421, Class:  2, CF:0.994337, Len: 10, Fitness_tra: 0
Rule 67: 2772c544bb, Class:  2, CF:0.989922, Len: 10, Fitness_tra: 0
Rule 68: 14b4d31217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 4b2b5f1bb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 12245a41b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 77218fb217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 2b4bc3b2b1, Class:  2, CF:0.911887, Len: 10, Fitness_tra: 0
Rule 73: 27421e7772, Class:  2, CF:0.992762, Len: 10, Fitness_tra: 0
Rule 74: 22b111712b, Class:  4, CF:0.0564279, Len: 10, Fitness_tra: 0
Rule 75: 2c22c37bb2, Class:  0, CF:0.135292, Len: 10, Fitness_tra: 0
Rule 76: 1242c3714b, Class:  2, CF:0.936569, Len: 10, Fitness_tra: 0
Rule 77: 1b44294b12, Class:  2, CF:0.567122, Len: 10, Fitness_tra: -7
Rule 78: b174234477, Class:  4, CF:0.949181, Len: 10, Fitness_tra: 0
Rule 79: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1cb25f7272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 2774191721, Class:  2, CF:0.969604, Len: 10, Fitness_tra: 0
Rule 82: 2b24112472, Class:  2, CF:0.617914, Len: 10, Fitness_tra: 0
Rule 83: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 221415b4b2, Class:  2, CF:0.278993, Len: 10, Fitness_tra: 0
Rule 85: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: b24b197424, Class:  2, CF:0.974536, Len: 10, Fitness_tra: 0
Rule 87: 171481b4b4, Class:  2, CF:0.95182, Len: 10, Fitness_tra: 0
Rule 88: b212212244, Class:  2, CF:0.961905, Len: 10, Fitness_tra: 0
Rule 89: 4824112b74, Class:  4, CF:0.993125, Len: 10, Fitness_tra: 0
Rule 90: 711b117b42, Class:  4, CF:0.221269, Len: 10, Fitness_tra: 0
Rule 91: 7b712a41bc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 4b74117741, Class:  2, CF:0.148197, Len: 10, Fitness_tra: 0
Rule 93: 2bb41e2274, Class:  2, CF:0.999637, Len: 10, Fitness_tra: 0
Rule 94: 2b4b23bb21, Class:  4, CF:0.693285, Len: 10, Fitness_tra: 0
Rule 95: 2b11c0bbbe, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: b174557427, Class:  2, CF:0.996725, Len: 10, Fitness_tra: 0
Rule 97: b487231474, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
Rule 98: 144251b2b7, Class:  2, CF:0.841885, Len: 10, Fitness_tra: 0
Rule 99: 4000000441, Class:  2, CF:0.797863, Len:  4, Fitness_tra: -4121
Rule100: b022037c02, Class:  4, CF:0.999221, Len:  7, Fitness_tra: 0
------Current------
Miss_rate(tra)	:97.7615
------Result------
Miss_rate(tra)	:97.7615
Miss_rate(tst)	:97.3492
ARL				:9.77333

------Generation 1------
Rule  1: 11442ebb21, Class:  1, CF:0.650138, Len: 10, Fitness_tra: 9
Rule  2: 0000000880, Class:  2, CF:  1, Len:  2, Fitness_tra: 4
Rule  3: 441b892bb1, Class:  1, CF:0.711492, Len: 10, Fitness_tra: -63
Rule  4: b221df471b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: b127c67742, Class:  0, CF:0.999993, Len: 10, Fitness_tra: 0
Rule  6: 1b71c172b7, Class:  2, CF:0.997434, Len: 10, Fitness_tra: -132
Rule  7: b447231474, Class:  4, CF:0.982211, Len: 10, Fitness_tra: 0
Rule  8: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: b324b1b211, Class:  4, CF:0.379851, Len: 10, Fitness_tra: -313
Rule 10: b1b413b477, Class:  4, CF:0.970049, Len: 10, Fitness_tra: 0
Rule 11: 7b415a41b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 741b231b4b, Class:  4, CF:0.870609, Len: 10, Fitness_tra: -120
Rule 14: 211213b144, Class:  4, CF:0.77609, Len: 10, Fitness_tra: -1
Rule 15: 147b2647b7, Class:  4, CF:0.999886, Len: 10, Fitness_tra: 0
Rule 16: b171c34b42, Class:  2, CF:0.902181, Len: 10, Fitness_tra: 0
Rule 17: 4212834727, Class:  2, CF:0.466944, Len: 10, Fitness_tra: 0
Rule 18: 47441e2b71, Class:  2, CF:0.49913, Len: 10, Fitness_tra: 0
Rule 19: 7742557427, Class:  2, CF:0.998485, Len: 10, Fitness_tra: 0
Rule 20: 1bb416b227, Class:  4, CF:0.999576, Len: 10, Fitness_tra: 0
Rule 21: 124b5fb742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 2b2b1eb44b, Class:  2, CF:0.99961, Len: 10, Fitness_tra: 0
Rule 23: b521157424, Class:  2, CF:0.981552, Len: 10, Fitness_tra: -2
Rule 24: 744251b4b7, Class:  2, CF:0.980913, Len: 10, Fitness_tra: 0
Rule 25: 4172864427, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 7142814244, Class:  2, CF:0.997252, Len: 10, Fitness_tra: 0
Rule 27: 214183b2b4, Class:  2, CF:0.748209, Len: 10, Fitness_tra: 0
Rule 28: 227713214b, Class:  4, CF:0.849185, Len: 10, Fitness_tra: 0
Rule 29: b8124a7221, Class:  4, CF:0.998895, Len: 10, Fitness_tra: 0
Rule 30: b172817b17, Class:  2, CF:0.945617, Len: 10, Fitness_tra: 0
Rule 31: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1214dab247, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 2174437211, Class:  4, CF:0.793154, Len: 10, Fitness_tra: -1
Rule 34: 4bb7864174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: cccb11b111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: b222112474, Class:  4, CF:0.247784, Len: 10, Fitness_tra: 0
Rule 37: b1221e7772, Class:  2, CF:0.983679, Len: 10, Fitness_tra: 0
Rule 38: 222183b477, Class:  2, CF:0.498798, Len: 10, Fitness_tra: 0
Rule 39: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 17b121b72b, Class:  2, CF:0.739513, Len: 10, Fitness_tra: -797
Rule 41: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 7b41c92b7b, Class:  0, CF:0.992213, Len: 10, Fitness_tra: 5
Rule 43: b22b161147, Class:  4, CF:0.999685, Len: 10, Fitness_tra: -14
Rule 44: 4841194111, Class:  1, CF:0.374382, Len: 10, Fitness_tra: -126
Rule 45: 282b897b41, Class:  1, CF:0.650111, Len: 10, Fitness_tra: 0
Rule 46: b1471a7224, Class:  4, CF:0.999936, Len: 10, Fitness_tra: 0
Rule 47: 214d151441, Class:  1, CF:0.995701, Len: 10, Fitness_tra: 0
Rule 48: b2211f7774, Class:  4, CF:0.999996, Len: 10, Fitness_tra: 2
Rule 49: 47275e1224, Class:  2, CF:0.999272, Len: 10, Fitness_tra: 0
Rule 50: 2bbb8924b4, Class:  2, CF:0.997226, Len: 10, Fitness_tra: 0
Rule 51: 74b211747b, Class:  4, CF:0.065729, Len: 10, Fitness_tra: 0
Rule 52: 1b741f7742, Class:  4, CF:0.963962, Len: 10, Fitness_tra: 0
Rule 53: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 71772a722b, Class:  4, CF:0.99999, Len: 10, Fitness_tra: 0
Rule 55: 2c7b232142, Class:  4, CF:0.984617, Len: 10, Fitness_tra: 0
Rule 56: 441bca7441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 2177264b12, Class:  4, CF:0.999711, Len: 10, Fitness_tra: 0
Rule 58: 2bb1c6b7b4, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 59: 7bb4cd2124, Class:  2, CF:0.998012, Len: 10, Fitness_tra: 0
Rule 60: 1172157242, Class:  2, CF:0.93743, Len: 10, Fitness_tra: 0
Rule 61: 11742147b1, Class:  2, CF:0.0241805, Len: 10, Fitness_tra: -7
Rule 62: 4c74864b27, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: b022037c02, Class:  4, CF:0.999221, Len:  7, Fitness_tra: 0
Rule 64: 417b19727b, Class:  2, CF:0.988797, Len: 10, Fitness_tra: 0
Rule 65: b177154414, Class:  2, CF:0.938079, Len: 10, Fitness_tra: -4
Rule 66: 422bc1b421, Class:  2, CF:0.994337, Len: 10, Fitness_tra: 0
Rule 67: 2772c544bb, Class:  2, CF:0.989922, Len: 10, Fitness_tra: 0
Rule 68: 14b4d31217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 4b2b5f1bb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 12245a41b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 77218fb217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 2b4bc3b2b1, Class:  2, CF:0.911887, Len: 10, Fitness_tra: 0
Rule 73: 27421e7772, Class:  2, CF:0.992762, Len: 10, Fitness_tra: 0
Rule 74: 22b111712b, Class:  4, CF:0.0564279, Len: 10, Fitness_tra: 0
Rule 75: 2c22c37bb2, Class:  0, CF:0.135292, Len: 10, Fitness_tra: 0
Rule 76: 1242c3714b, Class:  2, CF:0.936569, Len: 10, Fitness_tra: -5
Rule 77: 144251b2b7, Class:  2, CF:0.841885, Len: 10, Fitness_tra: 0
Rule 78: b174234477, Class:  4, CF:0.949181, Len: 10, Fitness_tra: 0
Rule 79: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1cb25f7272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 71b756174b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 17111fbb74, Class:  4, CF:0.997843, Len: 10, Fitness_tra: 3
Rule 83: 71bb112417, Class:  2, CF:0.219079, Len: 10, Fitness_tra: 0
Rule 84: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: bb47192b2b, Class:  0, CF:0.214199, Len: 10, Fitness_tra: 0
Rule 86: 2b745fbb24, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: b224234714, Class:  4, CF:0.967271, Len: 10, Fitness_tra: 0
Rule 88: 21b2de7b2b, Class:  1, CF:0.218005, Len: 10, Fitness_tra: 0
Rule 89: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 12122e4414, Class:  1, CF:0.326158, Len: 10, Fitness_tra: -1489
Rule 91: 4241152b7b, Class:  2, CF:0.364384, Len: 10, Fitness_tra: -3
Rule 92: 62241c2b77, Class:  4, CF:0.640221, Len: 10, Fitness_tra: -118
Rule 93: 117c0347b2, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 94: 14b4214719, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 95: 2bb41e2274, Class:  2, CF:0.999637, Len: 10, Fitness_tra: 0
Rule 96: 417b866147, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 0000000d00, Class:  2, CF:  1, Len:  1, Fitness_tra: 5
Rule 98: b521137124, Class:  2, CF:0.100678, Len: 10, Fitness_tra: 0
Rule 99: 2b1b1e544b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 2b74417211, Class:  2, CF:0.727067, Len: 10, Fitness_tra: -23
------Current------
Miss_rate(tra)	:94.6323
------Result------
Miss_rate(tra)	:94.6323
Miss_rate(tst)	:94.5155
ARL				:9.71233

------Generation 2------
Rule  1: 11442ebb21, Class:  1, CF:0.650138, Len: 10, Fitness_tra: -1267
Rule  2: 0000000d00, Class:  2, CF:  1, Len:  1, Fitness_tra: 3
Rule  3: 7b41c92b7b, Class:  0, CF:0.992213, Len: 10, Fitness_tra: 44
Rule  4: 0000000880, Class:  2, CF:  1, Len:  2, Fitness_tra: 0
Rule  5: 17111fbb74, Class:  4, CF:0.997843, Len: 10, Fitness_tra: 1
Rule  6: b2211f7774, Class:  4, CF:0.999996, Len: 10, Fitness_tra: 4
Rule  7: b127c67742, Class:  0, CF:0.999993, Len: 10, Fitness_tra: 0
Rule  8: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 2b1b1e544b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: b1b413b477, Class:  4, CF:0.970049, Len: 10, Fitness_tra: 0
Rule 11: 7b415a41b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b521137124, Class:  2, CF:0.100678, Len: 10, Fitness_tra: 0
