------Generation 0------
Rule  1: 7771ca1472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 28b7132111, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 62: 4d722e4b74, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 63: 71271127b4, Class:  0, CF:0.906737, Len: 10, Fitness_tra: 0
Rule 64: 2124162bbb, Class:  0, CF:0.999952, Len: 10, Fitness_tra: 0
Rule 65: 45722d4bb2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 66: 27423a2b14, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 67: 24728f1114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 21bb151b11, Class:  0, CF:0.927935, Len: 10, Fitness_tra: 7
Rule 69: b727867127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 121451211b, Class:  0, CF:0.998552, Len: 10, Fitness_tra: 0
Rule 71: 4142f12224, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 72: 212b4e14b2, Class:  0, CF:0.804955, Len: 10, Fitness_tra: 0
Rule 73: 414bce4b72, Class:  0, CF:0.102139, Len: 10, Fitness_tra: 0
Rule 74: 727bc31b22, Class:  0, CF:0.908598, Len: 10, Fitness_tra: 0
Rule 75: 21712a77b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 76: 274721b2b2, Class:  0, CF:0.370003, Len: 10, Fitness_tra: 0
Rule 77: 12712d1411, Class:  0, CF:0.776117, Len: 10, Fitness_tra: 1981
Rule 78: 48b4132721, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 79: 1117d12b27, Class:  0, CF:0.886117, Len: 10, Fitness_tra: 0
Rule 80: bbbb2174bb, Class:  1, CF:0.249251, Len: 10, Fitness_tra: 0
Rule 81: 21115e2217, Class:  1, CF:0.696787, Len: 10, Fitness_tra: 0
Rule 82: b1bb137141, Class:  0, CF:0.964704, Len: 10, Fitness_tra: 1
Rule 83: bd12114112, Class:  0, CF:0.980764, Len: 10, Fitness_tra: 0
Rule 84: 4841252227, Class:  1, CF:0.130445, Len: 10, Fitness_tra: 0
Rule 85: 41178eb4bb, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 86: b7b2c311b2, Class:  0, CF:0.646463, Len: 10, Fitness_tra: 0
Rule 87: 1a1d537b7b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 2a25814711, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 89: 7b142172bb, Class:  1, CF:0.195889, Len: 10, Fitness_tra: 0
Rule 90: b327214222, Class:  1, CF:0.620593, Len: 10, Fitness_tra: 0
Rule 91: 11b2211122, Class:  0, CF:0.876853, Len: 10, Fitness_tra: 29
Rule 92: 2b218e1471, Class:  1, CF:0.946498, Len: 10, Fitness_tra: 2
Rule 93: 252213b2b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 94: 7bb723bb47, Class:  0, CF:0.945484, Len: 10, Fitness_tra: 0
Rule 95: 7174192711, Class:  0, CF:0.848544, Len: 10, Fitness_tra: 1
Rule 96: b11211b271, Class:  0, CF:0.7227, Len: 10, Fitness_tra: 0
Rule 97: 24b1c37741, Class:  0, CF:0.921561, Len: 10, Fitness_tra: 0
Rule 98: 427b192742, Class:  0, CF:0.405394, Len: 10, Fitness_tra: 0
Rule 99: 2742ce1212, Class:  1, CF:0.537128, Len: 10, Fitness_tra: 0
Rule100: 2242834222, Class:  1, CF:0.858033, Len: 10, Fitness_tra: 1
------Current------
Miss_rate(tra)	:12.8325
------Result------
Miss_rate(tra)	:12.8325
Miss_rate(tst)	:13.1627
ARL				:10

------Generation 0------
Rule  1: 71111e11b2, Class:  0, CF:0.626604, Len: 10, Fitness_tra: 2024
Rule  2: 12712d1411, Class:  0, CF:0.776117, Len: 10, Fitness_tra: 2184
Rule  3: b271131b12, Class:  0, CF:0.998483, Len: 10, Fitness_tra: 121
Rule  4: 124b554717, Class:  0, CF:0.99727, Len: 10, Fitness_tra: 63
Rule  5: 1814117b11, Class:  0, CF:  1, Len: 10, Fitness_tra: 45
Rule  6: 11b2211122, Class:  0, CF:0.876853, Len: 10, Fitness_tra: 55
Rule  7: 1b22297127, Class:  0, CF:0.167834, Len: 10, Fitness_tra: 9
Rule  8: 21bb151b11, Class:  0, CF:0.927935, Len: 10, Fitness_tra: 7
Rule  9: 122bc311b1, Class:  0, CF:0.962279, Len: 10, Fitness_tra: 21
Rule 10: b21113b7b4, Class:  0, CF:0.994367, Len: 10, Fitness_tra: 3
Rule 11: 2b218e1471, Class:  1, CF:0.946498, Len: 10, Fitness_tra: 2
Rule 12: 4421217bb1, Class:  0, CF:0.898451, Len: 10, Fitness_tra: 2
Rule 13: 2242834222, Class:  1, CF:0.858033, Len: 10, Fitness_tra: 1
Rule 14: b1bb137141, Class:  0, CF:0.964704, Len: 10, Fitness_tra: 0
Rule 15: 21712a77b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 427bc31147, Class:  1, CF:0.507092, Len: 10, Fitness_tra: 1
Rule 17: 7174192711, Class:  0, CF:0.848544, Len: 10, Fitness_tra: 1
Rule 18: 7771ca1472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 4214537b24, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 4444114172, Class:  0, CF:0.862993, Len: 10, Fitness_tra: 0
Rule 21: b747212211, Class:  0, CF:0.630812, Len: 10, Fitness_tra: 0
Rule 22: 14b7812172, Class:  0, CF:0.75007, Len: 10, Fitness_tra: 0
Rule 23: 12225327b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 42b7862b77, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: b22b29b422, Class:  0, CF:0.0462705, Len: 10, Fitness_tra: 0
Rule 26: 77bb1e4417, Class:  1, CF:0.055664, Len: 10, Fitness_tra: 0
Rule 27: 4b428111b2, Class:  1, CF:0.607297, Len: 10, Fitness_tra: 0
Rule 28: 277b424142, Class:  1, CF:0.248235, Len: 10, Fitness_tra: 0
Rule 29: 1247112b44, Class:  0, CF:0.989214, Len: 10, Fitness_tra: 0
Rule 30: 78bb161717, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 31: 27218e4414, Class:  1, CF:0.952501, Len: 10, Fitness_tra: 0
Rule 32: 47b75a1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 4144c1b277, Class:  1, CF:0.410236, Len: 10, Fitness_tra: 0
Rule 34: 4171834411, Class:  0, CF:0.72955, Len: 10, Fitness_tra: 1
Rule 35: 2422c62127, Class:  0, CF:0.80648, Len: 10, Fitness_tra: 0
Rule 36: b2b25f7b47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1224512bb2, Class:  0, CF:0.987717, Len: 10, Fitness_tra: 0
Rule 38: b2428621b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: b1118a7421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 71448e277b, Class:  0, CF:0.946759, Len: 10, Fitness_tra: 0
Rule 41: 2747864b21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 21242371bb, Class:  0, CF:0.97312, Len: 10, Fitness_tra: 0
Rule 43: 2b423321bb, Class:  0, CF:0.972852, Len: 10, Fitness_tra: 0
Rule 44: 74bb534411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1cb2ca1b77, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: b2b789b271, Class:  0, CF:0.825717, Len: 10, Fitness_tra: 0
Rule 47: 41b223b772, Class:  0, CF:0.986187, Len: 10, Fitness_tra: 0
Rule 48: 4c72ce4141, Class:  0, CF:0.903822, Len: 10, Fitness_tra: 0
Rule 49: 4b71134217, Class:  0, CF:0.976594, Len: 10, Fitness_tra: 0
Rule 50: b414c87b47, Class:  0, CF:0.749006, Len: 10, Fitness_tra: 0
Rule 51: 21bb212271, Class:  0, CF:0.390236, Len: 10, Fitness_tra: 0
Rule 52: 1b72ca1774, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 71111621b4, Class:  0, CF:0.995739, Len: 10, Fitness_tra: 2
Rule 54: b74272bbb1, Class:  0, CF:0.902057, Len: 10, Fitness_tra: 0
Rule 55: 42b2462722, Class:  0, CF:0.999972, Len: 10, Fitness_tra: 0
Rule 56: 71b113b7b7, Class:  0, CF:0.994132, Len: 10, Fitness_tra: 0
Rule 57: bc24297b22, Class:  0, CF:0.912092, Len: 10, Fitness_tra: 0
Rule 58: 4742111444, Class:  0, CF:0.145919, Len: 10, Fitness_tra: 0
Rule 59: b512817477, Class:  0, CF:0.923232, Len: 10, Fitness_tra: 0
Rule 60: 44bbc67bb7, Class:  0, CF:0.919842, Len: 10, Fitness_tra: 0
Rule 61: 28b7132111, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 62: 4d722e4b74, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 63: 71271127b4, Class:  0, CF:0.906737, Len: 10, Fitness_tra: 0
Rule 64: 2124162bbb, Class:  0, CF:0.999952, Len: 10, Fitness_tra: 0
Rule 65: 45722d4bb2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 66: 27423a2b14, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 67: 24728f1114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: b1bb2142b7, Class:  0, CF:0.371558, Len: 10, Fitness_tra: 0
Rule 69: b727867127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 121451211b, Class:  0, CF:0.998552, Len: 10, Fitness_tra: 0
Rule 71: 4142f12224, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 72: 212b4e14b2, Class:  0, CF:0.804955, Len: 10, Fitness_tra: 0
Rule 73: 414bce4b72, Class:  0, CF:0.102139, Len: 10, Fitness_tra: 0
Rule 74: 727bc31b22, Class:  0, CF:0.908598, Len: 10, Fitness_tra: 0
Rule 75: b271282b2b, Class:  0, CF:0.359881, Len: 10, Fitness_tra: 0
Rule 76: 274721b2b2, Class:  0, CF:0.370003, Len: 10, Fitness_tra: 0
Rule 77: b241517211, Class:  1, CF:0.361152, Len: 10, Fitness_tra: 0
Rule 78: 48b4132721, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 79: 1117d12b27, Class:  0, CF:0.886117, Len: 10, Fitness_tra: 0
Rule 80: bbbb2174bb, Class:  1, CF:0.249251, Len: 10, Fitness_tra: 0
Rule 81: 1b271e2744, Class:  1, CF:0.621895, Len: 10, Fitness_tra: 0
Rule 82: 72251614bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 1b1b16b7b7, Class:  0, CF:0.993741, Len: 10, Fitness_tra: 0
Rule 84: 72718142b2, Class:  1, CF:0.499895, Len: 10, Fitness_tra: 0
Rule 85: 2171117171, Class:  0, CF:0.790242, Len: 10, Fitness_tra: 112
Rule 86: 1224632741, Class:  0, CF:0.999841, Len: 10, Fitness_tra: 0
Rule 87: b5752671b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 1714aa2141, Class:  0, CF:  1, Len: 10, Fitness_tra: 15
Rule 89: b712187444, Class:  1, CF:0.160077, Len: 10, Fitness_tra: 0
Rule 90: 7727f32244, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 91: c171132b1b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 92: b4b45f7b47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 212d8a7421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: b211c3b784, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 21212e4bbd, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 96: 1126817827, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 97: b26113b7b4, Class:  0, CF:0.971604, Len: 10, Fitness_tra: 0
Rule 98: 2225162717, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: bb4b8174bb, Class:  1, CF:0.734043, Len: 10, Fitness_tra: 0
Rule100: 7bb88621b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:4.77157
------Result------
Miss_rate(tra)	:4.77157
Miss_rate(tst)	:5.30165
ARL				:10

------Generation 1------
Rule  1: 71111e11b2, Class:  0, CF:0.626604, Len: 10, Fitness_tra: 2024
Rule  2: 12712d1411, Class:  0, CF:0.776117, Len: 10, Fitness_tra: 2184
Rule  3: b271131b12, Class:  0, CF:0.998483, Len: 10, Fitness_tra: 121
Rule  4: 124b554717, Class:  0, CF:0.99727, Len: 10, Fitness_tra: 63
Rule  5: 1814117b11, Class:  0, CF:  1, Len: 10, Fitness_tra: 45
Rule  6: 11b2211122, Class:  0, CF:0.876853, Len: 10, Fitness_tra: 55
Rule  7: 1b22297127, Class:  0, CF:0.167834, Len: 10, Fitness_tra: 9
Rule  8: 21bb151b11, Class:  0, CF:0.927935, Len: 10, Fitness_tra: 7
Rule  9: 122bc311b1, Class:  0, CF:0.962279, Len: 10, Fitness_tra: 21
Rule 10: b21113b7b4, Class:  0, CF:0.994367, Len: 10, Fitness_tra: 3
Rule 11: 2b218e1471, Class:  1, CF:0.946498, Len: 10, Fitness_tra: 2
Rule 12: 4421217bb1, Class:  0, CF:0.898451, Len: 10, Fitness_tra: 2
Rule 13: 2242834222, Class:  1, CF:0.858033, Len: 10, Fitness_tra: 1
Rule 14: b1bb137141, Class:  0, CF:0.964704, Len: 10, Fitness_tra: 0
Rule 15: 21712a77b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 427bc31147, Class:  1, CF:0.507092, Len: 10, Fitness_tra: 1
Rule 17: 7174192711, Class:  0, CF:0.848544, Len: 10, Fitness_tra: 1
Rule 18: 7771ca1472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 4214537b24, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 4444114172, Class:  0, CF:0.862993, Len: 10, Fitness_tra: 0
Rule 21: b747212211, Class:  0, CF:0.630812, Len: 10, Fitness_tra: 0
Rule 22: 14b7812172, Class:  0, CF:0.75007, Len: 10, Fitness_tra: 0
Rule 23: 12225327b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 42b7862b77, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: b22b29b422, Class:  0, CF:0.0462705, Len: 10, Fitness_tra: 0
Rule 26: 77bb1e4417, Class:  1, CF:0.055664, Len: 10, Fitness_tra: 0
Rule 27: 4b428111b2, Class:  1, CF:0.607297, Len: 10, Fitness_tra: 0
Rule 28: 277b424142, Class:  1, CF:0.248235, Len: 10, Fitness_tra: 0
Rule 29: 1247112b44, Class:  0, CF:0.989214, Len: 10, Fitness_tra: 0
Rule 30: 78bb161717, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 31: 27218e4414, Class:  1, CF:0.952501, Len: 10, Fitness_tra: 0
Rule 32: 47b75a1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 4144c1b277, Class:  1, CF:0.410236, Len: 10, Fitness_tra: 0
Rule 34: 4171834411, Class:  0, CF:0.72955, Len: 10, Fitness_tra: 1
Rule 35: 2422c62127, Class:  0, CF:0.80648, Len: 10, Fitness_tra: 0
Rule 36: b2b25f7b47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1224512bb2, Class:  0, CF:0.987717, Len: 10, Fitness_tra: 0
Rule 38: b2428621b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: b1118a7421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 71448e277b, Class:  0, CF:0.946759, Len: 10, Fitness_tra: 0
Rule 41: 2747864b21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 21242371bb, Class:  0, CF:0.97312, Len: 10, Fitness_tra: 0
Rule 43: 2b423321bb, Class:  0, CF:0.972852, Len: 10, Fitness_tra: 0
Rule 44: 74bb534411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1cb2ca1b77, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: b2b789b271, Class:  0, CF:0.825717, Len: 10, Fitness_tra: 0
Rule 47: 41b223b772, Class:  0, CF:0.986187, Len: 10, Fitness_tra: 0
Rule 48: 4c72ce4141, Class:  0, CF:0.903822, Len: 10, Fitness_tra: 0
Rule 49: 4b71134217, Class:  0, CF:0.976594, Len: 10, Fitness_tra: 0
Rule 50: b414c87b47, Class:  0, CF:0.749006, Len: 10, Fitness_tra: 0
Rule 51: 21bb212271, Class:  0, CF:0.390236, Len: 10, Fitness_tra: 0
Rule 52: 1b72ca1774, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 71111621b4, Class:  0, CF:0.995739, Len: 10, Fitness_tra: 2
Rule 54: b74272bbb1, Class:  0, CF:0.902057, Len: 10, Fitness_tra: 0
Rule 55: 42b2462722, Class:  0, CF:0.999972, Len: 10, Fitness_tra: 0
Rule 56: 71b113b7b7, Class:  0, CF:0.994132, Len: 10, Fitness_tra: 0
Rule 57: bc24297b22, Class:  0, CF:0.912092, Len: 10, Fitness_tra: 0
Rule 58: 4742111444, Class:  0, CF:0.145919, Len: 10, Fitness_tra: 0
Rule 59: b512817477, Class:  0, CF:0.923232, Len: 10, Fitness_tra: 0
Rule 60: 44bbc67bb7, Class:  0, CF:0.919842, Len: 10, Fitness_tra: 0
Rule 61: 28b7132111, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 62: 4d722e4b74, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 63: 71271127b4, Class:  0, CF:0.906737, Len: 10, Fitness_tra: 0
Rule 64: 2124162bbb, Class:  0, CF:0.999952, Len: 10, Fitness_tra: 0
Rule 65: 45722d4bb2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 66: 27423a2b14, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 67: 24728f1114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: b1bb2142b7, Class:  0, CF:0.371558, Len: 10, Fitness_tra: 0
Rule 69: b727867127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 121451211b, Class:  0, CF:0.998552, Len: 10, Fitness_tra: 0
Rule 71: 4142f12224, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 72: 212b4e14b2, Class:  0, CF:0.804955, Len: 10, Fitness_tra: 0
Rule 73: 414bce4b72, Class:  0, CF:0.102139, Len: 10, Fitness_tra: 0
Rule 74: 727bc31b22, Class:  0, CF:0.908598, Len: 10, Fitness_tra: 0
Rule 75: b271282b2b, Class:  0, CF:0.359881, Len: 10, Fitness_tra: 0
Rule 76: 274721b2b2, Class:  0, CF:0.370003, Len: 10, Fitness_tra: 0
Rule 77: b241517211, Class:  1, CF:0.361152, Len: 10, Fitness_tra: 0
Rule 78: 48b4132721, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 79: 1117d12b27, Class:  0, CF:0.886117, Len: 10, Fitness_tra: 0
Rule 80: bbbb2174bb, Class:  1, CF:0.249251, Len: 10, Fitness_tra: 0
Rule 81: 1b271e2744, Class:  1, CF:0.621895, Len: 10, Fitness_tra: 0
Rule 82: 72251614bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 1b1b16b7b7, Class:  0, CF:0.993741, Len: 10, Fitness_tra: 0
Rule 84: 72718142b2, Class:  1, CF:0.499895, Len: 10, Fitness_tra: 0
Rule 85: 2171117171, Class:  0, CF:0.790242, Len: 10, Fitness_tra: 112
Rule 86: 1224632741, Class:  0, CF:0.999841, Len: 10, Fitness_tra: 0
Rule 87: b5752671b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 1714aa2141, Class:  0, CF:  1, Len: 10, Fitness_tra: 15
Rule 89: b712187444, Class:  1, CF:0.160077, Len: 10, Fitness_tra: 0
Rule 90: 7727f32244, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 91: c171132b1b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 92: b4b45f7b47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 212d8a7421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: b211c3b784, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 21212e4bbd, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 96: 1126817827, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 97: b26113b7b4, Class:  0, CF:0.971604, Len: 10, Fitness_tra: 0
Rule 98: 2225162717, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: bb4b8174bb, Class:  1, CF:0.734043, Len: 10, Fitness_tra: 0
Rule100: 7bb88621b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:4.77157
------Result------
Miss_rate(tra)	:4.77157
Miss_rate(tst)	:5.30165
ARL				:10

------Generation 2------
Rule  1: 12712d1411, Class:  0, CF:0.776117, Len: 10, Fitness_tra: 0
Rule  2: 71111e11b2, Class:  0, CF:0.626604, Len: 10, Fitness_tra: 0
Rule  3: b271131b12, Class:  0, CF:0.998483, Len: 10, Fitness_tra: 0
Rule  4: 2171117171, Class:  0, CF:0.790242, Len: 10, Fitness_tra: 0
Rule  5: 124b554717, Class:  0, CF:0.99727, Len: 10, Fitness_tra: 0
Rule  6: 11b2211122, Class:  0, CF:0.876853, Len: 10, Fitness_tra: 0
Rule  7: 1814117b11, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  8: 122bc311b1, Class:  0, CF:0.962279, Len: 10, Fitness_tra: 0
Rule  9: 1714aa2141, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 10: 1b22297127, Class:  0, CF:0.167834, Len: 10, Fitness_tra: 0
Rule 11: 21bb151b11, Class:  0, CF:0.927935, Len: 10, Fitness_tra: 0
Rule 12: b21113b7b4, Class:  0, CF:0.994367, Len: 10, Fitness_tra: 0
Rule 13: 2b218e1471, Class:  1, CF:0.946498, Len: 10, Fitness_tra: 0
